chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1+16047519,LOC_Os01g28680,0,1,0,0,0,0,0,0,0,5,5,4,8,5,6,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Chr1+16056051,LOC_Os01g28680,2,3,0,1,3,3,0,0,1,1,3,2,8,0,11,6,10,4,2,11,4,4,4,4,7,7,2,3,2,1,0,0,0,0,2,1,0,0,1,2,0,3
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0,0,1,0,2,0,0,0,3,0,2,1,2,0,0,0,0,0,1,1,5,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Chr1-22918824,LOC_Os01g40590,35,12,18,32,22,4,22,23,26,31,20,22,7,9,1,9,16,6,19,53,44,10,14,21,17,21,44,68,75,55,27,25,26,52,18,46,137,127,126,46,47,46
Chr1-22918920,LOC_Os01g40590,25,22,14,3,19,12,32,26,30,39,35,36,18,36,15,15,6,20,68,61,69,26,22,21,19,39,26,54,69,35,28,32,22,5,97,15,90,105,114,27,29,27
Chr1-22918521,LOC_Os01g40590,7,8,8,4,13,5,10,9,9,4,8,8,2,0,2,6,9,16,15,11,12,7,6,8,10,9,7,12,11,11,6,7,10,0,3,6,8,7,7,11,12,15
Chr1+25138117,LOC_Os01g43870,44,29,35,78,59,37,151,98,115,103,96,83,358,322,342,235,275,324,134,143,130,45,51,50,143,166,179,128,139,121,146,162,152,25,71,64,148,162,147,15,15,13
Chr1+25136387,LOC_Os01g43870,14,12,13,6,3,14,10,2,12,1,1,1,1,1,3,10,5,7,5,4,4,0,0,0,14,28,16,0,1,0,0,0,2,0,0,0,0,5,5,4,2,3
Chr1-26033155,LOC_Os01g45830,0,0,2,0,0,0,1,0,0,3,3,3,6,2,5,1,2,3,1,3,2,7,4,0,0,2,5,3,4,6,1,1,1,5,4,2,0,0,1,2,0,2
Chr1-26033273,LOC_Os01g45830,9,12,9,17,32,24,5,7,7,3,6,9,7,1,7,9,17,18,27,33,32,21,19,20,21,20,19,0,14,5,8,9,7,38,130,77,10,11,12,12,13,10
Chr1-26032898,LOC_Os01g45830,0,0,0,0,0,0,3,1,1,0,1,1,2,0,3,3,3,7,3,0,1,6,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chr1-28099906,LOC_Os01g48960,3,3,1,4,4,3,6,12,6,5,4,22,2,0,0,0,0,0,4,3,0,21,5,0,11,1,9,0,2,0,1,5,9,10,24,22,1,5,4,5,5,5
Chr1-28102214,LOC_Os01g48960,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,6,6,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chr1-28091212,LOC_Os01g48960,206,219,174,259,300,239,844,901,1040,497,479,548,106,122,122,91,75,48,139,197,174,407,441,493,452,456,499,201,146,200,794,622,883,539,568,429,146,132,141,110,117,70
Chr1-28091086,LOC_Os01g48960,0,0,0,3,2,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,2,2,4,3,2,2,2,2,4,1,2,0,0,0,0,0,0
Chr1-31741622,LOC_Os01g55170,316,269,231,53,39,51,90,75,77,1,1,1,0,0,0,0,10,0,17,17,14,1,0,0,1,3,3,5,8,8,3,3,2,1,0,1,31,36,28,305,351,293
Chr1-31738282,LOC_Os01g55170,6,5,4,1,1,2,16,8,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,4,4
Chr1-31738106,LOC_Os01g55170,20,13,6,6,2,7,2,1,3,0,0,1,3,2,2,1,1,2,1,1,1,0,0,0,2,0,2,7,1,3,1,2,0,0,0,0,1,4,5,7,8,8
Chr1-31737906,LOC_Os01g55170,12,18,4,17,20,20,0,0,5,2,0,0,1,3,3,2,3,0,1,4,4,0,0,1,3,1,2,4,4,3,3,4,3,0,1,1,3,5,2,18,19,16
Chr1+32225025,LOC_Os01g55940,6,1,1,15,6,9,16,3,26,2,1,0,15,9,1,28,32,25,58,62,61,36,44,38,39,44,45,54,50,58,162,146,163,1862,386,386,6,3,9,0,0,0
Chr1+32222296,LOC_Os01g55940,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,5,4,3,2,0,0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,1,2,1
Chr1+32225263,LOC_Os01g55940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,21,130,0,0,0,0,0,0
Chr1+32224974,LOC_Os01g55940,5,6,6,6,4,6,33,44,53,3,2,3,8,9,10,24,32,35,127,149,146,28,46,60,52,47,51,72,88,88,158,129,172,1368,226,649,10,9,11,0,0,0
Chr1+32225327,LOC_Os01g55940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,19,10,0,0,0,0,0,0,0
Chr1-32675900,LOC_Os01g56640,8,7,6,5,3,3,7,3,7,5,3,3,10,13,14,11,17,16,8,8,10,3,3,4,4,4,7,2,5,1,5,4,3,22,53,20,3,2,2,3,3,3
Chr1-32676197,LOC_Os01g56640,21,1,1,1,4,7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,1,1,2,2,0
Chr1-32676121,LOC_Os01g56640,10,7,6,0,6,6,4,2,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,8,9,8
Chr1-32676327,LOC_Os01g56640,24,33,33,42,35,34,19,1,21,5,4,12,30,18,15,8,15,11,8,6,8,6,4,12,2,10,13,1,15,16,8,7,2,4,3,6,16,14,19,38,36,36
Chr1-32676066,LOC_Os01g56640,34,31,20,21,17,11,14,23,37,14,22,20,24,21,41,37,21,31,6,19,18,8,11,12,4,8,7,13,13,13,12,6,7,7,6,4,27,33,25,22,22,18
Chr1+33914622,LOC_Os01g58670,51,56,55,48,52,36,20,6,5,0,1,2,0,0,0,0,0,0,0,0,0,4,5,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,52,58,73
Chr1+33915420,LOC_Os01g58670,5,3,7,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,3,0,0,0,9,10,8
Chr1+33918601,LOC_Os01g58670,158,158,171,230,306,303,58,69,72,5,2,5,0,0,0,0,0,0,0,0,0,11,13,11,0,0,0,0,0,0,14,10,10,8,19,14,0,0,0,110,105,100
Chr1-35514256,LOC_Os01g61420,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,4,0,0,0,0,0,1
Chr1-35513520,LOC_Os01g61420,3,3,3,2,1,3,5,0,4,2,2,1,8,10,7,2,3,4,2,1,2,6,2,1,0,0,0,0,0,1,0,1,2,2,11,1,1,1,1,1,1,1
Chr1-35513647,LOC_Os01g61420,18,2,3,0,2,0,4,6,3,1,2,4,7,5,10,5,1,2,3,7,7,1,2,0,0,0,0,2,2,2,2,1,1,19,27,8,1,1,1,7,8,6
Chr1-35516422,LOC_Os01g61420,3,1,0,8,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,22,48,0,0,1,1,7,3
Chr1-35514137,LOC_Os01g61420,5,1,0,0,1,1,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1
Chr1-35513423,LOC_Os01g61420,1,2,1,0,0,4,1,1,1,1,1,0,1,3,4,0,4,7,1,1,2,3,2,2,1,1,2,0,0,1,2,2,3,0,0,0,1,1,2,0,1,0
Chr1-35515371,LOC_Os01g61420,33,29,22,20,33,20,62,14,29,61,63,58,50,43,53,36,43,28,43,47,40,40,40,41,41,37,24,30,32,34,27,32,32,781,845,717,62,69,48,21,21,21
Chr1+36358535,LOC_Os01g62780,27,26,9,12,46,19,4,6,0,1,12,5,10,15,18,20,12,28,16,15,14,8,9,8,6,3,5,14,19,18,18,16,17,2,3,15,13,15,15,21,20,18
Chr1+36358627,LOC_Os01g62780,30,29,30,43,23,15,16,26,11,46,33,68,66,52,54,74,57,52,40,42,51,32,49,43,22,24,25,54,42,63,37,32,39,9,2,0,34,29,39,7,8,16
Chr1-37043633,LOC_Os01g63854,7,10,7,14,12,6,2,8,1,87,68,89,144,164,135,71,75,141,69,47,64,117,94,169,41,82,32,61,61,67,59,80,96,51,51,54,62,72,62,3,3,4
Chr1-37049115,LOC_Os01g63854,1,0,0,2,2,16,2,0,2,26,27,28,21,21,20,20,20,14,17,17,16,31,72,39,15,14,14,13,12,13,18,15,17,1,4,3,7,28,5,1,1,1
Chr1-37043453,LOC_Os01g63854,0,0,0,0,2,1,0,0,0,6,4,8,4,3,0,10,13,19,3,1,3,2,7,5,1,7,5,2,2,0,4,7,5,0,0,0,3,0,2,0,1,0
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,3,2,0,0,0,0,0,0
Chr1-37048729,LOC_Os01g63854,0,2,2,0,3,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,3,3,3,0,0,0,1,1,2,3,1,1,0,0,0,1,0,0,1,0,0
Chr1-37527313,LOC_Os01g64690,0,0,0,5,2,7,2,0,0,0,0,0,0,0,0,3,3,5,1,0,0,3,3,2,3,2,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0
Chr1-37527409,LOC_Os01g64690,106,43,113,81,93,120,89,84,82,109,100,98,92,86,82,90,97,92,57,80,69,145,173,163,106,107,107,105,87,117,55,63,80,72,78,74,109,134,97,130,120,123
Chr1+37840289,LOC_Os01g65210,0,0,0,0,0,0,0,0,0,28,36,51,0,0,0,2,0,2,1,0,0,3,5,1,2,3,0,1,0,0,0,3,0,53,91,26,1,1,2,0,0,0
Chr1+37840366,LOC_Os01g65210,0,0,0,7,6,4,0,0,0,90,97,84,2,2,2,0,5,7,5,4,5,14,14,17,2,2,1,7,7,5,0,1,1,0,0,0,3,3,2,0,0,0
Chr1-39690168,LOC_Os01g68320,1,0,0,3,11,4,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,28,3,11,1,0,2,1,0,1
Chr1-39689371,LOC_Os01g68320,4,0,11,5,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
Chr1-39688324,LOC_Os01g68320,1136,1113,1081,919,946,975,1690,736,1127,320,350,340,617,628,719,985,923,938,711,639,728,198,218,250,893,914,887,426,460,398,524,512,506,333,288,189,672,784,679,930,939,921
Chr1-39690099,LOC_Os01g68320,8,0,3,0,0,0,7,7,2,0,1,5,0,0,0,1,0,0,0,0,0,2,2,2,7,3,6,0,2,2,2,1,3,59,22,2,0,1,2,0,3,3
Chr1-39689920,LOC_Os01g68320,1,26,1,7,1,2,4,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,4,0,3,0,0,0,2,1,0,0,0,0,1,2,1,1,1,1
Chr1+39863436,LOC_Os01g68640,0,7,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1,2,6,9,5,12,7,16,2,9,2,3,3,4,2,1,1
Chr1+39863578,LOC_Os01g68640,1,1,3,0,0,0,8,12,6,2,7,12,0,7,0,0,0,0,3,1,1,3,3,2,4,2,5,6,5,5,5,8,6,0,0,0,6,5,3,1,2,1
Chr1-40496188,LOC_Os01g70010,23,38,35,31,20,34,21,22,26,6,7,8,1,4,15,22,13,9,14,14,13,8,9,7,1,4,5,19,0,0,14,20,19,25,68,53,19,13,18,105,82,73
Chr1-40497684,LOC_Os01g70010,0,1,0,0,0,0,0,4,2,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,2,2,2,1,2,0
Chr1+41819287,LOC_Os01g72080,94,86,80,97,77,74,153,204,166,332,268,353,358,355,350,630,496,663,458,463,462,299,303,302,1353,1284,1376,1795,1881,1445,811,852,781,3084,1430,4905,1552,1468,1498,29,40,27
Chr1+41819758,LOC_Os01g72080,6,0,3,5,2,0,2,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,2,1,0,3,2,2,0,4,1,0,0,0,0,0,0,1,1,3
Chr1-42163746,LOC_Os01g72670,10,7,11,3,15,9,0,5,5,0,0,0,0,4,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,44,11,70,0,1,0,2,3,5
Chr1-42162385,LOC_Os01g72670,0,0,0,0,0,3,3,0,3,0,1,0,9,5,4,4,1,5,7,9,6,0,0,0,1,0,2,7,5,7,4,1,1,12,9,1,3,4,3,1,1,0
Chr1-42162600,LOC_Os01g72670,39,36,22,43,43,33,14,10,10,1,2,1,0,1,16,36,31,37,54,62,51,1,3,2,1,4,6,34,35,35,52,58,49,40,0,15,43,53,48,10,17,14
Chr1-42774875,LOC_Os01g73840,0,0,1,0,0,0,7,11,18,5,11,8,0,1,2,0,0,0,6,4,6,8,8,8,2,2,3,30,29,26,137,108,147,65,31,120,23,23,25,14,13,15
Chr1-42775037,LOC_Os01g73840,4,3,2,0,0,0,3,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,7,5,8,68,56,36,325,84,116,9,9,3,7,5,4
Chr1-42775253,LOC_Os01g73840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,26,0,0,0,0,0,0
Chr2+403412,LOC_Os02g01720,72,69,65,44,33,40,70,83,83,162,172,149,293,397,331,235,221,205,206,155,185,104,110,97,65,73,49,100,96,107,186,165,198,215,214,186,56,55,50,40,40,40
Chr2+403730,LOC_Os02g01720,11,8,10,23,25,19,2,4,4,2,4,10,5,1,6,5,4,4,3,1,0,3,4,0,2,2,1,1,5,1,5,5,4,0,1,0,2,2,0,12,13,15
Chr2+748340,LOC_Os02g02275,2,1,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,1,1,5,5,4,1,0,0,9,12,8,82,69,55,57,69,0,1,0,1,0,0,0
Chr2+747516,LOC_Os02g02275,1,0,3,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,3,1,0,1,1,2,7,2,0,0,1,0,0,0
Chr2-1166267,LOC_Os02g02980,53,20,12,29,31,34,17,8,7,15,18,20,85,83,59,45,48,54,37,21,22,7,9,8,7,7,7,28,33,29,20,27,23,1,0,1,19,21,19,32,28,31
Chr2-1166190,LOC_Os02g02980,4,9,1,3,2,2,4,0,0,14,15,15,56,76,67,29,55,29,22,35,19,8,10,10,10,10,6,24,27,25,22,34,21,8,68,2,20,23,21,7,1,6
Chr2-1166080,LOC_Os02g02980,0,0,0,0,0,0,0,0,0,1,1,7,11,12,6,8,8,9,8,5,4,4,3,2,2,2,3,1,8,2,0,0,1,0,0,1,0,0,1,0,0,0
Chr2-3145010,LOC_Os02g06300,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,6,12,2,0,0,1,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2,0,0,1,1
Chr2-3144479,LOC_Os02g06300,1,0,0,0,3,0,0,0,0,2,1,2,6,8,8,5,5,5,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,4,2,0,5,10,13
Chr2-3144192,LOC_Os02g06300,7,9,8,14,2,11,2,3,7,5,12,6,45,44,49,26,40,31,10,9,12,0,0,1,0,0,0,2,6,4,0,1,0,0,0,0,0,0,1,21,4,14
Chr2-3144084,LOC_Os02g06300,9,16,17,23,10,4,17,16,10,199,213,211,468,552,499,325,418,336,96,101,104,11,11,11,4,4,4,62,53,48,40,39,42,10,85,33,52,53,54,38,44,42
Chr2+4133649,LOC_Os02g07880,32,20,40,29,34,52,38,22,16,5,9,7,6,3,3,12,10,11,9,9,8,6,6,7,10,14,11,13,3,11,25,26,25,33,17,8,23,25,26,35,40,33
Chr2+4133794,LOC_Os02g07880,24,28,28,25,40,42,59,47,35,38,35,39,32,40,55,35,34,31,51,67,45,55,53,50,49,48,54,25,34,29,55,70,74,23,31,0,39,42,38,8,22,30
Chr2+4974794,LOC_Os02g09690,0,4,1,0,0,0,6,7,1,0,3,0,1,4,1,1,2,1,5,5,6,3,0,2,0,2,0,6,6,3,5,5,5,1,1,1,10,11,10,2,0,3
Chr2+4982109,LOC_Os02g09690,7,0,9,7,6,4,1,0,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,5,0,0
Chr2+4975880,LOC_Os02g09690,1,4,0,0,1,0,0,2,1,0,1,0,1,2,2,0,2,1,2,1,1,1,1,1,0,3,1,1,1,2,0,0,1,0,1,6,0,0,0,1,0,0
Chr2+4984759,LOC_Os02g09690,5,0,5,0,0,3,0,0,1,4,4,4,8,18,10,20,14,17,4,4,4,2,2,0,6,5,10,0,2,1,9,4,6,8,26,0,5,3,3,0,0,1
Chr2+4980437,LOC_Os02g09690,4,4,0,1,1,0,2,4,1,1,0,1,7,6,1,8,1,13,11,9,7,1,1,0,1,2,0,1,1,3,2,1,6,17,21,8,6,5,7,1,1,1
Chr2+4980328,LOC_Os02g09690,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,1,1,0,3,1,4,2,2,1,1,1,1,0,0,0,1,0,0,25,39,57,4,0,1,0,0,0
Chr2+4984720,LOC_Os02g09690,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,2,3,0,1,0,3,2,2,0,0,0,0,0,0,1,1,1,1,2,1,2,2,1,0,0,0
Chr2+4984585,LOC_Os02g09690,12,12,14,18,24,27,20,7,32,4,7,17,49,45,36,38,59,63,23,28,29,7,3,7,30,16,20,15,16,13,69,60,67,29,22,21,28,28,26,29,32,33
Chr2+4983210,LOC_Os02g09690,3,2,4,1,0,0,0,0,0,2,3,7,2,6,5,5,5,6,5,4,5,0,0,0,1,1,1,2,6,6,3,4,2,1,0,1,9,1,7,0,0,0
Chr2+4982431,LOC_Os02g09690,7,18,11,27,37,26,7,7,5,3,2,5,6,5,6,0,1,2,0,0,1,3,1,1,1,1,1,3,0,2,1,1,1,0,0,0,2,1,3,17,0,1
Chr2+4982187,LOC_Os02g09690,7,0,3,15,20,5,4,11,6,0,0,0,0,0,0,0,0,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1
Chr2+7645960,LOC_Os02g14000,15,13,17,17,16,15,13,7,5,4,5,3,3,2,2,2,2,2,5,4,4,5,6,5,3,4,4,4,0,1,3,4,1,6,2,7,0,1,4,11,5,2
Chr2+7646131,LOC_Os02g14000,75,59,46,53,58,66,166,59,137,78,78,82,100,90,99,112,109,106,84,110,82,108,85,108,64,93,72,89,53,47,53,42,61,9,51,73,53,54,53,38,29,26
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,314,334,344,309,257,297,115,129,102,240,227,230,92,113,134,104,120,105,218,231,231,312,307,320,186,182,188,183,146,160,245,310,308,299,292,317,103,108,100,221,270,227
Chr2-11159684,LOC_Os02g19140,12,11,16,17,21,32,9,10,10,2,4,0,0,0,0,0,1,0,1,1,3,2,3,2,2,1,2,2,2,2,0,0,2,0,0,0,0,0,0,5,3,4
Chr2+13870115,LOC_Os02g23939,3,3,2,2,2,4,0,0,0,2,0,2,0,0,0,2,1,1,2,1,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,11,14
Chr2+13870037,LOC_Os02g23939,0,0,0,4,7,3,0,0,0,0,0,0,2,4,0,0,2,0,0,0,2,0,0,1,0,0,0,1,1,0,1,1,4,0,0,0,3,2,1,6,6,1
Chr2+13870659,LOC_Os02g23939,1,16,10,11,10,14,0,1,0,15,9,13,11,12,16,22,17,17,14,12,11,0,0,3,8,5,5,8,7,14,11,12,11,11,6,8,11,14,6,6,6,6
Chr2+14012830,LOC_Os02g24190,5,2,3,0,0,0,0,0,0,5,8,11,0,0,2,3,0,3,0,3,1,6,2,4,0,6,8,2,2,3,5,6,4,0,0,0,2,3,2,0,0,0
Chr2+14011695,LOC_Os02g24190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,71,0,0,0,0,0,0
Chr2+14018123,LOC_Os02g24190,77,43,28,76,78,105,85,89,77,84,53,73,52,58,54,80,81,79,65,70,69,39,57,42,39,57,70,61,57,36,31,45,46,39,48,38,47,42,40,83,48,75
Chr2-16118919,LOC_Os02g27360,0,2,0,0,0,0,0,4,7,0,0,0,1,1,2,0,0,1,0,0,0,0,1,2,3,2,3,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0
