chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,imbibed_seed1,imbibed_seed2,imbibed_seed3,shoot1,shoot2,shoot3,leaf_20days1,leaf_20days2,leaf_20days3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3,embryo1,embryo2,embryo3
Chr1-5764499,LOC_Os01g10800,10,1,2,0,0,0,0,0,0,37,37,42,26,31,27,20,7,26,4,4,4,3,5,4,1,0,0,2,4,4,1,1,2,1,0,3,4,4,3,0,0,3
Chr1-5764625,LOC_Os01g10800,1,1,3,8,6,12,8,11,6,5,8,3,9,7,7,6,8,8,5,2,7,2,2,2,3,3,4,2,4,2,0,0,2,16,13,7,1,1,1,0,1,0
Chr1-7100069,LOC_Os01g12830,21,34,23,3,0,60,56,82,52,864,775,763,930,935,893,490,506,683,292,280,270,275,295,323,115,250,293,254,248,220,188,163,211,83,93,111,132,145,122,31,29,34
Chr1-7100989,LOC_Os01g12830,2,1,4,1,1,2,6,7,5,12,13,12,9,8,8,6,12,13,5,5,5,10,4,4,5,4,3,6,6,6,1,3,5,2,1,2,5,2,8,4,4,2
Chr1+7271210,LOC_Os01g13060,17,1,18,8,22,7,39,43,44,66,53,64,61,133,82,96,103,100,50,64,76,50,46,59,79,68,70,20,36,32,61,63,52,71,57,58,32,40,51,14,9,6
Chr1+7273478,LOC_Os01g13060,2,2,2,14,9,1,1,1,2,3,4,1,0,2,1,1,0,0,1,0,0,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4
Chr1+7273036,LOC_Os01g13060,13,8,13,2,5,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5,5
Chr1+7273124,LOC_Os01g13060,57,66,31,30,99,43,17,19,17,19,26,27,24,33,22,34,28,36,21,33,2,9,22,21,6,6,6,5,19,26,12,15,8,6,8,2,11,12,8,21,21,22
Chr1-7652973,LOC_Os01g13660,0,1,0,0,0,0,3,8,7,17,20,17,10,25,14,6,7,7,4,5,12,17,13,14,4,22,18,12,14,12,5,8,4,41,2,20,20,13,18,3,2,0
Chr1-7653851,LOC_Os01g13660,0,1,1,0,0,0,0,0,0,6,3,2,7,5,8,1,0,1,6,2,4,5,3,3,1,2,2,3,1,2,0,0,1,3,1,12,10,8,4,0,0,0
Chr1-7654400,LOC_Os01g13660,0,0,0,0,0,2,6,7,1,1,0,2,2,3,3,2,1,0,3,0,4,1,2,0,2,1,2,1,4,9,2,3,3,0,0,0,5,2,0,1,1,2
Chr1-7654050,LOC_Os01g13660,77,41,82,26,16,16,64,67,47,36,39,35,69,73,60,58,79,74,106,105,116,26,22,17,31,29,27,109,125,94,102,100,69,58,71,84,172,167,159,68,21,109
Chr1-8475660,LOC_Os01g15110,403,159,398,374,340,368,292,267,210,98,127,80,182,154,179,214,259,173,150,147,150,96,83,101,248,211,247,184,137,203,628,604,592,12869,7322,5173,96,87,94,196,200,180
Chr1-8475521,LOC_Os01g15110,287,192,214,95,45,222,272,200,325,273,253,282,486,459,567,334,214,225,253,303,278,290,305,275,419,417,429,176,203,164,449,348,360,831,1114,883,112,135,141,199,194,204
Chr1+8792379,LOC_Os01g15630,308,356,351,383,354,367,153,166,170,117,117,115,229,226,214,203,202,195,154,149,180,147,137,152,219,218,213,150,152,155,170,130,142,13,78,48,168,218,191,321,318,319
Chr1+8787268,LOC_Os01g15630,4,0,6,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Chr1+8791159,LOC_Os01g15630,6,6,6,18,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,4,9,9
Chr1-9567532,LOC_Os01g16810,11,7,14,5,8,15,17,9,9,0,1,1,0,0,0,0,0,0,0,0,0,5,3,1,23,16,23,2,1,0,1,1,0,0,0,0,2,2,3,14,0,0
Chr1-9567625,LOC_Os01g16810,44,28,50,41,46,30,27,17,13,1,2,0,2,1,0,1,0,0,0,0,1,4,4,5,48,48,53,3,2,3,4,3,5,60,97,22,12,12,12,16,16,16
Chr1-9567738,LOC_Os01g16810,5,8,4,7,7,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,7,0,2,1,0,0,0,0,0,0,1,0,4,6,5
Chr1-9968257,LOC_Os01g17330,5,2,7,1,0,0,0,2,1,1,0,0,4,1,2,0,0,0,0,1,3,1,0,0,5,2,2,0,1,0,2,0,1,14,2,7,0,0,0,3,0,0
Chr1-9967248,LOC_Os01g17330,29,28,36,32,34,52,28,33,33,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,11,11,7,0,0,1,0,0,0,0,0,0,0,0,0,22,22,22
Chr1-10999561,LOC_Os01g19450,6,18,16,1,10,14,4,36,53,18,19,27,4,3,12,6,5,0,5,4,6,27,25,22,20,21,19,8,11,12,9,8,1,1,0,0,8,8,7,24,24,24
Chr1-10999404,LOC_Os01g19450,28,80,133,81,84,91,274,365,336,581,590,579,160,161,151,145,152,159,194,193,191,533,639,541,437,407,405,186,135,165,105,97,107,120,25,159,174,153,190,115,87,74
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,23,19,27,0,0,0,0,0,0,0,0,0,0,0,0,16,16,8,8,8,9,12,8,6,0,0,0,0,0,0,5,3,6,14,11,16
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,24,50,0,0,0,0,0,0
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,29,30,38,0,0,0,0,0,0,0,0,0,0,0,0,11,9,4,6,4,6,7,9,5,0,0,0,0,0,0,4,4,5,25,27,23
Chr1-11544532,LOC_Os01g20730,19,18,16,20,49,17,60,35,23,20,45,23,0,0,0,0,0,0,2,1,0,7,3,7,8,8,9,22,1,9,17,11,15,0,0,0,13,14,15,9,13,13
Chr1-11544446,LOC_Os01g20730,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,0,1
Chr1-11544301,LOC_Os01g20730,15,13,10,17,12,2,10,9,11,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,4,8,10,8,22,18,8,5,3,1,6,6,6
Chr1-12704551,LOC_Os01g22600,4,2,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1
Chr1-12704882,LOC_Os01g22600,571,522,370,542,435,474,109,115,143,9,8,15,72,95,77,68,66,69,54,71,64,19,16,20,22,32,35,71,69,65,33,15,36,51,39,27,51,49,53,789,793,790
Chr1-12704755,LOC_Os01g22600,168,242,277,217,231,223,82,98,47,14,23,14,114,98,101,124,138,128,90,77,86,17,22,20,30,32,32,57,46,50,75,80,69,45,63,102,65,110,7,252,288,278
Chr1+13772285,LOC_Os01g24420,2,0,5,2,0,1,0,2,3,0,1,1,3,3,5,6,0,6,0,2,2,2,4,1,3,1,1,1,1,1,0,0,0,3,18,9,1,1,1,0,0,0
Chr1+13772151,LOC_Os01g24420,0,0,0,0,0,0,0,0,0,2,4,4,9,26,18,31,32,24,151,152,146,12,11,10,57,53,53,4,5,0,0,0,0,68,45,14,0,0,0,0,0,0
Chr1-16468756,LOC_Os01g29390,14,15,14,29,32,24,11,17,16,53,25,40,44,32,21,27,26,29,17,17,17,44,23,30,12,12,11,9,15,14,11,5,8,1,2,0,21,25,25,16,35,44
Chr1-16476983,LOC_Os01g29390,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,0,3,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,4,0,9,0,0,0,0,0,0
Chr1-16468894,LOC_Os01g29390,2,2,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,4
Chr1+16493826,LOC_Os01g29409,15,4,8,31,30,31,6,14,12,11,10,11,31,24,26,32,39,35,23,9,19,2,2,3,4,5,4,15,5,17,4,16,6,0,0,0,5,9,7,27,27,27
Chr1+16493691,LOC_Os01g29409,29,37,33,34,48,31,14,1,4,22,20,19,81,64,97,54,51,47,29,27,28,10,3,6,12,8,6,9,11,9,25,13,12,10,18,19,15,16,17,47,45,37
Chr1+16494018,LOC_Os01g29409,2,0,1,0,3,0,0,0,0,0,0,0,4,3,10,0,1,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Chr1+16494249,LOC_Os01g29409,1,17,0,2,10,6,0,0,0,0,0,0,2,0,0,1,1,1,2,0,4,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,2,1,3,3,3
Chr1+16493875,LOC_Os01g29409,1,12,10,21,43,25,12,12,10,18,18,13,40,40,40,31,30,30,18,14,18,6,4,4,5,9,7,15,12,15,9,9,12,15,13,11,10,8,11,19,18,8
Chr1+16494333,LOC_Os01g29409,13,5,4,7,10,7,0,0,1,0,0,0,1,0,0,3,3,3,1,0,1,1,1,1,1,0,0,3,2,1,4,4,1,0,0,0,1,0,1,8,9,12
Chr1+16494419,LOC_Os01g29409,3,4,3,0,12,17,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,46,0,0,0,3,3,1
Chr1+17793157,LOC_Os01g32439,4,9,2,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
Chr1+17794584,LOC_Os01g32439,2,2,10,0,0,0,0,0,1,11,14,9,0,7,1,6,2,6,1,0,2,0,0,0,3,3,2,0,0,1,0,1,0,0,0,0,1,1,3,0,0,0
Chr1+17794513,LOC_Os01g32439,24,8,30,17,19,15,17,17,19,16,33,31,22,21,22,11,31,32,17,18,16,1,1,2,14,17,13,3,4,6,14,13,14,3,2,2,4,4,5,4,13,9
Chr1+18417443,LOC_Os01g33450,139,95,136,83,128,138,252,190,131,145,139,136,84,89,80,66,60,72,105,103,95,227,215,202,147,133,118,96,88,111,173,158,169,62,119,105,217,171,217,141,143,142
Chr1+18418706,LOC_Os01g33450,38,35,32,24,28,38,24,53,28,16,13,7,7,11,11,13,14,19,8,5,12,19,25,15,21,17,17,6,4,7,11,6,10,7,2,5,17,15,21,7,26,33
Chr1+18418633,LOC_Os01g33450,1,1,5,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1
Chr1+18772507,LOC_Os01g34080,5,6,5,0,1,4,3,6,0,4,5,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5,1,1
Chr1+18772198,LOC_Os01g34080,25,2,25,9,2,3,5,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
Chr1+18772021,LOC_Os01g34080,0,0,5,0,4,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1
Chr1+18772891,LOC_Os01g34080,7,8,11,4,7,2,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,5,0,4
Chr1+18774186,LOC_Os01g34080,30,42,37,51,53,38,60,57,62,32,29,27,20,16,13,15,19,26,15,18,17,14,9,10,1,4,4,20,25,30,10,7,9,0,0,0,27,30,29,64,37,58
Chr1+18774408,LOC_Os01g34080,5,6,7,4,9,9,48,39,36,9,9,11,3,9,6,8,8,7,7,2,6,4,4,4,0,2,1,14,6,19,1,6,2,8,34,15,9,11,12,4,22,19
Chr1-19178309,LOC_Os01g34780,76,95,104,88,53,70,39,37,26,21,23,22,27,37,28,26,26,26,31,32,24,24,32,20,24,25,21,20,27,25,25,27,20,72,30,43,71,53,69,86,84,94
Chr1-19179877,LOC_Os01g34780,1,12,16,7,6,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,2,0,0,0,1,1,2,0,0,0
Chr1-19180458,LOC_Os01g34780,3,4,2,13,5,0,1,1,3,1,0,4,3,1,1,3,0,4,1,0,0,6,5,2,0,5,1,2,1,0,2,3,2,46,15,140,2,11,0,7,4,0
Chr1-19181120,LOC_Os01g34780,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,35,147,0,0,0,0,0,0
Chr1-19177781,LOC_Os01g34780,82,54,55,58,42,42,39,27,60,13,34,51,35,52,35,38,40,44,49,45,38,39,22,36,25,16,30,15,17,15,30,19,29,7,9,8,31,33,41,57,55,55
Chr1-19181406,LOC_Os01g34780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,13,0,0,0,0,0,0
Chr1-19178588,LOC_Os01g34780,16,26,20,29,30,33,9,6,15,21,19,8,12,16,9,16,15,25,24,24,19,20,12,17,15,18,19,28,20,24,27,24,20,23,4,5,17,13,26,15,17,17
Chr1-19180700,LOC_Os01g34780,30,43,40,69,59,63,14,12,49,32,30,40,25,26,31,18,28,34,46,34,28,45,27,27,24,29,34,51,54,31,39,49,64,10,54,17,67,65,70,61,58,1
Chr1+20818589,LOC_Os01g37280,6,4,1,3,2,0,4,2,7,0,0,1,0,1,0,1,1,4,0,1,0,0,0,0,1,0,0,1,2,3,7,4,4,0,0,0,4,5,5,11,14,10
Chr1+20820385,LOC_Os01g37280,11,12,13,7,3,5,3,4,3,13,7,6,7,14,22,15,14,14,19,26,13,6,3,4,2,3,9,3,7,0,17,15,20,8,12,7,25,15,14,12,10,10
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,0,0,0,0,1,0,0,4,3,3,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Chr1+20820347,LOC_Os01g37280,13,10,7,2,0,1,3,2,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,1,1,1,4,5,2
Chr1+22985701,LOC_Os01g40650,7,12,2,3,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,2,1,2,3,3,9,6,6,20,90,34,1,0,2,10,17,1
Chr1+22985907,LOC_Os01g40650,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,1,0,1,3,1,1,7,5,7,2,5,4,3,3,4,3,1,7,0,0,0,1,1,3,0,0,0
Chr1+22985788,LOC_Os01g40650,23,1,21,39,29,21,14,44,41,125,95,104,50,62,39,31,43,41,46,49,48,233,221,256,197,158,160,62,66,66,226,230,235,237,412,262,57,58,59,22,22,22
Chr1+24435862,LOC_Os01g42950,17,5,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
Chr1+24429087,LOC_Os01g42950,3,4,5,3,2,4,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,4,2,2,2,0,0,4,2,2,1,1,1,0,0,0,2,2,2,0,0,0
Chr1+24436527,LOC_Os01g42950,3,1,2,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,0,2,0,0,0,1,0,2,1,1,2
Chr1+24436018,LOC_Os01g42950,85,96,99,109,115,75,71,71,102,68,73,74,57,40,50,113,105,118,102,93,106,58,55,57,83,150,108,54,75,62,91,97,94,115,85,137,92,96,98,155,144,160
Chr1+24488478,LOC_Os01g42990,0,1,0,0,2,3,0,0,0,1,1,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,2,2,3,0,0,0,0,0,0,6,3,0,0,0,2
Chr1+24485865,LOC_Os01g42990,16,10,15,12,20,19,49,36,48,20,9,0,3,5,2,1,3,3,8,10,5,24,37,33,19,10,16,9,11,11,34,57,22,0,1,3,47,43,43,44,44,28
Chr1+25003233,LOC_Os01g43630,57,54,65,31,25,25,45,48,40,22,73,63,56,52,56,59,57,55,52,52,64,61,65,60,65,94,59,55,53,55,96,99,93,47,52,81,71,83,80,58,59,59
Chr1+25003415,LOC_Os01g43630,0,0,0,1,0,0,3,3,3,6,10,6,1,3,2,2,4,2,7,6,6,11,10,13,16,16,16,0,3,8,3,3,3,0,0,0,2,16,9,6,1,6
Chr1+25704308,LOC_Os01g45274,5,7,5,8,15,0,3,5,10,1,0,0,3,15,11,1,7,0,7,1,3,0,0,0,0,1,2,1,3,1,1,3,0,0,0,0,0,1,0,0,2,2
Chr1+25705072,LOC_Os01g45274,56,60,29,151,71,226,259,109,177,11181,11640,11912,33318,32433,29802,17682,17009,16607,2082,2063,2026,374,498,447,495,435,556,1213,1073,1040,3036,2853,3672,4104,3387,5307,172,174,187,54,52,53
Chr1-27309331,LOC_Os01g47740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,103,75,0,0,0,0,0,0
Chr1-27303385,LOC_Os01g47740,93,110,107,63,98,71,55,106,90,15,17,16,18,15,18,16,15,16,17,18,16,19,14,20,42,30,31,82,70,88,380,351,400,1082,501,657,17,32,28,114,82,96
Chr1-27303263,LOC_Os01g47740,130,147,83,197,181,262,183,249,239,71,73,76,83,83,75,84,89,85,81,94,75,65,70,39,84,81,83,217,219,224,640,723,661,2765,4371,2685,49,49,46,30,40,34
Chr1-27304939,LOC_Os01g47740,1,1,0,5,11,10,1,3,1,0,0,1,0,2,2,0,0,0,0,0,0,2,1,2,1,1,1,2,0,1,3,0,0,0,13,5,0,0,0,0,1,0
Chr1-28583151,LOC_Os01g49770,16,14,1,1,14,11,12,32,17,166,152,159,150,102,110,121,128,133,121,130,127,59,71,49,105,104,111,41,54,68,29,28,49,112,96,49,76,84,74,3,10,9
Chr1-28582823,LOC_Os01g49770,7,2,5,4,3,9,3,2,1,5,1,4,1,0,1,6,6,5,3,3,2,6,1,4,3,11,15,0,2,0,1,2,2,0,0,0,2,2,2,0,4,3
Chr1+29575707,LOC_Os01g51430,0,0,0,4,3,3,11,6,3,2,4,2,6,0,6,7,5,6,3,4,4,8,7,8,8,4,15,4,8,0,2,3,3,0,8,1,5,5,6,0,0,0
Chr1+29575852,LOC_Os01g51430,9,7,8,9,8,12,13,4,7,5,10,4,6,7,6,3,4,1,3,2,2,6,6,6,20,8,13,3,4,4,11,14,7,45,36,20,1,0,3,5,1,0
Chr1+29575619,LOC_Os01g51430,0,2,0,9,7,8,16,15,14,5,6,2,4,8,3,5,5,2,6,9,12,3,9,6,10,15,10,3,2,3,1,3,2,0,0,0,10,10,7,0,0,0
Chr1+29575521,LOC_Os01g51430,0,0,0,0,1,1,4,7,6,4,1,0,2,7,6,1,1,5,4,3,3,0,1,2,7,7,3,1,2,2,0,4,0,0,0,0,6,6,8,0,0,0
Chr1-30366096,LOC_Os01g52780,0,3,0,0,0,0,6,5,8,3,1,1,0,0,0,0,1,0,0,2,2,5,6,4,4,2,1,0,1,1,0,1,0,0,0,0,12,8,11,4,3,2
Chr1-30365825,LOC_Os01g52780,2,0,0,0,0,0,1,0,0,1,2,3,1,1,1,0,0,0,0,0,0,1,2,1,2,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Chr1-30364030,LOC_Os01g52780,0,0,1,0,0,0,0,0,0,17,26,15,5,7,6,0,0,0,3,4,3,24,25,16,28,34,45,2,0,0,0,0,0,7,18,8,0,0,0,1,1,1
Chr1-31737906,LOC_Os01g55170,12,18,4,17,20,20,0,0,5,2,0,0,1,3,3,2,3,0,1,4,4,0,0,1,3,1,2,4,4,3,3,4,3,0,1,1,3,5,2,18,19,16
Chr1-31741622,LOC_Os01g55170,316,269,231,53,39,51,90,75,77,1,1,1,0,0,0,0,10,0,17,17,14,1,0,0,1,3,3,5,8,8,3,3,2,1,0,1,31,36,28,305,351,293
Chr1-31738282,LOC_Os01g55170,6,5,4,1,1,2,16,8,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,4,4
Chr1-31738106,LOC_Os01g55170,20,13,6,6,2,7,2,1,3,0,0,1,3,2,2,1,1,2,1,1,1,0,0,0,2,0,2,7,1,3,1,2,0,0,0,0,1,4,5,7,8,8
Chr1-32580938,LOC_Os01g56510,75,92,90,66,47,49,31,18,24,31,16,22,28,23,21,30,22,25,27,28,21,12,7,10,13,13,17,10,16,15,11,28,10,44,1,22,28,29,34,62,20,73
Chr1-32580715,LOC_Os01g56510,41,55,41,37,81,43,12,11,13,48,53,44,40,25,55,56,45,46,35,36,35,21,14,21,10,11,12,25,27,26,10,9,11,2,0,0,20,20,20,55,55,55
Chr1-32585325,LOC_Os01g56510,6,5,10,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
Chr1+33642387,LOC_Os01g58194,12,8,9,15,8,24,18,18,17,8,13,1,1,1,9,2,6,1,42,51,43,1,7,8,0,3,4,3,7,25,0,3,1,19,27,25,2,0,1,6,8,5
Chr1+33650930,LOC_Os01g58194,13,17,18,31,32,3,14,17,13,33,34,8,2,7,16,26,27,29,179,139,167,15,13,4,12,12,12,28,31,33,0,0,1,16,12,11,6,4,2,5,11,12
Chr1+33650850,LOC_Os01g58194,0,1,0,3,3,0,7,2,6,5,7,2,3,1,0,5,4,4,15,16,16,3,2,0,4,5,6,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33915420,LOC_Os01g58670,5,3,7,9,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,12,3,0,0,0,9,10,8
Chr1+33914622,LOC_Os01g58670,51,56,55,48,52,36,20,6,5,0,1,2,0,0,0,0,0,0,0,0,0,4,5,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,52,58,73
Chr1+33918601,LOC_Os01g58670,158,158,171,230,306,303,58,69,72,5,2,5,0,0,0,0,0,0,0,0,0,11,13,11,0,0,0,0,0,0,14,10,10,8,19,14,0,0,0,110,105,100
Chr1+34383051,LOC_Os01g59440,278,297,283,183,261,191,372,374,368,483,542,422,357,357,357,397,345,378,592,550,515,721,781,796,1243,1172,1183,370,457,384,204,204,210,74,263,153,396,392,367,398,386,394
Chr1+34382769,LOC_Os01g59440,1,1,0,5,1,0,0,0,0,3,2,2,0,0,0,0,3,1,3,1,0,4,4,2,2,1,0,12,20,25,1,1,0,0,0,0,0,0,0,8,4,2
Chr1+34379754,LOC_Os01g59440,15,9,17,15,13,8,9,21,15,2,4,7,0,0,0,1,3,2,3,2,1,3,2,3,5,10,7,1,1,4,4,3,4,0,0,0,4,3,4,3,4,1
Chr1-34550421,LOC_Os01g59730,29,24,25,16,19,6,53,51,53,8,10,9,7,0,4,0,2,0,0,0,2,80,88,82,21,22,20,11,16,23,30,21,23,0,0,0,30,26,31,24,20,15
Chr1-34551561,LOC_Os01g59730,2,7,9,2,5,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,44,15,31
