chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,endosperm1,endosperm2,endosperm3,endosperm4,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,shoot1,shoot2,shoot3,shoot4,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,stem_60days1,stem_60days2,stem_60days3,stem_60days4,root_5days1,root_5days2,root_5days3,root_5days4,root_60days1,root_60days2,root_60days3,root_60days4,husk1,husk2,husk3,husk4,anther1,anther2,anther3,anther4,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,pistil1,pistil2,pistil3,pistil4,embryo1,embryo2,embryo3,embryo4
Chr1+2795487,LOC_Os01g05830,473.1651477,363.0602792,548.3252261,446.9992224,272.0167431,274.1644493,385.1775269,401.0494524,72.60681842,7.82717805,81.70427452,89.19575819,8.355142825,13.81774766,8.179864573,10.71600408,20.9975817,23.53512542,22.55736457,13.77870722,6.417032677,7.772023252,16.7388131,6.892266844,8.123835017,13.50096987,9.568239795,6.521468907,14.57797062,7.062439166,12.95795036,17.33706511,12.90607475,13.37141361,12.51762057,12.01589091,9.004435927,9.73567128,9.931287973,13.34915042,52.76078971,54.93739133,53.32508315,45.38455532,0.893300455,62.62853069,207.591588,7.86886125,3.25107831,10.8822788,3.581133108,5.495271849,189.2905389,189.4250148,187.767214,189.9532523
Chr1-2830078,LOC_Os01g05900,27.20295391,38.53016543,21.31514563,16.84034663,30.17018451,28.06131245,34.60388277,3.710655828,8,8,8,8,7.055207165,4.971912379,4.879847943,3.521269753,1.754488316,1.222546597,4.880533121,2.125693422,0.231286995,1.149491085,2.584060515,0.156183574,1.619167025,1.911500443,2.166234839,2.324971186,1.314869341,2.904178933,1.798828268,2.73713314,1.040634189,0.065222752,3.207540263,1.267200422,2.63318869,1.092390965,1.535102819,1.123772278,0.677625172,0.967064513,0.928003969,0.965263714,4.565844784,13.19626172,3.621356274,5.847052982,1.272689757,1.523580004,3.288770743,3.206984771,27.26079698,18.58367574,20.76219539,24.83088591
Chr1-2820091,LOC_Os01g05900,64.67701397,67.43525073,69.72025681,68.92272376,103.6743937,75.24883119,68.0608988,68.60476902,73.0248701,45.08294485,52.51064653,55.82326036,126.6466165,137.485984,140.451341,140.3130892,29.74028537,36.88368549,32.27862296,28.46987483,31.47546166,33.998559,27.1145898,26.44059175,56.09565249,62.5917128,61.61334162,62.73741184,150.1392019,155.3323622,147.8619337,132.9437548,126.1185285,137.7343213,144.7986471,132.2495295,56.70424003,56.97410547,49.97144761,51.25253606,60.74185121,42.95095442,48.80115629,58.21074627,121.6501063,83.74235819,35.59344078,115.1938509,82.9685698,90.41693089,75.35791039,84.67280895,21.9325993,24.29477447,20.91582577,21.66692332
Chr1-2828357,LOC_Os01g05900,0.562454865,19.42526222,1.941492567,12.55522129,19.66011746,13.18620824,14.45452992,8.859800071,0,0,0,0,0.770247205,2.70882063,1.296066797,0.311747856,0,0,0,0,0.018362122,0.189038202,0.757349297,0.059017952,0,0,0,0,0,0,0,0,0,0,0,0,0.91577691,1.625607436,1.06680344,0.914914747,0,0,0,0,0,0,0,0,0,0,0,0,9.538030441,9.829463288,9.876910889,10.34151139
Chr1-2837849,LOC_Os01g05900,324.6217191,311.5156261,320.5918242,293.8010244,348.8971496,385.6033622,333.0015329,416.2788265,893.3592433,964.7442557,908.8442346,904.5643269,673.8861123,597.1451829,751.9909406,699.0795075,352.2246608,371.4006968,312.2545227,355.2473956,229.8930901,275.4091046,266.8006274,258.2285033,470.3878497,544.3386839,542.5881849,488.0925362,788.1554786,762.1438138,832.7896156,794.2186067,785.0018502,558.8385951,757.8638426,595.035077,482.4547814,443.7419298,455.9685167,344.8629548,470.8900255,494.0174322,510.361814,428.2141511,887.6103623,687.2587441,380.53364,609.9912057,396.9984697,321.2912732,412.3341591,406.6519528,218.7706618,202.1164786,153.5885357,154.9351249
Chr1+3648483,LOC_Os01g07590,5.257992315,8.03819669,17.33563848,5.114504058,1.078205278,0.437880189,4.066915794,0.163005121,3.556917336,2.963909193,3.564761792,3.432656529,0.753010113,0.08951554,1.909468609,0.653213614,0,0,0,0,3.432988975,3.360466325,3.959349543,6.534618706,3.098927221,2.807888633,2.869763021,4.215265579,1.230713351,6.874943488,6.067751009,7.836140252,0.926172414,2.25366279,2.693713698,0.187637004,8.426482689,4.324277079,6.622366829,6.520549086,1.692199809,2.438527219,1.103115028,1.978829909,3.588048817,6.404654133,3.084831188,6.155587407,11.38664398,12.75401192,11.89051852,12.96019913,5.837941034,1.955908814,4.093061573,4.135386215
Chr1+3650606,LOC_Os01g07590,30.00699412,28.68390551,29.15833726,23.98854373,21.45612874,17.99040373,16.23524169,19.30017499,0.565735163,3.26336078,8.171055444,1.269662768,21.97574204,28.66223089,23.34877868,35.04377189,19.49365405,13.78836001,18.15327394,8.852815038,95.62948869,99.09201386,86.65037265,74.06272967,78.71628933,91.57028636,50.39436313,81.18829959,2.93713211,1.957792794,1.016246755,3.045298131,4.695983454,5.003299333,1.545122334,2.647226506,20.2569052,21.81257842,24.85232024,21.78873832,3,3,3,3,5.40095598,1.144041194,5.040797997,0.143416457,12.32462744,9.164048404,14.37701526,8.096162789,45.2190975,33.9064653,35.63228746,43.56875052
Chr1+3648397,LOC_Os01g07590,13.27546315,17.89376088,8.513533989,12.60514967,3.260409973,30.92054492,5.709371668,2.471136758,7.33665225,21.67616544,8.566990967,16.73823262,2.708303455,0.747735182,1.409192141,2.621417864,11.35600517,11.86199778,7.300785891,14.30313505,5.291383791,4.256850681,3.732967103,4.547853551,4.229602443,5.839359428,5.871910477,4.302293271,10.56412743,4.964814305,3.929982489,6.891486868,3.266314554,1.327574785,0.787676242,0.185675483,10.37594994,8.618534641,10.69337922,10.3250296,4.844228198,4.6517146,4.175429618,4.384067893,0,0,0,0,22.0337504,22.45777254,21.26809963,20.87375057,25.82704031,27.27566998,26.58077691,25.06401371
Chr1+3650692,LOC_Os01g07590,0.134585261,0.385005029,0.768093542,0.411935194,6.915039018,1.014988538,9.245118893,1.004273315,4.43535784,1.224281566,1.858476189,2.006398888,2.514562315,6.825194703,3.457009496,0.874983222,0,0,0,0,8.364944851,10.68047644,8.395518421,10.37351018,5.770435546,7.07055071,6.024807792,6.461258133,0.000807172,0.272908407,0.546275246,0.235418965,0.168528112,1.643781293,0.852952397,1.05532492,0.445504576,3.062078301,3.663908924,2.095663754,0,0,0,0,0,0,0,0,1.53341713,2.030043086,1.260275619,1.866452669,6.247739351,1.362184326,3.920512043,0.335408951
Chr1-3671562,LOC_Os01g07630,1.272098687,1.650456154,0.503446301,0.877976351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542020914,0.483824594,0.312034081,0.566934553,0.605751509,0.506747582,0.4608708,0.425782545,0.924908377,0.79326294,0.70655248,0.482783523,1,1,1,1,3.137834635,6.604004067,10.15757392,47.87870053,0,0,0,0,0.815509591,0.137755765,1.157930376,0.580698825
Chr1-3667505,LOC_Os01g07630,16.51668218,38.81854298,19.65656849,0.32598954,17.90795214,18.89768762,27.58838248,37.56995623,12.42948336,26.70219853,36.23524592,30.57157264,81.22485996,79.37856733,80.56204255,73.49237695,22.97609215,26.71416341,6.482102114,32.72972133,17.10362353,12.11099094,16.98710238,12.27141218,32.0108381,22.86227507,24.8503083,23.30053773,49.18409688,35.83737655,46.53624068,43.55940286,19.12911239,18.93476571,18.92220041,14.34203268,33.50367544,76.14022007,78.74691467,66.67057551,23.56593935,24.49348158,22.14870794,28.32349442,31.06665995,37.56069054,17.67476079,9.545577665,60.66977087,72.53007372,64.93813823,62.33900009,39.73511398,53.95394601,46.71725442,36.33970914
Chr1-3667570,LOC_Os01g07630,1.424172374,3.866220572,11.76873836,6.562847127,4.559816775,2.477907763,0.036031883,2.13958631,0.763195358,0.286699189,1.927928239,0.497655202,4.323807548,3.494682017,2.100693028,2.180639634,1.174776519,2.576346858,1.236262117,0.397945989,0.436519004,1.168542268,1.229040946,0.751975903,2.590013174,2.56544581,0.236933803,1.912921339,2,2,2,2,2.891785212,6.100896912,0.67042367,2.315948637,5.261578132,0.052434861,6.154674199,2.863538963,1.278843998,0.664600082,0.995026725,0.559117918,0,0,0,0,0.779212063,1.704457879,1.145927496,0.173334448,2.741195156,0.499504547,0.460248012,0.192448537
Chr1-4622011,LOC_Os01g09200,11.37289776,6.501331218,10.52283705,4.479700162,21.13739019,0.060501125,7.705071948,12.88666968,2.704521439,1.220080097,2.226767964,1.929538296,0.313497329,0.170898356,0.522557694,0.232658103,0.256159979,0.230235574,0.717841456,0.096609438,0.351077992,0.047017879,0.912419752,0.965224118,2.470469877,0.640257022,1.582566922,0.458174728,3.066842925,1.877404628,1.68327159,2.981030711,7.467051079,6.098907488,3.836534128,11.91727688,4.624120146,5.076874292,2.140010238,3.630625431,1.602170195,4.141130781,1.82906802,2.962451461,0,0,0,0,4.120550287,2.299389252,2.801972779,2.264890421,5.019675124,1.39750079,0.298971865,8.076575487
Chr1-4621815,LOC_Os01g09200,193.1035967,210.5213666,192.858732,122.1535959,115.6523076,91.76809291,155.9063271,168.6725355,110.9559377,134.4940441,149.6280767,134.2701881,204.8556472,167.1999177,177.2894329,204.3047923,141.3687386,157.7384025,145.868693,114.9028729,145.3677038,152.8473213,209.5947227,173.6897159,172.303144,153.9195315,167.9098954,148.9387974,430.3215091,464.2922685,369.3550067,522.6765037,972.4906892,983.1335913,921.8081614,954.983815,130.7070376,144.1718747,160.1663684,148.2037325,117.498184,112.1579407,125.1268497,134.0805165,121.6114353,78.61508316,72.99238533,145.278358,130.531141,139.0469411,122.0103358,139.3974797,138.0302977,148.1319043,167.5579563,122.7045135
Chr1-4739277,LOC_Os01g09320,239.174583,258.0054945,158.802678,253.8094203,280.4276992,287.5816628,261.7215161,299.1220484,349.1517027,333.8259439,342.7235198,365.8413032,255.7435805,244.3612412,263.1139369,252.3746476,652.3038593,654.9474573,672.0477925,700.2915802,499.2452723,593.643243,516.1125549,563.7391755,687.1688105,564.0379087,679.3392726,553.1888114,222.9257301,228.6152995,232.2053854,229.5983757,855.9605106,833.4958268,823.9129593,745.5339753,500.1509868,492.3302508,471.7770718,448.1419201,197.9177221,200.4598217,198.2699533,197.9546092,76.21230033,450.9765638,304.9706969,103.469202,254.4525029,250.4727163,257.3961355,260.4172458,290.363327,296.6535442,302.9191305,288.7473986
Chr1-4738981,LOC_Os01g09320,0.554371002,0.847943343,0.004500902,0.102022278,11.783997,0.5051854,4.884855967,1.648854586,7.842889673,4.585315964,11.06240273,4.261137106,0.489671994,0.826666271,0.101645362,0.250956865,2.126796646,2.09177029,1.002030579,1.913526034,3.599295374,5.909932575,9.469521079,8.374833569,0.122789338,0.236680449,1.067964328,3.222070836,4.18192558,5.342664604,1.819203266,5.585456146,15.11220781,15.96893647,14.98894933,15.37387844,2.875550016,9.432438677,5.28445032,6.750001962,5.372548974,5.825088758,3.771632126,5.548469769,0,0,0,0,1.066655413,2.41258371,0.223660484,1.471015397,0,0,0,0
Chr1-5215747,LOC_Os01g10010,0,0,0,0,0,0,0,0,2.709623604,0.089903574,1.86876434,0.219517749,0.969299752,0.884955328,0.934839756,2.667077549,0.535620784,0.091900803,0.283419386,0.121555228,0.660948552,0.230354306,0.408594793,0.093881499,0,0,0,0,6.669638479,5.699562181,9.427623526,6.340293298,2,2,2,2,0.022949115,2.05013543,2.938421326,0.372446726,1.511845688,0.826207098,1.008566133,2.766803687,0,0,0,0,0.03481229,0.672270284,0.262467482,0.905935194,0,0,0,0
Chr1-5214017,LOC_Os01g10010,28.43020345,19.58048401,24.57070531,25.39639273,21.32648432,22.20938885,24.08051239,19.43194785,27.62583364,23.71183168,20.39527092,7.116122651,48.9137611,48.94888394,49.11792724,48.50234625,46.96278694,47.35817063,45.30534847,43.08178836,53.31453206,32.17850272,32.79121081,30.48888373,27.10363101,29.85609163,43.5770853,39.89308215,52.25501439,49.32716187,44.23571499,49.19277692,31.72438821,31.44272725,29.43643089,26.97059172,39.24946422,39.27524454,36.42672777,39.9327685,63.76007631,87.64783836,86.63690147,54.24924962,7.522029777,113.3696503,19.47995107,72.88120976,48.60892827,48.01647381,47.82378619,51.74273459,36.70004656,30.07404424,31.99134715,34.16805868
Chr1-5215847,LOC_Os01g10010,2.282410711,1.759601383,3.449422599,1.390436735,0.554943429,1.421650476,1.349741508,1.311704818,0.076075375,0.160775338,0.347604022,1.142169101,9.520262681,4.00697707,7.025410021,12.12471154,16.8827199,3.061801251,6.880534481,0.926597609,0.536502513,2.799460825,0.011093463,3.110746742,3.952537061,4.393141546,2.452950945,2.287600137,25.34135684,21.95385877,16.90125666,31.67261948,8.33986439,12.40659482,7.117062558,6.859490769,0.474508803,1.54560645,0.295072057,0.438576861,8.18221976,11.96567083,11.09251629,6.848151932,1.449250465,0.69890309,0.802395338,0.059935645,2.935044979,0.912524927,0.118883317,3.015521441,0,0,0,0
Chr1+5412511,LOC_Os01g10280,1.571114004,1.649666495,1.754426889,1.63876104,3.43256949,3.916099377,2.208718923,2.505941554,3.851383692,1.820680199,2.359383291,1.632124556,1.462604301,11.07879897,12.89076656,5.253114141,2.061366935,1.058439709,5.688949527,0.146893626,3.064547374,3.808760937,2.916783891,3.214183593,0.430540658,1.097949118,4.005316132,5.084948396,6.481217258,4.283301604,5.979882612,3.407980305,3.22265698,2.769506651,3.351159631,1.71896419,1.668177322,0.749502654,2.485360496,6.189597918,4.573080534,5.733133634,2.786170012,0.504092691,4.531733483,6.368919506,9.464055906,0.856519091,1.550163647,5.762424949,5.849752471,8.729312798,3.165312055,1.159084369,0.602045393,2.142520133
Chr1+5412761,LOC_Os01g10280,0.07389443,0.312370846,0.081546844,1.317133473,0,0,0,0,1.58589715,1.871716432,2.845978051,0.66918695,0.214777509,0.287644025,0.833028467,0.489095192,1.862112738,0.265586616,0.341373248,0.288628955,1.368554674,1.249852669,0.57874474,2.156931321,1.058799959,1.635268682,2.988622984,2.847879997,1.211108073,3.568955805,1.781529562,1.960833736,2.08199505,0.997796274,1.734181092,0.967674538,0.723141387,0.320415317,0.789694048,0.061164343,0,0,0,0,2.663521758,2.912449073,3.036827384,3.280567049,4.280827312,2.126583611,3.965010156,4.494731928,0.720240172,1.903995239,1.316768284,4.597760877
Chr1+5412697,LOC_Os01g10280,5.939296996,5.557096964,0.719984482,11.97215794,1.608718935,3.413159517,15.89156472,7.84241894,0.264681429,1.238840628,2.19351238,4.343310367,2.559506626,1.727458383,0.434819404,1.625220709,1.955490201,0.626330553,2.089823943,3.287786092,6.773920342,3.092785223,5.830160986,5.325004991,3.856217902,2.322359246,0.386103814,1.773292414,1.193011384,1.98027181,2.879436038,2.658941748,0.252094112,1.67745835,1.101773337,1.459601617,7.772139915,6.041089114,14.00321244,0.921978239,2.090015696,0.715202744,0.566216169,1.266880443,0,0,0,0,2.019872602,4.372090311,7.511283473,3.760800062,10,10,10,10
Chr1+5499729,LOC_Os01g10430,9.31724982,14.59878195,6.149968716,6.079357959,9.408120701,8.348392278,10.11932738,8.058720129,3.394854686,0.122799082,4.465065927,5.423454273,6.33670392,12.97459149,6.955884582,8.494093788,18.61484896,22.4526655,12.84533987,0.577110248,12.93852766,1.536527739,3.194233879,6.524533096,3.680917426,5.235781142,7.830177481,6.45717629,2.201282301,3.188939977,0.664027675,2.511167886,0.656033523,0.127767588,2.730213464,6.382160716,1.247104048,6.239869715,5.931403531,4.368650745,2.459324994,2.106272587,1.850403043,2.704401835,1.695505306,2.031897172,1.92076542,0.548475262,9.169795533,6.005642317,15.00769732,10.85103479,8.334656058,8.38729544,8.802356286,9.034326541
Chr1+5499067,LOC_Os01g10430,29.00883402,32.98005634,16.33015822,42.09184919,31.78705864,35.78329064,57.58808521,33.93091264,39.43919789,22.71219764,3.539897141,36.46635536,53.38099538,48.13570362,55.4281622,54.45055485,46.64605477,43.18302558,55.02580724,44.61580947,52.01248334,43.80579977,33.82620331,26.55467326,32.3722577,35.96385219,25.79947054,32.1255082,11.88397611,15.2595254,21.4075856,20.9735851,15.98226266,19.37906375,18.98455114,19.10012174,51.80366123,40.08411737,47.99353413,42.67175656,13.88427491,23.14572581,25.71691762,24.45663037,1.348339718,0.486642866,0.683509699,1.983401227,52.87696218,54.38274657,61.92425321,40.28003316,109.25652,108.7553595,46.46172461,69.30906647
Chr1+5499450,LOC_Os01g10430,21.61811359,26.32709331,25.43722795,27.99692085,18.01319342,21.73007957,22.03348283,18.57519668,21.83841382,22.33900332,10.77652936,7.580868634,21.42773242,24.40901331,16.58814342,20.71305356,35.17028707,26.87313058,14.44570078,7.665616042,14.20208752,19.46694286,14.70979059,28.14891776,15.74186471,18.07664301,25.46502397,12.5228589,19.17878339,18.38044993,18.87467493,18.97782623,13.52067352,12.57406355,7.113152364,15.05088329,6.234985875,21.24814552,12.53323788,18.79163399,6.145380937,5.702980461,6.204837508,6.056655262,8.330196593,26.81986506,8.844713944,17.44054789,18.0000741,17.53145418,17.0471967,18.44286009,25.26472675,28.78981365,1.91384889,29.69711017
Chr1-5670234,LOC_Os01g10610,2.042749395,1.752241854,2.312323544,0.614862382,7.474552007,11.91690218,1.207039503,5.546496138,0.945939879,3.294074392,2.271322621,1.55381679,1.2485007,1.663705749,0.04067892,0.205810246,0,0,0,0,0.761265954,0.511116733,0.651282973,0.388757446,0,0,0,0,1.799989441,4.573194053,1.308372464,2.60731733,2.002293338,1.916106237,1.578420958,2.779886535,0.156600961,0.237825758,0.580468672,0.723403218,0.854539106,0.394591612,0.739958635,0.518934515,0.01360559,0.508027507,0.048334074,0.218524351,1.611144728,1.578411871,1.113595242,1.553733475,3.450759933,1.308676105,2.668529949,0.711525518
Chr1-5668992,LOC_Os01g10610,55.82139394,70.59834873,59.12675121,50.69596218,52.71702425,46.13493428,52.34262514,30.83899049,64.40777048,99.32194417,78.49581467,54.36281277,41.39164622,43.33812583,41.34529993,43.21325868,96.5825057,96.36668466,64.02100008,98.23103712,147.6951835,117.5413158,132.0341301,111.8825277,41.67816797,69.42054113,62.67101053,76.40244394,28.82225731,39.18302847,45.3924217,34.00350929,78.87064385,97.81122254,106.5449521,151.340943,126.7335653,130.6855025,131.7054914,129.5906946,116.6136289,111.5950936,129.9092902,142.4476086,8.797325514,6.06886203,15.62891557,38.22184913,151.9652655,156.6176676,159.5863839,134.0717374,78.68099741,83.24894264,92.54557996,87.79831653
Chr1+6435652,LOC_Os01g11880,80.07974714,82.90058014,69.51110155,132.7145462,32.07322113,34.09198291,133.2031504,51.10578046,52.28172103,33.25389503,25.87462892,53.28503661,17.25185433,15.45303988,18.0657266,16.4897091,18.2213204,26.89619491,24.35450174,17.31647984,13.03345814,9.237776576,12.68966825,13.57643725,29.04625947,37.60411334,30.76529305,48.064201,52.27240872,52.49681998,46.71074642,40.55481214,28.95467119,29.0401781,28.51240063,30.71140753,65.32023851,70.71697892,68.36669489,69.65509783,24.98983201,27.69043382,18.23020737,32.93566545,24.56903669,0.018674602,0.443120552,10.08066837,34.4889595,54.49858829,49.34612068,53.43205446,172.5801796,229.4480634,174.8560605,163.8658632
Chr1+6435870,LOC_Os01g11880,14.17236748,22.90220657,41.32577135,30.718639,19.3385124,11.73795343,15.82646363,20.4360352,8.605257889,11.49492389,22.11007951,1.950850612,0.923567007,10.21559028,5.430090992,0.913116175,6.176692259,15.64323542,9.882391242,17.76583732,16.47919205,11.33602478,16.22972939,10.92272951,17.00790403,14.47454162,15.70262007,15.7025237,11.56426371,8.758384367,15.95089946,10.2700417,7.993163732,14.45256832,8.807139531,17.31430614,30.45473924,37.06803198,45.86910963,42.38105962,10.87234092,10.24818318,9.618162438,8.183826905,0,0,0,0,16.99519944,18.36552466,15.1661886,15.41890658,40.59075354,38.3978588,37.519079,37.80556843
Chr1+6436088,LOC_Os01g11880,4.754370797,26.16174937,1.774972879,3.176967878,10.0464297,22.86634845,16.15997834,13.36655656,7.234286247,7.379836557,6.138152072,6.925200321,2.120817289,9.144544077,4.835022009,6.514787349,11.42949781,18.02557507,15.39127529,23.69349057,10.77766994,0.639202066,12.72620289,10.40135483,7.80725198,7.572576914,12.7675935,11.44705048,18.3875676,18.02316548,18.80887929,14.77821167,8.523752519,10.24889567,12.47290381,14.97300574,18.37213564,34.73263474,27.17175312,22.08669762,4.405058118,4.222670163,6.742461172,4.482723937,10.69098725,29.61419596,13.90013624,0.290361365,7.027163387,10.929481,9.95282591,9.353181963,6.2837378,2.460158103,28.26458314,17.46763277
