chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,husk1,husk2,husk3,husk4,husk5,husk6,anther1,anther2,anther3,anther4,anther5,anther6,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6
Chr1+2795487,LOC_Os01g05830,438.5815107,452.2295702,507.7379534,353.6745685,434.3174378,367.2453381,362.5803524,378.1363602,391.9243824,339.1403032,268.3129626,395.6932155,77.60306759,61.33917504,45.72801412,50.64532979,59.83671681,15.0669487,12.01970131,11.44777871,11.79653535,9.349173228,14.64371508,9.380746166,11.77489446,14.30645412,14.13227174,21.85509074,19.89948635,11.45101567,15.55383904,6.813803739,7.94926117,1.911644286,7.241481922,14.24864079,11.46270055,12.20013967,6.400441022,15.63901672,14.53128372,10.09520321,11.26607738,15.27313709,10.55032579,12.97256009,9.370770385,11.92640737,17.11301549,6.210882516,14.21867427,12.49667689,9.967317522,15.25482071,10.96644141,11.12755474,10.72217357,10.24103989,12.94486002,11.2928785,56.24073995,52.17757865,56.179655,58.31136891,55.62109649,52.97895449,86.17282781,58.07839148,75.62005357,155.216796,35.22689252,138.3409543,0.671774254,5.712954823,7.817553588,10.88366823,13.91686834,6.776228514,191.3434742,189.5470994,187.2639088,186.0154914,188.0508241,191.7224551
Chr1-2830078,LOC_Os01g05900,15.76311401,15.33875713,32.92502177,22.68463162,19.09520734,26.59548389,50.62156624,28.50881103,34.15425689,21.8286844,35.3424817,75.36139884,8,8,8,8,8,8,6.509533933,5.291693544,5.643706075,5.444127757,6.908157167,1.950280816,0.103970898,1.829488938,5.050139239,3.000672056,1.431958461,1.136162639,0.272211633,1.937508829,2.269713862,0.057318525,1.290915353,1.828769531,2.392813344,2.347038487,1.153998235,2.623412634,1.848727531,2.382364569,2.444592092,2.419335766,2.553613585,2.211199735,2.395299037,2.372652431,0.756943426,0.63695026,4.945105536,5.805076199,2.601581395,3.680060602,0.452922316,2.06275883,3.030483282,3.076759004,0.245120828,0.620682291,0.999716469,0.269891996,0.683032129,0.424448419,0.889226063,0.263540569,8.334198324,17.33130757,11.92870921,3.237675786,2.536693359,14.80135317,2.310812198,1.505130987,1.403576448,0.536802368,1.283137965,1.454278472,23.66680365,15.65981117,25.26210892,18.80264032,24.0598951,24.02524515
Chr1-2820091,LOC_Os01g05900,63.28789646,53.29761984,81.41082275,75.53482995,43.38821431,52.28417577,93.14674028,85.34043906,81.46620827,60.39614117,90.57889099,90.25704193,45.40073452,49.23009254,66.43039457,68.16109553,47.02358009,60.61203353,134.1163449,136.5946036,129.0400299,133.6081911,130.7458029,131.3105839,28.39761883,27.1642893,29.12089645,27.45463918,23.24416349,27.8526864,27.72166138,41.7089174,41.99267526,32.0336278,32.81514788,29.53458312,68.49933155,48.6874805,50.45606952,63.30342263,64.95249432,59.78679619,153.1538523,133.9262141,134.5782524,127.6853702,149.1979084,146.8768522,138.8878406,148.8505458,131.2994191,142.6848523,135.8079502,128.0263369,55.40359819,55.04086864,54.60991596,54.48217012,55.06273366,54.03062016,61.00298141,62.51697126,43.98161678,54.95614799,58.3658941,61.31888911,76.96292103,60.31887579,158.3649868,115.2749237,52.85161687,119.0432446,86.55016934,82.15748992,89.90867731,90.60213106,79.79611668,78.85816122,25.13504851,25.52747505,21.06291808,23.64115825,25.54477013,18.72441992
Chr1-2828357,LOC_Os01g05900,16.62794714,2.396222545,13.98998359,25.44661206,9.130791864,0.384839327,17.93381817,14.90063465,12.06147219,18.25562053,17.74855629,16.64931112,0,0,0,0,0,0,0.890975799,0.000355291,3.339735705,0.820745334,0.366688627,0.900064524,0,0,0,0,0,0,0.074580075,0.072948528,0.855669247,1.031594274,0.386237594,0.161373456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572364605,0.588831166,0.818226871,0.391248615,0.457077264,0.747949656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6034904,9.000475677,9.729575522,8.960710683,9.692478006,9.496799669
Chr1-2837849,LOC_Os01g05900,293.2683729,289.2799476,330.1978602,347.9967962,329.3665961,284.6148881,332.9285314,327.4639482,385.3711712,362.7976787,265.2389039,386.0388281,976.9532227,985.5279464,863.7619516,923.2856101,793.1453334,963.0102606,636.0660352,580.3205661,607.4118192,641.6293295,748.1725322,548.2414279,335.8275601,366.6317845,329.3951955,290.9875003,311.0534383,346.847893,265.5673591,278.3421812,255.6963801,257.4012781,291.1770566,270.3805118,435.3962748,477.4353982,439.749915,444.7351188,415.3037694,459.9289655,714.8959642,774.6571631,828.2253626,746.3622853,848.1403585,833.6573942,662.4292969,613.4438242,651.5596771,595.6103433,652.6174685,734.6113073,352.5393125,329.1006993,369.1092747,403.7662078,399.5084608,445.9673882,400.8770564,454.6865292,444.8990905,430.7509477,439.9128906,395.7152708,607.2315086,869.9392886,747.1842202,793.9559348,1055.961935,1069.66748,348.1492395,375.3571016,480.3395906,407.665584,351.5695601,343.2198241,223.1623524,175.0444763,153.4862411,224.9678905,250.3712704,210.7935825
Chr1+3648483,LOC_Os01g07590,5.745607029,3.045758208,1.0386342,3.181423573,6.32376978,0.661480349,2.569543874,3.510656254,2.900719811,3.798381845,3.642940152,8.381343699,3.334118083,4.091235846,3.888962586,3.582872426,1.827828561,3.507051852,0.006155585,2.72136204,0.463319133,1.401470163,0.321752044,0.736943318,0,0,0,0,0,0,6.032159258,4.939377677,5.158776079,5.295382848,3.974725634,2.986012169,4.490697738,0.840420154,2.105230333,1.459270483,4.889020468,4.0807417,7.375534514,10.36004129,0.353364348,4.053849268,7.829183952,6.176997401,1.263161456,1.64548611,1.196115746,1.091657715,1.256869952,2.245874991,7.34609789,5.788844075,2.984434172,7.449663711,8.543949608,8.519898781,2.048408574,2.172640736,3.823131132,2.971254372,2.610379256,2.907669582,7.974726432,5.300476719,2.265699502,7.291495855,0.126090498,1.427898588,12.1552783,13.52785369,14.03202473,11.53290264,12.204846,14.70777911,0.64206473,4.699029961,2.009638327,3.623577443,2.664594806,0.160689068
Chr1+3650606,LOC_Os01g07590,25.85326883,18.27111744,22.09216555,35.65872043,25.30165284,19.20230993,18.29128139,17.39554622,20.58468617,18.08437608,23.18924786,21.30275938,3.769495954,12.42925049,6.440128719,4.576314291,3.467622374,0.634550243,29.98088009,35.45460401,31.26055766,21.22395856,33.08691367,30.78180952,11.90402414,15.29044513,8.052878991,15.13990475,11.6885253,7.06306877,82.99546231,90.00604084,78.54060356,89.51776146,107.3678149,102.6516301,72.79759702,76.95131447,84.50451469,85.02966254,78.73111514,76.97792024,1.947214746,2.390320147,3.005853216,1.555095129,2.505517444,1.803620257,2.246819692,5.400018404,3.934373649,8.08036475,3.152282678,5.399169915,26.124843,22.82251299,22.71250894,17.65889362,29.64224573,30.97468148,3,3,3,3,3,3,3.491137734,4.007422275,0.81604751,1.812341716,2.268143803,5.867323078,10.0948992,10.92173648,14.15841146,4.605048669,3.183599256,14.16088472,35.93148478,36.44429076,33.61037996,39.47666126,36.75557567,44.27123848
Chr1+3648397,LOC_Os01g07590,21.79709959,31.21885163,33.08922412,20.90333959,21.48425821,17.0387723,18.28678978,7.288713192,13.76410626,6.979091554,15.71279178,41.06991663,10.57094156,9.081200441,12.93898413,2.527876398,17.62507881,9.182273195,2.484752448,0.163414461,1.64551115,1.910066559,1.487068229,0.039246172,12.84185054,8.931046634,11.52305934,10.99540336,9.729471008,12.86923394,3.193944489,2.448466319,5.024648684,4.284145611,2.906643359,4.879581047,5.891289646,4.557342467,5.679956999,4.860849315,4.376548818,6.153607934,5.078257128,8.778358202,8.239486412,4.281049574,6.21668454,6.692728951,0.174671712,0.406462881,1.794047182,4.437538567,1.653892428,0.144139401,5.211358992,15.16936755,12.06722352,3.061699591,8.742495873,9.15687088,4.512023866,3.205332404,4.100304555,4.54706982,4.524981242,3.563521482,0,0,0,0,0,0,21.40284774,22.67079495,21.01417398,21.25658174,20.46067342,20.46452468,26.33400157,25.99042234,27.16187959,28.62275457,28.33169918,28.8879323
Chr1+3650692,LOC_Os01g07590,2.585355917,2.374687333,0.336157401,1.476872759,0.974547279,0.939862021,0.981110065,0.095890552,0.598576807,2.294136669,0.293532211,2.605712201,2.460783838,0.846963679,0.336948262,1.169897195,7.118771583,2.524781126,0.048871892,4.291168881,7.676575499,3.707059516,5.569857065,0.84598007,0,0,0,0,0,0,3.747212096,8.117169797,11.73517274,5.390760356,5.354078049,6.291869217,6.85338993,6.833073313,6.576262297,6.290802302,7.485043536,6.321640216,1.201372053,0.057564632,0.399142054,0.347272814,0.047724033,0.133290943,0.225821174,0.161270719,0.990541976,1.143551742,0.217138721,1.200218214,2.984113504,0.173148707,7.074212685,3.372549332,2.388367738,1.037182217,0,0,0,0,0,0,0,0,0,0,0,0,1.108424406,1.610177776,1.431239765,0.442449147,1.337398731,1.440891189,0.256008945,6.364887322,1.367498105,1.073599319,2.317939258,0.596327094
Chr1-3671562,LOC_Os01g07630,0.572320235,0.775437663,1.142816381,0.869840012,0.857081289,0.103796222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741001283,0.666376992,0.005083223,1.098064931,1.044156505,0.151452609,0.516534694,0.96506523,0.432175732,0.264676597,0.227186339,0.240141761,0.177539584,0.140036439,0.216833128,0.703444074,2.485655316,1.021980672,1,1,1,1,1,1,4.914000425,3.558170172,7.455203714,32.79428247,27.89212371,6.227318265,0,0,0,0,0,0,0.556327638,0.359333423,1.47721081,0.314312382,1.220112369,0.065266795
Chr1-3667505,LOC_Os01g07630,4.639071124,32.67500501,59.00738997,41.50466099,24.7244105,47.14017459,33.90680863,31.1793491,27.72936304,45.86762212,18.61041017,26.72335106,41.86442785,21.00254233,25.29682418,29.0456976,33.65120819,19.42501862,77.43321659,79.336543,68.45428505,74.34158895,75.82138661,70.88705193,11.74847735,31.88073164,24.68630753,29.41128499,28.66594874,13.97792545,14.44848078,12.56730772,11.68625882,15.46118649,10.50993332,13.91781788,26.03858208,22.96801767,33.6787265,23.27563796,25.65003897,14.92607844,61.19680325,46.58976284,43.82347241,39.28399751,53.328127,48.23710272,16.20581658,16.77388688,21.53893348,21.69725158,15.21787181,21.99355928,51.54303559,44.69630775,73.39740738,71.0194797,78.37000877,48.54459491,22.26452429,23.36242254,20.56362374,23.00092702,22.04941791,22.31139735,51.39475857,45.87634933,35.03319838,12.95838515,43.02828168,57.76583764,53.28046584,73.18550566,34.13476684,64.58468185,83.51519438,41.50180607,32.39384853,23.10896906,17.28992876,52.36955691,14.76914264,20.74164631
Chr1-3667570,LOC_Os01g07630,6.791128653,2.570188192,1.102793927,2.241802223,8.241023773,3.914679481,0.848814357,1.428599463,0.587263978,0.678568606,2.614898497,0.572881152,0.284457453,0.667498654,0.387628085,1.07091265,0.696088621,0.784714305,3.647762817,3.344496874,3.102601356,2.074703008,4.133332559,3.280755189,1.250295933,0.408710449,1.964116827,3.543157944,2.781500632,2.800090671,0.708667877,0.962699618,0.857835039,0.060515009,0.312585544,0.105003878,1.230747317,3.783616305,1.748566154,2.874546892,3.189741094,4.977896991,2,2,2,2,2,2,2.552496716,0.231892406,3.406928688,4.035790886,3.914721031,6.5800308,4.329704681,3.879236347,4.431830364,3.912158021,6.380633298,5.105584833,1.722700042,0.83210467,2.564081362,1.267142524,0.717588225,1.530884561,0,0,0,0,0,0,1.452229433,2.681915261,3.240679812,1.422388492,0.424838702,1.883133156,2.035024848,3.133015388,2.433890058,2.916836559,2.211267631,4.190020034
Chr1-4622011,LOC_Os01g09200,7.798226125,9.988240713,8.192357051,7.995728887,15.42880398,11.94056796,3.713628936,8.057923623,5.371453957,0.76042376,8.712639904,12.14056774,2.066039934,1.946655739,2.36709834,2.551644876,2.851814241,2.374738159,1.087869512,0.399580368,0.322987034,0.625402925,0.16964101,1.191723764,2.168929989,0.684187779,1.773336488,0.280062148,1.599465287,2.046813516,0.897204467,0.608718791,0.468929714,0.926007523,0.320405749,0.98441231,1.037303541,0.535460511,1.737745007,0.864574364,4.009354832,1.077560776,2.204831122,4.387327366,1.163775282,4.259106759,1.402518667,5.002662356,9.36586513,10.33599336,7.946455639,9.691711938,7.384063682,11.8850023,4.556337153,6.261301109,3.204001433,6.030614519,2.574797874,4.390617902,4.538436015,3.804208036,3.64179895,2.537382123,0.409950515,3.632675175,0,0,0,0,0,0,1.748448434,3.317927262,1.69225525,1.186997857,2.237050753,1.99789226,4.906186598,8.77917162,3.954696709,5.950407275,11.2185059,7.600858844
Chr1-4621815,LOC_Os01g09200,110.7945764,47.11548023,200.7736593,162.2652314,143.8680285,132.642712,101.5743891,109.1419429,165.3900343,65.8210018,78.78678982,125.7255773,144.3617715,55.02531129,163.254492,180.7560126,127.3596231,159.507266,184.7999631,204.5293827,189.1824847,165.2321599,174.1711958,165.752046,200.6381887,129.9289289,159.2663986,115.6451178,117.774014,206.0425803,177.1684246,240.6852355,159.5758619,195.887646,156.7411298,162.637544,137.7094876,186.5591931,156.5499058,190.6234059,158.523639,173.4304276,285.8430772,340.0718325,380.9312021,310.7325628,455.5191826,394.7249136,992.5851169,939.3873005,951.1988126,995.7690915,1028.666093,991.3964878,146.140832,140.3325183,141.1555357,161.2447789,144.4102653,145.486452,156.3855914,154.0759906,152.3882261,112.7851656,125.6695402,153.8005927,210.1703798,105.9051112,116.8541034,89.29860467,71.55242909,278.3149763,113.9131152,112.4550071,120.2002992,119.0819766,119.5271596,115.3663906,135.7619344,136.0933645,145.5605923,110.1459057,127.6370888,164.9055539
Chr1-4739277,LOC_Os01g09320,314.8831238,215.8554347,241.4459254,325.3059722,329.2223851,337.907708,303.513475,257.4624201,259.7425082,319.7082502,308.256027,297.2311059,369.9159559,351.3458551,354.4515489,384.8774998,356.5037602,384.8625311,256.2582772,262.4459717,253.5829524,251.3315798,268.0309758,270.4191808,661.5532287,660.7046566,663.1087197,677.2114194,671.3060159,631.856406,553.9387978,546.7418422,629.576322,561.0783871,530.0193718,574.2968409,606.8373848,694.8440863,597.9833407,696.3513457,519.4414269,737.4486822,230.0664182,230.5393256,228.0572776,235.8801773,223.4102681,228.0680849,936.3281575,881.0733211,890.6019965,791.4935972,868.2803949,773.8036412,488.2728345,482.2736778,481.1297816,499.1189313,492.372353,482.3137437,198.2947706,198.0204625,193.8975433,198.1557615,197.7593499,196.25528,312.7228658,443.7690053,62.20445851,241.2328269,56.42644276,30.64125832,254.8799351,251.1259412,255.9421332,245.3354384,253.1988429,251.6036516,297.9807958,301.8274891,296.2644648,292.4763478,295.4736944,291.8762658
Chr1-4738981,LOC_Os01g09320,0.263008048,0.394614765,0.448118095,1.130711712,0.496739473,1.022207975,1.739702048,0.592023556,3.150160807,2.933870964,1.365208165,1.875941752,5.653767694,8.230446887,6.690112206,7.493568631,6.621957487,8.369251366,0.208745505,0.30825288,0.397508558,0.107574389,0.230144166,0.109933101,2.514629229,2.247255185,3.533904984,0.819600617,2.292785487,3.130603904,6.631900707,7.879692351,8.400537538,11.23859326,6.42064846,3.916773597,3.477430847,6.216747431,0.103288401,0.538679075,2.356355985,3.564153844,0.74390673,2.435249561,0.614456565,0.425509423,2.614882602,0.576115722,15.25374317,15.97582223,14.10501304,15.78296349,14.35278243,15.27887883,9.489410515,4.308300437,8.270095883,4.265887902,2.369482336,8.71026488,5.243026848,4.118716582,5.727468849,3.942649224,4.630489753,3.509805905,0,0,0,0,0,0,0.223424534,0.666924733,0.473702959,0.126578387,1.14163811,0.742138402,0,0,0,0,0,0
Chr1-5215747,LOC_Os01g10010,0,0,0,0,0,0,0,0,0,0,0,0,0.32174013,0.121754859,0.809662063,0.817584337,0.651076202,1.819558723,2.059743252,0.94740895,2.325654096,0.661881757,3.34668458,1.227519516,0.146442232,0.046166628,0.174483688,0.636367258,0.227167096,0.794602071,1.184181305,0.074912958,0.693129465,2.501799848,0.120595938,1.088965714,0,0,0,0,0,0,6.090190202,6.086879943,6.647026851,5.66228623,6.816932507,7.118913848,2,2,2,2,2,2,3.146590809,1.021079509,0.746103789,0.371408219,1.032822777,0.395057581,1.322382389,1.414662355,0.383739047,0.754573981,0.116220308,1.173610684,0,0,0,0,0,0,0.925380363,0.877320774,0.645434412,0.967927426,0.220505285,0.740588228,0,0,0,0,0,0
