chrstrandcoord,gene,dry_seed1,dry_seed2,endosperm1,endosperm2,imbibed_seed1,imbibed_seed2,shoot1,shoot2,leaf_20days1,leaf_20days2,leaf_60days1,leaf_60days2,stem_60days1,stem_60days2,root_5days1,root_5days2,root_60days1,root_60days2,husk1,husk2,anther1,anther2,mature_pollen1,mature_pollen2,pistil1,pistil2,embryo1,embryo2
Chr1-2837849,LOC_Os01g05900,319.4967294,319.2069764,315.9496787,329.7458026,923.1339345,849.6922425,753.8512165,573.4458374,320.0634736,339.4750253,259.9330287,288.8285168,501.6187529,433.328888,817.2261645,838.1229541,629.1175927,567.0071206,396.5185816,461.5761904,439.5881125,461.7203854,754.4617192,804.6009415,463.427182,365.5273449,129.709418,262.5359366
Chr1+3648483,LOC_Os01g07590,6.099526286,9.672681517,6.507005673,1.793760962,3.566784778,3.581910166,0.607583515,1.360262084,0,0,4.628576021,4.901863061,1.116073417,2.761522751,4.444034443,1.43871354,1.379599971,1.301269273,7.524733406,6.632130463,4.044837455,2.433804564,2.772527386,1.446279744,11.95415067,12.78371188,2.284197535,2.594050702
Chr1+3650606,LOC_Os01g07590,28.63999668,33.35601942,21.39370263,22.9036347,11.08105391,8.784391158,25.77833152,26.65379112,9.74877807,13.73099334,92.10552367,86.03810909,67.49543036,88.8492098,2.435689493,1.616214032,2.933587141,4.149112589,24.62699912,23.16344187,3,3,21.7328838,0.794322878,0.280335119,2.405927417,38.92984127,40.56318722
Chr1+3648397,LOC_Os01g07590,23.83233843,28.96868102,19.97418064,15.49082612,13.01070529,13.33878216,1.304611474,2.740164373,11.45454329,8.304176764,4.295046145,3.037500701,3.878076259,5.081600837,5.659171036,3.822080064,2.524571911,5.648080956,8.221911422,14.24778437,5.774143067,4.372273192,0,0,20.46857105,20.48735604,23.82208819,26.62817311
Chr1+3650692,LOC_Os01g07590,2.007364517,0.882328138,0.671741312,3.824686196,0.956491724,0.563023894,1.199843625,2.108279311,0,0,9.33116246,8.0542683,6.57711692,6.368835744,1.085552747,1.634960463,1.964723658,0.630598895,0.808148607,2.707879445,0,0,0,0,1.899879076,1.240441926,3.356436645,1.782004286
Chr1-3671562,LOC_Os01g07630,2.031656407,2.3570042,0,0,0,0,0,0,0,0,0,0,0,0,0.685262344,0.738995123,0.510976314,0.535591622,0.933190123,0.878384097,1,1,24.55296238,23.11251725,0,0,0.244094258,0.907165056
Chr1-3667505,LOC_Os01g07630,36.75450827,22.85282973,33.78361799,19.38300155,26.54684447,18.08869296,81.01490425,74.84798093,13.61510385,25.8524867,11.00261462,9.252025622,21.89457638,24.48656322,54.83741882,51.10278302,17.83669054,15.16399359,72.45401088,74.05952574,22.8949443,23.0571654,43.67020904,18.69891257,30.12211645,55.9674931,56.2672524,25.6985426
Chr1-3667570,LOC_Os01g07630,2.233738362,4.964844575,3.305402743,2.696232808,0.722021881,0.283551638,3.160912681,1.875082004,1.669792688,1.053753546,0.101244951,0.389571828,4.777502156,0.673734905,2,2,2.83218224,3.721038534,3.841985483,3.008003089,1.458845879,1.327835577,0,0,0.629845479,2.46600668,0.084280156,1.4772292
Chr1-4622011,LOC_Os01g09200,6.529658652,6.352544853,20.99979993,7.387974847,3.339986959,3.141109114,1.197271365,0.825622647,3.229904144,0.836987817,0.289818719,0.495185693,0.367348485,2.752016948,4.893523294,4.145831727,9.502603998,6.903534487,5.016844554,2.216817766,2.153099242,3.779836291,0,0,1.154906121,2.198974393,8.181737728,3.107370233
Chr1-4621815,LOC_Os01g09200,153.7653904,143.0026046,131.32456,204.2190599,161.5511234,132.6757844,214.7355684,162.5293699,161.6400319,187.7055849,164.8525917,185.9196186,193.9801881,168.5105522,329.2811648,409.6892884,909.6196808,957.1726915,150.9544154,154.5664715,95.64258528,158.8977135,143.3807836,25.56566422,119.0171303,122.8112584,148.4820466,147.8806738
Chr1-4739277,LOC_Os01g09320,169.9207096,277.8683094,187.9636802,377.3606698,370.9973446,394.8754371,243.2495887,218.5621697,673.7763458,641.9052064,595.9943088,565.5947671,575.1547274,577.2518202,227.6720817,221.4420119,572.4857342,923.2116198,501.1492771,487.4748415,198.8818347,197.4170125,399.9388592,345.9202661,244.9381385,257.464787,301.6957916,292.2367072
Chr1-4738981,LOC_Os01g09320,0.647151785,0.355363254,0.180633603,2.20886774,9.689585887,5.967177682,0.109036867,0.281521856,3.300524949,1.353149695,5.525340509,8.986822008,7.814052843,1.341842754,3.414604147,0.856028868,15.07803428,15.15641495,4.093433987,6.858421968,2.847215442,3.581016629,0,0,1.042229095,0.36250831,0,0
Chr1-5215747,LOC_Os01g10010,0,0,0,0,0.280290426,2.167312575,5.713015161,2.262685193,0.51723442,0.455662566,0.594132115,0.935159906,0,0,6.528947159,8.037064245,2,2,0.630437292,2.225612747,3.466067455,2.731330013,0,0,0.166028726,0.634256492,0,0
Chr1-5214017,LOC_Os01g10010,25.4310649,26.98856155,21.2372825,17.7427151,0.412674764,31.32753175,49.0525642,50.27813665,44.32166765,41.56827072,42.65984961,30.29108861,37.21904698,38.3036584,46.77530576,48.20932238,31.05509028,26.2994718,43.21120195,30.59147233,63.87179035,82.84100752,18.40337664,31.82980529,54.18327508,46.07046841,33.81490069,36.10134174
Chr1-5215847,LOC_Os01g10010,2.521827878,0.277717616,0.75785979,0.260682276,0.295036612,0.371125242,13.62981342,12.36643014,2.315528587,9.633708499,1.674209013,0.066858185,3.81679127,3.456535729,28.88141342,20.46733236,18.22974587,10.61568098,0.355597556,0.68312221,9.492030472,4.458776425,6.740133348,0.535881535,0.50738019,0.230600262,0,0
Chr1+5412511,LOC_Os01g10280,1.191581079,1.580672165,3.412342369,1.526596342,2.145502478,2.120349901,1.023003659,12.46939253,1.74147808,4.036893316,3.24049879,2.685919035,6.428964409,3.297980328,4.273117678,4.396970668,1.800979771,2.918141583,1.321803173,2.220259718,0.642213432,1.224315631,14.34541902,7.270616065,10.45923896,5.485214747,1.608854771,1.469029433
Chr1+5412761,LOC_Os01g10280,0.132923157,0.134737402,0,0,1.111361737,2.659631603,1.329116464,0.253714761,0.426549699,2.57195798,0.151895208,2.098585296,2.889306865,0.380269172,0.765026309,1.824485961,0.609432825,0.821129881,0.126392374,0.312198343,0,0,0.050480214,0.3199188,4.167714648,3.477439533,0.361465885,1.673321475
Chr1+5412697,LOC_Os01g10280,12.78944763,12.5928673,13.71571001,3.530080561,6.382617205,4.952907675,4.151905067,1.591770788,2.561080519,3.058253184,2.482998506,2.259389668,1.464961374,1.372208251,1.33788898,1.983927363,2.039750279,1.556654358,2.244837894,1.101773526,1.217948213,1.200415373,0,0,4.39680427,5.797932211,10,10
Chr1+5499729,LOC_Os01g10430,7.769838781,4.092824509,17.19498892,0.483750348,3.656249323,6.210064872,8.526724975,6.476237134,25.6166217,16.89481775,3.437147981,0.895860528,5.3507613,5.177685646,4.675227114,2.241089986,3.787006648,2.158814391,3.772137108,8.812386285,2.121120887,2.310801128,3.351780587,4.074654789,4.424483054,9.232187292,4.448115719,6.704325554
Chr1+5499067,LOC_Os01g10430,7.56037995,44.44973115,34.08748749,34.59885794,24.67866864,33.43118688,65.04848034,61.60944768,42.0585815,46.30719848,15.09945261,39.92029307,36.38384368,38.4613251,17.67967432,29.65296009,18.51910599,17.54992272,41.85258745,40.86516107,24.8834044,10.03146513,0.897038915,0.845480629,42.53509287,64.67825864,64.62302872,114.877828
Chr1+5499450,LOC_Os01g10430,24.45218455,21.81247404,17.64102219,22.30492511,22.35591265,20.85038722,20.4074602,23.51912754,9.938923903,12.33864934,7.676277563,12.90173919,16.25322203,15.26438454,13.05346979,15.91910969,11.1665432,12.50389308,15.70037896,0.333485184,5.941001639,7.07017118,6.862209628,0.462166403,16.63867112,17.01942509,15.99133292,38.20903499
Chr1-5670234,LOC_Os01g10610,2.572879056,1.673201261,17.5212998,13.14128427,1.051493567,0.7413094,1.859762178,0.273469644,0,0,0.295049215,0.3526152,0,0,1.153355371,0.308083,2.278908247,3.116246498,0.70860977,0.911789171,0.719817546,1.578237977,1.113106334,1.057434848,1.719825106,0.762409466,1.692484209,6.548980049
Chr1-5668992,LOC_Os01g10610,68.08680037,55.34911957,50.59599789,47.38885075,72.87727861,60.2249797,43.62891521,40.33050983,64.40300301,95.85986402,103.9795642,97.78339542,46.68958397,65.20256638,37.05497281,38.31135062,75.47801029,88.72820657,148.6896519,151.5721956,135.0695143,150.2040264,18.16938241,114.7918377,129.4516841,134.3163154,87.04098475,74.2949513
Chr1+6435652,LOC_Os01g11880,228.1492188,114.7462521,90.57680829,18.42681438,43.81015971,47.77555797,15.11858101,16.58988678,22.78339658,18.96434155,14.72085927,18.47436784,37.94354416,28.94848821,41.42144984,32.71818012,29.33879288,30.02687388,67.50659387,74.40334184,24.76017322,19.39954208,19.11420174,31.02275257,35.83931218,30.096066,195.9793645,171.0838904
Chr1+6435870,LOC_Os01g11880,41.29096201,30.36451148,16.46892055,16.08556663,1.084007001,23.60665936,2.73414943,18.42132318,15.34484235,17.42516234,18.77189047,8.220561728,16.49324471,15.56645186,17.00692549,10.96115495,1.021493044,12.84122393,43.25665113,39.07279172,6.441258894,7.714177751,0,0,15.26287109,17.44475309,40.58298637,36.18789213
Chr1+6436088,LOC_Os01g11880,8.834683924,3.214873393,16.1798644,7.21000214,6.002851599,8.82292659,6.400694837,4.557206575,21.06203429,16.19360769,4.6760085,8.663295983,10.15283062,15.91648761,13.70810848,5.428992248,10.03188376,10.53453669,22.78972669,27.80321075,4.612606593,6.799428699,25.1719258,25.68544889,5.94448839,5.73189642,14.79473273,0.887643199
Chr1+7273036,LOC_Os01g13060,8.775696825,9.89715551,4.803270983,7.137187698,0,0,0.475082093,1.356838062,0.893065077,0.395491428,0.454930486,0.353237526,0,0,2.926659238,0.349631228,0.681007757,1.311328061,0,0,0.198978911,0.492707361,0,0,1.020470012,1.226654509,6.051165491,5.847558178
Chr1+7273124,LOC_Os01g13060,59.59479512,45.97006416,35.60853017,60.48565299,18.11832572,17.55671207,19.45775277,16.35354761,34.33867,43.76959351,30.35399027,36.21100209,27.55048396,9.950907482,20.87170891,18.77684513,6,6,7.691801781,19.3339883,9.795703499,16.60077402,5.743778236,3.148907264,16.8426615,10.257584,23.70974193,23.59812436
Chr1+7273478,LOC_Os01g13060,0.578101332,0.575453884,15.4691644,9.311693043,0.574404281,1.560285517,0.557542844,1.60841735,1.426831831,1.410594246,0.653485728,0.224121409,1.303780657,1.872822891,2.100429717,0.912048189,0,0,0.714354001,0.406367711,1.037674432,0.323840456,0,0,0,0,2.860704023,1.523080215
Chr1+7271210,LOC_Os01g13060,8.27699476,12.332632,7.403550739,18.91322245,38.89030318,36.19850129,67.32853728,62.95063503,58.65919191,117.433429,96.67359672,97.66606422,59.77072898,53.39656373,53.23858863,67.95889916,74.84258337,73.92454947,30.19983764,16.96015375,53.41502675,55.44349639,50.80606875,55.54890233,39.13687893,36.95913699,20.69216644,9.695235419
Chr1+7511501,LOC_Os01g13470,10.73409323,2.403549475,8.867738066,12.4852589,2.030918016,2.024448044,3.955993056,4.314965683,3.510693197,1.280104457,5.539848718,19.01288641,3.352580328,1.566166702,4.455674858,2.644969592,9.792011369,7.554560305,4.477880648,3.585899947,4.093238367,9.495769507,0,0,11.58157649,11.63229647,10.54034492,11.26635852
Chr1+7511673,LOC_Os01g13470,36.23649322,12.47933403,31.91075438,30.18243185,82.69212446,94.61912776,81.72839283,46.20952257,92.33611819,91.26855499,100.8580844,101.3422571,70.60779487,61.42906415,51.9303557,58.55403236,41.30779648,34.453132,5.994924128,56.89731943,48.54563956,40.71868393,26.93902815,49.70725748,112.4594988,112.2456988,34.58106862,42.27709139
Chr1-9140244,LOC_Os01g16170,2.888312812,1.806951494,2.5858093,0.738088386,4.050204085,0.758502089,1.779704129,1.325793105,1.614605024,0.353861848,0,0,0.761751093,0.626278173,0.955868102,0.202404796,0,0,1.310993305,0.792931487,0.047460252,0.687475553,7.464286775,12.24884284,1.087588064,1.139046734,1,1
Chr1-9135330,LOC_Os01g16170,0.984310587,2.028623923,0,0,0,0,0,0,0,0,2.139831758,1.024803733,4.982114908,5.825698299,0.199752391,0.553795834,0,0,0,0,0,0,13.12896624,0.22818122,0.021383006,0.552587722,0.454302446,0.080522731
Chr1-9136375,LOC_Os01g16170,1.628515433,1.079944277,0,0,0,0,0,0,2.810711506,7.669388412,2.358119035,3.18455116,5.554042874,10.30996837,1.373082595,1.481124964,0.39742416,0.410649774,0.232911995,0.588143225,0,0,0,0,0,0,0,0
Chr1-9133739,LOC_Os01g16170,113.8211518,121.9845898,96.67772765,81.83435795,167.2377453,130.8635711,74.32001575,40.24454592,2074.576486,2126.068011,4193.07778,3935.147907,5515.279924,5639.20567,67.83761401,67.53680769,74.19056722,71.47454426,841.9632326,534.1643413,440.6726311,512.7457534,1912.941316,734.2593153,134.9657152,121.5366785,139.4615883,103.3267193
Chr1-10999404,LOC_Os01g19450,33.46182962,12.60417305,94.30419229,73.4292788,417.84481,367.5230856,588.363473,597.5945923,166.5870546,151.2235661,136.9451812,146.8963279,189.9489537,192.3495359,599.3323152,522.2655039,386.3174671,391.5010143,177.2673326,266.4783569,100.5918983,115.158264,232.2961841,137.1761953,144.5429567,178.7733347,79.56322071,110.713093
Chr1-10999561,LOC_Os01g19450,12.29081465,1.772104007,7.307527502,5.808236267,12.8866272,4.271876743,9.733027459,34.83974996,2.06187095,5.834571622,6.493331481,4.889148267,7.021840942,9.398226165,23.86640241,23.03421681,8.176686338,19.28258173,12.74174636,12.00302541,8.142847487,5.69597981,0.127179013,0.144637275,7.408219392,9.931995954,24.20444724,25.0571814
Chr1-11953538,LOC_Os01g21410,8.594664828,1.711442458,4.32787792,11.00072217,1.661378839,1.704684082,0,0,0.149668718,0.656224052,0.36153332,0.832274638,0,0,0,0,0,0,0.219545756,0.536822961,0.907327335,1.130698934,0.855697192,2.971343716,0,0,6,6
Chr1-11953354,LOC_Os01g21410,132.0344957,88.98059634,137.4676146,105.7619999,129.5738024,72.15756395,73.39518798,75.26426202,94.88608867,55.04600815,47.84099098,55.63650632,41.88697999,41.06083185,49.22247028,56.93514674,51.03778859,52.1418498,49.69186594,26.61541574,63.28725781,62.92502227,80.47759665,11.46073963,54.91293506,53.29696449,135.9924667,144.0819628
Chr1-11954451,LOC_Os01g21410,0.448635239,3.971032373,2.776787289,2.745683498,3,3,3.661195628,2.097626098,1.533915765,0.278325035,0.979291132,0.901286529,1,1,3.23074402,6.017810851,4.925372796,5.431678534,1.245595049,3.565332636,5.479504063,5.918708002,0,0,3.255684114,0.371405616,0,0
Chr1-11953049,LOC_Os01g21410,6.185874773,6.769286605,1.992665137,0.203968664,1.834733016,2.232196678,0.007572062,0.668943103,0,0,0,0,0,0,0.603352296,3.781124806,2.18763285,0.026949479,2.252558632,0.492600236,1.124384126,1.329853762,0,0,0.207585569,0.601871845,0.707557256,0.777002717
Chr1-11954343,LOC_Os01g21410,1.593297413,1.122525566,0.161056231,0.098746124,1.705454492,1.296104966,4.642442162,0.003725315,2.746231447,5.044061598,0.61774656,1.304390985,0.063189067,0.726992392,2.411548411,1.985369505,4.348854289,4.080313488,2.560957463,2.264359504,1.757963677,4.666813094,24.98769353,50.65434321,0.893365197,0.854928389,0,0
Chr1-12332871,LOC_Os01g21970,2.331702804,0.72032111,2.19473392,6.562112498,0,0,10.03229127,7.835187126,0,0,1.710570881,0.773860202,3.048426904,1.611812406,14.54073489,12.70206354,9.999463135,14.52789245,914.3039052,953.3342794,5935.430584,6550.712929,101278.2007,78498.10805,15.08604817,15.51755404,0,0
Chr1-12335968,LOC_Os01g21970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784575923,2.097427721,49.2647407,27.29137427,0,0,0,0
Chr1-12332709,LOC_Os01g21970,2.362205145,0.365613025,0,0,0,0,1.291283707,1.042424461,0,0,0,0,0,0,1.869434874,1.075233791,0.007796996,0.146899265,11.93274997,4.584427858,56.73542852,84.17112183,485.8807144,653.8287776,3.606408739,3.99012816,0,0
Chr1+14797227,LOC_Os01g26120,19.41233775,6.735091032,14.55323361,7.604469349,53.52669685,74.47748885,75.67883194,76.68532113,306.2486798,300.9438273,129.0641111,131.385617,179.1623435,163.1953943,14.97360711,18.51771848,12.35939344,10.18997867,11.8548851,4.978393845,15.98037744,23.24657172,33.28360996,19.16455801,22.08120698,39.07963471,4.663258888,5.423583512
Chr1+14797032,LOC_Os01g26120,6.720523369,6.51592916,6.586555277,17.35374421,26.45168474,22.46201756,14.37192533,23.61413237,58.13367615,17.98274653,34.54048134,36.12334313,70.76742938,68.10845676,8.156737457,5.509222072,1.499091744,3.78363638,13.26289357,13.4319703,3.422400993,3.858851292,18.59223802,27.84513478,1.433700044,5.049939294,3.66854757,1.965681049
Chr1+16056254,LOC_Os01g28680,10.66036067,12.88250245,13.20278217,15.86785115,28.41095664,21.98306246,99.63492187,104.6274764,238.4285516,304.6211041,360.5307936,609.9901328,141.7576868,181.1412388,204.0024358,156.0106996,211.9187202,298.5081557,133.2259127,134.8414922,34.76410005,41.72735322,33.4982537,50.00168022,11.7110851,7.442734548,16.63391777,16.7824848
Chr1+16056051,LOC_Os01g28680,0.484695686,0.911673214,0.802904619,2.338359021,0.640913191,0.161449459,2.982717832,2.644923857,6.092266949,5.179869191,5.556543383,8.907840775,0.021966094,4.914151515,4.773383643,4.482926645,5.74932484,5.677269024,2.434812133,3.661937152,1.190353789,0.070825435,1.724242237,0.41506413,0.7229245,1.264604567,5.572722046,3.142788825
Chr1+16047519,LOC_Os01g28680,1.61600296,0.615146415,0,0,0,0,4.440303096,4.275105351,8.239604003,8.609371237,1.901997093,1.131690267,0.475412286,0.99626976,0.36933103,0.31140316,0,0,0,0,0.200922744,0.157722276,1.29827126,0.33011098,0.002391221,0.530194085,0,0
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0.316699934,1.193113002,0,0,1.095555047,2.948171674,0.039853056,1.677495575,0,0,1.732725482,1.86134953,6.131185969,5.940803774,2.178736953,0.449545688,0.173402906,1.977704035,0,0,0,0,0,0
Chr1+16053083,LOC_Os01g28680,0,0,0,0,0.7656268,1.157855428,1.398321129,3.424827759,9.271475102,3.212676362,2.387747718,8.004998762,0.821846409,0.732971977,0.843257618,1.651548587,4.008632701,4.641211923,2.272761073,3.289771692,0,0,0.277209689,0.785133928,0,0,0,0
Chr1-16347334,LOC_Os01g29180,10.85779157,9.633496165,14.70930055,16.07244202,25.27456971,21.34526921,10.07725368,10.56834573,0,0,0.291957168,0.98888294,5.249616395,1.869190217,7.288552824,5.846842915,3.886234029,1.192849998,12.00603062,8.234508162,17.28812818,7.071194347,0,0,23.77138425,16.83431457,14.31159841,12.53243507
Chr1-16347485,LOC_Os01g29180,0.24328437,1.003129888,0,0,26.32391786,8.166781288,0.426272967,1.551051286,0,0,0,0,0.205765667,0.69077765,1.202698312,0.408766993,0,0,1.737977431,3.387941836,0.809942787,0.353128309,0,0,1.786402161,2.20881084,2.104605944,3.536906987
Chr1-16348223,LOC_Os01g29180,43.32581471,39.90953903,45.11386549,38.1702821,13.08107889,21.65120938,4.557493353,4.993567496,0,0,4.130695591,4.043478929,1.847842056,3.934973427,2.050241932,0.82557121,2.714334656,0.458593017,3.970432531,5.238458689,7.712739081,8.208898731,3.27343397,10.57960077,11.88754899,9.681271092,20.6367765,33.6127413
Chr1-16346853,LOC_Os01g29180,0.785514915,0.461577407,0,0,1.168481632,10.5119473,0,0,0,0,0,0,0,0,0.944843419,0.692514238,0,0,1.07432163,1.681438166,0,0,0,0,1,1,4.62993117,4.133350188
Chr1-16347644,LOC_Os01g29180,0.790509821,0.900352129,0,0,3.985407464,3.45061059,0.866540735,0.391454033,0,0,0.693544168,0.377049053,1.276904589,0.74640349,2.496497111,1.683096427,2.01072042,0.113639286,1.046547251,2.02595666,5.230563857,4.15500679,0,0,1.162266673,1.595114241,3.111068143,1.073083909
Chr1-16347169,LOC_Os01g29180,1.695660902,0.272300237,2.370555866,3.370991007,10.0571621,14.29310334,5.918535805,7.955274246,0,0,0.926810374,1.329490348,1.772685848,6.58506396,5.401518272,8.002850414,0.887724602,1.073964664,9.526654252,8.592244981,6.16200665,6.988697111,0.565513801,1.414970847,13.79160248,18.11907621,5.133240649,5.202174583
Chr1-16348507,LOC_Os01g29180,0.705966471,0.110669292,2.017465572,2.106154153,5.238501565,9.73357307,2.910480769,3.640435259,0,0,0,0,0.523287184,0.025382547,2.436069434,0.966434707,0.89314855,1.311653355,0.131457732,1.052597352,3.275397047,0.244500729,0,0,4.214148394,4.481834832,1.277412526,0.76154646
Chr1-16347013,LOC_Os01g29180,2.327867639,0.24250715,4.259936139,0.686287911,18.34228584,10.1578859,3.571976535,3.946067261,0,0,4.092582952,2.590874152,1.016825783,0.956659403,5.830199198,7.086193206,1,1,4.405331972,11.426882,1.659135082,1.97529381,0,0,22.74571655,14.76014361,10.59563703,10.60823982
Chr1-16348650,LOC_Os01g29180,0,0,0,0,4.011241683,1.730666237,1,1,0,0,0.255250282,0.304000176,0.667821982,0.117859825,1.695225101,1.688539799,0,0,0.040290607,1.425074042,2.722652152,1.406293326,0,0,1.016541195,2.110672953,0,0
Chr1+17157471,LOC_Os01g31360,20.11131191,25.19594746,21.74121518,24.83318281,1.956441395,1.594877478,1.156855432,3.499713582,23.9508253,14.9107806,30.87754718,27.25893442,10.30553057,12.94415561,4.528502015,4.017821626,4.107029722,3.756689244,5.201515367,9.015598348,3.132253468,4.009701286,0,0,3.847050128,3.933499713,26.29130948,29.77256013
Chr1+17157829,LOC_Os01g31360,202.0368394,214.2068734,240.563917,202.1936562,128.3982023,135.1527601,318.8058591,325.1304529,769.66984,784.6121222,563.0698349,535.1840538,291.7494175,284.8244701,129.6276739,154.0493441,138.1873796,179.1700787,308.9393842,308.7346711,111.2054753,156.8710778,107.3274464,157.6075162,133.4311361,161.3411222,431.3164452,390.8629125
Chr1+17564941,LOC_Os01g32080,151.6286608,120.8080491,245.614198,231.4788383,64.60496897,71.39717041,264.6835615,244.3516147,339.1207735,301.0996723,312.7788751,318.4202972,376.9437232,382.4340013,217.9791855,225.6423005,201.1154048,156.2701893,173.376812,218.5347774,44.68067019,47.07218487,69.67032295,53.9645883,82.6960593,84.16265419,99.33215835,83.20155828
Chr1+17564699,LOC_Os01g32080,0.992891906,0.56069999,0,0,6.833432326,6.27634453,0.397953745,0.61230425,1.061325323,0.294252039,0.00436865,0.45507819,0.224697347,0.942252322,1.694783075,0.806319562,0.317423902,0.302513624,0.590904135,0.166356892,0.016780427,0.535820887,0,0,3.253356529,0.289392439,2.61624981,1.613444453
