chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,dry_seed8,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,endosperm8,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,imbibed_seed8,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,shoot8,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_20days8,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,leaf_60days8,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,stem_60days8,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_5days8,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,root_60days8,husk1,husk2,husk3,husk4,husk5,husk6,husk7,husk8,anther1,anther2,anther3,anther4,anther5,anther6,anther7,anther8,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,mature_pollen8,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,pistil8,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7,embryo8
Chr1+2795487,LOC_Os01g05830,379.9027072,545.4118898,636.7017211,568.1081401,468.5332565,486.1792942,528.8404816,448.8717981,338.8790241,322.4986234,281.2537907,378.8128632,331.7463409,331.5479903,398.060583,347.3796863,87.93817967,37.92030625,65.64602373,41.89781846,72.36212884,46.15335736,10.61218896,45.22833886,8.783559121,9.272958728,4.595721484,9.794940799,9.866303715,8.106072986,10.4451594,10.171777,20.51338249,19.45418895,16.94784835,20.11057411,25.12807558,17.00454064,10.42408345,21.64590134,13.19855807,11.56968325,5.075620975,13.12949614,19.21904217,17.51542206,13.6575165,11.37424023,10.69507899,15.8115719,9.570910597,9.178040305,17.13417149,21.32745315,11.59866082,9.259053019,15.30150377,9.119027847,11.86150155,15.49674606,13.22107729,15.26478773,14.59503041,15.47465041,16.42742854,14.99581162,10.54943979,12.17436652,10.86563221,12.56090882,14.12126255,14.91109671,11.68526813,12.07934453,11.4588014,10.40111538,11.65245232,13.70043453,9.706797414,11.33997312,47.19403793,52.23383132,54.62654083,56.67078052,48.22540593,46.78102995,56.67768283,60.96327547,185.0450469,326.8633516,137.7647408,87.0167126,202.8756469,191.8269549,0.095151285,17.86792886,5.781435297,4.638849736,10.37808478,6.10908253,8.321990549,5.67643692,17.20414315,8.171267696,188.9970644,187.6456572,182.417047,193.003445,184.8975972,189.0225648,190.0309886,191.9080926
Chr1-2830078,LOC_Os01g05900,25.12690974,23.69359281,22.9258967,25.20741687,22.90763891,25.86644892,29.64158019,36.10702871,39.27210826,20.47464936,54.29593792,29.8277908,14.34752602,12.90082147,30.9804858,1.423855536,8,8,8,8,8,8,8,8,2.306610884,2.573052921,5.688492546,7.355260317,4.355036699,2.52231803,2.864744898,1.702815618,2.612055256,1.740073361,7.263519614,0.113098414,5.139577798,7.377128458,6.114340542,3.767936909,0.533110288,0.715081586,1.015757225,0.8360447,0.413419786,0.530687568,0.693984674,0.525790103,0.048558417,1.817926894,2.009472408,0.938409765,2.226731334,1.552440041,1.440007224,2.496092035,1.835148172,1.479159556,2.489726741,3.595249502,1.46435581,2.328066853,2.710638555,2.269687688,5.86403737,0.919151644,2.874791891,2.19586474,3.356400066,2.937889294,2.036918524,2.762483883,0.872788494,3.163842712,1.030559706,0.615307758,1.499602941,0.321861675,2.842645338,1.390167048,0.499010123,0.442521077,0.013594419,0.295286652,0.88602848,1.573083199,1.022216156,0.012572897,3.277758109,15.90281272,15.05200285,1.88241421,9.23752485,13.80715547,5.419966957,10.61762255,0.936151355,0.522300709,1.587043323,1.271697037,3.133514788,0.601718668,2.405636829,2.681084498,23.27924944,17.55031941,15.21286386,11.00093506,16.64506884,20.38653211,19.2784564,20.26860774
Chr1-2820091,LOC_Os01g05900,39.68214068,53.91449846,64.45425984,53.23072336,49.90922176,55.04820813,51.52441815,35.74622115,70.60827137,56.74132797,68.70433122,98.85458939,54.25095754,71.13623475,82.98205342,66.09210849,64.1581698,44.81731407,40.77535574,42.21587563,57.43676233,66.8973108,65.48991834,54.5381292,134.3363239,128.8874012,129.0427482,134.2723246,137.4735363,137.0254676,128.630492,134.2092669,31.91701968,31.54631311,32.38276121,31.54613207,32.97588382,35.51397537,36.32295722,30.14750141,34.46689261,31.53769699,30.52990965,32.16080794,33.54674798,36.51542174,29.68933298,26.68379342,55.23822722,66.90071473,69.05516537,54.25196416,60.66426428,63.39371892,72.28553662,70.80205083,148.9641678,117.1032261,139.6610571,143.5024006,144.5669548,164.4873286,120.9841736,141.9838595,150.171884,115.3633383,123.5285078,125.8299767,151.8487988,140.2644436,141.7927453,135.975577,54.42494838,54.29215853,53.61015762,55.06716461,49.03732018,49.98534975,53.91941279,48.7064619,44.01075935,65.20517053,58.80385555,34.3358127,54.83589084,68.6410601,57.8603187,44.15148272,58.39792541,65.18128947,101.5420836,97.03658839,65.2893606,100.6601257,41.13949199,48.80054362,87.09723947,82.02967182,78.77498989,90.48556377,82.29003074,81.16969566,81.66824342,86.2040741,20.08188269,27.16862245,19.90881086,22.47861558,22.29857444,21.11582206,21.9929051,21.71735254
Chr1-2828357,LOC_Os01g05900,23.53761602,9.892982965,17.84460862,4.673886796,8.956491385,0.350787172,6.810034974,0.878262369,12.95440142,13.35554001,17.06335899,12.15500171,15.85545406,14.54230585,14.97103004,13.82989739,0,0,0,0,0,0,0,0,1.539955389,1.09576128,1.004099428,2.000367037,1.066990727,0.018856843,0.223072684,0.599816452,0,0,0,0,0,0,0,0,0.004769594,0.317068371,1.197335111,0.228129305,0.047012342,0.05677563,0.451700774,1.570070865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63534532,0.769459819,0.358503904,0.126916847,0.867767576,0.269753761,0.269934237,0.168528364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.085358237,10.12806503,10.37043863,9.830334453,10.48545017,10.74567887,10.57443645,9.597294856
Chr1-2837849,LOC_Os01g05900,266.6218857,276.604149,287.3448695,281.5916112,354.9245424,315.8920406,372.15721,302.9159487,299.2448078,427.4327955,394.80411,433.2136878,349.8247251,380.8035692,359.0736464,358.8132268,876.8866501,909.1674699,866.3792309,975.1783446,901.6509852,880.1852161,866.5486365,916.5891561,719.0800247,661.9417591,530.4930256,676.166058,695.185835,632.6540153,612.0758993,502.8458389,322.9508633,321.7394507,337.7022838,358.5459394,344.5034036,329.5707038,344.7588477,346.404405,267.0094627,273.4022313,290.5122524,288.371585,239.6105569,279.3178496,274.2014661,279.1693907,455.7758138,431.6993338,449.6156813,434.5280045,503.6215868,467.3166982,479.5538858,416.5329289,838.3001705,786.2394452,858.587928,732.1155398,830.9428758,736.221394,885.082771,879.9182397,712.9425222,603.3398752,696.837495,653.1028317,630.6111521,687.3229283,606.5355499,642.0329027,431.4875733,434.4937757,441.8707006,357.1364428,438.5084011,384.8368693,334.4648024,345.0105856,433.588367,435.1964908,446.3167387,568.1609011,429.2761764,389.0756201,454.9171938,451.8959179,582.8617833,653.5823069,796.674222,798.5684097,983.5011434,383.9327877,789.1236967,463.4329252,352.7703295,313.062644,379.5884297,252.2738834,348.6361744,375.2525162,254.8564651,415.4663614,145.7707389,268.0564211,186.0791628,219.3494738,186.3768413,242.766849,211.0807309,204.3254241
Chr1+3648483,LOC_Os01g07590,4.298455667,0.555659151,1.699413309,2.060033807,2.722684325,8.008979926,3.00889153,0.214628232,6.439068525,4.451870446,0.616135941,3.004325339,0.271781997,6.944456282,0.367230612,1.927254192,2.637583074,3.710968032,3.876056903,3.771731255,3.764541341,2.748863259,2.472537116,4.267497821,2.458734649,0.987630645,0.139604756,0.766025926,0.423062891,1.117362533,2.102688944,0.814414537,0,0,0,0,0,0,0,0,5.202262356,4.86685722,6.3933316,3.43963294,3.880141479,6.20975869,4.756860499,2.835245329,2.76194004,4.243116357,1.698854565,6.925538018,4.884747134,2.843687786,3.794519284,5.227828635,5.172973654,3.565346252,0.964163555,4.059641732,1.09229419,5.04613711,0.721200552,11.93552383,1.373201034,2.279742111,1.010757547,1.74710424,0.052664255,1.458755721,0.077204273,1.143928637,2.153636716,6.967912948,5.862203626,7.884378362,4.191183839,5.625726604,7.027271332,9.066883595,2.970862092,3.051249195,3.133567193,2.456517002,1.788254126,2.917127243,3.009941276,2.691730245,1.984955772,0.093068771,1.152283065,9.628603468,2.559799247,2.404733235,2.257539619,0.864317858,10.07872446,12.75323679,13.54859373,11.26827909,14.46952682,13.48206241,13.84466167,10.50629279,4.609943517,3.882937776,1.803648633,5.929027131,2.250636899,5.440285272,6.169903857,0.127814075
Chr1+3650606,LOC_Os01g07590,28.26808017,40.12614474,21.24823734,18.64922473,34.63990012,26.39143921,23.95925453,30.58116577,19.91439402,19.59322646,18.96351386,23.30125845,20.15810636,16.00875186,21.19614805,19.25635623,11.09092202,0.521845547,0.005109619,4.879775099,4.814159107,3.301504639,1.571564853,3.576411463,25.51135605,17.19806102,25.74978072,26.42932296,20.14399666,22.33241814,23.35767445,24.40341331,5.316486864,11.46302718,11.17762131,10.52086207,12.01362466,11.64906167,7.014789273,12.13559128,87.45982044,84.29601845,82.80186331,81.92780052,75.03618522,86.48775695,85.18120289,102.9181823,81.65248569,82.83393703,68.55720787,81.07745749,76.79044357,76.44942093,78.43679386,87.20151557,2.293458065,3.035870565,3.392328516,3.080238145,3.475314116,1.407524442,3.087322022,2.087651233,6.539445458,3.581856764,0.881499811,4.949568597,2.682732434,2.565020779,0.627460833,1.243200141,26.20436403,22.51000101,31.35739241,22.80275756,23.33236178,22.34695357,18.74386374,16.2183509,3,3,3,3,3,3,3,3,1.281654664,6.090246268,4.197015949,8.046879377,13.71208279,2.393865881,0.033272121,18.70599662,11.36800457,8.28719868,0.373842288,15.81064063,11.27847096,7.511020832,2.275038776,7.577657301,40.08355491,37.00244455,38.96300363,42.3898615,44.00340215,36.35588103,41.62493685,47.73295552
Chr1+3648397,LOC_Os01g07590,4.672113689,45.15696848,20.50261446,18.05278567,16.31341416,16.31339331,20.29446099,14.45435364,20.36378203,18.58445246,7.77635613,21.95731661,22.08105032,8.04828478,9.881309843,15.18119739,19.20456899,14.12104514,15.86762536,15.42433897,7.794774438,13.57348211,10.69791712,14.8060627,0.867447381,1.529863623,4.264703859,1.274368669,3.2126461,2.496657246,2.209654095,1.745761062,13.22691421,15.1364076,11.07135296,12.51806976,17.27648412,10.03607027,15.2847452,10.7168376,3.541365471,4.627694733,1.878369103,5.022851629,3.202489933,3.882355373,3.275677911,4.942417068,4.425958619,4.877563939,5.589576194,4.350652018,7.296099833,3.948516211,5.993792665,5.45165316,7.777647271,7.203861004,8.767236028,2.058424816,9.651639461,10.13494116,4.435729236,4.607601778,1.790629047,8.194310636,5.425568616,0.106410307,0.797264341,4.923475953,5.81841685,0.004258817,9.973983599,10.22692558,11.87525345,9.727127356,4.492824592,6.272859707,15.31988368,7.097682332,5.006348375,4.717143341,3.721449041,5.010985722,5.096674339,3.881864661,5.631409286,4.72124663,0,0,0,0,0,0,0,0,19.45487149,19.72647454,20.95735582,20.96681522,23.90601319,21.73759433,20.15249692,19.11561421,24.74587831,27.58581935,25.84080715,27.8903101,28.72256785,26.47369444,27.66207383,25.81734939
Chr1+3650692,LOC_Os01g07590,1.658977456,1.25332469,0.340013242,2.749059255,1.515350569,0.090567687,2.858684713,0.074348711,0.141194038,1.868829096,7.577510725,1.154543185,4.547529889,1.17295931,5.903552194,5.686217325,1.113836201,2.448614415,1.072486689,1.078022172,0.206268017,0.710624849,0.224177034,1.318754596,9.068886419,3.494220435,4.433756939,3.247492664,9.971710709,3.398855813,8.305876216,3.939628581,0,0,0,0,0,0,0,0,7.614058212,1.824192638,8.98833829,2.827053914,6.810678537,7.74045466,6.00067621,3.125357818,5.819891521,6.599439475,5.66586536,6.804968243,7.243702822,5.751371451,6.723831802,5.423985259,0.790154935,0.562701898,0.261414869,0.131321671,0.120033179,0.053644423,0.611599374,0.321516685,1.653815054,1.660321278,3.236224402,0.858510776,0.83126005,1.512677229,2.535768236,1.030977034,0.611278543,0.677143258,3.240370292,2.457813808,3.672715845,4.429384054,5.152865497,0.755473688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.372534142,1.193577717,2.188506773,0.057986475,1.649216602,1.926886856,1.80983819,1.102877565,1.897539742,9.279455725,3.719330056,3.459731578,2.594406547,1.831221876,0.20017555,4.253901782
Chr1-3671562,LOC_Os01g07630,0.337425591,0.767733437,0.510547836,0.48957539,1.23780103,2.680048937,0.554543644,1.260319013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343007177,0.536019598,0.168190008,0.191932383,0.234080137,0.394089321,0.114000158,0.173515607,1.157228414,0.331857955,0.902867318,0.793977527,0.129715003,0.325794257,0.307465258,0.705724275,1.434493448,0.09726483,0.532223448,0.255527419,0.205814322,0.457920008,1.026668848,1.733934107,1,1,1,1,1,1,1,1,1.000135796,55.52739892,5.897265994,10.22672447,11.20059018,4.855174229,12.75401064,1.431671996,0,0,0,0,0,0,0,0,0.715908067,1.136002258,1.429610794,1.135691036,0.099582335,0.303903739,1.845754705,0.997405256
