chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,dry_seed6,dry_seed7,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,endosperm6,endosperm7,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,imbibed_seed6,imbibed_seed7,shoot1,shoot2,shoot3,shoot4,shoot5,shoot6,shoot7,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_20days6,leaf_20days7,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,leaf_60days6,leaf_60days7,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,stem_60days6,stem_60days7,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_5days6,root_5days7,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,root_60days6,root_60days7,husk1,husk2,husk3,husk4,husk5,husk6,husk7,anther1,anther2,anther3,anther4,anther5,anther6,anther7,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,mature_pollen6,mature_pollen7,pistil1,pistil2,pistil3,pistil4,pistil5,pistil6,pistil7,embryo1,embryo2,embryo3,embryo4,embryo5,embryo6,embryo7
Chr1+2795487,LOC_Os01g05830,346.480712,499.4379722,805.9503686,453.2358301,443.4986542,477.3373725,531.9040284,388.5878522,308.77137,386.6242422,395.2366075,384.7143546,351.8804221,258.3960562,26.72708105,32.06698466,42.91203501,60.77382272,101.2478307,100.8391366,79.97028318,11.69046647,12.0401676,13.10617329,10.3650631,13.18291415,7.912685384,6.031482191,21.8826272,23.03321751,24.61731869,17.65951295,27.76066248,14.18358057,22.37700817,5.748292203,9.728027626,8.908300932,10.55201533,19.57099997,21.06607887,13.95082889,4.53285036,15.70993645,13.83342909,9.726134158,11.7881682,13.62639073,13.32146929,12.16005036,11.95348117,16.80670262,10.23687406,14.27444312,12.83309274,15.49680401,13.40923476,14.72999482,1.102685734,12.35062475,9.092528273,14.93577559,11.51858518,11.18195392,10.7856654,13.12688143,11.88426923,10.88753698,12.35539029,10.04812699,55.80079698,46.92601709,45.15283364,56.88104777,57.34172225,52.15841282,50.29097221,40.63910313,17.52019084,105.0480418,334.6675824,365.4419649,239.8887483,17.51034375,5.194461806,15.02878868,3.039620985,4.512150179,10.79921017,9.986970373,12.26756096,193.2071579,191.5343513,191.6934184,185.5381909,188.3291754,190.3202471,185.2803502
Chr1-2830078,LOC_Os01g05900,25.01893903,30.38331898,30.81305289,15.95861037,31.75077657,31.13155726,22.23792477,14.99658501,35.20932975,33.90554388,9.362994435,38.75885645,25.74026473,16.33375656,8,8,8,8,8,8,8,6.238064516,7.063526226,5.109446999,0.267656949,0.053808737,0.075683731,5.563621722,4.667104969,5.703577714,4.062489932,1.476579985,3.294970324,0.126498202,5.718108766,0.292110563,0.12364926,0.084391843,1.549398684,0.17104812,1.053327415,2.534490499,1.713752942,1.612905121,1.605281589,1.153603427,1.224574868,1.398540997,1.742239093,1.260964463,3.590565721,3.151813961,2.7703413,1.902345584,3.057658516,2.298231425,2.4284615,0.748971814,1.120912248,1.988940332,0.363803177,0.53527044,1.011040857,1.623347822,2.24335047,0.443244146,2.357403035,0.941161282,0.650555711,2.480436516,1.370112856,0.029921093,0.008589009,1.120248362,1.066568367,0.182182539,0.587652086,5.264552825,3.583085314,0.599993351,27.67304362,5.21352734,8.627204879,8.607814281,0.369762657,1.472741228,1.98695041,1.020437339,1.437864037,1.689915254,1.353758498,19.79724749,24.49839667,16.67136096,18.11301125,19.39815156,24.55274568,25.90289173
Chr1-2820091,LOC_Os01g05900,60.01127055,43.264142,45.79292704,40.74746851,59.73403753,56.93586817,52.37675816,50.17861249,80.29644176,86.2267308,77.41368491,81.30575839,70.12776786,90.47848292,45.76371719,34.82200771,64.45224786,80.40440072,46.650456,32.08040941,72.68872754,133.6467273,138.4482093,135.772903,138.9737335,134.4439034,134.6165297,134.9826958,32.72979839,33.89332239,37.31333967,29.02198325,28.48217699,30.89101583,28.50083521,31.681631,40.23405163,37.61048515,32.56910682,33.74594125,35.0479283,37.00708446,62.85773746,60.83886689,61.80988974,64.7131778,64.63464986,71.31485764,68.54848378,146.530327,153.1446302,145.0499957,152.5220734,138.7553924,129.8244319,122.9239285,135.1393778,144.7833793,150.7568395,137.4540271,134.1054809,136.5510642,140.9036856,53.69779822,54.56493127,46.89802378,54.3201825,54.5965946,54.06206106,51.36831384,48.2107686,51.09218141,55.06447195,49.05078735,53.71079785,51.73992631,46.18150792,121.7426875,83.56038182,78.53462259,89.56767022,100.3153321,86.30030678,37.65917133,93.055751,83.83851212,75.1432802,72.19485904,75.75042739,80.05821962,95.86317934,19.07187981,18.82357228,23.15380579,25.05620151,22.88424401,20.04292144,23.98008789
Chr1-2828357,LOC_Os01g05900,6.218895993,15.68705572,1.803349987,26.12656871,24.06667255,5.269083541,1.13248712,15.73126972,16.3896585,14.49929071,14.32936879,12.29765926,17.51733025,11.6929642,0,0,0,0,0,0,0,0.418940485,0.468472142,0.028040349,0.582379385,1.855407703,0.324051262,1.054653538,0,0,0,0,0,0,0,0.176529683,0.113236857,1.231824403,0.430226034,0.044205279,0.902271907,0.769222003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862754953,0.65930555,0.766259961,1.145748257,0.477350395,0.340761986,0.656771356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.446361513,9.930207149,10.68008002,8.896699778,10.1244615,8.612727048,10.85025361
Chr1-2837849,LOC_Os01g05900,308.5207396,271.8905736,302.3403029,324.1909429,337.4474547,273.1566601,346.4213628,395.347097,380.0773371,326.546774,374.6438444,355.5760405,352.4067849,293.2195332,890.2460663,920.5671055,888.0858346,991.7935409,902.8881942,952.3201133,871.0500508,548.7139548,522.2603482,721.8085738,744.2332945,710.1511822,638.6457049,507.8076575,295.1427351,367.6689039,333.7389311,323.5150655,323.1768739,314.6716942,303.1230728,283.605624,264.4008004,272.8641543,279.4163525,255.35808,268.6623311,273.5239562,447.7593834,452.0316553,514.069079,453.3230194,451.0509833,429.5190264,454.1518538,802.0704309,832.0921297,798.5688604,803.5684529,788.1648272,782.8416427,865.7233902,628.9733403,482.8987151,507.2164039,614.4350623,615.9269708,635.6039333,690.029956,377.7007295,434.4961466,372.6833055,411.2365433,460.7594271,418.1271952,446.8940379,442.7725213,391.9554768,437.8642498,468.4816767,415.3768617,472.8028926,394.2528278,542.2976562,474.4742023,608.6406597,410.696602,651.6945533,664.8556321,556.3913407,443.7645784,409.4214475,317.4875049,264.524447,344.2434906,438.6557419,380.5417837,116.5942021,196.1711821,221.2741933,216.5382259,201.971037,242.7806491,260.8135987
Chr1+3648483,LOC_Os01g07590,7.285651498,4.685173312,1.582999944,3.163887588,3.032511772,2.883490382,10.13573451,2.421609735,0.879106762,1.647535417,0.067093001,1.236496306,7.001323286,4.759027904,3.060411519,4.035222063,3.787913708,3.567828988,2.706383393,2.917019895,3.493106519,0.666207694,0.19762498,0.259296098,2.47194891,2.066164505,0.753720494,0.005121217,0,0,0,0,0,0,0,5.105562683,6.757517311,4.552285337,2.887707595,5.694011779,6.874692237,4.591239343,3.463007769,3.101069569,4.991430877,1.689981846,3.657914413,2.285766855,3.135692841,1.018205304,0.289914653,7.047404641,2.269038747,2.902767736,6.575714347,8.071721534,0.291428738,0.057595164,1.645515362,0.563970028,0.656347227,0.967497748,1.53883625,5.040696459,7.738240889,5.211443057,7.428545056,9.002429876,7.485417348,3.314600457,2.949510151,2.339713234,2.750017699,2.826992092,2.325459414,3.419327211,2.589385823,1.638423237,6.966242713,3.0227586,3.576536468,0.707702247,0.192977909,0.612187088,12.35152506,11.27260152,12.06752807,9.273103789,10.21220342,14.30490535,10.76465497,3.94508215,6.534272384,1.633058341,3.723882944,4.997522763,5.390103594,5.490277699
Chr1+3650606,LOC_Os01g07590,35.4443972,34.32509644,29.41393322,33.94665597,26.80891321,26.64110891,19.93691666,18.90420542,23.36792802,21.89638962,18.87126355,19.62627293,21.88417215,22.17613032,5.612220517,1.307757763,1.818920319,5.78627199,11.41333893,5.625504306,5.039135988,39.49290978,25.85316008,28.61630603,20.36535915,29.04603756,31.19001911,27.79861543,14.40012343,6.793797323,14.14394886,11.9088883,13.07736694,12.72539565,9.796146389,86.45477842,75.89339655,79.96543883,98.20016899,84.48801075,95.62815315,92.62099983,71.29186112,80.4178312,87.99709071,105.4053585,90.8153124,87.44948889,86.91543308,3.017403756,2.214849575,2.218131688,1.188366994,2.000886259,3.433709436,1.766676491,1.613682966,3.34378764,2.009982067,3.104661001,3.39471413,3.260126953,7.086396017,26.05924591,27.08822002,23.85155812,20.17753228,22.24021233,25.12513088,21.4613544,3,3,3,3,3,3,3,14.87478703,0.5905244,3.258672222,9.347215921,0.405700496,13.50757064,4.029036314,7.528929049,2.78821458,1.031541382,5.448026797,9.589183401,6.202819786,5.97772792,37.6651586,42.35663679,44.64328141,40.07707689,39.36310163,43.3367347,45.75938297
Chr1+3648397,LOC_Os01g07590,12.15217877,23.58525393,29.15708947,5.586840788,17.38212106,34.84150926,23.39523702,18.92436603,3.915896345,7.209885194,4.745076652,24.00321386,18.19334253,2.022345986,8.586471159,20.73072073,18.32074209,13.57243039,14.4002186,10.30221776,16.60433696,2.470982077,0.359756656,1.650767513,2.163879909,1.043465922,2.021659253,3.317963227,15.17946229,11.11986361,5.855927592,9.365398066,12.67322407,10.82354206,6.914728941,3.509751054,3.565418304,5.028386288,3.649721217,3.956582249,2.773379375,3.433321597,5.588273428,6.30349647,6.031372338,4.70098033,6.287618071,5.603408505,6.468776191,2.503655728,4.341844264,8.889437349,5.322909563,2.120450578,6.352713935,3.934959149,5.79297387,0.84754479,0.142914806,3.45234743,6.193011782,3.394882181,0.670564164,12.6408189,10.32793184,14.93560041,11.19281181,12.98321396,12.97661111,11.717528,5.390198911,4.507593947,4.045392564,5.524935391,5.104130991,5.369881307,5.036664244,0,0,0,0,0,0,0,21.34828393,19.6494353,20.45028675,18.29466427,20.58418669,20.80148055,20.83154994,28.17665031,26.81503219,28.04782301,30.10505481,28.5019176,27.47676531,26.74111317
Chr1+3650692,LOC_Os01g07590,1.775285488,2.61206662,1.727779494,0.017281346,0.482128732,0.536918814,1.044273975,1.990524252,4.181935609,4.05443542,0.442976052,9.725416172,2.335558494,3.254800061,1.550260886,0.401815069,4.013535182,0.599279163,0.721064229,2.398810847,0.293296741,6.020335868,0.03110389,0.472582372,4.248609623,0.400512895,2.600743318,1.317465204,0,0,0,0,0,0,0,6.735797318,6.213636326,5.564921561,8.211881053,4.870142509,6.516951439,6.922881786,5.201829467,6.005813109,5.756039874,6.444350927,5.687176496,5.83736009,6.685698285,0.090257113,0.048463143,0.23745268,0.972800595,0.07216255,0.201391246,0.100804023,1.639009221,0.715031051,1.362490848,2.189135149,1.475680643,0.616047759,0.234695025,2.564541485,3.346547716,4.205059108,0.380665009,3.831453128,1.1732532,3.640565564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959702748,2.104581339,2.198315206,1.518306416,1.574733398,1.498919626,1.210721523,5.655250867,7.625870178,3.257183016,4.131472588,2.640155069,0.673852019,3.064515188
Chr1-3671562,LOC_Os01g07630,1.110541183,0.448554684,1.137550824,0.765183419,1.63202037,0.608116404,1.789783712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157662869,0.373630771,0.293395464,0.352962594,0.652049208,0.043782184,1.023574951,0.119948168,1.215590665,0.80125295,0.51024371,0.388105377,0.218884861,0.708399883,1.491976408,0.092142338,1.635044913,0.253434012,0.146124362,0.923068472,0.003413739,1,1,1,1,1,1,1,11.08278411,5.482293388,27.35996617,2.342914979,46.14200973,32.7935401,1.295592398,0,0,0,0,0,0,0,0.333429569,1.022159262,1.271386982,1.096562148,0.027485869,0.575176698,1.059532207
Chr1-3667505,LOC_Os01g07630,30.09648016,0.408235214,19.8963125,72.28710174,10.80654342,30.60163316,57.81073224,31.82925144,11.66446039,41.23277214,24.78303993,31.79560855,33.58177088,24.63405716,21.57435547,31.50147018,26.13213875,21.98831985,15.45213731,17.68888998,17.69512588,79.67609218,69.22348745,71.08647,76.14868817,70.91481408,76.47106882,76.971675,40.47116631,17.7584059,13.41110459,34.69628539,18.75365033,27.52628535,21.27111833,9.925969713,13.64109248,16.50184483,11.20896245,10.02269639,13.44517184,11.339635,17.19990786,14.75225786,12.70157451,32.89693162,27.18465797,38.97227028,30.00242894,48.10566846,43.25989821,50.02579335,53.32859859,44.52016256,53.08379082,56.74979456,16.69122018,18.49501363,17.81939038,12.26953435,16.00798873,23.94520985,22.38109631,40.94715205,89.75439213,71.47480477,57.18457087,55.52642112,47.2180068,61.04828239,25.32412073,20.66379314,23.30222099,25.3504124,22.98506496,23.11620878,25.85604331,20.1028944,49.60792506,40.53200857,48.24872725,49.96115355,33.38370336,22.46105831,48.93228926,46.93537023,62.44421591,58.43048705,40.48934684,74.49555807,43.56253732,53.83723799,61.12591266,49.11226477,47.47694358,40.059391,49.96323798,16.76654297
Chr1-3667570,LOC_Os01g07630,0.976706564,0.632377252,2.496296297,1.984366127,4.833334843,3.907021937,1.99660014,4.457582132,2.859910886,3.100860702,0.382969548,2.631856603,3.912116172,0.383907965,1.056090995,0.129279323,0.31360117,0.432798215,0.583928427,0.30628988,0.420571651,4.034239741,5.060932785,0.77851032,1.377531389,2.408027093,2.584480636,2.537662476,0.577312196,0.760357992,0.899959452,0.535375554,0.326143469,2.948040557,2.253521658,0.190456276,0.252147676,0.246129085,1.099820853,0.237581485,0.251157776,0.499322802,2.508044773,0.953712234,1.42530218,2.107043171,2.757249047,3.62415523,0.441063425,2,2,2,2,2,2,2,5.04147958,2.549106188,2.61621157,1.370874721,0.596688583,2.502568175,4.189590227,7.615469905,2.8924883,4.084335503,4.32825003,5.747683583,1.712477332,5.43022663,0.964919829,1.052635589,0.285921432,0.533029707,1.336111284,2.127232684,1.120654168,0,0,0,0,0,0,0,0.16469046,3.840766451,3.165231659,1.062817071,2.094381027,0.707688003,0.99815343,2.824524101,2.662235858,1.574330362,3.950978249,0.784229295,0.161061823,4.114933913
Chr1-4622011,LOC_Os01g09200,5.564307387,5.890025235,2.950916059,5.838943608,14.56451478,5.078273177,7.408672395,11.89078347,9.287205984,9.230327823,4.376767438,16.12683002,18.75800204,12.94413324,3.136489744,2.525280829,2.474697105,4.181882582,1.672562239,2.432838772,2.65273659,0.601717853,1.346892671,0.994049408,0.492036814,0.782999176,1.507668933,0.435271204,0.857754495,0.121172688,0.25453548,0.241387085,2.295958722,1.375054986,0.648227755,0.775013591,0.261813493,0.106792952,0.780687275,0.420282019,0.766342542,0.086313365,0.358263336,1.534409525,0.480758864,1.209380465,1.278510177,1.209165572,1.556569857,7.20446194,1.32549041,3.645316534,3.177951178,0.696768763,3.019531916,3.56057793,6.94001964,9.350107789,5.051914997,12.9370757,8.401956174,9.871260457,6.439611227,4.479085795,3.095189859,3.065773747,0.589497525,7.89042261,6.720679229,0.610417035,3.330688861,2.26888645,3.459744864,4.496443639,3.928688863,1.191580576,2.601067528,0,0,0,0,0,0,0,2.415903199,3.262685594,2.594362969,0.588814525,3.28662247,1.667242685,0.063500641,1.199581937,9.705140649,10.29831045,7.988886488,4.78768703,3.01954926,4.225150621
