chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,dry_seed4,dry_seed5,endosperm1,endosperm2,endosperm3,endosperm4,endosperm5,imbibed_seed1,imbibed_seed2,imbibed_seed3,imbibed_seed4,imbibed_seed5,shoot1,shoot2,shoot3,shoot4,shoot5,leaf_20days1,leaf_20days2,leaf_20days3,leaf_20days4,leaf_20days5,leaf_60days1,leaf_60days2,leaf_60days3,leaf_60days4,leaf_60days5,stem_60days1,stem_60days2,stem_60days3,stem_60days4,stem_60days5,root_5days1,root_5days2,root_5days3,root_5days4,root_5days5,root_60days1,root_60days2,root_60days3,root_60days4,root_60days5,husk1,husk2,husk3,husk4,husk5,anther1,anther2,anther3,anther4,anther5,mature_pollen1,mature_pollen2,mature_pollen3,mature_pollen4,mature_pollen5,pistil1,pistil2,pistil3,pistil4,pistil5,embryo1,embryo2,embryo3,embryo4,embryo5
Chr1+2795487,LOC_Os01g05830,325.5753725,444.031015,509.248967,434.1911504,585.8369934,451.6736312,326.9003674,374.2625321,301.1612054,337.2267693,32.37439021,66.00267514,105.315395,42.49471388,69.53850014,4.758784166,8.489028653,7.271477073,12.68926891,9.417991367,19.42242994,23.59628173,23.80034061,21.93300008,22.18694378,17.64253496,7.607613426,21.26276364,17.60011019,4.286428782,9.122277305,15.02889437,9.129086506,7.048030749,7.452074073,14.15496061,15.29519008,14.6652976,18.77800117,7.087277542,9.112071297,4.910097112,12.41973279,13.70031886,12.16790487,11.80729542,11.42789944,12.2041166,12.1756251,10.98591737,57.06753667,56.83349034,47.20846787,52.75227342,46.07599718,98.48587744,30.4534014,280.4775339,29.02996045,170.0183143,3.026484381,8.601256889,10.20246118,10.60987429,9.619914297,190.2209593,185.1885539,185.1639624,186.4088947,193.9143128
Chr1-2830078,LOC_Os01g05900,26.17780331,28.60706421,19.91326917,29.87066778,34.4149834,29.29240566,46.95272635,23.27491385,11.55248909,34.83969804,8,8,8,8,8,0.334199182,0.107052979,0.94127458,0.201820125,9.685790717,2.594566062,1.848079707,0.825446899,1.670118961,3.791187261,2.055656769,1.34106917,0.628545863,0.384237982,1.28734204,1.077552244,1.75763414,1.627298168,0.656606539,1.152613224,2.376327167,2.547911665,1.962399444,2.81845977,1.271130862,1.658347208,2.848002327,2.158034364,1.705583146,2.496789632,1.282223707,0.176921952,0.932630401,1.706685141,2.122217113,1.221583619,0.222606417,0.886907998,1.903125683,0.362733616,5.940763226,0.706377382,6.155290456,1.694763898,13.90259962,1.261400785,3.164895625,1.907923838,3.141281014,1.467559604,24.16758282,18.53217914,18.46454816,20.1939112,20.45305811
Chr1-2820091,LOC_Os01g05900,55.33326824,44.82155105,51.12500274,43.32228062,56.53689164,63.34739066,65.09794502,45.36099464,81.70091418,91.97971009,58.25647206,81.36037454,61.78199313,44.09328384,41.85740338,130.9624443,134.8830671,131.8133554,133.153915,136.2307438,31.16005346,26.97199203,22.50241245,28.32502575,29.04343897,31.65016965,28.43384508,36.69377819,29.32855374,31.44618389,72.95944393,60.48772517,65.64964161,58.18330786,54.08902846,144.7373589,132.0934099,145.4477321,136.0335372,139.9594674,136.730098,135.5601382,149.0962218,147.5165468,142.9002039,52.24860998,48.05801921,51.04610046,53.07692018,54.00888209,42.41611988,62.78110348,57.51007333,53.06321088,56.9849303,122.1519985,113.6216341,52.44194065,68.31180992,69.13917111,78.14002072,78.71902243,85.0417684,90.64225711,77.5594246,22.89129348,23.6633071,21.11722545,24.78745484,22.66328442
Chr1-2828357,LOC_Os01g05900,13.31243957,14.16030716,0.427572827,11.9392315,3.663278403,8.571343475,11.98219874,14.32611439,20.87036759,11.95219066,0,0,0,0,0,1.182972538,0.392709028,0.418022544,0.15929209,0.316686776,0,0,0,0,0,0.313814327,0.509474669,0.359541567,0.154906573,0.028247095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081795938,0.184664218,0.130493508,0.075893971,0.439187216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.242702703,9.385181589,9.402603162,9.920793302,9.186932624
Chr1-2837849,LOC_Os01g05900,346.126856,296.7874614,321.2517092,319.8104684,271.4200014,411.6821871,378.9719114,384.8355295,315.284951,352.5470296,877.0294886,914.7043393,856.8124267,844.8592963,909.3345814,710.8662117,651.2516602,621.9154584,647.866177,659.6907733,316.3290589,335.4516632,348.7194036,332.1742769,334.4525344,281.3790708,246.8792548,278.1510692,283.0690425,241.2560298,486.5308913,543.0904409,481.0422126,526.0249082,480.0179199,832.5255186,815.9352201,829.1162756,841.4725641,791.8593859,535.5925746,590.3429826,705.0237534,735.1875269,636.0120428,415.8349637,382.3203637,433.0737158,429.4693158,341.9972554,429.9311539,472.7632888,465.3059853,442.2833802,491.4436708,654.9884956,921.4543726,351.3644254,501.0692924,827.4772719,399.6524847,324.5099389,316.9535964,272.7800671,373.9898633,122.832623,234.0121008,240.0214386,223.4901617,236.5038659
Chr1+3648483,LOC_Os01g07590,8.076820586,3.50888428,1.466186132,0.815669509,0.512300546,1.810961533,2.073210151,2.230930591,9.4886898,2.693497646,3.297526279,2.932174285,2.087120913,4.419736393,3.469755833,0.029762566,2.074451587,1.889740644,0.8158397,0.589928787,0,0,0,0,0,1.979653274,5.206287595,5.567659001,4.100461458,4.444208195,5.203275764,2.887101493,4.915012838,0.798692033,3.022489091,3.945527586,9.873455517,2.173429216,4.537434555,2.1629243,1.840347199,0.108157905,2.367684687,1.052777859,0.801737438,6.806433977,8.710264442,6.884727566,5.652346972,8.247426741,3.770703895,2.252184144,1.635589917,2.467223505,3.013181903,9.617409683,0.248340771,0.383735212,2.505021044,2.386857522,13.68362961,12.83985464,11.92921493,12.48673791,12.36919939,4.198032117,3.76336911,4.48590812,2.593151888,3.206666232
Chr1+3650606,LOC_Os01g07590,29.73785033,25.46076683,13.39395317,22.54789326,27.80906923,12.68626418,19.72316801,17.21299132,20.46786573,19.99257578,11.73555958,4.650291311,2.607651152,3.73088405,1.487909899,21.13564434,19.03763059,26.4987022,33.71935921,26.66721294,21.78769377,11.2970101,12.62723115,13.14767736,18.06544547,86.33525744,84.92399159,93.08205118,81.69087001,101.1213819,67.88770416,83.13779139,86.05414181,74.72257464,90.91206028,2.682514835,1.587416497,3.291646595,1.991375465,1.836693069,4.542996298,1.528135778,1.067875586,1.532230412,3.140697481,20.83850603,27.34827528,28.20252179,18.0319951,20.63007488,3,3,3,3,3,2.237037686,1.859399407,8.605088972,13.2271367,10.02162999,9.71618413,10.84344577,11.19002238,9.092085112,3.536313154,34.05750661,35.01559145,38.71765638,39.07370969,43.28230753
Chr1+3648397,LOC_Os01g07590,12.99824758,18.73399708,13.02352574,36.20118069,12.72925828,6.316528161,14.54491053,20.88356495,22.792974,12.5880511,11.88112056,13.97658064,9.710484953,14.49537601,14.14635628,1.84064804,3.095925684,1.596912694,2.195988501,4.12559223,11.86978679,11.85493673,16.20687513,9.213291741,9.18601615,4.35737614,3.210102489,5.074318428,4.570347047,3.493786933,4.481936732,4.592270732,3.978488145,4.940123972,5.595496428,7.431170696,7.116233735,7.167058457,6.044807029,5.210188671,3.444907652,4.009713944,3.791266811,0.925992977,4.860996567,10.75869602,16.47513849,17.43477016,11.12434255,14.11304153,4.926000141,3.674637932,4.702827717,5.204436662,5.032173253,0,0,0,0,0,20.35219115,20.86603571,20.43523918,20.69930464,19.65365528,26.0704866,28.07408926,25.6800825,29.15521693,25.92745853
Chr1+3650692,LOC_Os01g07590,0.281448769,2.51680261,1.485658121,0.199877223,1.073009058,2.897751516,5.284961857,2.406149875,3.338444169,0.474891453,2.304452618,2.253726003,1.255495963,1.493503169,0.42292695,7.791558128,3.20863078,7.180039641,1.473650283,5.087113676,0,0,0,0,0,10.24006204,6.417262717,4.252675206,6.095100862,2.210842252,5.754118081,6.056028582,8.084279062,6.879531561,6.504198404,0.08485724,0.316809395,0.573902873,0.49571781,0.212158203,0.590161771,0.450166016,1.197103997,0.240696419,2.081579524,2.866460803,3.508601077,2.2209973,5.25057336,4.298244411,0,0,0,0,0,0,0,0,0,0,2.191568512,1.73911344,0.970656627,1.290875217,1.692679327,2.413928631,4.447080528,3.159001036,6.572265556,8.747262606
Chr1-3671562,LOC_Os01g07630,1.608832077,0.573002034,0.115408878,0.832032466,0.106372535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028952305,0.109122562,0.133228756,0.277557209,0.496505073,1.141331702,0.181759668,1.288626469,0.553469009,0.671519097,1.311626561,1.368506986,0.014351031,0.216166046,0.294607054,1,1,1,1,1,3.087822792,28.36504227,23.00111726,1.893858022,23.04035843,0,0,0,0,0,0.103456146,1.762782251,0.495282434,1.059796946,0.371847802
Chr1-3667505,LOC_Os01g07630,9.946962453,61.54063315,7.302509672,38.89909757,64.07359973,28.60696351,31.98644222,35.77053299,15.8563805,29.11541357,27.49591033,23.7624169,21.765514,23.0456165,38.66473516,75.54809924,77.72725467,83.05282292,70.8549037,75.3986378,36.70346833,22.48537365,24.6511959,24.47821187,8.318452803,14.97363417,10.71454841,9.366570402,14.30720165,11.50456673,22.46149257,30.78556863,42.46517955,21.91732684,23.32976384,51.60832133,55.88876038,48.35137569,57.97209871,52.89649081,17.61090317,20.19382405,18.84035132,12.72716674,22.27848114,88.34943216,83.44393329,52.59642306,52.78737496,50.76243763,22.39777741,22.63980455,23.43595728,23.95263889,24.78598196,33.52797971,2.551147064,31.12961151,22.58121253,6.025546952,42.69317433,41.95487726,68.80141598,46.03176181,81.17694462,57.59468568,53.371091,37.61845357,36.36421388,35.355738
Chr1-3667570,LOC_Os01g07630,7.8236127,0.662782768,4.663224882,6.845434576,2.125368791,1.749826687,0.811889191,1.627970016,1.021868012,3.918239225,0.00477381,0.326774886,0.129278424,0.208040622,1.855647449,3.099093746,2.853122125,1.861297002,1.277739602,3.174351288,0.92542765,1.205680089,0.848921184,2.741845731,0.217391194,0.13433606,0.102140693,0.649131417,0.558346331,0.089143698,3.235566122,1.251609027,1.535106419,4.076428997,3.690882234,2,2,2,2,2,3.219072285,2.202835249,2.683408815,7.045594713,4.877230613,2.818011724,3.916165812,3.520664029,4.279918608,5.330058533,1.80329414,1.536099793,0.884469393,1.04312471,3.640424895,0,0,0,0,0,0.443583541,2.142492754,1.010937833,1.96465219,0.677521648,1.529847009,1.014462485,1.325548425,3.73293521,2.707307087
Chr1-4622011,LOC_Os01g09200,4.137592618,10.45244718,8.0465347,5.843101131,6.883737622,6.619366691,26.26680775,4.109666016,18.17223628,4.113048371,1.158852882,2.453809881,2.305677291,2.248110703,3.359124187,0.322534549,0.0604461,0.341646731,0.277358439,0.092253987,2.57163898,1.474976948,0.590744221,0.010911647,0.863437846,0.467579086,1.51446053,0.512636266,0.702561616,0.264119323,1.286137225,1.131857425,2.592472579,2.980019084,2.71653134,1.777273261,3.655151678,5.578149637,1.154198614,3.665289677,6.202642671,9.917953191,10.69876616,15.82142848,9.57893101,5.809399044,2.321045023,3.753791835,5.960033621,3.569931613,1.895192793,1.969198267,0.824743467,1.072568273,3.593207088,0,0,0,0,0,1.539005391,2.619002375,2.981509618,1.786996524,2.224489588,6.059533347,6.911431679,2.177380614,1.876970109,0.611732889
Chr1-4621815,LOC_Os01g09200,204.1434483,121.9443623,141.1367112,174.9354214,99.05514932,111.7251992,166.1551805,116.0455465,122.8505731,192.8122824,114.772962,150.867795,149.5647056,138.6807144,109.4631972,206.838251,194.540742,196.9687035,193.486633,194.25535,187.8909392,161.7993936,167.35867,164.9973262,156.9271767,192.2598936,162.2265981,152.7694858,179.9403314,201.528423,144.0831942,154.7281514,162.1067497,188.1499323,138.2893648,368.6211314,404.5206258,369.0545557,369.210504,448.9200572,949.7599301,935.777942,946.7544904,963.3247732,985.7198796,143.0450053,141.8212842,170.490104,129.1888949,142.4125974,128.4786479,103.4782099,160.4795185,115.9740766,147.8903011,274.2041939,13.62733114,206.0196827,38.38669239,171.0787251,116.7862122,126.5597498,113.909503,117.1371658,115.657457,119.3374417,123.7398634,144.0674332,141.836761,128.1999712
Chr1-4739277,LOC_Os01g09320,259.544341,328.9775782,259.7780054,267.2249786,335.5652892,354.0781625,323.4865402,291.9433251,301.7347981,285.4524898,348.6834231,329.1549696,392.7526071,343.8138914,384.4317619,248.4208019,236.9507664,242.184805,257.7505376,245.0154663,693.0930371,680.3422861,726.701326,644.0478085,689.1254367,578.3511142,600.7625508,549.9911496,584.7132698,556.7787981,678.0305023,720.6642843,693.2288261,730.6189334,575.2299055,219.6337207,223.4432537,225.1142809,226.1381977,216.5756569,863.4733783,863.6697694,875.5627772,897.7640493,969.6752661,491.4327594,477.6536365,461.9399808,469.4471544,479.4822965,200.8624054,196.5981797,194.9884333,198.8237733,195.2665981,171.4065536,114.3706684,439.2427588,411.5541091,153.1149674,244.1155079,242.3676474,251.8472545,256.2968221,258.5763056,296.6331787,291.3574017,307.2120555,291.9319611,295.8076861
Chr1-4738981,LOC_Os01g09320,0.268062757,0.927633871,0.304407997,0.726809459,0.264405706,8.455680512,2.253520863,0.542485759,3.955667813,10.02760199,5.794213906,6.61783989,6.868987573,9.128632456,2.612121201,0.519512267,0.314989078,0.033370136,1.448942333,1.441595373,3.076664291,3.14624866,4.055911727,2.111727124,1.420630371,6.012785198,10.80137733,7.432606842,3.272413008,7.47171479,1.592462464,3.00455042,1.106119299,6.732955216,0.266871541,0.320406104,0.248836293,4.52065612,0.805257895,0.54925719,15.74327589,16.39769984,14.96062882,15.06071512,15.72165456,1.677152103,4.970630612,5.063739333,6.803019913,7.086679548,5.828123067,4.409389987,4.358646864,5.571020008,4.157324267,0,0,0,0,0,1.285111553,0.068053765,1.033028796,2.818102703,1.632380473,0,0,0,0,0
Chr1-5215747,LOC_Os01g10010,0,0,0,0,0,0,0,0,0,0,2.899946251,0.99546193,1.752026278,0.831424314,0.265743933,0.243745615,2.179279811,1.672339231,1.687286511,0.452196935,1.695560698,0.128378007,0.334033594,0.83202306,0.226421391,0.197810693,1.587907403,0.727378468,0.358717834,0.720743085,0,0,0,0,0,4.507701646,7.85219011,5.890920425,8.10424824,6.486832572,2,2,2,2,2,1.872537294,1.060238306,1.481987608,2.076696239,2.228801985,0.173231663,0.143205503,0.390665588,0.962528591,1.156205939,0,0,0,0,0,2.328175453,0.066972757,0.824708464,0.433805027,0.356306465,0,0,0,0,0
Chr1-5214017,LOC_Os01g10010,27.1088743,20.63235664,18.25807407,21.73402904,21.03367977,18.59032371,20.75973017,21.97697033,21.3722397,18.73796325,4.148637927,35.71275241,18.53820548,13.30257194,5.93384271,48.57632862,49.66486032,48.37886589,47.89576406,48.94300565,45.77977059,41.42538537,41.48502334,47.386737,41.45200597,35.59671879,44.58702372,31.45784497,44.55771076,16.1703205,45.56289503,33.74717156,27.69989557,42.12593641,22.85424304,46.55459497,54.97581843,48.62300195,47.60073068,52.58008906,25.77492809,22.59862179,29.53125925,21.21828177,23.12631718,32.13034332,35.69512024,37.45554138,34.36681022,42.30862257,57.99434568,65.53487687,65.33952963,72.08295292,65.46360053,121.2871828,52.61653769,40.5278523,38.33240311,100.6536945,48.96277413,54.21568881,50.00623214,53.44711076,49.07746143,35.52086223,32.66237978,32.4048816,34.33834325,35.40297322
Chr1-5215847,LOC_Os01g10010,0.937854318,4.655213076,3.092064435,2.763890662,1.547321919,1.691063474,3.151463585,1.902099687,1.164589128,3.767357135,0.34474863,0.12846998,0.172918955,0.807022599,0.840870206,5.990845564,4.991780359,13.42199368,9.114662032,6.132280102,9.268312365,0.480390425,2.253354863,2.810984794,6.2407404,0.742169208,4.561196509,3.480580903,1.781601283,2.287443444,3.289913773,2.214308655,3.945385376,3.286846162,2.413404377,20.61177982,26.68447512,23.97997523,19.11763896,20.7642196,16.28316398,18.20498925,5.616783838,13.32602729,8.715052078,0.167786598,1.30109381,0.153053882,0.209878066,0.037351182,10.76530003,7.507590706,5.837781911,3.541091571,8.958238115,2.600505135,0.321723555,0.085865328,2.671774043,2.506048958,3.797579063,4.696092802,0.254522754,0.435116797,1.01901933,0,0,0,0,0
Chr1+5412511,LOC_Os01g10280,1.834778458,0.999773959,1.285129475,2.025006756,1.212638516,2.109208751,2.365081794,1.576566343,2.085410616,0.880552543,2.537514671,1.709726134,0.00122575,0.134702481,0.35422645,0.827252848,4.239951861,4.965755858,1.700292011,10.60037333,0.345706,3.33509114,3.691417396,3.608542708,2.054241678,2.924814033,3.30856936,2.812388143,2.966259915,4.164387793,3.676409618,0.002467774,4.735760785,2.946619345,4.051626953,2.777269559,5.058811587,3.519798937,5.967855334,6.026384902,2.34917905,3.537340974,4.168402606,5.48570706,3.772455203,1.662228774,0.659710455,3.334648917,2.908615655,5.77034226,2.085623066,1.12443832,1.196486879,2.450994096,1.258876556,6.43721499,4.302354767,11.47741396,1.660964942,8.6935025,10.85979525,17.77051143,5.475605197,17.9247986,11.5480647,1.560136619,2.310365289,2.093082341,0.236671035,0.875995775
Chr1+5412761,LOC_Os01g10280,0.885638865,0.816977996,0.05897114,0.693943096,1.0492922,0,0,0,0,0,1.090641073,3.001435046,0.382614182,0.933831834,0.117028661,0.415983075,0.55009211,0.506780777,0.167867015,0.615320533,0.483585349,0.906729659,0.868649129,1.085543794,0.064975343,1.562918034,1.810307868,2.351098434,2.834416233,2.06353612,0.258934536,1.400720213,0.000936677,0.891075813,2.618959663,2.785331588,3.684194322,1.37827065,1.525656113,0.290415959,0.940005825,1.656317252,0.757275798,0.682510194,1.86297414,0.525096649,0.483300713,1.111127669,0.019357539,0.011322764,0,0,0,0,0,7.534873227,0.996372934,4.246661844,0.801107907,0.599895807,5.128150183,6.00903104,3.181394201,6.03482364,3.758352414,3.791740721,0.200075541,2.664773457,1.379189184,4.452191753
Chr1+5412697,LOC_Os01g10280,8.3218757,9.542321912,0.909453048,11.46334201,4.068740745,11.25871533,0.241868478,4.679924553,10.95158882,1.026181818,7.484959941,4.569620011,4.170685077,0.853727588,8.001709273,3.22610318,2.239737403,3.983034097,2.25199529,1.833788682,3.55759651,2.487194504,1.050048524,0.258897028,1.12151579,5.347822503,4.342360744,1.364443504,4.001542864,8.228324549,2.124887868,1.288732854,2.649748723,1.481513796,0.008555802,1.623085131,0.603704132,0.910348984,0.864835276,1.895289746,1.85612051,0.405353818,1.190520577,1.577855767,1.179123476,10.89538901,6.687823548,6.098670446,6.37205785,7.367697464,0.365259553,2.195178069,0.2292607,2.299007171,1.216621032,0,0,0,0,0,4.006482382,4.738695399,3.446628424,2.998165931,3.880607144,10,10,10,10,10
