chrstrandcoord,gene,shoot1,shoot2,shoot3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,anther1,anther2,anther3
Chr1+13304670,LOC_Os01g23640,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,72,89,83,86,90,86,92,89,86,72,67,66
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,2,0,0,24,25,29
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,17,14,0
Chr1+13443430,LOC_Os01g23880,3,1,6,1,2,4,0,4,1,5138,4754,4993
Chr1+13935377,LOC_Os01g24764,87,77,80,110,117,111,4,7,3,75,80,82
Chr1+13935124,LOC_Os01g24764,9,9,4,0,9,9,1,0,2,8,7,12
Chr1+13935565,LOC_Os01g24764,6,2,8,0,0,1,0,1,0,2,0,3
Chr1+13935855,LOC_Os01g24764,7,0,7,4,12,12,1,0,0,3,4,3
Chr1-14754834,LOC_Os01g26039,61,64,83,41,46,64,47,50,43,79,99,88
Chr1-14757624,LOC_Os01g26039,3,2,3,4,3,2,5,1,2,3,4,2
Chr1+16056051,LOC_Os01g28680,1,3,2,2,11,4,4,4,4,0,0,0
Chr1+16056254,LOC_Os01g28680,69,100,93,167,124,169,164,181,136,37,42,34
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0,0,0,1,1,0,1,0
Chr1+16053083,LOC_Os01g28680,0,2,1,0,1,1,3,0,1,0,0,0
Chr1+16047519,LOC_Os01g28680,5,5,4,1,0,0,0,1,0,0,0,1
Chr1+17607032,LOC_Os01g32170,0,0,0,0,0,0,1,0,0,1,0,0
Chr1+17607127,LOC_Os01g32170,1,0,0,3,2,4,0,1,3,0,1,0
Chr1+17607514,LOC_Os01g32170,5,10,2,4,4,4,4,4,10,5,5,5
Chr1+17606900,LOC_Os01g32170,0,0,0,2,1,2,2,1,0,0,0,0
Chr1+18050168,LOC_Os01g32870,10,8,6,5,6,3,10,10,10,3,1,2
Chr1+18050053,LOC_Os01g32870,69,63,77,57,64,65,124,92,132,160,142,160
Chr1-18394360,LOC_Os01g33420,164,154,161,311,277,365,117,105,117,95,65,74
Chr1-18395693,LOC_Os01g33420,0,1,1,0,0,1,0,0,0,0,0,0
Chr1-18459991,LOC_Os01g33540,11,12,13,7,8,8,7,7,8,39,42,43
Chr1-18459308,LOC_Os01g33540,14,15,16,23,19,13,12,10,9,33,30,33
Chr1-18459207,LOC_Os01g33540,0,0,0,0,2,1,0,0,1,0,0,0
Chr1+20332204,LOC_Os01g36640,3,1,7,0,0,0,2,0,1,1,1,1
Chr1+20334364,LOC_Os01g36640,1,0,2,1,1,1,0,0,1,2,0,1
Chr1+20334834,LOC_Os01g36640,2,1,1,0,0,0,1,1,1,1,3,0
Chr1+20334613,LOC_Os01g36640,7,22,33,14,11,14,11,15,23,13,9,16
Chr1+20334066,LOC_Os01g36640,0,1,2,0,1,3,2,1,2,1,2,1
Chr1+20335020,LOC_Os01g36640,0,2,1,2,4,1,11,8,3,4,5,5
Chr1+20820512,LOC_Os01g37280,1,0,0,0,0,1,1,0,2,0,2,0
Chr1+20820347,LOC_Os01g37280,0,0,0,1,0,1,0,0,0,3,3,4
Chr1+20820385,LOC_Os01g37280,13,7,6,19,26,13,6,3,4,17,15,20
Chr1+20818589,LOC_Os01g37280,0,0,1,0,1,0,0,0,0,7,4,4
Chr1-22855513,LOC_Os01g40470,247,317,296,233,219,243,483,442,471,507,509,507
Chr1-22855806,LOC_Os01g40470,0,0,0,0,0,0,0,0,0,0,2,2
Chr1-22857225,LOC_Os01g40470,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23925357,LOC_Os01g42234,2,1,2,1,0,1,2,2,0,2,2,3
Chr1+23933450,LOC_Os01g42234,91,123,129,26,33,22,221,237,253,23,24,56
Chr1-24703796,LOC_Os01g43250,46,40,42,110,104,79,77,74,63,54,67,53
Chr1-24708192,LOC_Os01g43250,0,0,0,0,0,0,1,0,1,0,0,0
Chr1+25003415,LOC_Os01g43630,6,10,6,7,6,6,11,10,13,3,3,3
Chr1+25003233,LOC_Os01g43630,22,73,63,52,52,64,61,65,60,96,99,93
Chr1+25354917,LOC_Os01g44220,0,4,0,0,0,0,1,3,1,1,7,0
Chr1+25361865,LOC_Os01g44220,80,80,82,53,52,55,30,25,31,54,104,91
Chr1+25362209,LOC_Os01g44220,0,1,0,0,0,0,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,3,3,4,0,1,0,2,3,1,23,23,24
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,5,4,5
Chr1-25917622,LOC_Os01g45620,6,9,5,13,10,12,3,7,0,241,248,257
Chr1-25917859,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,15,10,13
Chr1-25921679,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,2,7,9
Chr1-25918558,LOC_Os01g45620,0,0,0,0,0,0,0,1,0,12,31,20
Chr1-25917441,LOC_Os01g45620,0,0,0,0,0,1,0,0,0,9,7,6
Chr1-25917749,LOC_Os01g45620,0,0,0,0,1,0,0,0,0,71,49,62
Chr1+26396273,LOC_Os01g46380,1,1,1,9,10,11,3,5,4,3,1,1
Chr1+26395170,LOC_Os01g46380,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+26396056,LOC_Os01g46380,108,120,129,1161,1134,1154,458,410,416,234,259,201
Chr1+26722429,LOC_Os01g46840,0,6,1,0,0,0,1,1,1,4,4,6
Chr1+26722277,LOC_Os01g46840,5,1,2,2,0,1,4,5,2,6,7,7
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,0,0,0,1,1,1
Chr1-26888426,LOC_Os01g47080,292,318,383,21,24,19,184,181,177,172,189,182
Chr1-26888569,LOC_Os01g47080,0,1,0,0,0,0,0,0,0,1,0,0
Chr1+27010935,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,1
Chr1+27012055,LOC_Os01g47262,81,84,86,413,390,459,54,37,23,119,132,122
Chr1+27009271,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,2,2,0,0,1,17,13,16,4,0,3
Chr1-27965721,LOC_Os01g48770,899,758,893,979,1040,1092,1643,1650,1844,603,551,571
Chr1-28697312,LOC_Os01g49940,7,6,5,0,0,4,4,5,4,6,6,1
Chr1-28683935,LOC_Os01g49940,43,44,46,109,65,108,52,54,51,105,104,117
Chr1-28697450,LOC_Os01g49940,21,15,16,55,52,49,11,18,12,44,40,45
Chr1+28804457,LOC_Os01g50120,3,0,2,1,1,0,1,0,1,0,0,1
Chr1+28803863,LOC_Os01g50120,6,18,16,11,14,11,4,3,2,5,7,4
Chr1+28800764,LOC_Os01g50120,10,10,8,2,2,2,0,1,1,4,2,1
Chr1+29124339,LOC_Os01g50700,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,4,1,5,0,0,0,0,1,0,1,2,0
Chr1+29123295,LOC_Os01g50700,0,0,0,0,0,1,0,1,0,39,20,22
Chr1+29124215,LOC_Os01g50700,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,49,62,59,230,228,233,50,48,51,196,262,227
Chr1+30431148,LOC_Os01g52920,0,3,0,7,7,6,1,1,1,3,3,3
Chr1+30431484,LOC_Os01g52920,0,0,0,0,0,0,0,0,0,0,1,0
Chr1+30432087,LOC_Os01g52920,0,0,0,0,0,1,0,0,0,3,1,2
Chr1-30526019,LOC_Os01g53130,0,0,0,0,1,0,0,0,0,0,0,1
Chr1-30525031,LOC_Os01g53130,0,1,1,7,7,8,1,0,0,38,37,36
Chr1-30527175,LOC_Os01g53130,0,0,0,0,0,1,1,1,0,6,3,6
Chr1-30527478,LOC_Os01g53130,0,0,0,0,3,0,2,1,0,40,35,38
Chr1-30527365,LOC_Os01g53130,12,18,4,1,6,4,3,4,4,90,63,66
Chr1+32622547,LOC_Os01g56580,0,0,0,2,1,1,0,0,0,0,0,0
Chr1+32622715,LOC_Os01g56580,84,71,85,119,105,106,99,97,96,152,155,155
Chr1-32855437,LOC_Os01g56890,33,25,26,10,56,35,19,0,17,70,46,57
Chr1-32855924,LOC_Os01g56890,0,0,0,3,5,4,3,2,5,7,7,27
Chr1-32856278,LOC_Os01g56890,0,0,0,0,0,0,0,0,0,1,1,1
Chr1-32855385,LOC_Os01g56890,209,189,297,346,349,333,80,97,94,510,493,498
Chr1-32856153,LOC_Os01g56890,0,2,0,2,0,1,2,0,1,4,5,4
Chr1+32862638,LOC_Os01g56900,2,2,2,4,4,1,4,4,5,6,8,8
Chr1+32863305,LOC_Os01g56900,2,4,0,12,13,13,8,3,4,9,4,7
Chr1+32863554,LOC_Os01g56900,0,0,4,5,3,4,6,9,3,17,20,16
Chr1+33058487,LOC_Os01g57210,34,47,35,14,13,10,12,26,28,16,18,19
Chr1+33058583,LOC_Os01g57210,7,5,2,0,0,0,2,2,3,2,2,1
Chr1+33055124,LOC_Os01g57210,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,0,0,1,0,0,0,0,1,2,1,1
Chr1-33369626,LOC_Os01g57720,1,0,1,1,0,0,0,0,0,2,0,0
Chr1-33368699,LOC_Os01g57720,0,11,11,10,9,11,5,9,18,18,16,19
Chr1-33368984,LOC_Os01g57720,59,60,47,66,65,67,34,49,50,79,82,87
Chr1-33369580,LOC_Os01g57720,2,2,4,18,8,9,1,0,0,7,5,6
Chr1-33369316,LOC_Os01g57720,0,0,0,1,1,0,0,0,0,0,0,1
Chr1+33663175,LOC_Os01g58240,4,3,4,10,3,9,0,0,0,0,0,0
Chr1+33663606,LOC_Os01g58240,0,0,0,2,4,0,0,1,0,0,0,0
Chr1+33672497,LOC_Os01g58240,2,5,4,44,22,38,17,19,14,0,0,0
Chr1-34163816,LOC_Os01g59140,1,1,2,2,1,1,0,0,0,2,1,2
Chr1-34163514,LOC_Os01g59140,1,2,2,1,0,1,0,1,1,2,3,1
Chr1-34165817,LOC_Os01g59140,7,3,5,3,4,3,4,5,5,2,5,4
Chr1-34163746,LOC_Os01g59140,32,37,38,36,51,39,73,62,68,34,29,30
Chr1+34202742,LOC_Os01g59200,0,0,0,0,0,0,1,1,1,0,0,0
Chr1+34202645,LOC_Os01g59200,1,1,1,0,0,0,4,4,5,1,1,1
Chr1+34423675,LOC_Os01g59530,150,154,120,339,365,298,31,31,39,600,557,605
Chr1+34423862,LOC_Os01g59530,2,2,2,0,0,0,2,2,1,4,4,6
Chr1-36014043,LOC_Os01g62230,384,430,306,91,75,89,359,369,410,196,226,220
Chr1-36014480,LOC_Os01g62230,1,4,2,0,0,0,1,1,0,0,1,2
Chr1-36102686,LOC_Os01g62380,59,70,70,6,9,7,40,56,37,7,26,14
Chr1-36099882,LOC_Os01g62380,8,2,1,0,0,2,5,6,5,0,0,0
Chr1-36141689,LOC_Os01g62440,0,0,0,0,0,0,0,0,0,0,0,1
Chr1-36138825,LOC_Os01g62440,91,93,79,35,46,39,15,18,18,11,19,12
Chr1-36139131,LOC_Os01g62440,0,2,1,0,2,0,0,0,0,0,0,1
Chr1-36145739,LOC_Os01g62440,3,3,3,0,2,1,0,0,2,1,1,1
Chr1+36280264,LOC_Os01g62650,0,0,0,0,0,0,0,1,0,1,0,0
Chr1+36286366,LOC_Os01g62650,60,58,56,142,112,122,67,57,68,150,140,157
Chr1+36280419,LOC_Os01g62650,0,0,0,0,2,1,0,0,0,0,0,1
Chr1+36285594,LOC_Os01g62650,3,0,4,1,0,0,3,1,1,0,0,0
Chr1+36440121,LOC_Os01g62900,9,13,14,24,28,35,7,13,10,212,284,269
Chr1+36440402,LOC_Os01g62900,0,4,1,16,10,0,2,5,9,78,63,70
Chr1+36483777,LOC_Os01g62970,0,0,0,1,0,0,0,0,0,0,0,0
Chr1+36481175,LOC_Os01g62970,3,11,4,3,2,3,7,2,5,0,4,2
Chr1+36484002,LOC_Os01g62970,20,8,9,191,182,192,4,4,8,93,127,98
Chr1-37049115,LOC_Os01g63854,26,27,28,17,17,16,31,72,39,18,15,17
Chr1-37043633,LOC_Os01g63854,87,68,89,69,47,64,117,94,169,59,80,96
Chr1-37043453,LOC_Os01g63854,6,4,8,3,1,3,2,7,5,4,7,5
Chr1-37048729,LOC_Os01g63854,0,0,0,1,1,0,3,3,3,3,1,1
Chr1-37048182,LOC_Os01g63854,0,0,0,0,0,1,0,0,0,0,0,0
Chr1-38206951,LOC_Os01g65790,312,329,348,10,9,11,63,60,58,117,132,103
Chr1-38208579,LOC_Os01g65790,1,8,5,3,1,4,10,2,5,8,6,8
Chr1+38332591,LOC_Os01g66050,22,21,34,31,33,30,30,44,45,45,51,46
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,0,0,2,2,0,0,0
Chr1-38400569,LOC_Os01g66120,0,0,0,0,0,0,0,0,0,0,3,0
Chr1-38399973,LOC_Os01g66120,1,0,0,1,1,1,0,0,0,1,0,1
Chr1-38398218,LOC_Os01g66120,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,0,0,0,0,0,0,0,0,0,3,1,2
Chr1-38398994,LOC_Os01g66120,169,172,154,890,883,865,193,193,174,552,560,588
Chr1+39863578,LOC_Os01g68640,2,7,12,3,1,1,3,3,2,5,8,6
Chr1+39863436,LOC_Os01g68640,0,0,0,1,1,0,0,2,2,12,7,16
Chr1+40920737,LOC_Os01g70670,21,19,22,41,31,43,22,22,25,10,5,13
Chr1+40918499,LOC_Os01g70670,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+40920606,LOC_Os01g70670,53,45,74,112,93,94,69,40,53,69,73,80
Chr1-43072749,LOC_Os01g74350,41,51,43,35,39,50,38,52,50,62,60,72
Chr1-43075776,LOC_Os01g74350,22,23,38,27,27,41,63,65,85,70,75,74
Chr2-1178924,LOC_Os02g03000,3,3,1,0,1,0,1,1,1,1,1,1
Chr2-1178890,LOC_Os02g03000,8,6,15,2,1,2,5,5,6,19,8,19
Chr2+1211089,LOC_Os02g03060,35,29,29,18,25,13,55,52,53,15,13,16
Chr2+1210986,LOC_Os02g03060,0,1,0,0,0,0,2,2,1,0,0,0
Chr2-1288905,LOC_Os02g03230,2,6,4,0,0,0,0,0,0,2,1,3
Chr2-1289078,LOC_Os02g03230,729,500,702,275,251,227,58,56,54,192,182,196
Chr2-1550782,LOC_Os02g03700,8,6,9,26,39,40,11,12,12,3,2,1
Chr2-1551808,LOC_Os02g03700,0,0,0,0,1,2,0,0,0,1,1,0
Chr2-1551474,LOC_Os02g03700,0,0,0,6,4,1,3,3,1,0,1,0
Chr2-1550645,LOC_Os02g03700,2,4,3,5,4,10,3,3,4,1,1,1
Chr2-1550907,LOC_Os02g03700,0,0,0,4,3,1,1,0,0,0,0,0
Chr2-1551642,LOC_Os02g03700,0,2,0,2,4,1,6,0,1,0,0,0
Chr2-1552766,LOC_Os02g03700,144,113,95,269,308,279,131,153,84,356,365,353
Chr2+2394151,LOC_Os02g05030,1,3,3,0,0,0,0,0,1,0,0,0
Chr2+2394322,LOC_Os02g05030,123,121,114,81,141,121,86,83,84,812,795,814
Chr2-3846388,LOC_Os02g07450,1,0,0,0,0,0,0,0,0,0,1,0
Chr2-3846019,LOC_Os02g07450,1,0,0,4,4,2,1,1,1,0,7,5
Chr2-3846222,LOC_Os02g07450,25,17,33,157,125,151,32,45,50,58,58,50
Chr2-4038895,LOC_Os02g07750,0,0,1,0,0,0,0,0,0,1,1,1
Chr2-4038492,LOC_Os02g07750,160,129,151,164,206,120,297,276,332,42,72,39
Chr2+5504356,LOC_Os02g10470,76,43,23,2,13,10,18,14,18,758,599,696
Chr2+5504238,LOC_Os02g10470,1,0,1,2,0,2,0,0,2,43,50,38
Chr2-5587263,LOC_Os02g10630,0,0,0,0,0,0,0,0,0,7,6,7
Chr2-5587184,LOC_Os02g10630,2,6,3,0,1,0,2,1,1,464,425,434
Chr2-5930297,LOC_Os02g11070,30,13,24,42,36,34,154,159,211,121,143,8
Chr2-5932387,LOC_Os02g11070,0,2,1,0,1,0,0,0,0,0,0,0
Chr2-5955075,LOC_Os02g11110,1,6,5,0,0,0,0,0,0,0,0,0
Chr2-5955681,LOC_Os02g11110,107,92,91,17,17,17,3,2,2,8,9,12
Chr2-5955017,LOC_Os02g11110,1,0,0,0,0,1,0,0,0,0,0,0
Chr2-5955208,LOC_Os02g11110,2,6,1,0,0,0,0,0,0,0,0,0
Chr2-6529691,LOC_Os02g12490,4,5,4,19,20,17,3,0,3,4,5,0
Chr2-6530247,LOC_Os02g12490,20,30,24,33,27,32,9,12,0,14,14,14
Chr2-6532217,LOC_Os02g12490,0,0,0,0,0,1,0,1,0,3,4,2
Chr2-6530886,LOC_Os02g12490,1,2,0,0,0,0,1,2,1,0,1,0
Chr2-6530340,LOC_Os02g12490,13,15,17,18,21,22,16,13,14,21,28,25
Chr2+7687331,LOC_Os02g14059,168,187,181,395,457,364,344,324,274,116,127,124
Chr2+7687624,LOC_Os02g14059,2,1,2,0,1,0,5,5,5,0,1,1
Chr2+7682662,LOC_Os02g14059,0,0,0,0,0,0,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,5,11,5,0,0,1,7,7,5,2,23,10
Chr2+8221336,LOC_Os02g14800,2,1,3,1,2,2,1,0,0,1,1,1
Chr2+8217132,LOC_Os02g14800,20,22,20,31,24,26,13,7,5,7,11,8
Chr2+8317184,LOC_Os02g14900,9,11,9,10,9,12,26,24,35,9,9,11
Chr2+8300243,LOC_Os02g14900,9,5,1,2,2,1,4,4,5,3,1,2
Chr2+8316992,LOC_Os02g14900,0,3,1,0,0,0,3,1,6,4,1,2
Chr2+8314499,LOC_Os02g14900,2,2,4,2,1,1,1,3,2,1,1,1
Chr2-8747271,LOC_Os02g15580,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-8747067,LOC_Os02g15580,111,88,92,114,118,115,76,71,46,46,47,54
Chr2+9044660,LOC_Os02g15950,5,7,7,15,18,15,5,9,0,14,15,17
Chr2+9046083,LOC_Os02g15950,3,3,4,9,11,6,0,6,1,16,12,18
Chr2+9044737,LOC_Os02g15950,9,14,4,10,11,3,10,15,11,31,22,25
Chr2-9913486,LOC_Os02g17292,5,3,1,5,3,7,2,4,2,4,5,5
Chr2-9912522,LOC_Os02g17292,11,16,16,11,8,9,6,5,3,11,7,20
Chr2-9913625,LOC_Os02g17292,1,2,2,1,1,2,7,3,2,0,0,0
Chr2-9913669,LOC_Os02g17292,0,0,1,0,0,1,1,3,0,1,1,1
Chr2-11160276,LOC_Os02g19140,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,240,227,230,218,231,231,312,307,320,245,310,308
Chr2-11159684,LOC_Os02g19140,2,4,0,1,1,3,2,3,2,0,0,2
Chr2-15468574,LOC_Os02g26349,2,19,16,7,6,7,16,17,16,6,4,2
Chr2-15468252,LOC_Os02g26349,7,7,10,21,14,12,13,14,8,11,6,10
Chr2+15912986,LOC_Os02g27060,3,2,6,3,3,1,1,0,2,0,4,4
Chr2+15913311,LOC_Os02g27060,0,0,0,0,0,0,0,0,0,3,2,3
Chr2+15915382,LOC_Os02g27060,1,1,2,0,1,0,0,0,0,1,1,0
Chr2+15915566,LOC_Os02g27060,43,47,46,73,25,95,20,21,20,83,81,70
Chr2+16442642,LOC_Os02g27760,0,0,0,0,4,1,1,1,1,1,1,0
Chr2+16442552,LOC_Os02g27760,4,2,2,1,2,1,2,4,1,1,1,1
Chr2+16442445,LOC_Os02g27760,1086,1135,1179,836,942,990,1395,1572,1394,449,476,445
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,0,0,0,3,4,2
