chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,shoot1,shoot2,shoot3,leaf_60days1,leaf_60days2,leaf_60days3
Chr1+10656648,LOC_Os01g18850,77,75,77,86,96,97,49,42,45,186,100,162
Chr1+10679801,LOC_Os01g18880,1,0,0,0,0,0,0,0,0,0,0,0
Chr1+10678290,LOC_Os01g18880,0,1,0,18,8,20,0,0,1,0,0,0
Chr1+10676910,LOC_Os01g18880,3,0,0,0,0,0,0,1,1,1,0,0
Chr1+10677075,LOC_Os01g18880,0,0,0,24,36,7,2,0,0,0,0,0
Chr1+10679862,LOC_Os01g18880,38,27,44,45,44,36,0,2,2,10,7,5
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,0,0,0,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,0,0,0,0,0,0
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,0,0,0,0,0,0
Chr1-11253657,LOC_Os01g19850,8,5,8,6,5,2,3,0,0,2,1,1
Chr1-11253815,LOC_Os01g19850,11,0,2,1,1,0,0,0,0,0,2,0
Chr1-11800239,LOC_Os01g21144,0,4,10,4,12,16,0,0,0,1,0,0
Chr1-11801468,LOC_Os01g21144,3,9,13,4,3,2,2,4,5,0,0,1
Chr1-11800290,LOC_Os01g21144,11,0,5,8,16,5,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,1,0,0,0,1,1,0,0,0,1,0,0
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,0,1,0
Chr1+11981803,LOC_Os01g21450,393,445,385,394,488,491,106,111,91,210,247,237
Chr1+11981977,LOC_Os01g21450,2,4,3,2,4,6,0,0,0,2,0,1
Chr1-12704551,LOC_Os01g22600,4,2,0,1,7,4,0,0,0,0,0,0
Chr1-12704882,LOC_Os01g22600,571,522,370,542,435,474,9,8,15,68,66,69
Chr1-12704755,LOC_Os01g22600,168,242,277,217,231,223,14,23,14,124,138,128
Chr1+13305003,LOC_Os01g23640,9,7,2,4,14,24,0,0,0,0,0,0
Chr1+13304670,LOC_Os01g23640,1,7,0,4,5,11,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,199,143,166,134,146,120,72,89,83,96,92,95
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13443430,LOC_Os01g23880,0,0,0,0,0,0,3,1,6,6,5,7
Chr1+13935377,LOC_Os01g24764,6,11,12,12,5,8,87,77,80,150,189,188
Chr1+13935124,LOC_Os01g24764,5,2,2,2,0,1,9,9,4,7,7,8
Chr1+13935565,LOC_Os01g24764,0,0,0,0,0,0,6,2,8,8,13,4
Chr1+13935855,LOC_Os01g24764,8,0,2,0,10,10,7,0,7,36,28,34
Chr1-14754834,LOC_Os01g26039,24,12,7,20,21,22,61,64,83,181,173,217
Chr1-14757624,LOC_Os01g26039,1,4,1,3,2,2,3,2,3,5,4,0
Chr1+16056051,LOC_Os01g28680,2,3,0,1,3,3,1,3,2,6,10,4
Chr1+16056254,LOC_Os01g28680,17,19,14,19,19,26,69,100,93,468,462,528
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0,0,0,0,0,1,2,0
Chr1+16053083,LOC_Os01g28680,0,0,0,0,0,0,0,2,1,4,5,5
Chr1+16047519,LOC_Os01g28680,0,1,0,0,0,0,5,5,4,4,5,0
Chr1+17607032,LOC_Os01g32170,4,4,4,0,1,0,0,0,0,0,0,0
Chr1+17607127,LOC_Os01g32170,0,1,0,0,0,0,1,0,0,0,0,0
Chr1+17607514,LOC_Os01g32170,5,5,3,6,16,2,5,10,2,6,4,3
Chr1+17606900,LOC_Os01g32170,8,0,6,3,1,2,0,0,0,0,0,0
Chr1+18050168,LOC_Os01g32870,3,3,2,0,0,0,10,8,6,0,5,4
Chr1+18050053,LOC_Os01g32870,259,154,242,310,307,276,69,63,77,98,84,80
Chr1-18394360,LOC_Os01g33420,245,237,340,94,121,154,164,154,161,90,95,102
Chr1-18395693,LOC_Os01g33420,0,0,0,5,7,5,0,1,1,1,1,1
Chr1-18459991,LOC_Os01g33540,16,8,19,9,4,0,11,12,13,5,3,6
Chr1-18459308,LOC_Os01g33540,24,37,20,28,39,32,14,15,16,15,10,16
Chr1-18459207,LOC_Os01g33540,0,3,0,2,0,1,0,0,0,0,0,2
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,3,1,7,0,0,0
Chr1+20334364,LOC_Os01g36640,0,0,0,0,0,0,1,0,2,4,6,0
Chr1+20334834,LOC_Os01g36640,0,0,0,1,1,4,2,1,1,0,0,0
Chr1+20334613,LOC_Os01g36640,0,0,0,0,0,0,7,22,33,20,21,22
Chr1+20334066,LOC_Os01g36640,0,0,1,2,0,0,0,1,2,0,1,1
Chr1+20335020,LOC_Os01g36640,2,2,3,2,3,3,0,2,1,3,3,4
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,0,1,0,0,0,0,1
Chr1+20820347,LOC_Os01g37280,13,10,7,2,0,1,0,0,0,0,0,1
Chr1+20820385,LOC_Os01g37280,11,12,13,7,3,5,13,7,6,15,14,14
Chr1+20818589,LOC_Os01g37280,6,4,1,3,2,0,0,0,1,1,1,4
Chr1-22855513,LOC_Os01g40470,248,227,244,233,261,214,247,317,296,179,176,179
Chr1-22855806,LOC_Os01g40470,6,9,11,13,8,10,0,0,0,0,0,0
Chr1-22857225,LOC_Os01g40470,1,3,1,5,3,2,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23925357,LOC_Os01g42234,0,0,0,0,0,0,2,1,2,1,1,1
Chr1+23933450,LOC_Os01g42234,30,46,60,68,51,50,91,123,129,29,26,21
Chr1-24703796,LOC_Os01g43250,43,36,54,37,19,43,46,40,42,48,42,44
Chr1-24708192,LOC_Os01g43250,0,8,4,5,3,5,0,0,0,1,0,2
Chr1+25003415,LOC_Os01g43630,0,0,0,1,0,0,6,10,6,2,4,2
Chr1+25003233,LOC_Os01g43630,57,54,65,31,25,25,22,73,63,59,57,55
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,0,4,0,0,0,0
Chr1+25361865,LOC_Os01g44220,2272,2387,1586,2593,2148,2231,80,80,82,118,75,110
Chr1+25362209,LOC_Os01g44220,3,3,10,3,2,1,0,1,0,1,1,1
Chr1+25356680,LOC_Os01g44220,2,7,4,26,7,1,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,0,0,0,3,3,4,0,1,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917622,LOC_Os01g45620,54,34,78,59,55,61,6,9,5,14,12,15
Chr1-25917859,LOC_Os01g45620,3,5,5,4,3,3,0,0,0,0,0,0
Chr1-25921679,LOC_Os01g45620,4,2,2,0,0,0,0,0,0,0,0,0
Chr1-25918558,LOC_Os01g45620,0,0,0,3,0,1,0,0,0,0,0,0
Chr1-25917441,LOC_Os01g45620,5,3,3,0,3,0,0,0,0,0,0,0
Chr1-25917749,LOC_Os01g45620,10,7,10,3,6,25,0,0,0,0,0,0
Chr1+26396273,LOC_Os01g46380,9,11,9,0,17,18,1,1,1,1,2,2
Chr1+26395170,LOC_Os01g46380,6,9,3,0,0,0,0,0,0,0,0,0
Chr1+26396056,LOC_Os01g46380,3457,3104,3351,1650,1681,1628,108,120,129,364,361,365
Chr1+26722429,LOC_Os01g46840,0,1,0,0,0,0,0,6,1,0,0,0
Chr1+26722277,LOC_Os01g46840,2,2,0,8,17,19,5,1,2,0,4,0
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-26888426,LOC_Os01g47080,66,95,88,142,136,82,292,318,383,24,21,28
Chr1-26888569,LOC_Os01g47080,12,3,6,3,6,6,0,1,0,0,0,0
Chr1+27010935,LOC_Os01g47262,6,6,7,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,4,1,21,0,6,3,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,6,9,4,9,7,9,0,0,0,0,0,0
Chr1+27012055,LOC_Os01g47262,645,636,1166,871,937,796,81,84,86,169,182,136
Chr1+27009271,LOC_Os01g47262,7,5,6,5,7,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,3,3,3,2,0,1,2,2,1,0,0
Chr1-27965721,LOC_Os01g48770,734,729,1076,742,704,700,899,758,893,593,428,363
Chr1-28697312,LOC_Os01g49940,10,4,7,10,0,0,7,6,5,0,0,1
Chr1-28683935,LOC_Os01g49940,145,129,165,166,107,130,43,44,46,110,103,100
Chr1-28697450,LOC_Os01g49940,120,85,107,111,91,116,21,15,16,16,55,41
Chr1+28804457,LOC_Os01g50120,0,0,0,1,0,1,3,0,2,2,3,0
Chr1+28803863,LOC_Os01g50120,37,10,17,40,17,11,6,18,16,14,20,20
Chr1+28800764,LOC_Os01g50120,0,0,0,5,2,4,10,10,8,4,3,3
Chr1+29124339,LOC_Os01g50700,6,11,6,32,5,19,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,12880,12146,12187,13477,10111,9606,4,1,5,0,2,2
Chr1+29123295,LOC_Os01g50700,0,2,3,0,0,0,0,0,0,0,0,0
Chr1+29124215,LOC_Os01g50700,34,14,29,1,8,7,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,346,295,309,308,283,331,49,62,59,231,418,195
Chr1+30431148,LOC_Os01g52920,68,66,69,49,44,73,0,3,0,12,16,16
Chr1+30431484,LOC_Os01g52920,2,3,3,1,7,7,0,0,0,0,0,0
Chr1+30432087,LOC_Os01g52920,1,0,0,2,2,4,0,0,0,0,3,0
Chr1-30526019,LOC_Os01g53130,0,0,0,6,10,7,0,0,0,0,0,0
Chr1-30525031,LOC_Os01g53130,4,3,5,3,4,7,0,1,1,2,3,2
Chr1-30527175,LOC_Os01g53130,0,0,0,0,0,0,0,0,0,1,0,1
Chr1-30527478,LOC_Os01g53130,1,0,0,0,0,0,0,0,0,2,0,2
Chr1-30527365,LOC_Os01g53130,0,0,0,0,0,1,12,18,4,1,0,1
Chr1+32622547,LOC_Os01g56580,4,8,11,3,9,0,0,0,0,0,0,0
Chr1+32622715,LOC_Os01g56580,178,203,181,200,277,250,84,71,85,115,105,103
Chr1-32855437,LOC_Os01g56890,82,81,64,45,54,51,33,25,26,58,61,75
Chr1-32855924,LOC_Os01g56890,12,27,19,72,12,42,0,0,0,0,5,3
Chr1-32856278,LOC_Os01g56890,1,4,2,0,13,0,0,0,0,0,0,0
Chr1-32855385,LOC_Os01g56890,204,71,5,169,95,87,209,189,297,375,373,392
Chr1-32856153,LOC_Os01g56890,22,19,12,1,4,8,0,2,0,1,2,1
Chr1+32862638,LOC_Os01g56900,4,11,2,1,1,1,2,2,2,6,7,6
Chr1+32863305,LOC_Os01g56900,14,10,0,2,9,12,2,4,0,6,7,10
Chr1+32863554,LOC_Os01g56900,0,3,1,0,3,1,0,0,4,2,4,7
Chr1+33058487,LOC_Os01g57210,70,42,63,30,39,68,34,47,35,9,16,14
Chr1+33058583,LOC_Os01g57210,1,0,0,0,0,0,7,5,2,2,0,1
Chr1+33055124,LOC_Os01g57210,2,1,1,0,4,10,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,3,8,6,1,5,0,0,0,0,0,0
Chr1-33369626,LOC_Os01g57720,3,6,10,10,4,0,1,0,1,4,4,3
Chr1-33368699,LOC_Os01g57720,10,25,4,26,47,6,0,11,11,16,19,20
Chr1-33368984,LOC_Os01g57720,137,129,133,83,192,173,59,60,47,150,136,143
Chr1-33369580,LOC_Os01g57720,1,18,18,21,14,43,2,2,4,9,12,8
Chr1-33369316,LOC_Os01g57720,3,2,0,2,12,4,0,0,0,1,1,0
Chr1+33663175,LOC_Os01g58240,0,1,0,5,2,0,4,3,4,4,4,1
Chr1+33663606,LOC_Os01g58240,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33672497,LOC_Os01g58240,5,12,2,1,0,0,2,5,4,3,2,3
Chr1-34163816,LOC_Os01g59140,0,0,0,2,4,6,1,1,2,1,0,0
Chr1-34163514,LOC_Os01g59140,0,0,0,0,0,0,1,2,2,1,1,1
Chr1-34165817,LOC_Os01g59140,3,4,0,8,19,7,7,3,5,5,7,6
Chr1-34163746,LOC_Os01g59140,18,13,11,42,6,44,32,37,38,30,31,26
Chr1+34202742,LOC_Os01g59200,28,18,8,24,13,10,0,0,0,0,0,0
Chr1+34202645,LOC_Os01g59200,42,47,69,81,58,80,1,1,1,0,0,0
Chr1+34423675,LOC_Os01g59530,7,5,6,13,15,16,150,154,120,246,215,223
Chr1+34423862,LOC_Os01g59530,2,2,6,2,3,1,2,2,2,0,0,0
Chr1-36014043,LOC_Os01g62230,701,533,838,562,619,423,384,430,306,44,70,63
Chr1-36014480,LOC_Os01g62230,3,3,6,0,0,0,1,4,2,0,0,0
Chr1-36102686,LOC_Os01g62380,0,1,17,25,12,9,59,70,70,2,4,2
Chr1-36099882,LOC_Os01g62380,13,7,7,9,14,1,8,2,1,0,0,1
Chr1-36141689,LOC_Os01g62440,0,0,0,0,0,0,0,0,0,0,1,1
Chr1-36138825,LOC_Os01g62440,28,25,30,21,12,8,91,93,79,81,75,57
Chr1-36139131,LOC_Os01g62440,4,9,19,1,6,3,0,2,1,6,7,0
Chr1-36145739,LOC_Os01g62440,0,0,0,0,0,0,3,3,3,0,0,0
Chr1+36280264,LOC_Os01g62650,0,0,4,0,2,0,0,0,0,1,1,0
Chr1+36286366,LOC_Os01g62650,110,188,223,173,173,166,60,58,56,130,141,120
Chr1+36280419,LOC_Os01g62650,0,0,0,2,4,1,0,0,0,4,3,1
Chr1+36285594,LOC_Os01g62650,4,2,0,2,2,2,3,0,4,4,1,0
Chr1+36440121,LOC_Os01g62900,1,7,7,0,1,1,9,13,14,3,6,6
Chr1+36440402,LOC_Os01g62900,1,2,1,0,0,0,0,4,1,13,10,12
Chr1+36483777,LOC_Os01g62970,0,2,8,12,6,8,0,0,0,0,0,0
Chr1+36481175,LOC_Os01g62970,1,1,1,3,0,7,3,11,4,5,6,9
Chr1+36484002,LOC_Os01g62970,316,314,306,564,534,524,20,8,9,85,79,80
Chr1-37049115,LOC_Os01g63854,1,0,0,2,2,16,26,27,28,20,20,14
Chr1-37043633,LOC_Os01g63854,7,10,7,14,12,6,87,68,89,71,75,141
Chr1-37043453,LOC_Os01g63854,0,0,0,0,2,1,6,4,8,10,13,19
Chr1-37048729,LOC_Os01g63854,0,2,2,0,3,0,0,0,0,1,3,1
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,0,0,0,0,0,0,0
Chr1-38206951,LOC_Os01g65790,1,2,10,1,4,6,312,329,348,11,5,9
Chr1-38208579,LOC_Os01g65790,9,0,8,16,3,10,1,8,5,12,1,3
Chr1+38332591,LOC_Os01g66050,34,44,39,31,31,24,22,21,34,45,46,35
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,1,0,0,0,0,0,0
Chr1-38400569,LOC_Os01g66120,0,2,2,7,5,3,0,0,0,0,0,0
Chr1-38399973,LOC_Os01g66120,98,62,111,141,107,110,1,0,0,0,1,0
Chr1-38398218,LOC_Os01g66120,9,7,4,6,6,5,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,4,10,9,19,10,2,0,0,0,0,1,2
Chr1-38398994,LOC_Os01g66120,2383,2382,1953,2962,3152,2589,169,172,154,1271,1087,1237
Chr1+39863578,LOC_Os01g68640,1,1,3,0,0,0,2,7,12,0,0,0
Chr1+39863436,LOC_Os01g68640,0,7,1,4,4,4,0,0,0,0,0,0
Chr1+40920737,LOC_Os01g70670,9,40,46,36,44,49,21,19,22,43,43,45
Chr1+40918499,LOC_Os01g70670,7,10,6,0,0,0,0,0,0,0,0,0
Chr1+40920606,LOC_Os01g70670,55,128,64,113,68,127,53,45,74,73,84,54
Chr1-43072749,LOC_Os01g74350,16,24,8,15,25,13,41,51,43,48,35,29
Chr1-43075776,LOC_Os01g74350,21,34,44,37,25,22,22,23,38,18,21,17
Chr2-1178924,LOC_Os02g03000,3,4,1,0,0,0,3,3,1,0,0,0
Chr2-1178890,LOC_Os02g03000,2,4,5,8,2,6,8,6,15,0,5,4
Chr2+1211089,LOC_Os02g03060,5,1,1,0,0,0,35,29,29,6,8,6
Chr2+1210986,LOC_Os02g03060,2,2,0,0,0,1,0,1,0,0,0,0
Chr2-1288905,LOC_Os02g03230,0,0,0,0,0,0,2,6,4,2,0,1
Chr2-1289078,LOC_Os02g03230,163,161,183,175,181,246,729,500,702,525,508,530
Chr2-1550782,LOC_Os02g03700,2,1,1,1,8,0,8,6,9,36,27,52
Chr2-1551808,LOC_Os02g03700,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-1551474,LOC_Os02g03700,0,0,0,2,6,6,0,0,0,0,5,6
Chr2-1550645,LOC_Os02g03700,0,0,0,3,5,2,2,4,3,3,5,8
Chr2-1550907,LOC_Os02g03700,0,0,0,0,0,0,0,0,0,1,0,3
Chr2-1551642,LOC_Os02g03700,3,2,4,12,11,2,0,2,0,2,2,3
Chr2-1552766,LOC_Os02g03700,55,65,35,47,42,49,144,113,95,110,89,124
Chr2+2394151,LOC_Os02g05030,5,9,0,0,0,1,1,3,3,0,2,1
Chr2+2394322,LOC_Os02g05030,24,75,62,81,55,44,123,121,114,107,106,112
Chr2-3846388,LOC_Os02g07450,4,4,4,0,2,11,1,0,0,0,0,0
Chr2-3846019,LOC_Os02g07450,3,1,3,15,19,11,1,0,0,1,7,8
Chr2-3846222,LOC_Os02g07450,90,72,96,78,85,96,25,17,33,63,80,61
Chr2-4038895,LOC_Os02g07750,0,1,0,1,0,1,0,0,1,1,0,0
Chr2-4038492,LOC_Os02g07750,150,169,59,214,194,188,160,129,151,110,128,90
Chr2+5504356,LOC_Os02g10470,9,4,13,27,35,21,76,43,23,40,28,30
Chr2+5504238,LOC_Os02g10470,2,7,6,9,10,13,1,0,1,0,0,0
Chr2-5587263,LOC_Os02g10630,3,4,2,0,0,0,0,0,0,0,0,0
Chr2-5587184,LOC_Os02g10630,8,3,8,5,4,5,2,6,3,5,6,3
Chr2-5930297,LOC_Os02g11070,85,66,60,148,30,166,30,13,24,92,87,83
Chr2-5932387,LOC_Os02g11070,2,2,2,0,0,1,0,2,1,0,0,0
Chr2-5955075,LOC_Os02g11110,1,0,1,0,0,0,1,6,5,16,9,14
Chr2-5955681,LOC_Os02g11110,15,20,13,21,18,29,107,92,91,64,53,62
Chr2-5955017,LOC_Os02g11110,0,0,0,0,0,0,1,0,0,8,8,8
Chr2-5955208,LOC_Os02g11110,3,5,4,7,1,11,2,6,1,3,3,3
Chr2-6529691,LOC_Os02g12490,0,4,6,0,2,2,4,5,4,19,19,27
Chr2-6530247,LOC_Os02g12490,8,9,8,7,7,4,20,30,24,34,36,24
Chr2-6532217,LOC_Os02g12490,1,1,2,0,0,0,0,0,0,0,0,1
Chr2-6530886,LOC_Os02g12490,0,0,0,2,1,0,1,2,0,0,0,2
Chr2-6530340,LOC_Os02g12490,32,36,47,20,8,36,13,15,17,13,35,41
Chr2+7687331,LOC_Os02g14059,1190,1107,1169,900,892,929,168,187,181,95,117,109
Chr2+7687624,LOC_Os02g14059,2,0,6,23,21,12,2,1,2,0,0,0
Chr2+7682662,LOC_Os02g14059,9,1,3,2,3,2,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,2,3,11,21,2,5,5,11,5,3,4,4
Chr2+8221336,LOC_Os02g14800,4,4,9,4,0,0,2,1,3,2,2,0
Chr2+8217132,LOC_Os02g14800,9,12,13,7,9,20,20,22,20,33,30,30
Chr2+8317184,LOC_Os02g14900,2,2,2,0,2,0,9,11,9,1,1,2
Chr2+8300243,LOC_Os02g14900,2,2,0,2,2,2,9,5,1,1,3,3
Chr2+8316992,LOC_Os02g14900,0,0,1,1,0,1,0,3,1,0,0,0
Chr2+8314499,LOC_Os02g14900,2,4,2,4,2,3,2,2,4,3,0,1
Chr2-8747271,LOC_Os02g15580,4,2,6,6,6,0,0,0,0,2,1,2
Chr2-8747067,LOC_Os02g15580,98,69,106,53,68,67,111,88,92,100,105,109
Chr2+9044660,LOC_Os02g15950,7,25,19,5,3,3,5,7,7,28,21,10
Chr2+9046083,LOC_Os02g15950,14,11,14,1,0,3,3,3,4,28,20,18
Chr2+9044737,LOC_Os02g15950,4,0,3,2,0,0,9,14,4,16,15,18
Chr2-9913486,LOC_Os02g17292,6,5,1,0,0,0,5,3,1,3,3,7
Chr2-9912522,LOC_Os02g17292,6,2,3,10,18,8,11,16,16,5,5,4
Chr2-9913625,LOC_Os02g17292,0,0,0,0,0,0,1,2,2,1,1,1
Chr2-9913669,LOC_Os02g17292,0,1,0,0,0,0,0,0,1,3,1,2
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,314,334,344,309,257,297,240,227,230,104,120,105
Chr2-11159684,LOC_Os02g19140,12,11,16,17,21,32,2,4,0,0,1,0
Chr2-15468574,LOC_Os02g26349,0,4,0,0,4,1,2,19,16,6,4,4
Chr2-15468252,LOC_Os02g26349,18,18,20,32,44,31,7,7,10,19,18,19
Chr2+15912986,LOC_Os02g27060,26,24,19,56,44,26,3,2,6,8,7,3
Chr2+15913311,LOC_Os02g27060,0,0,0,5,8,8,0,0,0,0,0,2
Chr2+15915382,LOC_Os02g27060,0,0,0,0,1,1,1,1,2,0,0,0
Chr2+15915566,LOC_Os02g27060,40,41,45,33,31,30,43,47,46,114,129,118
Chr2+16442642,LOC_Os02g27760,2,0,1,0,0,0,0,0,0,0,2,1
Chr2+16442552,LOC_Os02g27760,6,2,5,1,2,1,4,2,2,0,2,0
Chr2+16442445,LOC_Os02g27760,762,682,774,628,642,651,1086,1135,1179,384,386,375
