chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_60days1,leaf_60days2,leaf_60days3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3
Chr1+8408590,LOC_Os01g15000,3,0,5,0,1,0,0,0,0,0,0,0
Chr1+8405373,LOC_Os01g15000,1,11,4,5,7,11,0,0,0,1,0,0
Chr1+8408240,LOC_Os01g15000,6,10,9,1,5,8,0,0,0,0,0,0
Chr1+8408351,LOC_Os01g15000,261,276,324,146,142,122,50,68,43,26,10,25
Chr1+8407017,LOC_Os01g15000,6,8,6,0,0,0,0,0,0,0,0,0
Chr1-9658230,LOC_Os01g16890,1935,1923,1946,247,268,274,705,1062,491,872,897,943
Chr1-9659592,LOC_Os01g16890,19,17,10,0,0,0,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,22,12,23,0,0,0,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,39,70,0,1,2,1,0,0,0,4,5,3
Chr1-9658021,LOC_Os01g16890,0,0,8,1,0,1,2,1,1,1,0,2
Chr1-9660380,LOC_Os01g16890,30,43,37,0,0,0,0,0,0,2,1,1
Chr1+9879603,LOC_Os01g17180,0,0,0,1,0,1,10,8,5,0,0,1
Chr1+9885367,LOC_Os01g17180,324,417,264,111,104,112,241,230,229,123,132,130
Chr1+10655296,LOC_Os01g18850,5,2,8,0,0,0,0,0,0,0,0,0
Chr1+10656648,LOC_Os01g18850,77,75,77,186,100,162,52,39,70,52,52,60
Chr1+10679801,LOC_Os01g18880,1,0,0,0,0,0,4,1,36,0,0,0
Chr1+10678290,LOC_Os01g18880,0,1,0,0,0,0,0,0,0,1,2,1
Chr1+10676910,LOC_Os01g18880,3,0,0,1,0,0,16,20,1,9,9,9
Chr1+10677075,LOC_Os01g18880,0,0,0,0,0,0,0,0,0,1,2,1
Chr1+10679862,LOC_Os01g18880,38,27,44,10,7,5,76,32,9,12,16,18
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,10,24,50,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,0,0,0,5,3,6
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,0,0,0,4,4,5
Chr1-11253657,LOC_Os01g19850,8,5,8,2,1,1,4,0,0,6,8,8
Chr1-11253815,LOC_Os01g19850,11,0,2,0,2,0,4,2,1,2,3,1
Chr1-11800239,LOC_Os01g21144,0,4,10,1,0,0,0,0,0,0,0,0
Chr1-11801468,LOC_Os01g21144,3,9,13,0,0,1,4,0,3,4,2,5
Chr1-11800290,LOC_Os01g21144,11,0,5,0,0,0,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,1,0,0,1,0,0,1,1,1,0,2,2
Chr1+11975299,LOC_Os01g21450,0,0,0,0,1,0,0,0,0,0,1,1
Chr1+11981803,LOC_Os01g21450,393,445,385,210,247,237,102,92,114,118,123,135
Chr1+11981977,LOC_Os01g21450,2,4,3,2,0,1,0,0,0,1,0,1
Chr1-12704551,LOC_Os01g22600,4,2,0,0,0,0,0,0,0,0,0,0
Chr1-12704882,LOC_Os01g22600,571,522,370,68,66,69,51,39,27,51,49,53
Chr1-12704755,LOC_Os01g22600,168,242,277,124,138,128,45,63,102,65,110,7
Chr1+13305003,LOC_Os01g23640,9,7,2,0,0,0,0,0,0,0,0,0
Chr1+13304670,LOC_Os01g23640,1,7,0,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,199,143,166,96,92,95,124,37,22,49,48,57
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,223,115,191,0,0,0
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,27,6,3,0,0,0
Chr1+13443430,LOC_Os01g23880,0,0,0,6,5,7,30198,44014,48767,8,9,10
Chr1+13935377,LOC_Os01g24764,6,11,12,150,189,188,52,78,126,113,129,83
Chr1+13935124,LOC_Os01g24764,5,2,2,7,7,8,1,4,2,8,5,5
Chr1+13935565,LOC_Os01g24764,0,0,0,8,13,4,0,0,0,5,4,3
Chr1+13935855,LOC_Os01g24764,8,0,2,36,28,34,1,1,1,6,5,2
Chr1-14754834,LOC_Os01g26039,24,12,7,181,173,217,17,13,1,40,36,41
Chr1-14757624,LOC_Os01g26039,1,4,1,5,4,0,17,9,10,1,1,1
Chr1+16056051,LOC_Os01g28680,2,3,0,6,10,4,0,2,1,0,0,1
Chr1+16056254,LOC_Os01g28680,17,19,14,468,462,528,28,106,32,9,14,8
Chr1+16051023,LOC_Os01g28680,0,0,0,1,2,0,0,0,0,0,0,0
Chr1+16053083,LOC_Os01g28680,0,0,0,4,5,5,0,2,1,0,0,0
Chr1+16047519,LOC_Os01g28680,0,1,0,4,5,0,0,1,0,1,0,0
Chr1+17607032,LOC_Os01g32170,4,4,4,0,0,0,0,0,0,0,1,2
Chr1+17607127,LOC_Os01g32170,0,1,0,0,0,0,0,1,1,3,3,3
Chr1+17607514,LOC_Os01g32170,5,5,3,6,4,3,0,0,2,7,7,6
Chr1+17606900,LOC_Os01g32170,8,0,6,0,0,0,0,0,0,8,7,6
Chr1+18050168,LOC_Os01g32870,3,3,2,0,5,4,0,0,0,2,7,2
Chr1+18050053,LOC_Os01g32870,259,154,242,98,84,80,26,53,58,108,104,109
Chr1-18394360,LOC_Os01g33420,245,237,340,90,95,102,107,44,407,118,98,95
Chr1-18395693,LOC_Os01g33420,0,0,0,1,1,1,0,0,0,0,0,0
Chr1-18459991,LOC_Os01g33540,16,8,19,5,3,6,92,68,100,17,22,18
Chr1-18459308,LOC_Os01g33540,24,37,20,15,10,16,30,5,45,14,26,26
Chr1-18459207,LOC_Os01g33540,0,3,0,0,0,2,9,24,8,0,2,2
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,0,0,0,4,5,6
Chr1+20334364,LOC_Os01g36640,0,0,0,4,6,0,1,2,1,3,3,0
Chr1+20334834,LOC_Os01g36640,0,0,0,0,0,0,16,2,4,1,0,2
Chr1+20334613,LOC_Os01g36640,0,0,0,20,21,22,23,2,26,14,16,16
Chr1+20334066,LOC_Os01g36640,0,0,1,0,1,1,0,0,0,2,0,3
Chr1+20335020,LOC_Os01g36640,2,2,3,3,3,4,15,69,38,1,1,0
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,1,0,0,0,0,0,0
Chr1+20820347,LOC_Os01g37280,13,10,7,0,0,1,0,0,0,1,1,1
Chr1+20820385,LOC_Os01g37280,11,12,13,15,14,14,8,12,7,25,15,14
Chr1+20818589,LOC_Os01g37280,6,4,1,1,1,4,0,0,0,4,5,5
Chr1-22855513,LOC_Os01g40470,248,227,244,179,176,179,108,189,205,168,198,194
Chr1-22855806,LOC_Os01g40470,6,9,11,0,0,0,0,0,0,0,0,0
Chr1-22857225,LOC_Os01g40470,1,3,1,0,0,0,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,35,6,37,1,2,2
Chr1+23925357,LOC_Os01g42234,0,0,0,1,1,1,0,0,0,5,1,7
Chr1+23933450,LOC_Os01g42234,30,46,60,29,26,21,35,5,26,9,9,5
Chr1-24703796,LOC_Os01g43250,43,36,54,48,42,44,64,52,24,92,96,102
Chr1-24708192,LOC_Os01g43250,0,8,4,1,0,2,0,0,0,0,0,0
Chr1+25003415,LOC_Os01g43630,0,0,0,2,4,2,0,0,0,2,16,9
Chr1+25003233,LOC_Os01g43630,57,54,65,59,57,55,47,52,81,71,83,80
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,0,0,0,0,0,1
Chr1+25361865,LOC_Os01g44220,2272,2387,1586,118,75,110,45,35,47,71,49,70
Chr1+25362209,LOC_Os01g44220,3,3,10,1,1,1,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,2,7,4,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,0,1,0,71,58,37,2,1,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,71,107,180,0,0,0
Chr1-25917622,LOC_Os01g45620,54,34,78,14,12,15,183,107,31,18,18,17
Chr1-25917859,LOC_Os01g45620,3,5,5,0,0,0,1,14,9,0,0,1
Chr1-25921679,LOC_Os01g45620,4,2,2,0,0,0,21,52,59,0,0,0
Chr1-25918558,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917441,LOC_Os01g45620,5,3,3,0,0,0,0,0,0,0,0,0
Chr1-25917749,LOC_Os01g45620,10,7,10,0,0,0,20,0,17,0,2,1
Chr1+26396273,LOC_Os01g46380,9,11,9,1,2,2,33,41,13,3,3,3
Chr1+26395170,LOC_Os01g46380,6,9,3,0,0,0,0,0,0,0,0,0
Chr1+26396056,LOC_Os01g46380,3457,3104,3351,364,361,365,464,819,277,810,935,948
Chr1+26722429,LOC_Os01g46840,0,1,0,0,0,0,0,0,0,10,17,12
Chr1+26722277,LOC_Os01g46840,2,2,0,0,4,0,0,0,2,36,51,40
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,23,68,35,1,2,2
Chr1-26888426,LOC_Os01g47080,66,95,88,24,21,28,102,139,110,144,168,146
Chr1-26888569,LOC_Os01g47080,12,3,6,0,0,0,0,0,0,0,2,0
Chr1+27010935,LOC_Os01g47262,6,6,7,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,4,1,21,0,0,0,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,6,9,4,0,0,0,0,0,0,0,0,0
Chr1+27012055,LOC_Os01g47262,645,636,1166,169,182,136,94,53,79,100,82,115
Chr1+27009271,LOC_Os01g47262,7,5,6,0,0,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,3,3,1,0,0,0,0,0,0,0,0
Chr1-27965721,LOC_Os01g48770,734,729,1076,593,428,363,1065,340,533,822,967,726
Chr1-28697312,LOC_Os01g49940,10,4,7,0,0,1,0,0,0,1,2,1
Chr1-28683935,LOC_Os01g49940,145,129,165,110,103,100,75,129,153,80,89,98
Chr1-28697450,LOC_Os01g49940,120,85,107,16,55,41,23,27,119,22,22,16
Chr1+28804457,LOC_Os01g50120,0,0,0,2,3,0,0,0,0,1,0,1
Chr1+28803863,LOC_Os01g50120,37,10,17,14,20,20,5,2,4,19,18,19
Chr1+28800764,LOC_Os01g50120,0,0,0,4,3,3,0,0,0,5,5,6
Chr1+29124339,LOC_Os01g50700,6,11,6,0,0,0,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,12880,12146,12187,0,2,2,0,0,0,1,0,0
Chr1+29123295,LOC_Os01g50700,0,2,3,0,0,0,0,0,0,3,0,0
Chr1+29124215,LOC_Os01g50700,34,14,29,0,0,0,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,346,295,309,231,418,195,311,270,244,177,169,177
Chr1+30431148,LOC_Os01g52920,68,66,69,12,16,16,0,0,0,3,2,0
Chr1+30431484,LOC_Os01g52920,2,3,3,0,0,0,0,0,0,0,0,0
Chr1+30432087,LOC_Os01g52920,1,0,0,0,3,0,0,0,0,1,1,1
Chr1-30526019,LOC_Os01g53130,0,0,0,0,0,0,0,0,0,1,0,0
Chr1-30525031,LOC_Os01g53130,4,3,5,2,3,2,7,7,13,13,12,9
Chr1-30527175,LOC_Os01g53130,0,0,0,1,0,1,0,0,0,4,2,3
Chr1-30527478,LOC_Os01g53130,1,0,0,2,0,2,248,233,171,2,2,2
Chr1-30527365,LOC_Os01g53130,0,0,0,1,0,1,58,15,124,6,7,6
Chr1+32622547,LOC_Os01g56580,4,8,11,0,0,0,0,0,0,0,0,0
Chr1+32622715,LOC_Os01g56580,178,203,181,115,105,103,247,173,133,111,111,98
Chr1-32855437,LOC_Os01g56890,82,81,64,58,61,75,202,83,153,14,21,15
Chr1-32855924,LOC_Os01g56890,12,27,19,0,5,3,38,42,55,4,3,1
Chr1-32856278,LOC_Os01g56890,1,4,2,0,0,0,9,3,18,1,1,1
Chr1-32855385,LOC_Os01g56890,204,71,5,375,373,392,2364,1790,1815,204,198,209
Chr1-32856153,LOC_Os01g56890,22,19,12,1,2,1,46,45,41,1,1,2
Chr1+32862638,LOC_Os01g56900,4,11,2,6,7,6,0,0,0,9,8,7
Chr1+32863305,LOC_Os01g56900,14,10,0,6,7,10,0,0,0,8,17,12
Chr1+32863554,LOC_Os01g56900,0,3,1,2,4,7,101,146,79,4,2,2
Chr1+33058487,LOC_Os01g57210,70,42,63,9,16,14,45,56,49,24,26,31
Chr1+33058583,LOC_Os01g57210,1,0,0,2,0,1,0,0,0,1,1,1
Chr1+33055124,LOC_Os01g57210,2,1,1,0,0,0,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,3,8,0,0,0,0,0,0,1,1,2
Chr1-33369626,LOC_Os01g57720,3,6,10,4,4,3,13,11,11,0,0,0
Chr1-33368699,LOC_Os01g57720,10,25,4,16,19,20,23,40,93,11,13,5
Chr1-33368984,LOC_Os01g57720,137,129,133,150,136,143,47,76,35,30,25,33
Chr1-33369580,LOC_Os01g57720,1,18,18,9,12,8,0,0,0,5,3,10
Chr1-33369316,LOC_Os01g57720,3,2,0,1,1,0,15,7,2,1,0,0
Chr1+33663175,LOC_Os01g58240,0,1,0,4,4,1,1,3,1,0,0,0
Chr1+33663606,LOC_Os01g58240,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33672497,LOC_Os01g58240,5,12,2,3,2,3,47,41,42,0,0,0
Chr1-34163816,LOC_Os01g59140,0,0,0,1,0,0,5,27,0,0,0,3
Chr1-34163514,LOC_Os01g59140,0,0,0,1,1,1,0,0,0,1,0,3
Chr1-34165817,LOC_Os01g59140,3,4,0,5,7,6,24,30,33,1,1,0
Chr1-34163746,LOC_Os01g59140,18,13,11,30,31,26,14,65,30,37,38,38
Chr1+34202742,LOC_Os01g59200,28,18,8,0,0,0,0,0,0,0,0,0
Chr1+34202645,LOC_Os01g59200,42,47,69,0,0,0,59,104,51,0,0,0
Chr1+34423675,LOC_Os01g59530,7,5,6,246,215,223,539,571,594,47,49,49
Chr1+34423862,LOC_Os01g59530,2,2,6,0,0,0,1,4,4,0,1,0
Chr1-36014043,LOC_Os01g62230,701,533,838,44,70,63,222,202,273,145,148,161
Chr1-36014480,LOC_Os01g62230,3,3,6,0,0,0,0,0,0,1,0,1
Chr1-36102686,LOC_Os01g62380,0,1,17,2,4,2,24,28,24,79,36,87
Chr1-36099882,LOC_Os01g62380,13,7,7,0,0,1,0,0,0,6,4,0
Chr1-36141689,LOC_Os01g62440,0,0,0,0,1,1,24,30,6,0,0,0
Chr1-36138825,LOC_Os01g62440,28,25,30,81,75,57,36,39,53,29,24,22
Chr1-36139131,LOC_Os01g62440,4,9,19,6,7,0,0,0,0,1,1,1
Chr1-36145739,LOC_Os01g62440,0,0,0,0,0,0,3,0,2,0,0,0
Chr1+36280264,LOC_Os01g62650,0,0,4,1,1,0,0,0,0,1,0,0
Chr1+36286366,LOC_Os01g62650,110,188,223,130,141,120,8,24,40,367,375,301
Chr1+36280419,LOC_Os01g62650,0,0,0,4,3,1,0,0,0,1,0,1
Chr1+36285594,LOC_Os01g62650,4,2,0,4,1,0,6,7,8,0,0,0
Chr1+36440121,LOC_Os01g62900,1,7,7,3,6,6,33,86,74,55,53,52
Chr1+36440402,LOC_Os01g62900,1,2,1,13,10,12,0,0,0,5,3,2
Chr1+36483777,LOC_Os01g62970,0,2,8,0,0,0,0,0,0,0,0,0
Chr1+36481175,LOC_Os01g62970,1,1,1,5,6,9,5,6,15,1,1,0
Chr1+36484002,LOC_Os01g62970,316,314,306,85,79,80,27,19,83,17,21,18
Chr1-37049115,LOC_Os01g63854,1,0,0,20,20,14,1,4,3,7,28,5
Chr1-37043633,LOC_Os01g63854,7,10,7,71,75,141,51,51,54,62,72,62
Chr1-37043453,LOC_Os01g63854,0,0,0,10,13,19,0,0,0,3,0,2
Chr1-37048729,LOC_Os01g63854,0,2,2,1,3,1,0,0,0,1,0,0
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,0,13,3,2,0,0,0
Chr1-38206951,LOC_Os01g65790,1,2,10,11,5,9,10,63,56,82,84,78
Chr1-38208579,LOC_Os01g65790,9,0,8,12,1,3,14,90,48,2,1,0
Chr1+38332591,LOC_Os01g66050,34,44,39,45,46,35,92,125,32,47,56,34
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,0,0,0,0,0,3,1
Chr1-38400569,LOC_Os01g66120,0,2,2,0,0,0,0,0,0,0,1,0
Chr1-38399973,LOC_Os01g66120,98,62,111,0,1,0,0,0,0,0,0,0
Chr1-38398218,LOC_Os01g66120,9,7,4,0,0,0,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,4,10,9,0,1,2,0,0,0,0,0,0
Chr1-38398994,LOC_Os01g66120,2383,2382,1953,1271,1087,1237,509,303,597,265,295,236
Chr1+39863578,LOC_Os01g68640,1,1,3,0,0,0,0,0,0,6,5,3
Chr1+39863436,LOC_Os01g68640,0,7,1,0,0,0,2,9,2,3,3,4
Chr1+40920737,LOC_Os01g70670,9,40,46,43,43,45,26,34,22,24,11,7
Chr1+40918499,LOC_Os01g70670,7,10,6,0,0,0,0,0,0,1,1,0
Chr1+40920606,LOC_Os01g70670,55,128,64,73,84,54,122,110,95,99,74,97
Chr1-43072749,LOC_Os01g74350,16,24,8,48,35,29,123,35,11,72,55,78
Chr1-43075776,LOC_Os01g74350,21,34,44,18,21,17,41,12,127,92,95,88
Chr2-1178924,LOC_Os02g03000,3,4,1,0,0,0,0,0,0,1,0,3
Chr2-1178890,LOC_Os02g03000,2,4,5,0,5,4,0,0,0,32,29,29
Chr2+1211089,LOC_Os02g03060,5,1,1,6,8,6,12,62,4,36,26,37
Chr2+1210986,LOC_Os02g03060,2,2,0,0,0,0,0,0,0,1,1,1
Chr2-1288905,LOC_Os02g03230,0,0,0,2,0,1,0,0,0,0,0,0
Chr2-1289078,LOC_Os02g03230,163,161,183,525,508,530,300,209,281,134,145,137
Chr2-1550782,LOC_Os02g03700,2,1,1,36,27,52,155,3,3,6,3,10
Chr2-1551808,LOC_Os02g03700,0,0,0,0,0,0,45,4,10,0,0,0
Chr2-1551474,LOC_Os02g03700,0,0,0,0,5,6,0,0,0,1,0,0
Chr2-1550645,LOC_Os02g03700,0,0,0,3,5,8,0,1,2,1,4,3
Chr2-1550907,LOC_Os02g03700,0,0,0,1,0,3,0,0,0,0,1,1
Chr2-1551642,LOC_Os02g03700,3,2,4,2,2,3,15,43,1,0,1,0
Chr2-1552766,LOC_Os02g03700,55,65,35,110,89,124,46,313,236,153,143,128
Chr2+2394151,LOC_Os02g05030,5,9,0,0,2,1,0,1,0,0,0,0
Chr2+2394322,LOC_Os02g05030,24,75,62,107,106,112,810,856,443,82,84,72
Chr2-3846388,LOC_Os02g07450,4,4,4,0,0,0,0,0,0,4,0,0
Chr2-3846019,LOC_Os02g07450,3,1,3,1,7,8,0,0,0,0,0,0
Chr2-3846222,LOC_Os02g07450,90,72,96,63,80,61,0,250,58,57,78,106
Chr2-4038895,LOC_Os02g07750,0,1,0,1,0,0,2,6,3,0,0,0
Chr2-4038492,LOC_Os02g07750,150,169,59,110,128,90,72,62,58,88,86,77
Chr2+5504356,LOC_Os02g10470,9,4,13,40,28,30,324,134,236,51,65,49
Chr2+5504238,LOC_Os02g10470,2,7,6,0,0,0,41,33,25,5,2,1
Chr2-5587263,LOC_Os02g10630,3,4,2,0,0,0,1,0,0,0,0,0
Chr2-5587184,LOC_Os02g10630,8,3,8,5,6,3,589,790,716,11,12,15
Chr2-5930297,LOC_Os02g11070,85,66,60,92,87,83,231,478,438,66,70,70
Chr2-5932387,LOC_Os02g11070,2,2,2,0,0,0,26,16,21,0,0,0
Chr2-5955075,LOC_Os02g11110,1,0,1,16,9,14,0,0,0,2,1,0
Chr2-5955681,LOC_Os02g11110,15,20,13,64,53,62,29,9,36,10,10,6
Chr2-5955017,LOC_Os02g11110,0,0,0,8,8,8,0,0,0,0,1,0
Chr2-5955208,LOC_Os02g11110,3,5,4,3,3,3,0,0,0,1,0,0
Chr2-6529691,LOC_Os02g12490,0,4,6,19,19,27,10,23,12,14,12,12
Chr2-6530247,LOC_Os02g12490,8,9,8,34,36,24,14,7,17,36,34,28
Chr2-6532217,LOC_Os02g12490,1,1,2,0,0,1,0,0,0,1,0,0
Chr2-6530886,LOC_Os02g12490,0,0,0,0,0,2,37,7,14,0,0,0
Chr2-6530340,LOC_Os02g12490,32,36,47,13,35,41,9,6,16,31,32,25
Chr2+7687331,LOC_Os02g14059,1190,1107,1169,95,117,109,237,221,116,416,318,337
Chr2+7687624,LOC_Os02g14059,2,0,6,0,0,0,15,2,4,0,0,0
Chr2+7682662,LOC_Os02g14059,9,1,3,0,0,0,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,2,3,11,3,4,4,16,14,1,1,1,0
Chr2+8221336,LOC_Os02g14800,4,4,9,2,2,0,0,0,0,2,1,1
Chr2+8217132,LOC_Os02g14800,9,12,13,33,30,30,1,2,6,18,13,9
Chr2+8317184,LOC_Os02g14900,2,2,2,1,1,2,0,1,0,22,20,6
Chr2+8300243,LOC_Os02g14900,2,2,0,1,3,3,1,3,1,1,1,1
Chr2+8316992,LOC_Os02g14900,0,0,1,0,0,0,0,0,0,0,1,0
Chr2+8314499,LOC_Os02g14900,2,4,2,3,0,1,2,9,1,1,1,1
Chr2-8747271,LOC_Os02g15580,4,2,6,2,1,2,0,0,0,0,0,0
Chr2-8747067,LOC_Os02g15580,98,69,106,100,105,109,19,19,14,79,76,77
Chr2+9044660,LOC_Os02g15950,7,25,19,28,21,10,4,20,11,24,20,16
Chr2+9046083,LOC_Os02g15950,14,11,14,28,20,18,28,62,36,9,9,8
Chr2+9044737,LOC_Os02g15950,4,0,3,16,15,18,6,1,6,13,14,12
Chr2-9913486,LOC_Os02g17292,6,5,1,3,3,7,8,1,4,4,11,15
Chr2-9912522,LOC_Os02g17292,6,2,3,5,5,4,0,0,0,8,7,9
Chr2-9913625,LOC_Os02g17292,0,0,0,1,1,1,0,0,0,1,0,1
Chr2-9913669,LOC_Os02g17292,0,1,0,3,1,2,0,0,0,3,4,5
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,3,1,3,0,0,0
Chr2-11157250,LOC_Os02g19140,314,334,344,104,120,105,299,292,317,103,108,100
Chr2-11159684,LOC_Os02g19140,12,11,16,0,1,0,0,0,0,0,0,0
Chr2-15468574,LOC_Os02g26349,0,4,0,6,4,4,0,0,0,14,18,13
Chr2-15468252,LOC_Os02g26349,18,18,20,19,18,19,1,2,7,21,11,13
Chr2+15912986,LOC_Os02g27060,26,24,19,8,7,3,0,0,0,1,1,1
Chr2+15913311,LOC_Os02g27060,0,0,0,0,0,2,0,0,0,1,0,1
Chr2+15915382,LOC_Os02g27060,0,0,0,0,0,0,0,0,0,0,0,0
Chr2+15915566,LOC_Os02g27060,40,41,45,114,129,118,64,33,70,32,31,35
Chr2+16442642,LOC_Os02g27760,2,0,1,0,2,1,0,0,0,3,2,0
Chr2+16442552,LOC_Os02g27760,6,2,5,0,2,0,0,0,0,2,2,2
Chr2+16442445,LOC_Os02g27760,762,682,774,384,386,375,603,581,547,1251,1252,1292
