chrstrandcoord,gene,endosperm1,endosperm2,endosperm3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,embryo1,embryo2,embryo3
Chr1+7576953,LOC_Os01g13540,0,0,0,1,1,1,0,0,0,0,0,0
Chr1+7576771,LOC_Os01g13540,20,0,2,829,813,894,193,197,207,13,12,17
Chr1+7575165,LOC_Os01g13540,4,3,3,4,5,8,1,0,0,1,1,1
Chr1-7623978,LOC_Os01g13610,0,0,0,3,2,2,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,0,0,1,3,3,0,0,0,0
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,31,33,40,10,8,11,15,11,10,42,42,42
Chr1+7672710,LOC_Os01g13700,239,197,107,159,161,124,178,179,183,238,218,223
Chr1-7687909,LOC_Os01g13740,0,0,0,1,2,2,0,0,0,0,0,0
Chr1-7686899,LOC_Os01g13740,8,6,0,1601,1649,1595,667,525,670,3,3,1
Chr1-8175378,LOC_Os01g14590,0,0,0,1,0,1,0,0,0,0,0,0
Chr1-8175675,LOC_Os01g14590,19,19,15,10,15,10,0,11,5,4,9,5
Chr1-8175468,LOC_Os01g14590,6,14,9,6,7,8,3,4,3,0,0,0
Chr1+8408590,LOC_Os01g15000,8,11,2,0,1,0,0,0,0,1,1,1
Chr1+8405373,LOC_Os01g15000,8,12,14,5,7,11,1,2,5,2,0,0
Chr1+8408240,LOC_Os01g15000,9,10,7,1,5,8,5,4,6,5,6,7
Chr1+8408351,LOC_Os01g15000,458,389,371,146,142,122,59,45,45,72,106,74
Chr1+8407017,LOC_Os01g15000,9,6,4,0,0,0,1,0,1,2,0,0
Chr1-9658230,LOC_Os01g16890,1208,1248,926,247,268,274,1167,883,999,3589,3881,3963
Chr1-9659592,LOC_Os01g16890,2,4,2,0,0,0,0,0,0,29,9,34
Chr1-9660105,LOC_Os01g16890,2,0,2,0,0,0,0,0,0,13,11,13
Chr1-9660661,LOC_Os01g16890,24,24,59,1,2,1,1,0,0,237,227,242
Chr1-9658021,LOC_Os01g16890,2,14,12,1,0,1,5,8,4,11,10,12
Chr1-9660380,LOC_Os01g16890,2,1,2,0,0,0,0,0,0,36,37,38
Chr1+9879603,LOC_Os01g17180,1,1,0,1,0,1,0,0,0,0,0,0
Chr1+9885367,LOC_Os01g17180,363,355,409,111,104,112,96,58,96,245,237,218
Chr1+10655296,LOC_Os01g18850,20,8,1,0,0,0,0,0,0,3,1,0
Chr1+10656648,LOC_Os01g18850,86,96,97,186,100,162,105,108,103,82,87,90
Chr1+10679801,LOC_Os01g18880,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+10678290,LOC_Os01g18880,18,8,20,0,0,0,0,1,1,0,0,0
Chr1+10676910,LOC_Os01g18880,0,0,0,1,0,0,2,1,0,0,0,0
Chr1+10677075,LOC_Os01g18880,24,36,7,0,0,0,0,0,0,0,0,0
Chr1+10679862,LOC_Os01g18880,45,44,36,10,7,5,18,14,19,45,46,58
Chr1+11170325,LOC_Os01g19694,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,0,0,0,0,0,0,0,14,11,16
Chr1+11174321,LOC_Os01g19694,0,0,0,0,0,0,0,0,0,25,27,23
Chr1-11253657,LOC_Os01g19850,6,5,2,2,1,1,2,1,1,16,30,15
Chr1-11253815,LOC_Os01g19850,1,1,0,0,2,0,0,0,0,9,5,6
Chr1-11800239,LOC_Os01g21144,4,12,16,1,0,0,0,0,0,4,3,1
Chr1-11801468,LOC_Os01g21144,4,3,2,0,0,1,3,4,4,7,9,11
Chr1-11800290,LOC_Os01g21144,8,16,5,0,0,0,0,0,0,1,1,1
Chr1+11975457,LOC_Os01g21450,0,1,1,1,0,0,0,0,1,0,0,0
Chr1+11975299,LOC_Os01g21450,0,0,0,0,1,0,0,0,0,0,0,0
Chr1+11981803,LOC_Os01g21450,394,488,491,210,247,237,160,134,155,368,369,369
Chr1+11981977,LOC_Os01g21450,2,4,6,2,0,1,0,0,1,1,1,0
Chr1-12704551,LOC_Os01g22600,1,7,4,0,0,0,0,0,0,4,2,1
Chr1-12704882,LOC_Os01g22600,542,435,474,68,66,69,54,71,64,789,793,790
Chr1-12704755,LOC_Os01g22600,217,231,223,124,138,128,90,77,86,252,288,278
Chr1+13305003,LOC_Os01g23640,4,14,24,0,0,0,0,0,0,2,4,3
Chr1+13304670,LOC_Os01g23640,4,5,11,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,134,146,120,96,92,95,86,90,86,77,54,54
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+13443430,LOC_Os01g23880,0,0,0,6,5,7,1,2,4,0,0,0
Chr1+13935377,LOC_Os01g24764,12,5,8,150,189,188,110,117,111,16,13,16
Chr1+13935124,LOC_Os01g24764,2,0,1,7,7,8,0,9,9,2,3,2
Chr1+13935565,LOC_Os01g24764,0,0,0,8,13,4,0,0,1,2,1,1
Chr1+13935855,LOC_Os01g24764,0,10,10,36,28,34,4,12,12,10,6,8
Chr1-14754834,LOC_Os01g26039,20,21,22,181,173,217,41,46,64,26,43,47
Chr1-14757624,LOC_Os01g26039,3,2,2,5,4,0,4,3,2,0,0,0
Chr1+16056051,LOC_Os01g28680,1,3,3,6,10,4,2,11,4,2,0,3
Chr1+16056254,LOC_Os01g28680,19,19,26,468,462,528,167,124,169,17,16,15
Chr1+16051023,LOC_Os01g28680,0,0,0,1,2,0,0,0,0,0,0,0
Chr1+16053083,LOC_Os01g28680,0,0,0,4,5,5,0,1,1,0,0,0
Chr1+16047519,LOC_Os01g28680,0,0,0,4,5,0,1,0,0,0,0,0
Chr1+17607032,LOC_Os01g32170,0,1,0,0,0,0,0,0,0,1,3,0
Chr1+17607127,LOC_Os01g32170,0,0,0,0,0,0,3,2,4,3,4,7
Chr1+17607514,LOC_Os01g32170,6,16,2,6,4,3,4,4,4,3,3,2
Chr1+17606900,LOC_Os01g32170,3,1,2,0,0,0,2,1,2,14,15,16
Chr1+18050168,LOC_Os01g32870,0,0,0,0,5,4,5,6,3,4,4,2
Chr1+18050053,LOC_Os01g32870,310,307,276,98,84,80,57,64,65,313,296,285
Chr1-18394360,LOC_Os01g33420,94,121,154,90,95,102,311,277,365,354,347,363
Chr1-18395693,LOC_Os01g33420,5,7,5,1,1,1,0,0,1,4,2,4
Chr1-18459991,LOC_Os01g33540,9,4,0,5,3,6,7,8,8,8,8,8
Chr1-18459308,LOC_Os01g33540,28,39,32,15,10,16,23,19,13,53,42,40
Chr1-18459207,LOC_Os01g33540,2,0,1,0,0,2,0,2,1,1,1,1
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+20334364,LOC_Os01g36640,0,0,0,4,6,0,1,1,1,0,0,0
Chr1+20334834,LOC_Os01g36640,1,1,4,0,0,0,0,0,0,0,0,0
Chr1+20334613,LOC_Os01g36640,0,0,0,20,21,22,14,11,14,0,0,0
Chr1+20334066,LOC_Os01g36640,2,0,0,0,1,1,0,1,3,0,0,0
Chr1+20335020,LOC_Os01g36640,2,3,3,3,3,4,2,4,1,3,1,2
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,1,0,0,1,0,0,0
Chr1+20820347,LOC_Os01g37280,2,0,1,0,0,1,1,0,1,4,5,2
Chr1+20820385,LOC_Os01g37280,7,3,5,15,14,14,19,26,13,12,10,10
Chr1+20818589,LOC_Os01g37280,3,2,0,1,1,4,0,1,0,11,14,10
Chr1-22855513,LOC_Os01g40470,233,261,214,179,176,179,233,219,243,228,230,237
Chr1-22855806,LOC_Os01g40470,13,8,10,0,0,0,0,0,0,5,4,3
Chr1-22857225,LOC_Os01g40470,5,3,2,0,0,0,0,0,0,6,1,3
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23925357,LOC_Os01g42234,0,0,0,1,1,1,1,0,1,0,0,0
Chr1+23933450,LOC_Os01g42234,68,51,50,29,26,21,26,33,22,24,22,0
Chr1-24703796,LOC_Os01g43250,37,19,43,48,42,44,110,104,79,65,63,62
Chr1-24708192,LOC_Os01g43250,5,3,5,1,0,2,0,0,0,7,7,7
Chr1+25003415,LOC_Os01g43630,1,0,0,2,4,2,7,6,6,6,1,6
Chr1+25003233,LOC_Os01g43630,31,25,25,59,57,55,52,52,64,58,59,59
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+25361865,LOC_Os01g44220,2593,2148,2231,118,75,110,53,52,55,36,50,48
Chr1+25362209,LOC_Os01g44220,3,2,1,1,1,1,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,26,7,1,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,0,1,0,0,1,0,0,0,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917622,LOC_Os01g45620,59,55,61,14,12,15,13,10,12,67,65,53
Chr1-25917859,LOC_Os01g45620,4,3,3,0,0,0,0,0,0,5,1,7
Chr1-25921679,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25918558,LOC_Os01g45620,3,0,1,0,0,0,0,0,0,0,0,0
Chr1-25917441,LOC_Os01g45620,0,3,0,0,0,0,0,0,1,4,2,5
Chr1-25917749,LOC_Os01g45620,3,6,25,0,0,0,0,1,0,20,18,6
Chr1+26396273,LOC_Os01g46380,0,17,18,1,2,2,9,10,11,12,11,10
Chr1+26395170,LOC_Os01g46380,0,0,0,0,0,0,0,0,0,6,7,4
Chr1+26396056,LOC_Os01g46380,1650,1681,1628,364,361,365,1161,1134,1154,6097,6672,6378
Chr1+26722429,LOC_Os01g46840,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+26722277,LOC_Os01g46840,8,17,19,0,4,0,2,0,1,5,7,1
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-26888426,LOC_Os01g47080,142,136,82,24,21,28,21,24,19,97,101,98
Chr1-26888569,LOC_Os01g47080,3,6,6,0,0,0,0,0,0,5,4,2
Chr1+27010935,LOC_Os01g47262,0,0,0,0,0,0,0,0,0,7,3,3
Chr1+27010193,LOC_Os01g47262,0,6,3,0,0,0,0,0,0,5,2,7
Chr1+27010855,LOC_Os01g47262,9,7,9,0,0,0,0,0,0,15,0,3
Chr1+27012055,LOC_Os01g47262,871,937,796,169,182,136,413,390,459,811,756,925
Chr1+27009271,LOC_Os01g47262,5,7,0,0,0,0,0,0,0,4,3,0
Chr1-27965530,LOC_Os01g48770,3,2,0,1,0,0,0,0,1,0,0,0
Chr1-27965721,LOC_Os01g48770,742,704,700,593,428,363,979,1040,1092,2133,2149,2148
Chr1-28697312,LOC_Os01g49940,10,0,0,0,0,1,0,0,4,0,1,0
Chr1-28683935,LOC_Os01g49940,166,107,130,110,103,100,109,65,108,117,125,92
Chr1-28697450,LOC_Os01g49940,111,91,116,16,55,41,55,52,49,30,60,72
Chr1+28804457,LOC_Os01g50120,1,0,1,2,3,0,1,1,0,0,0,0
Chr1+28803863,LOC_Os01g50120,40,17,11,14,20,20,11,14,11,36,27,31
Chr1+28800764,LOC_Os01g50120,5,2,4,4,3,3,2,2,2,2,1,0
Chr1+29124339,LOC_Os01g50700,32,5,19,0,0,0,0,0,0,8,10,16
Chr1+29124591,LOC_Os01g50700,13477,10111,9606,0,2,2,0,0,0,6418,5162,8270
Chr1+29123295,LOC_Os01g50700,0,0,0,0,0,0,0,0,1,0,0,0
Chr1+29124215,LOC_Os01g50700,1,8,7,0,0,0,0,0,0,1,3,3
Chr1+30431695,LOC_Os01g52920,308,283,331,231,418,195,230,228,233,76,157,171
Chr1+30431148,LOC_Os01g52920,49,44,73,12,16,16,7,7,6,28,27,26
Chr1+30431484,LOC_Os01g52920,1,7,7,0,0,0,0,0,0,7,5,3
Chr1+30432087,LOC_Os01g52920,2,2,4,0,3,0,0,0,1,0,5,1
Chr1-30526019,LOC_Os01g53130,6,10,7,0,0,0,0,1,0,1,1,4
Chr1-30525031,LOC_Os01g53130,3,4,7,2,3,2,7,7,8,2,0,3
Chr1-30527175,LOC_Os01g53130,0,0,0,1,0,1,0,0,1,0,0,0
Chr1-30527478,LOC_Os01g53130,0,0,0,2,0,2,0,3,0,0,3,2
Chr1-30527365,LOC_Os01g53130,0,0,1,1,0,1,1,6,4,0,0,0
Chr1+32622547,LOC_Os01g56580,3,9,0,0,0,0,2,1,1,1,2,0
Chr1+32622715,LOC_Os01g56580,200,277,250,115,105,103,119,105,106,207,201,209
Chr1-32855437,LOC_Os01g56890,45,54,51,58,61,75,10,56,35,69,87,43
Chr1-32855924,LOC_Os01g56890,72,12,42,0,5,3,3,5,4,9,6,7
Chr1-32856278,LOC_Os01g56890,0,13,0,0,0,0,0,0,0,1,0,0
Chr1-32855385,LOC_Os01g56890,169,95,87,375,373,392,346,349,333,85,129,60
Chr1-32856153,LOC_Os01g56890,1,4,8,1,2,1,2,0,1,1,0,2
Chr1+32862638,LOC_Os01g56900,1,1,1,6,7,6,4,4,1,1,10,9
Chr1+32863305,LOC_Os01g56900,2,9,12,6,7,10,12,13,13,13,14,16
Chr1+32863554,LOC_Os01g56900,0,3,1,2,4,7,5,3,4,0,1,0
Chr1+33058487,LOC_Os01g57210,30,39,68,9,16,14,14,13,10,31,51,88
Chr1+33058583,LOC_Os01g57210,0,0,0,2,0,1,0,0,0,0,1,0
Chr1+33055124,LOC_Os01g57210,0,4,10,0,0,0,0,0,0,3,0,7
Chr1+33052173,LOC_Os01g57210,6,1,5,0,0,0,1,0,0,3,3,2
Chr1-33369626,LOC_Os01g57720,10,4,0,4,4,3,1,0,0,0,1,1
Chr1-33368699,LOC_Os01g57720,26,47,6,16,19,20,10,9,11,5,8,9
Chr1-33368984,LOC_Os01g57720,83,192,173,150,136,143,66,65,67,32,26,34
Chr1-33369580,LOC_Os01g57720,21,14,43,9,12,8,18,8,9,10,6,1
Chr1-33369316,LOC_Os01g57720,2,12,4,1,1,0,1,1,0,0,0,0
Chr1+33663175,LOC_Os01g58240,5,2,0,4,4,1,10,3,9,0,0,0
Chr1+33663606,LOC_Os01g58240,0,0,0,0,0,0,2,4,0,0,0,0
Chr1+33672497,LOC_Os01g58240,1,0,0,3,2,3,44,22,38,0,0,0
Chr1-34163816,LOC_Os01g59140,2,4,6,1,0,0,2,1,1,0,0,0
Chr1-34163514,LOC_Os01g59140,0,0,0,1,1,1,1,0,1,0,0,0
Chr1-34165817,LOC_Os01g59140,8,19,7,5,7,6,3,4,3,5,0,0
Chr1-34163746,LOC_Os01g59140,42,6,44,30,31,26,36,51,39,11,12,12
Chr1+34202742,LOC_Os01g59200,24,13,10,0,0,0,0,0,0,3,3,3
Chr1+34202645,LOC_Os01g59200,81,58,80,0,0,0,0,0,0,54,42,48
Chr1+34423675,LOC_Os01g59530,13,15,16,246,215,223,339,365,298,26,11,30
Chr1+34423862,LOC_Os01g59530,2,3,1,0,0,0,0,0,0,2,3,1
Chr1-36014043,LOC_Os01g62230,562,619,423,44,70,63,91,75,89,530,557,529
Chr1-36014480,LOC_Os01g62230,0,0,0,0,0,0,0,0,0,11,7,15
Chr1-36102686,LOC_Os01g62380,25,12,9,2,4,2,6,9,7,11,23,15
Chr1-36099882,LOC_Os01g62380,9,14,1,0,0,1,0,0,2,7,0,4
Chr1-36141689,LOC_Os01g62440,0,0,0,0,1,1,0,0,0,0,0,0
Chr1-36138825,LOC_Os01g62440,21,12,8,81,75,57,35,46,39,26,35,25
Chr1-36139131,LOC_Os01g62440,1,6,3,6,7,0,0,2,0,4,4,5
Chr1-36145739,LOC_Os01g62440,0,0,0,0,0,0,0,2,1,0,0,0
Chr1+36280264,LOC_Os01g62650,0,2,0,1,1,0,0,0,0,1,3,2
Chr1+36286366,LOC_Os01g62650,173,173,166,130,141,120,142,112,122,294,277,260
Chr1+36280419,LOC_Os01g62650,2,4,1,4,3,1,0,2,1,0,0,0
Chr1+36285594,LOC_Os01g62650,2,2,2,4,1,0,1,0,0,1,1,1
Chr1+36440121,LOC_Os01g62900,0,1,1,3,6,6,24,28,35,14,15,14
Chr1+36440402,LOC_Os01g62900,0,0,0,13,10,12,16,10,0,5,1,2
Chr1+36483777,LOC_Os01g62970,12,6,8,0,0,0,1,0,0,0,0,0
Chr1+36481175,LOC_Os01g62970,3,0,7,5,6,9,3,2,3,1,1,1
Chr1+36484002,LOC_Os01g62970,564,534,524,85,79,80,191,182,192,66,59,126
Chr1-37049115,LOC_Os01g63854,2,2,16,20,20,14,17,17,16,1,1,1
Chr1-37043633,LOC_Os01g63854,14,12,6,71,75,141,69,47,64,3,3,4
Chr1-37043453,LOC_Os01g63854,0,2,1,10,13,19,3,1,3,0,1,0
Chr1-37048729,LOC_Os01g63854,0,3,0,1,3,1,1,1,0,1,0,0
Chr1-37048182,LOC_Os01g63854,0,0,0,0,0,0,0,0,1,0,0,0
Chr1-38206951,LOC_Os01g65790,1,4,6,11,5,9,10,9,11,39,39,36
Chr1-38208579,LOC_Os01g65790,16,3,10,12,1,3,3,1,4,4,2,4
Chr1+38332591,LOC_Os01g66050,31,31,24,45,46,35,31,33,30,16,24,18
Chr1+38332293,LOC_Os01g66050,0,0,1,0,0,0,0,0,0,0,0,0
Chr1-38400569,LOC_Os01g66120,7,5,3,0,0,0,0,0,0,1,1,1
Chr1-38399973,LOC_Os01g66120,141,107,110,0,1,0,1,1,1,35,36,43
Chr1-38398218,LOC_Os01g66120,6,6,5,0,0,0,0,0,0,3,4,3
Chr1-38400637,LOC_Os01g66120,19,10,2,0,1,2,0,0,0,0,1,1
Chr1-38398994,LOC_Os01g66120,2962,3152,2589,1271,1087,1237,890,883,865,1166,1129,1232
Chr1+39863578,LOC_Os01g68640,0,0,0,0,0,0,3,1,1,1,2,1
Chr1+39863436,LOC_Os01g68640,4,4,4,0,0,0,1,1,0,2,1,1
Chr1+40920737,LOC_Os01g70670,36,44,49,43,43,45,41,31,43,19,18,18
Chr1+40918499,LOC_Os01g70670,0,0,0,0,0,0,0,0,0,3,3,3
Chr1+40920606,LOC_Os01g70670,113,68,127,73,84,54,112,93,94,96,92,110
Chr1-43072749,LOC_Os01g74350,15,25,13,48,35,29,35,39,50,38,31,37
Chr1-43075776,LOC_Os01g74350,37,25,22,18,21,17,27,27,41,37,37,37
Chr2-1178924,LOC_Os02g03000,0,0,0,0,0,0,0,1,0,11,9,8
Chr2-1178890,LOC_Os02g03000,8,2,6,0,5,4,2,1,2,8,5,3
Chr2+1211089,LOC_Os02g03060,0,0,0,6,8,6,18,25,13,1,0,0
Chr2+1210986,LOC_Os02g03060,0,0,1,0,0,0,0,0,0,1,1,2
Chr2-1288905,LOC_Os02g03230,0,0,0,2,0,1,0,0,0,0,0,0
Chr2-1289078,LOC_Os02g03230,175,181,246,525,508,530,275,251,227,241,187,252
Chr2-1550782,LOC_Os02g03700,1,8,0,36,27,52,26,39,40,1,2,1
Chr2-1551808,LOC_Os02g03700,0,0,0,0,0,0,0,1,2,0,0,0
Chr2-1551474,LOC_Os02g03700,2,6,6,0,5,6,6,4,1,0,0,0
Chr2-1550645,LOC_Os02g03700,3,5,2,3,5,8,5,4,10,0,0,0
Chr2-1550907,LOC_Os02g03700,0,0,0,1,0,3,4,3,1,0,0,0
Chr2-1551642,LOC_Os02g03700,12,11,2,2,2,3,2,4,1,1,2,2
Chr2-1552766,LOC_Os02g03700,47,42,49,110,89,124,269,308,279,58,55,54
Chr2+2394151,LOC_Os02g05030,0,0,1,0,2,1,0,0,0,1,2,0
Chr2+2394322,LOC_Os02g05030,81,55,44,107,106,112,81,141,121,60,55,54
Chr2-3846388,LOC_Os02g07450,0,2,11,0,0,0,0,0,0,5,7,7
Chr2-3846019,LOC_Os02g07450,15,19,11,1,7,8,4,4,2,0,4,0
Chr2-3846222,LOC_Os02g07450,78,85,96,63,80,61,157,125,151,114,126,125
Chr2-4038895,LOC_Os02g07750,1,0,1,1,0,0,0,0,0,0,0,0
Chr2-4038492,LOC_Os02g07750,214,194,188,110,128,90,164,206,120,227,226,224
Chr2+5504356,LOC_Os02g10470,27,35,21,40,28,30,2,13,10,11,19,16
Chr2+5504238,LOC_Os02g10470,9,10,13,0,0,0,2,0,2,1,0,3
Chr2-5587263,LOC_Os02g10630,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-5587184,LOC_Os02g10630,5,4,5,5,6,3,0,1,0,1,1,1
Chr2-5930297,LOC_Os02g11070,148,30,166,92,87,83,42,36,34,17,6,6
Chr2-5932387,LOC_Os02g11070,0,0,1,0,0,0,0,1,0,0,0,0
Chr2-5955075,LOC_Os02g11110,0,0,0,16,9,14,0,0,0,0,1,1
Chr2-5955681,LOC_Os02g11110,21,18,29,64,53,62,17,17,17,9,13,8
Chr2-5955017,LOC_Os02g11110,0,0,0,8,8,8,0,0,1,0,0,0
Chr2-5955208,LOC_Os02g11110,7,1,11,3,3,3,0,0,0,1,0,2
Chr2-6529691,LOC_Os02g12490,0,2,2,19,19,27,19,20,17,5,2,2
Chr2-6530247,LOC_Os02g12490,7,7,4,34,36,24,33,27,32,15,15,16
Chr2-6532217,LOC_Os02g12490,0,0,0,0,0,1,0,0,1,0,0,0
Chr2-6530886,LOC_Os02g12490,2,1,0,0,0,2,0,0,0,0,1,1
Chr2-6530340,LOC_Os02g12490,20,8,36,13,35,41,18,21,22,43,39,47
Chr2+7687331,LOC_Os02g14059,900,892,929,95,117,109,395,457,364,1767,1868,1715
Chr2+7687624,LOC_Os02g14059,23,21,12,0,0,0,0,1,0,4,10,2
Chr2+7682662,LOC_Os02g14059,2,3,2,0,0,0,0,0,0,4,2,3
Chr2+7677787,LOC_Os02g14059,21,2,5,3,4,4,0,0,1,0,0,0
Chr2+8221336,LOC_Os02g14800,4,0,0,2,2,0,1,2,2,2,2,9
Chr2+8217132,LOC_Os02g14800,7,9,20,33,30,30,31,24,26,12,12,12
Chr2+8317184,LOC_Os02g14900,0,2,0,1,1,2,10,9,12,1,0,1
Chr2+8300243,LOC_Os02g14900,2,2,2,1,3,3,2,2,1,1,1,1
Chr2+8316992,LOC_Os02g14900,1,0,1,0,0,0,0,0,0,0,4,1
Chr2+8314499,LOC_Os02g14900,4,2,3,3,0,1,2,1,1,0,0,0
Chr2-8747271,LOC_Os02g15580,6,6,0,2,1,2,0,0,1,0,6,5
Chr2-8747067,LOC_Os02g15580,53,68,67,100,105,109,114,118,115,72,63,76
Chr2+9044660,LOC_Os02g15950,5,3,3,28,21,10,15,18,15,1,0,1
Chr2+9046083,LOC_Os02g15950,1,0,3,28,20,18,9,11,6,7,15,10
Chr2+9044737,LOC_Os02g15950,2,0,0,16,15,18,10,11,3,2,2,0
Chr2-9913486,LOC_Os02g17292,0,0,0,3,3,7,5,3,7,2,2,4
Chr2-9912522,LOC_Os02g17292,10,18,8,5,5,4,11,8,9,3,3,3
Chr2-9913625,LOC_Os02g17292,0,0,0,1,1,1,1,1,2,1,3,1
Chr2-9913669,LOC_Os02g17292,0,0,0,3,1,2,0,0,1,0,0,0
Chr2-11160276,LOC_Os02g19140,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,309,257,297,104,120,105,218,231,231,221,270,227
Chr2-11159684,LOC_Os02g19140,17,21,32,0,1,0,1,1,3,5,3,4
Chr2-15468574,LOC_Os02g26349,0,4,1,6,4,4,7,6,7,0,1,0
Chr2-15468252,LOC_Os02g26349,32,44,31,19,18,19,21,14,12,12,14,14
Chr2+15912986,LOC_Os02g27060,56,44,26,8,7,3,3,3,1,1,1,2
Chr2+15913311,LOC_Os02g27060,5,8,8,0,0,2,0,0,0,0,0,0
Chr2+15915382,LOC_Os02g27060,0,1,1,0,0,0,0,1,0,0,4,0
Chr2+15915566,LOC_Os02g27060,33,31,30,114,129,118,73,25,95,71,102,77
Chr2+16442642,LOC_Os02g27760,0,0,0,0,2,1,0,4,1,3,3,3
Chr2+16442552,LOC_Os02g27760,1,2,1,0,2,0,1,2,1,1,1,1
Chr2+16442445,LOC_Os02g27760,628,642,651,384,386,375,836,942,990,1119,1142,1126
