chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_20days1,leaf_20days2,leaf_20days3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3
Chr1-6724944,LOC_Os01g12320,0,2,1,360,324,369,24,23,28,124,125,159
Chr1-6725081,LOC_Os01g12320,0,0,0,3,3,0,0,0,0,0,0,0
Chr1+7092083,LOC_Os01g12810,3,3,5,3,3,5,0,0,0,10,10,9
Chr1+7095316,LOC_Os01g12810,4,6,9,861,863,902,67,52,52,93,207,100
Chr1+7576953,LOC_Os01g13540,0,0,0,5,4,5,5,3,1,0,0,0
Chr1+7576771,LOC_Os01g13540,14,3,14,1278,1373,1296,68,66,40,134,45,40
Chr1+7575165,LOC_Os01g13540,0,0,2,7,16,13,4,3,2,0,0,0
Chr1-7623978,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,0,0,0,16,9,14,41,706,240
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,2,17,7
Chr1+7672581,LOC_Os01g13700,42,34,37,11,5,13,38,37,38,11,18,34
Chr1+7672710,LOC_Os01g13700,146,182,170,170,167,209,262,239,261,198,118,116
Chr1-7687909,LOC_Os01g13740,0,0,2,3,3,3,0,1,0,5,2,1
Chr1-7686899,LOC_Os01g13740,0,0,1,1858,1694,1780,12,7,3,74,10,241
Chr1-8175378,LOC_Os01g14590,0,0,0,0,0,0,0,0,0,5,10,9
Chr1-8175675,LOC_Os01g14590,0,0,0,2,1,1,4,6,4,0,1,0
Chr1-8175468,LOC_Os01g14590,5,5,0,2,1,1,4,4,4,1,1,1
Chr1+8408590,LOC_Os01g15000,3,0,5,0,0,0,0,0,0,0,0,0
Chr1+8405373,LOC_Os01g15000,1,11,4,0,0,0,0,0,0,0,0,0
Chr1+8408240,LOC_Os01g15000,6,10,9,4,2,1,0,0,2,0,0,0
Chr1+8408351,LOC_Os01g15000,261,276,324,71,74,69,59,57,56,50,68,43
Chr1+8407017,LOC_Os01g15000,6,8,6,0,1,0,0,0,0,0,0,0
Chr1-9658230,LOC_Os01g16890,1935,1923,1946,219,253,294,439,449,470,705,1062,491
Chr1-9659592,LOC_Os01g16890,19,17,10,0,0,0,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,22,12,23,0,0,0,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,39,70,0,0,0,0,0,0,0,0,0,0
Chr1-9658021,LOC_Os01g16890,0,0,8,2,0,1,3,3,4,2,1,1
Chr1-9660380,LOC_Os01g16890,30,43,37,0,0,0,0,0,2,0,0,0
Chr1+9879603,LOC_Os01g17180,0,0,0,0,0,0,0,0,0,10,8,5
Chr1+9885367,LOC_Os01g17180,324,417,264,120,122,127,166,172,174,241,230,229
Chr1+10655296,LOC_Os01g18850,5,2,8,0,0,0,0,0,0,0,0,0
Chr1+10656648,LOC_Os01g18850,77,75,77,69,68,63,24,29,33,52,39,70
Chr1+10679801,LOC_Os01g18880,1,0,0,0,0,0,2,0,0,4,1,36
Chr1+10678290,LOC_Os01g18880,0,1,0,0,1,0,1,2,1,0,0,0
Chr1+10676910,LOC_Os01g18880,3,0,0,3,0,1,4,3,1,16,20,1
Chr1+10677075,LOC_Os01g18880,0,0,0,0,0,0,2,1,0,0,0,0
Chr1+10679862,LOC_Os01g18880,38,27,44,6,6,6,43,49,39,76,32,9
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,0,0,1,10,24,50
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,0,0,0,0,0,0
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,0,0,0,0,0,0
Chr1-11253657,LOC_Os01g19850,8,5,8,0,0,0,61,57,57,4,0,0
Chr1-11253815,LOC_Os01g19850,11,0,2,0,0,0,5,4,4,4,2,1
Chr1-11800239,LOC_Os01g21144,0,4,10,0,0,0,0,0,1,0,0,0
Chr1-11801468,LOC_Os01g21144,3,9,13,0,0,0,11,19,4,4,0,3
Chr1-11800290,LOC_Os01g21144,11,0,5,0,0,0,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,1,0,0,2,1,0,0,2,2,1,1,1
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,8,9,8,0,0,0
Chr1+11981803,LOC_Os01g21450,393,445,385,204,226,268,187,191,174,102,92,114
Chr1+11981977,LOC_Os01g21450,2,4,3,0,2,1,0,0,1,0,0,0
Chr1-12704551,LOC_Os01g22600,4,2,0,0,0,0,1,0,0,0,0,0
Chr1-12704882,LOC_Os01g22600,571,522,370,72,95,77,33,15,36,51,39,27
Chr1-12704755,LOC_Os01g22600,168,242,277,114,98,101,75,80,69,45,63,102
Chr1+13305003,LOC_Os01g23640,9,7,2,0,0,0,0,0,0,0,0,0
Chr1+13304670,LOC_Os01g23640,1,7,0,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,199,143,166,96,86,88,72,67,66,124,37,22
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,24,25,29,223,115,191
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,17,14,0,27,6,3
Chr1+13443430,LOC_Os01g23880,0,0,0,0,0,0,5138,4754,4993,30198,44014,48767
Chr1+13935377,LOC_Os01g24764,6,11,12,134,136,154,75,80,82,52,78,126
Chr1+13935124,LOC_Os01g24764,5,2,2,9,8,11,8,7,12,1,4,2
Chr1+13935565,LOC_Os01g24764,0,0,0,5,3,7,2,0,3,0,0,0
Chr1+13935855,LOC_Os01g24764,8,0,2,20,15,18,3,4,3,1,1,1
Chr1-14754834,LOC_Os01g26039,24,12,7,504,495,547,79,99,88,17,13,1
Chr1-14757624,LOC_Os01g26039,1,4,1,0,3,3,3,4,2,17,9,10
Chr1+16056051,LOC_Os01g28680,2,3,0,8,0,11,0,0,0,0,2,1
Chr1+16056254,LOC_Os01g28680,17,19,14,259,210,256,37,42,34,28,106,32
Chr1+16051023,LOC_Os01g28680,0,0,0,3,0,2,0,1,0,0,0,0
Chr1+16053083,LOC_Os01g28680,0,0,0,3,3,4,0,0,0,0,2,1
Chr1+16047519,LOC_Os01g28680,0,1,0,8,5,6,0,0,1,0,1,0
Chr1+17607032,LOC_Os01g32170,4,4,4,0,0,0,1,0,0,0,0,0
Chr1+17607127,LOC_Os01g32170,0,1,0,1,2,2,0,1,0,0,1,1
Chr1+17607514,LOC_Os01g32170,5,5,3,2,5,2,5,5,5,0,0,2
Chr1+17606900,LOC_Os01g32170,8,0,6,0,0,0,0,0,0,0,0,0
Chr1+18050168,LOC_Os01g32870,3,3,2,5,6,4,3,1,2,0,0,0
Chr1+18050053,LOC_Os01g32870,259,154,242,71,71,74,160,142,160,26,53,58
Chr1-18394360,LOC_Os01g33420,245,237,340,83,59,64,95,65,74,107,44,407
Chr1-18395693,LOC_Os01g33420,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-18459991,LOC_Os01g33540,16,8,19,8,0,2,39,42,43,92,68,100
Chr1-18459308,LOC_Os01g33540,24,37,20,17,15,16,33,30,33,30,5,45
Chr1-18459207,LOC_Os01g33540,0,3,0,0,0,1,0,0,0,9,24,8
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,1,1,1,0,0,0
Chr1+20334364,LOC_Os01g36640,0,0,0,0,0,0,2,0,1,1,2,1
Chr1+20334834,LOC_Os01g36640,0,0,0,0,0,0,1,3,0,16,2,4
Chr1+20334613,LOC_Os01g36640,0,0,0,2,11,4,13,9,16,23,2,26
Chr1+20334066,LOC_Os01g36640,0,0,1,0,0,0,1,2,1,0,0,0
Chr1+20335020,LOC_Os01g36640,2,2,3,3,4,4,4,5,5,15,69,38
Chr1+20820512,LOC_Os01g37280,0,0,0,4,3,3,0,2,0,0,0,0
Chr1+20820347,LOC_Os01g37280,13,10,7,0,0,1,3,3,4,0,0,0
Chr1+20820385,LOC_Os01g37280,11,12,13,7,14,22,17,15,20,8,12,7
Chr1+20818589,LOC_Os01g37280,6,4,1,0,1,0,7,4,4,0,0,0
Chr1-22855513,LOC_Os01g40470,248,227,244,209,186,208,507,509,507,108,189,205
Chr1-22855806,LOC_Os01g40470,6,9,11,0,0,0,0,2,2,0,0,0
Chr1-22857225,LOC_Os01g40470,1,3,1,0,0,0,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,35,6,37
Chr1+23925357,LOC_Os01g42234,0,0,0,0,0,0,2,2,3,0,0,0
Chr1+23933450,LOC_Os01g42234,30,46,60,27,40,33,23,24,56,35,5,26
Chr1-24703796,LOC_Os01g43250,43,36,54,16,21,26,54,67,53,64,52,24
Chr1-24708192,LOC_Os01g43250,0,8,4,0,0,0,0,0,0,0,0,0
Chr1+25003415,LOC_Os01g43630,0,0,0,1,3,2,3,3,3,0,0,0
Chr1+25003233,LOC_Os01g43630,57,54,65,56,52,56,96,99,93,47,52,81
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,1,7,0,0,0,0
Chr1+25361865,LOC_Os01g44220,2272,2387,1586,127,127,129,54,104,91,45,35,47
Chr1+25362209,LOC_Os01g44220,3,3,10,0,0,0,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,2,7,4,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,3,1,0,23,23,24,71,58,37
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,5,4,5,71,107,180
Chr1-25917622,LOC_Os01g45620,54,34,78,2,11,8,241,248,257,183,107,31
Chr1-25917859,LOC_Os01g45620,3,5,5,0,0,0,15,10,13,1,14,9
Chr1-25921679,LOC_Os01g45620,4,2,2,0,0,0,2,7,9,21,52,59
Chr1-25918558,LOC_Os01g45620,0,0,0,0,0,0,12,31,20,0,0,0
Chr1-25917441,LOC_Os01g45620,5,3,3,0,0,0,9,7,6,0,0,0
Chr1-25917749,LOC_Os01g45620,10,7,10,0,0,0,71,49,62,20,0,17
Chr1+26396273,LOC_Os01g46380,9,11,9,3,0,0,3,1,1,33,41,13
Chr1+26395170,LOC_Os01g46380,6,9,3,0,0,0,0,0,0,0,0,0
Chr1+26396056,LOC_Os01g46380,3457,3104,3351,210,215,224,234,259,201,464,819,277
Chr1+26722429,LOC_Os01g46840,0,1,0,0,0,0,4,4,6,0,0,0
Chr1+26722277,LOC_Os01g46840,2,2,0,5,5,0,6,7,7,0,0,2
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,1,1,1,23,68,35
Chr1-26888426,LOC_Os01g47080,66,95,88,12,18,9,172,189,182,102,139,110
Chr1-26888569,LOC_Os01g47080,12,3,6,0,0,0,1,0,0,0,0,0
Chr1+27010935,LOC_Os01g47262,6,6,7,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,4,1,21,0,0,0,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,6,9,4,0,0,0,0,0,1,0,0,0
Chr1+27012055,LOC_Os01g47262,645,636,1166,96,144,135,119,132,122,94,53,79
Chr1+27009271,LOC_Os01g47262,7,5,6,0,0,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,3,3,0,0,0,4,0,3,0,0,0
Chr1-27965721,LOC_Os01g48770,734,729,1076,334,311,327,603,551,571,1065,340,533
Chr1-28697312,LOC_Os01g49940,10,4,7,0,3,1,6,6,1,0,0,0
Chr1-28683935,LOC_Os01g49940,145,129,165,75,85,77,105,104,117,75,129,153
Chr1-28697450,LOC_Os01g49940,120,85,107,38,41,41,44,40,45,23,27,119
Chr1+28804457,LOC_Os01g50120,0,0,0,1,0,0,0,0,1,0,0,0
Chr1+28803863,LOC_Os01g50120,37,10,17,14,8,11,5,7,4,5,2,4
Chr1+28800764,LOC_Os01g50120,0,0,0,9,7,10,4,2,1,0,0,0
Chr1+29124339,LOC_Os01g50700,6,11,6,0,0,0,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,12880,12146,12187,0,0,0,1,2,0,0,0,0
Chr1+29123295,LOC_Os01g50700,0,2,3,0,0,0,39,20,22,0,0,0
Chr1+29124215,LOC_Os01g50700,34,14,29,0,0,0,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,346,295,309,158,134,129,196,262,227,311,270,244
Chr1+30431148,LOC_Os01g52920,68,66,69,4,1,6,3,3,3,0,0,0
Chr1+30431484,LOC_Os01g52920,2,3,3,0,0,0,0,1,0,0,0,0
Chr1+30432087,LOC_Os01g52920,1,0,0,0,0,0,3,1,2,0,0,0
Chr1-30526019,LOC_Os01g53130,0,0,0,0,0,0,0,0,1,0,0,0
Chr1-30525031,LOC_Os01g53130,4,3,5,7,1,2,38,37,36,7,7,13
Chr1-30527175,LOC_Os01g53130,0,0,0,0,0,0,6,3,6,0,0,0
Chr1-30527478,LOC_Os01g53130,1,0,0,0,0,0,40,35,38,248,233,171
Chr1-30527365,LOC_Os01g53130,0,0,0,0,1,2,90,63,66,58,15,124
Chr1+32622547,LOC_Os01g56580,4,8,11,0,0,0,0,0,0,0,0,0
Chr1+32622715,LOC_Os01g56580,178,203,181,122,121,136,152,155,155,247,173,133
Chr1-32855437,LOC_Os01g56890,82,81,64,32,30,30,70,46,57,202,83,153
Chr1-32855924,LOC_Os01g56890,12,27,19,0,1,0,7,7,27,38,42,55
Chr1-32856278,LOC_Os01g56890,1,4,2,0,0,0,1,1,1,9,3,18
Chr1-32855385,LOC_Os01g56890,204,71,5,376,371,368,510,493,498,2364,1790,1815
Chr1-32856153,LOC_Os01g56890,22,19,12,6,1,4,4,5,4,46,45,41
Chr1+32862638,LOC_Os01g56900,4,11,2,0,1,0,6,8,8,0,0,0
Chr1+32863305,LOC_Os01g56900,14,10,0,0,3,9,9,4,7,0,0,0
Chr1+32863554,LOC_Os01g56900,0,3,1,1,1,3,17,20,16,101,146,79
Chr1+33058487,LOC_Os01g57210,70,42,63,16,19,21,16,18,19,45,56,49
Chr1+33058583,LOC_Os01g57210,1,0,0,2,2,0,2,2,1,0,0,0
Chr1+33055124,LOC_Os01g57210,2,1,1,0,0,0,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,3,8,0,0,0,2,1,1,0,0,0
Chr1-33369626,LOC_Os01g57720,3,6,10,6,0,0,2,0,0,13,11,11
Chr1-33368699,LOC_Os01g57720,10,25,4,23,18,19,18,16,19,23,40,93
Chr1-33368984,LOC_Os01g57720,137,129,133,140,175,131,79,82,87,47,76,35
Chr1-33369580,LOC_Os01g57720,1,18,18,9,7,7,7,5,6,0,0,0
Chr1-33369316,LOC_Os01g57720,3,2,0,0,2,1,0,0,1,15,7,2
Chr1+33663175,LOC_Os01g58240,0,1,0,0,0,0,0,0,0,1,3,1
Chr1+33663606,LOC_Os01g58240,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+33672497,LOC_Os01g58240,5,12,2,3,4,7,0,0,0,47,41,42
Chr1-34163816,LOC_Os01g59140,0,0,0,0,0,0,2,1,2,5,27,0
Chr1-34163514,LOC_Os01g59140,0,0,0,0,0,0,2,3,1,0,0,0
Chr1-34165817,LOC_Os01g59140,3,4,0,18,10,4,2,5,4,24,30,33
Chr1-34163746,LOC_Os01g59140,18,13,11,17,26,17,34,29,30,14,65,30
Chr1+34202742,LOC_Os01g59200,28,18,8,0,0,0,0,0,0,0,0,0
Chr1+34202645,LOC_Os01g59200,42,47,69,0,0,0,1,1,1,59,104,51
Chr1+34423675,LOC_Os01g59530,7,5,6,199,220,215,600,557,605,539,571,594
Chr1+34423862,LOC_Os01g59530,2,2,6,1,5,0,4,4,6,1,4,4
Chr1-36014043,LOC_Os01g62230,701,533,838,173,172,161,196,226,220,222,202,273
Chr1-36014480,LOC_Os01g62230,3,3,6,0,0,0,0,1,2,0,0,0
Chr1-36102686,LOC_Os01g62380,0,1,17,3,2,1,7,26,14,24,28,24
Chr1-36099882,LOC_Os01g62380,13,7,7,0,0,0,0,0,0,0,0,0
Chr1-36141689,LOC_Os01g62440,0,0,0,1,0,0,0,0,1,24,30,6
Chr1-36138825,LOC_Os01g62440,28,25,30,107,75,71,11,19,12,36,39,53
Chr1-36139131,LOC_Os01g62440,4,9,19,1,0,1,0,0,1,0,0,0
Chr1-36145739,LOC_Os01g62440,0,0,0,1,3,1,1,1,1,3,0,2
Chr1+36280264,LOC_Os01g62650,0,0,4,0,0,0,1,0,0,0,0,0
Chr1+36286366,LOC_Os01g62650,110,188,223,81,85,82,150,140,157,8,24,40
Chr1+36280419,LOC_Os01g62650,0,0,0,0,1,0,0,0,1,0,0,0
Chr1+36285594,LOC_Os01g62650,4,2,0,3,3,3,0,0,0,6,7,8
Chr1+36440121,LOC_Os01g62900,1,7,7,11,9,9,212,284,269,33,86,74
Chr1+36440402,LOC_Os01g62900,1,2,1,3,3,3,78,63,70,0,0,0
Chr1+36483777,LOC_Os01g62970,0,2,8,0,0,0,0,0,0,0,0,0
Chr1+36481175,LOC_Os01g62970,1,1,1,12,11,10,0,4,2,5,6,15
Chr1+36484002,LOC_Os01g62970,316,314,306,134,130,87,93,127,98,27,19,83
Chr1-37049115,LOC_Os01g63854,1,0,0,21,21,20,18,15,17,1,4,3
Chr1-37043633,LOC_Os01g63854,7,10,7,144,164,135,59,80,96,51,51,54
Chr1-37043453,LOC_Os01g63854,0,0,0,4,3,0,4,7,5,0,0,0
Chr1-37048729,LOC_Os01g63854,0,2,2,0,1,0,3,1,1,0,0,0
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,0,0,0,0,13,3,2
Chr1-38206951,LOC_Os01g65790,1,2,10,15,6,10,117,132,103,10,63,56
Chr1-38208579,LOC_Os01g65790,9,0,8,11,12,10,8,6,8,14,90,48
Chr1+38332591,LOC_Os01g66050,34,44,39,25,35,60,45,51,46,92,125,32
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,2,0,0,0,0,0,0
Chr1-38400569,LOC_Os01g66120,0,2,2,0,0,0,0,3,0,0,0,0
Chr1-38399973,LOC_Os01g66120,98,62,111,0,0,0,1,0,1,0,0,0
Chr1-38398218,LOC_Os01g66120,9,7,4,0,0,0,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,4,10,9,0,0,0,3,1,2,0,0,0
Chr1-38398994,LOC_Os01g66120,2383,2382,1953,730,656,694,552,560,588,509,303,597
Chr1+39863578,LOC_Os01g68640,1,1,3,0,7,0,5,8,6,0,0,0
Chr1+39863436,LOC_Os01g68640,0,7,1,0,0,0,12,7,16,2,9,2
Chr1+40920737,LOC_Os01g70670,9,40,46,41,58,46,10,5,13,26,34,22
Chr1+40918499,LOC_Os01g70670,7,10,6,0,0,0,0,0,0,0,0,0
Chr1+40920606,LOC_Os01g70670,55,128,64,78,36,49,69,73,80,122,110,95
Chr1-43072749,LOC_Os01g74350,16,24,8,33,34,27,62,60,72,123,35,11
Chr1-43075776,LOC_Os01g74350,21,34,44,34,10,26,70,75,74,41,12,127
Chr2-1178924,LOC_Os02g03000,3,4,1,0,0,0,1,1,1,0,0,0
Chr2-1178890,LOC_Os02g03000,2,4,5,2,0,2,19,8,19,0,0,0
Chr2+1211089,LOC_Os02g03060,5,1,1,11,11,8,15,13,16,12,62,4
Chr2+1210986,LOC_Os02g03060,2,2,0,0,0,0,0,0,0,0,0,0
Chr2-1288905,LOC_Os02g03230,0,0,0,2,1,0,2,1,3,0,0,0
Chr2-1289078,LOC_Os02g03230,163,161,183,752,741,816,192,182,196,300,209,281
Chr2-1550782,LOC_Os02g03700,2,1,1,11,14,18,3,2,1,155,3,3
Chr2-1551808,LOC_Os02g03700,0,0,0,0,0,0,1,1,0,45,4,10
Chr2-1551474,LOC_Os02g03700,0,0,0,2,0,0,0,1,0,0,0,0
Chr2-1550645,LOC_Os02g03700,0,0,0,0,2,0,1,1,1,0,1,2
Chr2-1550907,LOC_Os02g03700,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-1551642,LOC_Os02g03700,3,2,4,3,1,0,0,0,0,15,43,1
Chr2-1552766,LOC_Os02g03700,55,65,35,114,128,84,356,365,353,46,313,236
Chr2+2394151,LOC_Os02g05030,5,9,0,0,0,0,0,0,0,0,1,0
Chr2+2394322,LOC_Os02g05030,24,75,62,196,221,159,812,795,814,810,856,443
Chr2-3846388,LOC_Os02g07450,4,4,4,0,0,0,0,1,0,0,0,0
Chr2-3846019,LOC_Os02g07450,3,1,3,0,0,0,0,7,5,0,0,0
Chr2-3846222,LOC_Os02g07450,90,72,96,4,57,15,58,58,50,0,250,58
Chr2-4038895,LOC_Os02g07750,0,1,0,0,0,0,1,1,1,2,6,3
Chr2-4038492,LOC_Os02g07750,150,169,59,160,97,84,42,72,39,72,62,58
Chr2+5504356,LOC_Os02g10470,9,4,13,104,73,67,758,599,696,324,134,236
Chr2+5504238,LOC_Os02g10470,2,7,6,0,1,5,43,50,38,41,33,25
Chr2-5587263,LOC_Os02g10630,3,4,2,0,0,0,7,6,7,1,0,0
Chr2-5587184,LOC_Os02g10630,8,3,8,2,9,5,464,425,434,589,790,716
Chr2-5930297,LOC_Os02g11070,85,66,60,16,14,4,121,143,8,231,478,438
Chr2-5932387,LOC_Os02g11070,2,2,2,1,2,0,0,0,0,26,16,21
Chr2-5955075,LOC_Os02g11110,1,0,1,12,11,17,0,0,0,0,0,0
Chr2-5955681,LOC_Os02g11110,15,20,13,69,70,42,8,9,12,29,9,36
Chr2-5955017,LOC_Os02g11110,0,0,0,1,3,2,0,0,0,0,0,0
Chr2-5955208,LOC_Os02g11110,3,5,4,4,2,6,0,0,0,0,0,0
Chr2-6529691,LOC_Os02g12490,0,4,6,17,17,17,4,5,0,10,23,12
Chr2-6530247,LOC_Os02g12490,8,9,8,56,60,68,14,14,14,14,7,17
Chr2-6532217,LOC_Os02g12490,1,1,2,0,0,1,3,4,2,0,0,0
Chr2-6530886,LOC_Os02g12490,0,0,0,2,0,0,0,1,0,37,7,14
Chr2-6530340,LOC_Os02g12490,32,36,47,43,42,40,21,28,25,9,6,16
Chr2+7687331,LOC_Os02g14059,1190,1107,1169,93,84,83,116,127,124,237,221,116
Chr2+7687624,LOC_Os02g14059,2,0,6,0,0,0,0,1,1,15,2,4
Chr2+7682662,LOC_Os02g14059,9,1,3,0,0,0,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,2,3,11,9,3,7,2,23,10,16,14,1
Chr2+8221336,LOC_Os02g14800,4,4,9,0,0,0,1,1,1,0,0,0
Chr2+8217132,LOC_Os02g14800,9,12,13,45,24,38,7,11,8,1,2,6
Chr2+8317184,LOC_Os02g14900,2,2,2,2,3,3,9,9,11,0,1,0
Chr2+8300243,LOC_Os02g14900,2,2,0,4,7,8,3,1,2,1,3,1
Chr2+8316992,LOC_Os02g14900,0,0,1,0,0,0,4,1,2,0,0,0
Chr2+8314499,LOC_Os02g14900,2,4,2,2,0,3,1,1,1,2,9,1
Chr2-8747271,LOC_Os02g15580,4,2,6,0,0,2,0,0,0,0,0,0
Chr2-8747067,LOC_Os02g15580,98,69,106,121,84,99,46,47,54,19,19,14
Chr2+9044660,LOC_Os02g15950,7,25,19,53,66,44,14,15,17,4,20,11
Chr2+9046083,LOC_Os02g15950,14,11,14,78,35,46,16,12,18,28,62,36
Chr2+9044737,LOC_Os02g15950,4,0,3,50,51,43,31,22,25,6,1,6
Chr2-9913486,LOC_Os02g17292,6,5,1,4,1,3,4,5,5,8,1,4
Chr2-9912522,LOC_Os02g17292,6,2,3,3,0,13,11,7,20,0,0,0
Chr2-9913625,LOC_Os02g17292,0,0,0,0,0,6,0,0,0,0,0,0
Chr2-9913669,LOC_Os02g17292,0,1,0,0,1,1,1,1,1,0,0,0
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,0,0,0,3,1,3
Chr2-11157250,LOC_Os02g19140,314,334,344,92,113,134,245,310,308,299,292,317
Chr2-11159684,LOC_Os02g19140,12,11,16,0,0,0,0,0,2,0,0,0
Chr2-15468574,LOC_Os02g26349,0,4,0,0,4,4,6,4,2,0,0,0
Chr2-15468252,LOC_Os02g26349,18,18,20,5,7,10,11,6,10,1,2,7
Chr2+15912986,LOC_Os02g27060,26,24,19,8,7,3,0,4,4,0,0,0
Chr2+15913311,LOC_Os02g27060,0,0,0,1,0,0,3,2,3,0,0,0
Chr2+15915382,LOC_Os02g27060,0,0,0,2,0,0,1,1,0,0,0,0
Chr2+15915566,LOC_Os02g27060,40,41,45,313,310,222,83,81,70,64,33,70
Chr2+16442642,LOC_Os02g27760,2,0,1,4,0,0,1,1,0,0,0,0
Chr2+16442552,LOC_Os02g27760,6,2,5,10,1,7,1,1,1,0,0,0
Chr2+16442445,LOC_Os02g27760,762,682,774,251,269,192,449,476,445,603,581,547
