chrstrandcoord,gene,shoot1,shoot2,shoot3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,pistil1,pistil2,pistil3
Chr2-1550645,LOC_Os02g03700,2,4,3,5,2,4,0,7,7,1,4,3
Chr2-1550907,LOC_Os02g03700,0,0,0,1,1,1,6,3,5,0,1,1
Chr2-1551642,LOC_Os02g03700,0,2,0,1,0,0,0,9,1,0,1,0
Chr2-1552766,LOC_Os02g03700,144,113,95,82,92,90,238,245,235,153,143,128
Chr2+2394151,LOC_Os02g05030,1,3,3,0,0,0,0,0,0,0,0,0
Chr2+2394322,LOC_Os02g05030,123,121,114,33,27,34,156,174,178,82,84,72
Chr2-3846388,LOC_Os02g07450,1,0,0,1,1,1,1,0,0,4,0,0
Chr2-3846019,LOC_Os02g07450,1,0,0,4,0,4,0,0,4,0,0,0
Chr2-3846222,LOC_Os02g07450,25,17,33,94,78,97,63,66,76,57,78,106
Chr2-4038895,LOC_Os02g07750,0,0,1,0,0,0,0,0,0,0,0,0
Chr2-4038492,LOC_Os02g07750,160,129,151,876,980,629,94,120,134,88,86,77
Chr2+5504356,LOC_Os02g10470,76,43,23,5,3,3,71,98,50,51,65,49
Chr2+5504238,LOC_Os02g10470,1,0,1,0,0,0,3,6,6,5,2,1
Chr2-5587263,LOC_Os02g10630,0,0,0,0,0,0,2,1,0,0,0,0
Chr2-5587184,LOC_Os02g10630,2,6,3,0,3,0,46,57,45,11,12,15
Chr2-5930297,LOC_Os02g11070,30,13,24,3938,3871,4031,56,76,68,66,70,70
Chr2-5932387,LOC_Os02g11070,0,2,1,0,0,0,0,0,1,0,0,0
Chr2-5955075,LOC_Os02g11110,1,6,5,0,0,0,0,0,0,2,1,0
Chr2-5955681,LOC_Os02g11110,107,92,91,0,0,0,9,5,9,10,10,6
Chr2-5955017,LOC_Os02g11110,1,0,0,0,0,0,0,0,0,0,1,0
Chr2-5955208,LOC_Os02g11110,2,6,1,0,0,0,2,2,1,1,0,0
Chr2-6529691,LOC_Os02g12490,4,5,4,12,12,9,16,14,9,14,12,12
Chr2-6530247,LOC_Os02g12490,20,30,24,24,20,10,40,44,39,36,34,28
Chr2-6532217,LOC_Os02g12490,0,0,0,1,0,0,2,2,2,1,0,0
Chr2-6530886,LOC_Os02g12490,1,2,0,0,0,2,0,0,1,0,0,0
Chr2-6530340,LOC_Os02g12490,13,15,17,8,14,22,24,28,31,31,32,25
Chr2+7687331,LOC_Os02g14059,168,187,181,277,276,279,163,178,219,416,318,337
Chr2+7687624,LOC_Os02g14059,2,1,2,2,1,1,0,1,0,0,0,0
Chr2+7682662,LOC_Os02g14059,0,0,0,0,0,0,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,5,11,5,4,0,3,0,0,2,1,1,0
Chr2+8221336,LOC_Os02g14800,2,1,3,0,1,0,2,6,1,2,1,1
Chr2+8217132,LOC_Os02g14800,20,22,20,12,4,7,7,5,8,18,13,9
Chr2+8317184,LOC_Os02g14900,9,11,9,13,19,14,19,18,15,22,20,6
Chr2+8300243,LOC_Os02g14900,9,5,1,3,2,5,3,0,2,1,1,1
Chr2+8316992,LOC_Os02g14900,0,3,1,1,1,1,1,0,1,0,1,0
Chr2+8314499,LOC_Os02g14900,2,2,4,4,3,3,0,0,0,1,1,1
Chr2-8747271,LOC_Os02g15580,0,0,0,0,0,0,2,1,1,0,0,0
Chr2-8747067,LOC_Os02g15580,111,88,92,39,52,48,86,35,97,79,76,77
Chr2+9044660,LOC_Os02g15950,5,7,7,3,3,3,3,1,10,24,20,16
Chr2+9046083,LOC_Os02g15950,3,3,4,1,1,0,1,6,0,9,9,8
Chr2+9044737,LOC_Os02g15950,9,14,4,5,4,3,13,6,8,13,14,12
Chr2-9913486,LOC_Os02g17292,5,3,1,1,3,3,8,8,9,4,11,15
Chr2-9912522,LOC_Os02g17292,11,16,16,8,7,6,11,9,11,8,7,9
Chr2-9913625,LOC_Os02g17292,1,2,2,0,0,1,4,3,4,1,0,1
Chr2-9913669,LOC_Os02g17292,0,0,1,0,5,5,6,6,5,3,4,5
Chr2-11160276,LOC_Os02g19140,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,240,227,230,186,182,188,183,146,160,103,108,100
Chr2-11159684,LOC_Os02g19140,2,4,0,2,1,2,2,2,2,0,0,0
Chr2-15468574,LOC_Os02g26349,2,19,16,15,20,16,2,5,8,14,18,13
Chr2-15468252,LOC_Os02g26349,7,7,10,8,3,8,9,8,5,21,11,13
Chr2+15912986,LOC_Os02g27060,3,2,6,3,1,1,0,0,2,1,1,1
Chr2+15913311,LOC_Os02g27060,0,0,0,0,0,0,0,0,1,1,0,1
Chr2+15915382,LOC_Os02g27060,1,1,2,0,2,0,0,0,0,0,0,0
Chr2+15915566,LOC_Os02g27060,43,47,46,19,22,22,54,26,44,32,31,35
Chr2+16442642,LOC_Os02g27760,0,0,0,2,2,1,2,0,2,3,2,0
Chr2+16442552,LOC_Os02g27760,4,2,2,2,0,1,3,3,3,2,2,2
Chr2+16442445,LOC_Os02g27760,1086,1135,1179,1490,1279,1373,642,726,596,1251,1252,1292
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,8,9,5,8,11,8
Chr2-17254219,LOC_Os02g29130,4,0,1,0,1,1,0,0,0,0,0,0
