"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","shoot1","shoot2","shoot3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3"
"87","Chr1+13305253","LOC_Os01g23640",134,146,120,72,89,83,96,92,95,92,89,86
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,2,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,3,1,6,6,5,7,0,4,1
"91","Chr1+13935377","LOC_Os01g24764",12,5,8,87,77,80,150,189,188,4,7,3
"92","Chr1+13935124","LOC_Os01g24764",2,0,1,9,9,4,7,7,8,1,0,2
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,6,2,8,8,13,4,0,1,0
"94","Chr1+13935855","LOC_Os01g24764",0,10,10,7,0,7,36,28,34,1,0,0
"95","Chr1-14754834","LOC_Os01g26039",20,21,22,61,64,83,181,173,217,47,50,43
"96","Chr1-14757624","LOC_Os01g26039",3,2,2,3,2,3,5,4,0,5,1,2
"97","Chr1+16056051","LOC_Os01g28680",1,3,3,1,3,2,6,10,4,4,4,4
"98","Chr1+16056254","LOC_Os01g28680",19,19,26,69,100,93,468,462,528,164,181,136
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,0,0,0,1,2,0,0,1,1
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,2,1,4,5,5,3,0,1
"101","Chr1+16047519","LOC_Os01g28680",0,0,0,5,5,4,4,5,0,0,1,0
"102","Chr1+17607032","LOC_Os01g32170",0,1,0,0,0,0,0,0,0,1,0,0
"103","Chr1+17607127","LOC_Os01g32170",0,0,0,1,0,0,0,0,0,0,1,3
"104","Chr1+17607514","LOC_Os01g32170",6,16,2,5,10,2,6,4,3,4,4,10
"105","Chr1+17606900","LOC_Os01g32170",3,1,2,0,0,0,0,0,0,2,1,0
"106","Chr1+18050168","LOC_Os01g32870",0,0,0,10,8,6,0,5,4,10,10,10
"107","Chr1+18050053","LOC_Os01g32870",310,307,276,69,63,77,98,84,80,124,92,132
"108","Chr1-18394360","LOC_Os01g33420",94,121,154,164,154,161,90,95,102,117,105,117
"109","Chr1-18395693","LOC_Os01g33420",5,7,5,0,1,1,1,1,1,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",9,4,0,11,12,13,5,3,6,7,7,8
"111","Chr1-18459308","LOC_Os01g33540",28,39,32,14,15,16,15,10,16,12,10,9
"112","Chr1-18459207","LOC_Os01g33540",2,0,1,0,0,0,0,0,2,0,0,1
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,3,1,7,0,0,0,2,0,1
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,1,0,2,4,6,0,0,0,1
"115","Chr1+20334834","LOC_Os01g36640",1,1,4,2,1,1,0,0,0,1,1,1
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,7,22,33,20,21,22,11,15,23
"117","Chr1+20334066","LOC_Os01g36640",2,0,0,0,1,2,0,1,1,2,1,2
"118","Chr1+20335020","LOC_Os01g36640",2,3,3,0,2,1,3,3,4,11,8,3
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,1,0,0,0,0,1,1,0,2
"120","Chr1+20820347","LOC_Os01g37280",2,0,1,0,0,0,0,0,1,0,0,0
"121","Chr1+20820385","LOC_Os01g37280",7,3,5,13,7,6,15,14,14,6,3,4
"122","Chr1+20818589","LOC_Os01g37280",3,2,0,0,0,1,1,1,4,0,0,0
"123","Chr1-22855513","LOC_Os01g40470",233,261,214,247,317,296,179,176,179,483,442,471
"124","Chr1-22855806","LOC_Os01g40470",13,8,10,0,0,0,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",5,3,2,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,2,1,2,1,1,1,2,2,0
"128","Chr1+23933450","LOC_Os01g42234",68,51,50,91,123,129,29,26,21,221,237,253
"129","Chr1-24703796","LOC_Os01g43250",37,19,43,46,40,42,48,42,44,77,74,63
"130","Chr1-24708192","LOC_Os01g43250",5,3,5,0,0,0,1,0,2,1,0,1
"131","Chr1+25003415","LOC_Os01g43630",1,0,0,6,10,6,2,4,2,11,10,13
"132","Chr1+25003233","LOC_Os01g43630",31,25,25,22,73,63,59,57,55,61,65,60
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,0,4,0,0,0,0,1,3,1
"134","Chr1+25361865","LOC_Os01g44220",2593,2148,2231,80,80,82,118,75,110,30,25,31
"135","Chr1+25362209","LOC_Os01g44220",3,2,1,0,1,0,1,1,1,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",26,7,1,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,3,3,4,0,1,0,2,3,1
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",59,55,61,6,9,5,14,12,15,3,7,0
"140","Chr1-25917859","LOC_Os01g45620",4,3,3,0,0,0,0,0,0,0,0,0
"141","Chr1-25921679","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",3,0,1,0,0,0,0,0,0,0,1,0
"143","Chr1-25917441","LOC_Os01g45620",0,3,0,0,0,0,0,0,0,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",3,6,25,0,0,0,0,0,0,0,0,0
"145","Chr1+26396273","LOC_Os01g46380",0,17,18,1,1,1,1,2,2,3,5,4
"146","Chr1+26395170","LOC_Os01g46380",0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",1650,1681,1628,108,120,129,364,361,365,458,410,416
"148","Chr1+26722429","LOC_Os01g46840",0,0,0,0,6,1,0,0,0,1,1,1
"149","Chr1+26722277","LOC_Os01g46840",8,17,19,5,1,2,0,4,0,4,5,2
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,0,0,0,0,0,0,0,0,0
"151","Chr1-26888426","LOC_Os01g47080",142,136,82,292,318,383,24,21,28,184,181,177
"152","Chr1-26888569","LOC_Os01g47080",3,6,6,0,1,0,0,0,0,0,0,0
"153","Chr1+27010935","LOC_Os01g47262",0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",0,6,3,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",9,7,9,0,0,0,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",871,937,796,81,84,86,169,182,136,54,37,23
"157","Chr1+27009271","LOC_Os01g47262",5,7,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",3,2,0,1,2,2,1,0,0,17,13,16
"159","Chr1-27965721","LOC_Os01g48770",742,704,700,899,758,893,593,428,363,1643,1650,1844
"160","Chr1-28697312","LOC_Os01g49940",10,0,0,7,6,5,0,0,1,4,5,4
"161","Chr1-28683935","LOC_Os01g49940",166,107,130,43,44,46,110,103,100,52,54,51
"162","Chr1-28697450","LOC_Os01g49940",111,91,116,21,15,16,16,55,41,11,18,12
"163","Chr1+28804457","LOC_Os01g50120",1,0,1,3,0,2,2,3,0,1,0,1
"164","Chr1+28803863","LOC_Os01g50120",40,17,11,6,18,16,14,20,20,4,3,2
"165","Chr1+28800764","LOC_Os01g50120",5,2,4,10,10,8,4,3,3,0,1,1
"166","Chr1+29124339","LOC_Os01g50700",32,5,19,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",13477,10111,9606,4,1,5,0,2,2,0,1,0
"168","Chr1+29123295","LOC_Os01g50700",0,0,0,0,0,0,0,0,0,0,1,0
"169","Chr1+29124215","LOC_Os01g50700",1,8,7,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",308,283,331,49,62,59,231,418,195,50,48,51
"171","Chr1+30431148","LOC_Os01g52920",49,44,73,0,3,0,12,16,16,1,1,1
"172","Chr1+30431484","LOC_Os01g52920",1,7,7,0,0,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",2,2,4,0,0,0,0,3,0,0,0,0
"174","Chr1-30526019","LOC_Os01g53130",6,10,7,0,0,0,0,0,0,0,0,0
"175","Chr1-30525031","LOC_Os01g53130",3,4,7,0,1,1,2,3,2,1,0,0
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,1,0,1,1,1,0
"177","Chr1-30527478","LOC_Os01g53130",0,0,0,0,0,0,2,0,2,2,1,0
"178","Chr1-30527365","LOC_Os01g53130",0,0,1,12,18,4,1,0,1,3,4,4
"179","Chr1+32622547","LOC_Os01g56580",3,9,0,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",200,277,250,84,71,85,115,105,103,99,97,96
"181","Chr1-32855437","LOC_Os01g56890",45,54,51,33,25,26,58,61,75,19,0,17
"182","Chr1-32855924","LOC_Os01g56890",72,12,42,0,0,0,0,5,3,3,2,5
"183","Chr1-32856278","LOC_Os01g56890",0,13,0,0,0,0,0,0,0,0,0,0
"184","Chr1-32855385","LOC_Os01g56890",169,95,87,209,189,297,375,373,392,80,97,94
"185","Chr1-32856153","LOC_Os01g56890",1,4,8,0,2,0,1,2,1,2,0,1
"186","Chr1+32862638","LOC_Os01g56900",1,1,1,2,2,2,6,7,6,4,4,5
"187","Chr1+32863305","LOC_Os01g56900",2,9,12,2,4,0,6,7,10,8,3,4
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,0,0,4,2,4,7,6,9,3
"189","Chr1+33058487","LOC_Os01g57210",30,39,68,34,47,35,9,16,14,12,26,28
"190","Chr1+33058583","LOC_Os01g57210",0,0,0,7,5,2,2,0,1,2,2,3
"191","Chr1+33055124","LOC_Os01g57210",0,4,10,0,0,0,0,0,0,0,0,0
"192","Chr1+33052173","LOC_Os01g57210",6,1,5,0,0,0,0,0,0,0,0,1
"193","Chr1-33369626","LOC_Os01g57720",10,4,0,1,0,1,4,4,3,0,0,0
"194","Chr1-33368699","LOC_Os01g57720",26,47,6,0,11,11,16,19,20,5,9,18
"195","Chr1-33368984","LOC_Os01g57720",83,192,173,59,60,47,150,136,143,34,49,50
"196","Chr1-33369580","LOC_Os01g57720",21,14,43,2,2,4,9,12,8,1,0,0
"197","Chr1-33369316","LOC_Os01g57720",2,12,4,0,0,0,1,1,0,0,0,0
"198","Chr1+33663175","LOC_Os01g58240",5,2,0,4,3,4,4,4,1,0,0,0
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,1,0
"200","Chr1+33672497","LOC_Os01g58240",1,0,0,2,5,4,3,2,3,17,19,14
"201","Chr1-34163816","LOC_Os01g59140",2,4,6,1,1,2,1,0,0,0,0,0
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,2,2,1,1,1,0,1,1
"203","Chr1-34165817","LOC_Os01g59140",8,19,7,7,3,5,5,7,6,4,5,5
"204","Chr1-34163746","LOC_Os01g59140",42,6,44,32,37,38,30,31,26,73,62,68
"205","Chr1+34202742","LOC_Os01g59200",24,13,10,0,0,0,0,0,0,1,1,1
"206","Chr1+34202645","LOC_Os01g59200",81,58,80,1,1,1,0,0,0,4,4,5
"207","Chr1+34423675","LOC_Os01g59530",13,15,16,150,154,120,246,215,223,31,31,39
"208","Chr1+34423862","LOC_Os01g59530",2,3,1,2,2,2,0,0,0,2,2,1
"209","Chr1-36014043","LOC_Os01g62230",562,619,423,384,430,306,44,70,63,359,369,410
"210","Chr1-36014480","LOC_Os01g62230",0,0,0,1,4,2,0,0,0,1,1,0
"211","Chr1-36102686","LOC_Os01g62380",25,12,9,59,70,70,2,4,2,40,56,37
"212","Chr1-36099882","LOC_Os01g62380",9,14,1,8,2,1,0,0,1,5,6,5
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,0,1,1,0,0,0
"214","Chr1-36138825","LOC_Os01g62440",21,12,8,91,93,79,81,75,57,15,18,18
"215","Chr1-36139131","LOC_Os01g62440",1,6,3,0,2,1,6,7,0,0,0,0
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,3,3,3,0,0,0,0,0,2
"217","Chr1+36280264","LOC_Os01g62650",0,2,0,0,0,0,1,1,0,0,1,0
"218","Chr1+36286366","LOC_Os01g62650",173,173,166,60,58,56,130,141,120,67,57,68
"219","Chr1+36280419","LOC_Os01g62650",2,4,1,0,0,0,4,3,1,0,0,0
"220","Chr1+36285594","LOC_Os01g62650",2,2,2,3,0,4,4,1,0,3,1,1
"221","Chr1+36440121","LOC_Os01g62900",0,1,1,9,13,14,3,6,6,7,13,10
"222","Chr1+36440402","LOC_Os01g62900",0,0,0,0,4,1,13,10,12,2,5,9
"223","Chr1+36483777","LOC_Os01g62970",12,6,8,0,0,0,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",3,0,7,3,11,4,5,6,9,7,2,5
"225","Chr1+36484002","LOC_Os01g62970",564,534,524,20,8,9,85,79,80,4,4,8
"226","Chr1-37049115","LOC_Os01g63854",2,2,16,26,27,28,20,20,14,31,72,39
"227","Chr1-37043633","LOC_Os01g63854",14,12,6,87,68,89,71,75,141,117,94,169
"228","Chr1-37043453","LOC_Os01g63854",0,2,1,6,4,8,10,13,19,2,7,5
"229","Chr1-37048729","LOC_Os01g63854",0,3,0,0,0,0,1,3,1,3,3,3
"230","Chr1-37048182","LOC_Os01g63854",0,0,0,0,0,0,0,0,0,0,0,0
"231","Chr1-38206951","LOC_Os01g65790",1,4,6,312,329,348,11,5,9,63,60,58
"232","Chr1-38208579","LOC_Os01g65790",16,3,10,1,8,5,12,1,3,10,2,5
"233","Chr1+38332591","LOC_Os01g66050",31,31,24,22,21,34,45,46,35,30,44,45
"234","Chr1+38332293","LOC_Os01g66050",0,0,1,0,0,0,0,0,0,0,2,2
"235","Chr1-38400569","LOC_Os01g66120",7,5,3,0,0,0,0,0,0,0,0,0
"236","Chr1-38399973","LOC_Os01g66120",141,107,110,1,0,0,0,1,0,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",6,6,5,0,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",19,10,2,0,0,0,0,1,2,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",2962,3152,2589,169,172,154,1271,1087,1237,193,193,174
"240","Chr1+39863578","LOC_Os01g68640",0,0,0,2,7,12,0,0,0,3,3,2
"241","Chr1+39863436","LOC_Os01g68640",4,4,4,0,0,0,0,0,0,0,2,2
"242","Chr1+40920737","LOC_Os01g70670",36,44,49,21,19,22,43,43,45,22,22,25
"243","Chr1+40918499","LOC_Os01g70670",0,0,0,0,0,0,0,0,0,0,0,0
"244","Chr1+40920606","LOC_Os01g70670",113,68,127,53,45,74,73,84,54,69,40,53
"245","Chr1-43072749","LOC_Os01g74350",15,25,13,41,51,43,48,35,29,38,52,50
"246","Chr1-43075776","LOC_Os01g74350",37,25,22,22,23,38,18,21,17,63,65,85
"247","Chr2-1178924","LOC_Os02g03000",0,0,0,3,3,1,0,0,0,1,1,1
"248","Chr2-1178890","LOC_Os02g03000",8,2,6,8,6,15,0,5,4,5,5,6
"249","Chr2+1211089","LOC_Os02g03060",0,0,0,35,29,29,6,8,6,55,52,53
"250","Chr2+1210986","LOC_Os02g03060",0,0,1,0,1,0,0,0,0,2,2,1
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,2,6,4,2,0,1,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",175,181,246,729,500,702,525,508,530,58,56,54
"253","Chr2-1550782","LOC_Os02g03700",1,8,0,8,6,9,36,27,52,11,12,12
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0
"255","Chr2-1551474","LOC_Os02g03700",2,6,6,0,0,0,0,5,6,3,3,1
"256","Chr2-1550645","LOC_Os02g03700",3,5,2,2,4,3,3,5,8,3,3,4
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,1,0,3,1,0,0
"258","Chr2-1551642","LOC_Os02g03700",12,11,2,0,2,0,2,2,3,6,0,1
"259","Chr2-1552766","LOC_Os02g03700",47,42,49,144,113,95,110,89,124,131,153,84
"260","Chr2+2394151","LOC_Os02g05030",0,0,1,1,3,3,0,2,1,0,0,1
"261","Chr2+2394322","LOC_Os02g05030",81,55,44,123,121,114,107,106,112,86,83,84
"262","Chr2-3846388","LOC_Os02g07450",0,2,11,1,0,0,0,0,0,0,0,0
"263","Chr2-3846019","LOC_Os02g07450",15,19,11,1,0,0,1,7,8,1,1,1
"264","Chr2-3846222","LOC_Os02g07450",78,85,96,25,17,33,63,80,61,32,45,50
"265","Chr2-4038895","LOC_Os02g07750",1,0,1,0,0,1,1,0,0,0,0,0
"266","Chr2-4038492","LOC_Os02g07750",214,194,188,160,129,151,110,128,90,297,276,332
"267","Chr2+5504356","LOC_Os02g10470",27,35,21,76,43,23,40,28,30,18,14,18
"268","Chr2+5504238","LOC_Os02g10470",9,10,13,1,0,1,0,0,0,0,0,2
"269","Chr2-5587263","LOC_Os02g10630",0,0,0,0,0,0,0,0,0,0,0,0
"270","Chr2-5587184","LOC_Os02g10630",5,4,5,2,6,3,5,6,3,2,1,1
"271","Chr2-5930297","LOC_Os02g11070",148,30,166,30,13,24,92,87,83,154,159,211
"272","Chr2-5932387","LOC_Os02g11070",0,0,1,0,2,1,0,0,0,0,0,0
"273","Chr2-5955075","LOC_Os02g11110",0,0,0,1,6,5,16,9,14,0,0,0
"274","Chr2-5955681","LOC_Os02g11110",21,18,29,107,92,91,64,53,62,3,2,2
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,1,0,0,8,8,8,0,0,0
"276","Chr2-5955208","LOC_Os02g11110",7,1,11,2,6,1,3,3,3,0,0,0
"277","Chr2-6529691","LOC_Os02g12490",0,2,2,4,5,4,19,19,27,3,0,3
"278","Chr2-6530247","LOC_Os02g12490",7,7,4,20,30,24,34,36,24,9,12,0
"279","Chr2-6532217","LOC_Os02g12490",0,0,0,0,0,0,0,0,1,0,1,0
"280","Chr2-6530886","LOC_Os02g12490",2,1,0,1,2,0,0,0,2,1,2,1
"281","Chr2-6530340","LOC_Os02g12490",20,8,36,13,15,17,13,35,41,16,13,14
"282","Chr2+7687331","LOC_Os02g14059",900,892,929,168,187,181,95,117,109,344,324,274
"283","Chr2+7687624","LOC_Os02g14059",23,21,12,2,1,2,0,0,0,5,5,5
"284","Chr2+7682662","LOC_Os02g14059",2,3,2,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",21,2,5,5,11,5,3,4,4,7,7,5
"286","Chr2+8221336","LOC_Os02g14800",4,0,0,2,1,3,2,2,0,1,0,0
"287","Chr2+8217132","LOC_Os02g14800",7,9,20,20,22,20,33,30,30,13,7,5
"288","Chr2+8317184","LOC_Os02g14900",0,2,0,9,11,9,1,1,2,26,24,35
"289","Chr2+8300243","LOC_Os02g14900",2,2,2,9,5,1,1,3,3,4,4,5
"290","Chr2+8316992","LOC_Os02g14900",1,0,1,0,3,1,0,0,0,3,1,6
"291","Chr2+8314499","LOC_Os02g14900",4,2,3,2,2,4,3,0,1,1,3,2
"292","Chr2-8747271","LOC_Os02g15580",6,6,0,0,0,0,2,1,2,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",53,68,67,111,88,92,100,105,109,76,71,46
