chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,leaf_20days1,leaf_20days2,leaf_20days3,husk1,husk2,husk3
Chr1+6029641,LOC_Os01g11260,1,2,0,2,3,1,6,2,3,13,0,6
Chr1+6029525,LOC_Os01g11260,4,2,1,27,12,27,0,0,0,1,2,1
Chr1+6270688,LOC_Os01g11620,48,57,64,147,110,161,0,0,0,23,7,4
Chr1+6270822,LOC_Os01g11620,0,0,0,1,0,0,0,0,0,7,4,1
Chr1-6575126,LOC_Os01g12080,0,0,0,1,1,0,0,2,1,1,2,1
Chr1-6572018,LOC_Os01g12080,0,0,0,3,2,4,68,74,70,8,5,4
Chr1-6572877,LOC_Os01g12080,2,5,5,9,5,2,7,2,1,0,0,0
Chr1-6572141,LOC_Os01g12080,46,76,72,54,81,63,435,428,433,102,103,99
Chr1-6725035,LOC_Os01g12320,0,0,0,1,0,0,44,49,44,8,12,3
Chr1-6724944,LOC_Os01g12320,0,2,1,0,1,4,360,324,369,82,101,73
Chr1-6725081,LOC_Os01g12320,0,0,0,0,0,0,3,3,0,1,0,0
Chr1+7092083,LOC_Os01g12810,3,3,5,9,8,10,3,3,5,1,2,3
Chr1+7095316,LOC_Os01g12810,4,6,9,17,14,19,861,863,902,170,152,136
Chr1+7576953,LOC_Os01g13540,0,0,0,0,0,0,5,4,5,0,0,0
Chr1+7576771,LOC_Os01g13540,14,3,14,20,0,2,1278,1373,1296,100,80,92
Chr1+7575165,LOC_Os01g13540,0,0,2,4,3,3,7,16,13,3,0,4
Chr1-7623978,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,4,2,5
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,42,34,37,31,33,40,11,5,13,17,25,29
Chr1+7672710,LOC_Os01g13700,146,182,170,239,197,107,170,167,209,226,228,170
Chr1-7687909,LOC_Os01g13740,0,0,2,0,0,0,3,3,3,0,0,0
Chr1-7686899,LOC_Os01g13740,0,0,1,8,6,0,1858,1694,1780,215,135,179
Chr1-8175378,LOC_Os01g14590,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-8175675,LOC_Os01g14590,0,0,0,19,19,15,2,1,1,17,10,24
Chr1-8175468,LOC_Os01g14590,5,5,0,6,14,9,2,1,1,0,3,2
Chr1+8408590,LOC_Os01g15000,3,0,5,8,11,2,0,0,0,0,0,0
Chr1+8405373,LOC_Os01g15000,1,11,4,8,12,14,0,0,0,8,0,11
Chr1+8408240,LOC_Os01g15000,6,10,9,9,10,7,4,2,1,1,3,2
Chr1+8408351,LOC_Os01g15000,261,276,324,458,389,371,71,74,69,60,23,52
Chr1+8407017,LOC_Os01g15000,6,8,6,9,6,4,0,1,0,0,0,0
Chr1-9658230,LOC_Os01g16890,1935,1923,1946,1208,1248,926,219,253,294,706,771,839
Chr1-9659592,LOC_Os01g16890,19,17,10,2,4,2,0,0,0,0,0,0
Chr1-9660105,LOC_Os01g16890,22,12,23,2,0,2,0,0,0,0,0,0
Chr1-9660661,LOC_Os01g16890,39,70,0,24,24,59,0,0,0,2,0,4
Chr1-9658021,LOC_Os01g16890,0,0,8,2,14,12,2,0,1,5,3,5
Chr1-9660380,LOC_Os01g16890,30,43,37,2,1,2,0,0,0,0,0,0
Chr1+9879603,LOC_Os01g17180,0,0,0,1,1,0,0,0,0,0,0,0
Chr1+9885367,LOC_Os01g17180,324,417,264,363,355,409,120,122,127,88,100,115
Chr1+10655296,LOC_Os01g18850,5,2,8,20,8,1,0,0,0,0,0,0
Chr1+10656648,LOC_Os01g18850,77,75,77,86,96,97,69,68,63,68,54,56
Chr1+10679801,LOC_Os01g18880,1,0,0,0,0,0,0,0,0,1,1,1
Chr1+10678290,LOC_Os01g18880,0,1,0,18,8,20,0,1,0,1,0,0
Chr1+10676910,LOC_Os01g18880,3,0,0,0,0,0,3,0,1,2,5,3
Chr1+10677075,LOC_Os01g18880,0,0,0,24,36,7,0,0,0,0,1,0
Chr1+10679862,LOC_Os01g18880,38,27,44,45,44,36,6,6,6,20,23,16
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,0,0,0,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,0,0,0,12,8,6
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,0,0,0,7,9,5
Chr1-11253657,LOC_Os01g19850,8,5,8,6,5,2,0,0,0,28,34,27
Chr1-11253815,LOC_Os01g19850,11,0,2,1,1,0,0,0,0,3,2,1
Chr1-11800239,LOC_Os01g21144,0,4,10,4,12,16,0,0,0,0,0,0
Chr1-11801468,LOC_Os01g21144,3,9,13,4,3,2,0,0,0,2,3,2
Chr1-11800290,LOC_Os01g21144,11,0,5,8,16,5,0,0,0,0,0,0
Chr1+11975457,LOC_Os01g21450,1,0,0,0,1,1,2,1,0,0,0,0
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11981803,LOC_Os01g21450,393,445,385,394,488,491,204,226,268,117,120,119
Chr1+11981977,LOC_Os01g21450,2,4,3,2,4,6,0,2,1,0,0,0
Chr1-12704551,LOC_Os01g22600,4,2,0,1,7,4,0,0,0,0,0,0
Chr1-12704882,LOC_Os01g22600,571,522,370,542,435,474,72,95,77,71,69,65
Chr1-12704755,LOC_Os01g22600,168,242,277,217,231,223,114,98,101,57,46,50
Chr1+13305003,LOC_Os01g23640,9,7,2,4,14,24,0,0,0,0,0,0
Chr1+13304670,LOC_Os01g23640,1,7,0,4,5,11,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,199,143,166,134,146,120,96,86,88,76,63,67
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,2,1,2
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,16,20,18
Chr1+13443430,LOC_Os01g23880,0,0,0,0,0,0,0,0,0,740,790,773
Chr1+13935377,LOC_Os01g24764,6,11,12,12,5,8,134,136,154,87,76,74
Chr1+13935124,LOC_Os01g24764,5,2,2,2,0,1,9,8,11,9,5,9
Chr1+13935565,LOC_Os01g24764,0,0,0,0,0,0,5,3,7,10,3,13
Chr1+13935855,LOC_Os01g24764,8,0,2,0,10,10,20,15,18,4,9,19
Chr1-14754834,LOC_Os01g26039,24,12,7,20,21,22,504,495,547,50,45,50
Chr1-14757624,LOC_Os01g26039,1,4,1,3,2,2,0,3,3,2,0,3
Chr1+16056051,LOC_Os01g28680,2,3,0,1,3,3,8,0,11,3,2,1
Chr1+16056254,LOC_Os01g28680,17,19,14,19,19,26,259,210,256,138,134,129
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0,0,3,0,2,1,1,1
Chr1+16053083,LOC_Os01g28680,0,0,0,0,0,0,3,3,4,1,0,1
Chr1+16047519,LOC_Os01g28680,0,1,0,0,0,0,8,5,6,0,0,0
Chr1+17607032,LOC_Os01g32170,4,4,4,0,1,0,0,0,0,0,0,0
Chr1+17607127,LOC_Os01g32170,0,1,0,0,0,0,1,2,2,2,0,0
Chr1+17607514,LOC_Os01g32170,5,5,3,6,16,2,2,5,2,1,0,0
Chr1+17606900,LOC_Os01g32170,8,0,6,3,1,2,0,0,0,2,2,1
Chr1+18050168,LOC_Os01g32870,3,3,2,0,0,0,5,6,4,7,2,4
Chr1+18050053,LOC_Os01g32870,259,154,242,310,307,276,71,71,74,77,76,70
Chr1-18394360,LOC_Os01g33420,245,237,340,94,121,154,83,59,64,219,135,135
Chr1-18395693,LOC_Os01g33420,0,0,0,5,7,5,0,0,0,0,0,0
Chr1-18459991,LOC_Os01g33540,16,8,19,9,4,0,8,0,2,19,19,18
Chr1-18459308,LOC_Os01g33540,24,37,20,28,39,32,17,15,16,10,18,12
Chr1-18459207,LOC_Os01g33540,0,3,0,2,0,1,0,0,1,2,2,2
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,0,0,0,4,3,2
Chr1+20334364,LOC_Os01g36640,0,0,0,0,0,0,0,0,0,2,2,0
Chr1+20334834,LOC_Os01g36640,0,0,0,1,1,4,0,0,0,0,6,2
Chr1+20334613,LOC_Os01g36640,0,0,0,0,0,0,2,11,4,13,22,22
Chr1+20334066,LOC_Os01g36640,0,0,1,2,0,0,0,0,0,1,0,0
Chr1+20335020,LOC_Os01g36640,2,2,3,2,3,3,3,4,4,4,3,1
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,0,4,3,3,0,0,1
Chr1+20820347,LOC_Os01g37280,13,10,7,2,0,1,0,0,1,0,0,0
Chr1+20820385,LOC_Os01g37280,11,12,13,7,3,5,7,14,22,3,7,0
Chr1+20818589,LOC_Os01g37280,6,4,1,3,2,0,0,1,0,1,2,3
Chr1-22855513,LOC_Os01g40470,248,227,244,233,261,214,209,186,208,377,353,351
Chr1-22855806,LOC_Os01g40470,6,9,11,13,8,10,0,0,0,0,0,0
Chr1-22857225,LOC_Os01g40470,1,3,1,5,3,2,0,0,0,0,0,0
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23925357,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,1,0,0
Chr1+23933450,LOC_Os01g42234,30,46,60,68,51,50,27,40,33,24,25,22
Chr1-24703796,LOC_Os01g43250,43,36,54,37,19,43,16,21,26,50,24,27
Chr1-24708192,LOC_Os01g43250,0,8,4,5,3,5,0,0,0,0,0,0
Chr1+25003415,LOC_Os01g43630,0,0,0,1,0,0,1,3,2,0,3,8
Chr1+25003233,LOC_Os01g43630,57,54,65,31,25,25,56,52,56,55,53,55
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,0,0,0,0,0,1
Chr1+25361865,LOC_Os01g44220,2272,2387,1586,2593,2148,2231,127,127,129,55,56,47
Chr1+25362209,LOC_Os01g44220,3,3,10,3,2,1,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,2,7,4,26,7,1,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,0,0,0,3,1,0,0,6,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917622,LOC_Os01g45620,54,34,78,59,55,61,2,11,8,32,32,32
Chr1-25917859,LOC_Os01g45620,3,5,5,4,3,3,0,0,0,1,0,2
Chr1-25921679,LOC_Os01g45620,4,2,2,0,0,0,0,0,0,4,3,6
Chr1-25918558,LOC_Os01g45620,0,0,0,3,0,1,0,0,0,1,0,0
Chr1-25917441,LOC_Os01g45620,5,3,3,0,3,0,0,0,0,0,0,0
Chr1-25917749,LOC_Os01g45620,10,7,10,3,6,25,0,0,0,1,3,5
Chr1+26396273,LOC_Os01g46380,9,11,9,0,17,18,3,0,0,10,12,7
Chr1+26395170,LOC_Os01g46380,6,9,3,0,0,0,0,0,0,5,2,0
Chr1+26396056,LOC_Os01g46380,3457,3104,3351,1650,1681,1628,210,215,224,620,612,534
Chr1+26722429,LOC_Os01g46840,0,1,0,0,0,0,0,0,0,2,10,2
Chr1+26722277,LOC_Os01g46840,2,2,0,8,17,19,5,5,0,9,11,10
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,0,0,0,1,1,1
Chr1-26888426,LOC_Os01g47080,66,95,88,142,136,82,12,18,9,68,96,74
Chr1-26888569,LOC_Os01g47080,12,3,6,3,6,6,0,0,0,0,0,1
Chr1+27010935,LOC_Os01g47262,6,6,7,0,0,0,0,0,0,0,0,0
Chr1+27010193,LOC_Os01g47262,4,1,21,0,6,3,0,0,0,0,0,0
Chr1+27010855,LOC_Os01g47262,6,9,4,9,7,9,0,0,0,0,0,0
Chr1+27012055,LOC_Os01g47262,645,636,1166,871,937,796,96,144,135,288,293,262
Chr1+27009271,LOC_Os01g47262,7,5,6,5,7,0,0,0,0,0,0,0
Chr1-27965530,LOC_Os01g48770,1,3,3,3,2,0,0,0,0,0,0,0
Chr1-27965721,LOC_Os01g48770,734,729,1076,742,704,700,334,311,327,556,530,611
Chr1-28697312,LOC_Os01g49940,10,4,7,10,0,0,0,3,1,1,0,0
Chr1-28683935,LOC_Os01g49940,145,129,165,166,107,130,75,85,77,56,49,45
Chr1-28697450,LOC_Os01g49940,120,85,107,111,91,116,38,41,41,19,20,20
Chr1+28804457,LOC_Os01g50120,0,0,0,1,0,1,1,0,0,0,0,0
Chr1+28803863,LOC_Os01g50120,37,10,17,40,17,11,14,8,11,9,16,10
Chr1+28800764,LOC_Os01g50120,0,0,0,5,2,4,9,7,10,0,0,3
Chr1+29124339,LOC_Os01g50700,6,11,6,32,5,19,0,0,0,0,0,0
Chr1+29124591,LOC_Os01g50700,12880,12146,12187,13477,10111,9606,0,0,0,1,2,4
Chr1+29123295,LOC_Os01g50700,0,2,3,0,0,0,0,0,0,1,3,4
Chr1+29124215,LOC_Os01g50700,34,14,29,1,8,7,0,0,0,0,0,0
Chr1+30431695,LOC_Os01g52920,346,295,309,308,283,331,158,134,129,174,204,181
Chr1+30431148,LOC_Os01g52920,68,66,69,49,44,73,4,1,6,7,5,6
Chr1+30431484,LOC_Os01g52920,2,3,3,1,7,7,0,0,0,3,3,1
Chr1+30432087,LOC_Os01g52920,1,0,0,2,2,4,0,0,0,2,1,2
Chr1-30526019,LOC_Os01g53130,0,0,0,6,10,7,0,0,0,0,2,4
Chr1-30525031,LOC_Os01g53130,4,3,5,3,4,7,7,1,2,21,12,10
Chr1-30527175,LOC_Os01g53130,0,0,0,0,0,0,0,0,0,1,1,0
Chr1-30527478,LOC_Os01g53130,1,0,0,0,0,0,0,0,0,2,2,3
Chr1-30527365,LOC_Os01g53130,0,0,0,0,0,1,0,1,2,15,15,15
Chr1+32622547,LOC_Os01g56580,4,8,11,3,9,0,0,0,0,0,0,1
Chr1+32622715,LOC_Os01g56580,178,203,181,200,277,250,122,121,136,155,193,165
Chr1-32855437,LOC_Os01g56890,82,81,64,45,54,51,32,30,30,210,163,174
Chr1-32855924,LOC_Os01g56890,12,27,19,72,12,42,0,1,0,21,21,14
Chr1-32856278,LOC_Os01g56890,1,4,2,0,13,0,0,0,0,0,0,0
Chr1-32855385,LOC_Os01g56890,204,71,5,169,95,87,376,371,368,310,318,278
Chr1-32856153,LOC_Os01g56890,22,19,12,1,4,8,6,1,4,9,7,3
Chr1+32862638,LOC_Os01g56900,4,11,2,1,1,1,0,1,0,10,9,5
Chr1+32863305,LOC_Os01g56900,14,10,0,2,9,12,0,3,9,14,12,15
Chr1+32863554,LOC_Os01g56900,0,3,1,0,3,1,1,1,3,6,15,12
Chr1+33058487,LOC_Os01g57210,70,42,63,30,39,68,16,19,21,22,16,23
Chr1+33058583,LOC_Os01g57210,1,0,0,0,0,0,2,2,0,1,4,1
Chr1+33055124,LOC_Os01g57210,2,1,1,0,4,10,0,0,0,0,0,0
Chr1+33052173,LOC_Os01g57210,0,3,8,6,1,5,0,0,0,0,1,0
Chr1-33369626,LOC_Os01g57720,3,6,10,10,4,0,6,0,0,0,0,0
Chr1-33368699,LOC_Os01g57720,10,25,4,26,47,6,23,18,19,13,11,6
Chr1-33368984,LOC_Os01g57720,137,129,133,83,192,173,140,175,131,72,72,73
Chr1-33369580,LOC_Os01g57720,1,18,18,21,14,43,9,7,7,8,10,7
Chr1-33369316,LOC_Os01g57720,3,2,0,2,12,4,0,2,1,0,0,0
Chr1+33663175,LOC_Os01g58240,0,1,0,5,2,0,0,0,0,1,0,1
Chr1+33663606,LOC_Os01g58240,0,0,0,0,0,0,0,0,0,0,0,1
Chr1+33672497,LOC_Os01g58240,5,12,2,1,0,0,3,4,7,26,23,19
Chr1-34163816,LOC_Os01g59140,0,0,0,2,4,6,0,0,0,5,4,4
Chr1-34163514,LOC_Os01g59140,0,0,0,0,0,0,0,0,0,4,5,4
Chr1-34165817,LOC_Os01g59140,3,4,0,8,19,7,18,10,4,5,4,5
Chr1-34163746,LOC_Os01g59140,18,13,11,42,6,44,17,26,17,67,82,57
Chr1+34202742,LOC_Os01g59200,28,18,8,24,13,10,0,0,0,0,0,0
Chr1+34202645,LOC_Os01g59200,42,47,69,81,58,80,0,0,0,0,0,0
Chr1+34423675,LOC_Os01g59530,7,5,6,13,15,16,199,220,215,836,814,869
Chr1+34423862,LOC_Os01g59530,2,2,6,2,3,1,1,5,0,1,1,0
Chr1-36014043,LOC_Os01g62230,701,533,838,562,619,423,173,172,161,89,130,148
Chr1-36014480,LOC_Os01g62230,3,3,6,0,0,0,0,0,0,1,1,1
Chr1-36102686,LOC_Os01g62380,0,1,17,25,12,9,3,2,1,34,38,32
Chr1-36099882,LOC_Os01g62380,13,7,7,9,14,1,0,0,0,1,1,0
Chr1-36141689,LOC_Os01g62440,0,0,0,0,0,0,1,0,0,0,1,0
Chr1-36138825,LOC_Os01g62440,28,25,30,21,12,8,107,75,71,43,37,36
Chr1-36139131,LOC_Os01g62440,4,9,19,1,6,3,1,0,1,4,1,3
Chr1-36145739,LOC_Os01g62440,0,0,0,0,0,0,1,3,1,1,2,2
Chr1+36280264,LOC_Os01g62650,0,0,4,0,2,0,0,0,0,0,0,0
Chr1+36286366,LOC_Os01g62650,110,188,223,173,173,166,81,85,82,150,170,176
Chr1+36280419,LOC_Os01g62650,0,0,0,2,4,1,0,1,0,9,0,5
Chr1+36285594,LOC_Os01g62650,4,2,0,2,2,2,3,3,3,2,3,1
Chr1+36440121,LOC_Os01g62900,1,7,7,0,1,1,11,9,9,43,39,31
Chr1+36440402,LOC_Os01g62900,1,2,1,0,0,0,3,3,3,5,6,4
Chr1+36483777,LOC_Os01g62970,0,2,8,12,6,8,0,0,0,0,1,0
Chr1+36481175,LOC_Os01g62970,1,1,1,3,0,7,12,11,10,2,2,2
Chr1+36484002,LOC_Os01g62970,316,314,306,564,534,524,134,130,87,241,248,200
Chr1-37049115,LOC_Os01g63854,1,0,0,2,2,16,21,21,20,13,12,13
Chr1-37043633,LOC_Os01g63854,7,10,7,14,12,6,144,164,135,61,61,67
Chr1-37043453,LOC_Os01g63854,0,0,0,0,2,1,4,3,0,2,2,0
Chr1-37048729,LOC_Os01g63854,0,2,2,0,3,0,0,1,0,1,1,2
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,0,0,0,0,0,0,0
Chr1-38206951,LOC_Os01g65790,1,2,10,1,4,6,15,6,10,199,213,194
Chr1-38208579,LOC_Os01g65790,9,0,8,16,3,10,11,12,10,4,3,4
Chr1+38332591,LOC_Os01g66050,34,44,39,31,31,24,25,35,60,29,39,33
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,1,0,0,2,2,3,3
Chr1-38400569,LOC_Os01g66120,0,2,2,7,5,3,0,0,0,0,0,0
Chr1-38399973,LOC_Os01g66120,98,62,111,141,107,110,0,0,0,0,0,0
Chr1-38398218,LOC_Os01g66120,9,7,4,6,6,5,0,0,0,0,0,0
Chr1-38400637,LOC_Os01g66120,4,10,9,19,10,2,0,0,0,0,0,0
Chr1-38398994,LOC_Os01g66120,2383,2382,1953,2962,3152,2589,730,656,694,566,511,513
Chr1+39863578,LOC_Os01g68640,1,1,3,0,0,0,0,7,0,6,5,5
Chr1+39863436,LOC_Os01g68640,0,7,1,4,4,4,0,0,0,6,9,5
Chr1+40920737,LOC_Os01g70670,9,40,46,36,44,49,41,58,46,33,43,37
Chr1+40918499,LOC_Os01g70670,7,10,6,0,0,0,0,0,0,0,0,0
Chr1+40920606,LOC_Os01g70670,55,128,64,113,68,127,78,36,49,73,52,63
Chr1-43072749,LOC_Os01g74350,16,24,8,15,25,13,33,34,27,64,59,73
Chr1-43075776,LOC_Os01g74350,21,34,44,37,25,22,34,10,26,39,37,38
Chr2-1178924,LOC_Os02g03000,3,4,1,0,0,0,0,0,0,4,4,0
Chr2-1178890,LOC_Os02g03000,2,4,5,8,2,6,2,0,2,14,15,7
Chr2+1211089,LOC_Os02g03060,5,1,1,0,0,0,11,11,8,28,29,30
Chr2+1210986,LOC_Os02g03060,2,2,0,0,0,1,0,0,0,0,0,0
Chr2-1288905,LOC_Os02g03230,0,0,0,0,0,0,2,1,0,2,1,0
Chr2-1289078,LOC_Os02g03230,163,161,183,175,181,246,752,741,816,311,316,258
Chr2-1550782,LOC_Os02g03700,2,1,1,1,8,0,11,14,18,3,57,51
Chr2-1551808,LOC_Os02g03700,0,0,0,0,0,0,0,0,0,1,0,0
Chr2-1551474,LOC_Os02g03700,0,0,0,2,6,6,2,0,0,2,4,0
Chr2-1550645,LOC_Os02g03700,0,0,0,3,5,2,0,2,0,0,7,7
Chr2-1550907,LOC_Os02g03700,0,0,0,0,0,0,0,0,0,6,3,5
Chr2-1551642,LOC_Os02g03700,3,2,4,12,11,2,3,1,0,0,9,1
Chr2-1552766,LOC_Os02g03700,55,65,35,47,42,49,114,128,84,238,245,235
Chr2+2394151,LOC_Os02g05030,5,9,0,0,0,1,0,0,0,0,0,0
Chr2+2394322,LOC_Os02g05030,24,75,62,81,55,44,196,221,159,156,174,178
Chr2-3846388,LOC_Os02g07450,4,4,4,0,2,11,0,0,0,1,0,0
Chr2-3846019,LOC_Os02g07450,3,1,3,15,19,11,0,0,0,0,0,4
Chr2-3846222,LOC_Os02g07450,90,72,96,78,85,96,4,57,15,63,66,76
Chr2-4038895,LOC_Os02g07750,0,1,0,1,0,1,0,0,0,0,0,0
Chr2-4038492,LOC_Os02g07750,150,169,59,214,194,188,160,97,84,94,120,134
Chr2+5504356,LOC_Os02g10470,9,4,13,27,35,21,104,73,67,71,98,50
Chr2+5504238,LOC_Os02g10470,2,7,6,9,10,13,0,1,5,3,6,6
Chr2-5587263,LOC_Os02g10630,3,4,2,0,0,0,0,0,0,2,1,0
Chr2-5587184,LOC_Os02g10630,8,3,8,5,4,5,2,9,5,46,57,45
Chr2-5930297,LOC_Os02g11070,85,66,60,148,30,166,16,14,4,56,76,68
Chr2-5932387,LOC_Os02g11070,2,2,2,0,0,1,1,2,0,0,0,1
Chr2-5955075,LOC_Os02g11110,1,0,1,0,0,0,12,11,17,0,0,0
Chr2-5955681,LOC_Os02g11110,15,20,13,21,18,29,69,70,42,9,5,9
Chr2-5955017,LOC_Os02g11110,0,0,0,0,0,0,1,3,2,0,0,0
Chr2-5955208,LOC_Os02g11110,3,5,4,7,1,11,4,2,6,2,2,1
Chr2-6529691,LOC_Os02g12490,0,4,6,0,2,2,17,17,17,16,14,9
Chr2-6530247,LOC_Os02g12490,8,9,8,7,7,4,56,60,68,40,44,39
Chr2-6532217,LOC_Os02g12490,1,1,2,0,0,0,0,0,1,2,2,2
Chr2-6530886,LOC_Os02g12490,0,0,0,2,1,0,2,0,0,0,0,1
Chr2-6530340,LOC_Os02g12490,32,36,47,20,8,36,43,42,40,24,28,31
Chr2+7687331,LOC_Os02g14059,1190,1107,1169,900,892,929,93,84,83,163,178,219
Chr2+7687624,LOC_Os02g14059,2,0,6,23,21,12,0,0,0,0,1,0
Chr2+7682662,LOC_Os02g14059,9,1,3,2,3,2,0,0,0,0,0,0
Chr2+7677787,LOC_Os02g14059,2,3,11,21,2,5,9,3,7,0,0,2
Chr2+8221336,LOC_Os02g14800,4,4,9,4,0,0,0,0,0,2,6,1
Chr2+8217132,LOC_Os02g14800,9,12,13,7,9,20,45,24,38,7,5,8
Chr2+8317184,LOC_Os02g14900,2,2,2,0,2,0,2,3,3,19,18,15
Chr2+8300243,LOC_Os02g14900,2,2,0,2,2,2,4,7,8,3,0,2
Chr2+8316992,LOC_Os02g14900,0,0,1,1,0,1,0,0,0,1,0,1
Chr2+8314499,LOC_Os02g14900,2,4,2,4,2,3,2,0,3,0,0,0
Chr2-8747271,LOC_Os02g15580,4,2,6,6,6,0,0,0,2,2,1,1
Chr2-8747067,LOC_Os02g15580,98,69,106,53,68,67,121,84,99,86,35,97
Chr2+9044660,LOC_Os02g15950,7,25,19,5,3,3,53,66,44,3,1,10
Chr2+9046083,LOC_Os02g15950,14,11,14,1,0,3,78,35,46,1,6,0
Chr2+9044737,LOC_Os02g15950,4,0,3,2,0,0,50,51,43,13,6,8
Chr2-9913486,LOC_Os02g17292,6,5,1,0,0,0,4,1,3,8,8,9
Chr2-9912522,LOC_Os02g17292,6,2,3,10,18,8,3,0,13,11,9,11
Chr2-9913625,LOC_Os02g17292,0,0,0,0,0,0,0,0,6,4,3,4
Chr2-9913669,LOC_Os02g17292,0,1,0,0,0,0,0,1,1,6,6,5
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,314,334,344,309,257,297,92,113,134,183,146,160
Chr2-11159684,LOC_Os02g19140,12,11,16,17,21,32,0,0,0,2,2,2
Chr2-15468574,LOC_Os02g26349,0,4,0,0,4,1,0,4,4,2,5,8
Chr2-15468252,LOC_Os02g26349,18,18,20,32,44,31,5,7,10,9,8,5
Chr2+15912986,LOC_Os02g27060,26,24,19,56,44,26,8,7,3,0,0,2
Chr2+15913311,LOC_Os02g27060,0,0,0,5,8,8,1,0,0,0,0,1
Chr2+15915382,LOC_Os02g27060,0,0,0,0,1,1,2,0,0,0,0,0
Chr2+15915566,LOC_Os02g27060,40,41,45,33,31,30,313,310,222,54,26,44
Chr2+16442642,LOC_Os02g27760,2,0,1,0,0,0,4,0,0,2,0,2
Chr2+16442552,LOC_Os02g27760,6,2,5,1,2,1,10,1,7,3,3,3
Chr2+16442445,LOC_Os02g27760,762,682,774,628,642,651,251,269,192,642,726,596
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,0,0,0,8,9,5
