chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,stem_60days1,stem_60days2,stem_60days3,husk1,husk2,husk3,embryo1,embryo2,embryo3
Chr1+7576953,LOC_Os01g13540,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7576771,LOC_Os01g13540,14,3,14,193,197,207,100,80,92,13,12,17
Chr1+7575165,LOC_Os01g13540,0,0,2,1,0,0,3,0,4,1,1,1
Chr1-7623978,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-7619138,LOC_Os01g13610,0,0,0,3,3,0,4,2,5,0,0,0
Chr1-7618935,LOC_Os01g13610,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+7672581,LOC_Os01g13700,42,34,37,15,11,10,17,25,29,42,42,42
Chr1+7672710,LOC_Os01g13700,146,182,170,178,179,183,226,228,170,238,218,223
Chr1-7687909,LOC_Os01g13740,0,0,2,0,0,0,0,0,0,0,0,0
Chr1-7686899,LOC_Os01g13740,0,0,1,667,525,670,215,135,179,3,3,1
Chr1-8175378,LOC_Os01g14590,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-8175675,LOC_Os01g14590,0,0,0,0,11,5,17,10,24,4,9,5
Chr1-8175468,LOC_Os01g14590,5,5,0,3,4,3,0,3,2,0,0,0
Chr1+8408590,LOC_Os01g15000,3,0,5,0,0,0,0,0,0,1,1,1
Chr1+8405373,LOC_Os01g15000,1,11,4,1,2,5,8,0,11,2,0,0
Chr1+8408240,LOC_Os01g15000,6,10,9,5,4,6,1,3,2,5,6,7
Chr1+8408351,LOC_Os01g15000,261,276,324,59,45,45,60,23,52,72,106,74
Chr1+8407017,LOC_Os01g15000,6,8,6,1,0,1,0,0,0,2,0,0
Chr1-9658230,LOC_Os01g16890,1935,1923,1946,1167,883,999,706,771,839,3589,3881,3963
Chr1-9659592,LOC_Os01g16890,19,17,10,0,0,0,0,0,0,29,9,34
Chr1-9660105,LOC_Os01g16890,22,12,23,0,0,0,0,0,0,13,11,13
Chr1-9660661,LOC_Os01g16890,39,70,0,1,0,0,2,0,4,237,227,242
Chr1-9658021,LOC_Os01g16890,0,0,8,5,8,4,5,3,5,11,10,12
Chr1-9660380,LOC_Os01g16890,30,43,37,0,0,0,0,0,0,36,37,38
Chr1+9879603,LOC_Os01g17180,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+9885367,LOC_Os01g17180,324,417,264,96,58,96,88,100,115,245,237,218
Chr1+10655296,LOC_Os01g18850,5,2,8,0,0,0,0,0,0,3,1,0
Chr1+10656648,LOC_Os01g18850,77,75,77,105,108,103,68,54,56,82,87,90
Chr1+10679801,LOC_Os01g18880,1,0,0,0,0,0,1,1,1,0,0,0
Chr1+10678290,LOC_Os01g18880,0,1,0,0,1,1,1,0,0,0,0,0
Chr1+10676910,LOC_Os01g18880,3,0,0,2,1,0,2,5,3,0,0,0
Chr1+10677075,LOC_Os01g18880,0,0,0,0,0,0,0,1,0,0,0,0
Chr1+10679862,LOC_Os01g18880,38,27,44,18,14,19,20,23,16,45,46,58
Chr1+11170325,LOC_Os01g19694,0,0,1,0,0,0,0,0,0,0,0,0
Chr1+11174452,LOC_Os01g19694,0,0,3,0,0,0,12,8,6,14,11,16
Chr1+11174321,LOC_Os01g19694,8,4,2,0,0,0,7,9,5,25,27,23
Chr1-11253657,LOC_Os01g19850,8,5,8,2,1,1,28,34,27,16,30,15
Chr1-11253815,LOC_Os01g19850,11,0,2,0,0,0,3,2,1,9,5,6
Chr1-11800239,LOC_Os01g21144,0,4,10,0,0,0,0,0,0,4,3,1
Chr1-11801468,LOC_Os01g21144,3,9,13,3,4,4,2,3,2,7,9,11
Chr1-11800290,LOC_Os01g21144,11,0,5,0,0,0,0,0,0,1,1,1
Chr1+11975457,LOC_Os01g21450,1,0,0,0,0,1,0,0,0,0,0,0
Chr1+11975299,LOC_Os01g21450,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+11981803,LOC_Os01g21450,393,445,385,160,134,155,117,120,119,368,369,369
Chr1+11981977,LOC_Os01g21450,2,4,3,0,0,1,0,0,0,1,1,0
Chr1-12704551,LOC_Os01g22600,4,2,0,0,0,0,0,0,0,4,2,1
Chr1-12704882,LOC_Os01g22600,571,522,370,54,71,64,71,69,65,789,793,790
Chr1-12704755,LOC_Os01g22600,168,242,277,90,77,86,57,46,50,252,288,278
Chr1+13305003,LOC_Os01g23640,9,7,2,0,0,0,0,0,0,2,4,3
Chr1+13304670,LOC_Os01g23640,1,7,0,0,0,0,0,0,0,0,0,0
Chr1+13305253,LOC_Os01g23640,199,143,166,86,90,86,76,63,67,77,54,54
Chr1+13443712,LOC_Os01g23880,0,0,0,0,0,0,2,1,2,0,0,0
Chr1+13443168,LOC_Os01g23880,0,0,0,0,0,0,16,20,18,0,0,0
Chr1+13443430,LOC_Os01g23880,0,0,0,1,2,4,740,790,773,0,0,0
Chr1+13935377,LOC_Os01g24764,6,11,12,110,117,111,87,76,74,16,13,16
Chr1+13935124,LOC_Os01g24764,5,2,2,0,9,9,9,5,9,2,3,2
Chr1+13935565,LOC_Os01g24764,0,0,0,0,0,1,10,3,13,2,1,1
Chr1+13935855,LOC_Os01g24764,8,0,2,4,12,12,4,9,19,10,6,8
Chr1-14754834,LOC_Os01g26039,24,12,7,41,46,64,50,45,50,26,43,47
Chr1-14757624,LOC_Os01g26039,1,4,1,4,3,2,2,0,3,0,0,0
Chr1+16056051,LOC_Os01g28680,2,3,0,2,11,4,3,2,1,2,0,3
Chr1+16056254,LOC_Os01g28680,17,19,14,167,124,169,138,134,129,17,16,15
Chr1+16051023,LOC_Os01g28680,0,0,0,0,0,0,1,1,1,0,0,0
Chr1+16053083,LOC_Os01g28680,0,0,0,0,1,1,1,0,1,0,0,0
Chr1+16047519,LOC_Os01g28680,0,1,0,1,0,0,0,0,0,0,0,0
Chr1+17607032,LOC_Os01g32170,4,4,4,0,0,0,0,0,0,1,3,0
Chr1+17607127,LOC_Os01g32170,0,1,0,3,2,4,2,0,0,3,4,7
Chr1+17607514,LOC_Os01g32170,5,5,3,4,4,4,1,0,0,3,3,2
Chr1+17606900,LOC_Os01g32170,8,0,6,2,1,2,2,2,1,14,15,16
Chr1+18050168,LOC_Os01g32870,3,3,2,5,6,3,7,2,4,4,4,2
Chr1+18050053,LOC_Os01g32870,259,154,242,57,64,65,77,76,70,313,296,285
Chr1-18394360,LOC_Os01g33420,245,237,340,311,277,365,219,135,135,354,347,363
Chr1-18395693,LOC_Os01g33420,0,0,0,0,0,1,0,0,0,4,2,4
Chr1-18459991,LOC_Os01g33540,16,8,19,7,8,8,19,19,18,8,8,8
Chr1-18459308,LOC_Os01g33540,24,37,20,23,19,13,10,18,12,53,42,40
Chr1-18459207,LOC_Os01g33540,0,3,0,0,2,1,2,2,2,1,1,1
Chr1+20332204,LOC_Os01g36640,0,0,0,0,0,0,4,3,2,0,0,0
Chr1+20334364,LOC_Os01g36640,0,0,0,1,1,1,2,2,0,0,0,0
Chr1+20334834,LOC_Os01g36640,0,0,0,0,0,0,0,6,2,0,0,0
Chr1+20334613,LOC_Os01g36640,0,0,0,14,11,14,13,22,22,0,0,0
Chr1+20334066,LOC_Os01g36640,0,0,1,0,1,3,1,0,0,0,0,0
Chr1+20335020,LOC_Os01g36640,2,2,3,2,4,1,4,3,1,3,1,2
Chr1+20820512,LOC_Os01g37280,0,0,0,0,0,1,0,0,1,0,0,0
Chr1+20820347,LOC_Os01g37280,13,10,7,1,0,1,0,0,0,4,5,2
Chr1+20820385,LOC_Os01g37280,11,12,13,19,26,13,3,7,0,12,10,10
Chr1+20818589,LOC_Os01g37280,6,4,1,0,1,0,1,2,3,11,14,10
Chr1-22855513,LOC_Os01g40470,248,227,244,233,219,243,377,353,351,228,230,237
Chr1-22855806,LOC_Os01g40470,6,9,11,0,0,0,0,0,0,5,4,3
Chr1-22857225,LOC_Os01g40470,1,3,1,0,0,0,0,0,0,6,1,3
Chr1+23930822,LOC_Os01g42234,0,0,0,0,0,0,0,0,0,0,0,0
Chr1+23925357,LOC_Os01g42234,0,0,0,1,0,1,1,0,0,0,0,0
Chr1+23933450,LOC_Os01g42234,30,46,60,26,33,22,24,25,22,24,22,0
Chr1-24703796,LOC_Os01g43250,43,36,54,110,104,79,50,24,27,65,63,62
Chr1-24708192,LOC_Os01g43250,0,8,4,0,0,0,0,0,0,7,7,7
Chr1+25003415,LOC_Os01g43630,0,0,0,7,6,6,0,3,8,6,1,6
Chr1+25003233,LOC_Os01g43630,57,54,65,52,52,64,55,53,55,58,59,59
Chr1+25354917,LOC_Os01g44220,0,0,0,0,0,0,0,0,1,0,0,0
Chr1+25361865,LOC_Os01g44220,2272,2387,1586,53,52,55,55,56,47,36,50,48
Chr1+25362209,LOC_Os01g44220,3,3,10,0,0,0,0,0,0,0,0,0
Chr1+25356680,LOC_Os01g44220,2,7,4,0,0,0,0,0,0,0,0,0
Chr1+25354450,LOC_Os01g44220,0,0,0,0,1,0,0,6,0,0,0,0
Chr1-25921400,LOC_Os01g45620,0,0,0,0,0,0,0,0,0,0,0,0
Chr1-25917622,LOC_Os01g45620,54,34,78,13,10,12,32,32,32,67,65,53
Chr1-25917859,LOC_Os01g45620,3,5,5,0,0,0,1,0,2,5,1,7
Chr1-25921679,LOC_Os01g45620,4,2,2,0,0,0,4,3,6,0,0,0
Chr1-25918558,LOC_Os01g45620,0,0,0,0,0,0,1,0,0,0,0,0
Chr1-25917441,LOC_Os01g45620,5,3,3,0,0,1,0,0,0,4,2,5
Chr1-25917749,LOC_Os01g45620,10,7,10,0,1,0,1,3,5,20,18,6
Chr1+26396273,LOC_Os01g46380,9,11,9,9,10,11,10,12,7,12,11,10
Chr1+26395170,LOC_Os01g46380,6,9,3,0,0,0,5,2,0,6,7,4
Chr1+26396056,LOC_Os01g46380,3457,3104,3351,1161,1134,1154,620,612,534,6097,6672,6378
Chr1+26722429,LOC_Os01g46840,0,1,0,0,0,0,2,10,2,0,0,0
Chr1+26722277,LOC_Os01g46840,2,2,0,2,0,1,9,11,10,5,7,1
Chr1+26720154,LOC_Os01g46840,0,0,0,0,0,0,1,1,1,0,0,0
Chr1-26888426,LOC_Os01g47080,66,95,88,21,24,19,68,96,74,97,101,98
Chr1-26888569,LOC_Os01g47080,12,3,6,0,0,0,0,0,1,5,4,2
Chr1+27010935,LOC_Os01g47262,6,6,7,0,0,0,0,0,0,7,3,3
Chr1+27010193,LOC_Os01g47262,4,1,21,0,0,0,0,0,0,5,2,7
Chr1+27010855,LOC_Os01g47262,6,9,4,0,0,0,0,0,0,15,0,3
Chr1+27012055,LOC_Os01g47262,645,636,1166,413,390,459,288,293,262,811,756,925
Chr1+27009271,LOC_Os01g47262,7,5,6,0,0,0,0,0,0,4,3,0
Chr1-27965530,LOC_Os01g48770,1,3,3,0,0,1,0,0,0,0,0,0
Chr1-27965721,LOC_Os01g48770,734,729,1076,979,1040,1092,556,530,611,2133,2149,2148
Chr1-28697312,LOC_Os01g49940,10,4,7,0,0,4,1,0,0,0,1,0
Chr1-28683935,LOC_Os01g49940,145,129,165,109,65,108,56,49,45,117,125,92
Chr1-28697450,LOC_Os01g49940,120,85,107,55,52,49,19,20,20,30,60,72
Chr1+28804457,LOC_Os01g50120,0,0,0,1,1,0,0,0,0,0,0,0
Chr1+28803863,LOC_Os01g50120,37,10,17,11,14,11,9,16,10,36,27,31
Chr1+28800764,LOC_Os01g50120,0,0,0,2,2,2,0,0,3,2,1,0
Chr1+29124339,LOC_Os01g50700,6,11,6,0,0,0,0,0,0,8,10,16
Chr1+29124591,LOC_Os01g50700,12880,12146,12187,0,0,0,1,2,4,6418,5162,8270
Chr1+29123295,LOC_Os01g50700,0,2,3,0,0,1,1,3,4,0,0,0
Chr1+29124215,LOC_Os01g50700,34,14,29,0,0,0,0,0,0,1,3,3
Chr1+30431695,LOC_Os01g52920,346,295,309,230,228,233,174,204,181,76,157,171
Chr1+30431148,LOC_Os01g52920,68,66,69,7,7,6,7,5,6,28,27,26
Chr1+30431484,LOC_Os01g52920,2,3,3,0,0,0,3,3,1,7,5,3
Chr1+30432087,LOC_Os01g52920,1,0,0,0,0,1,2,1,2,0,5,1
Chr1-30526019,LOC_Os01g53130,0,0,0,0,1,0,0,2,4,1,1,4
Chr1-30525031,LOC_Os01g53130,4,3,5,7,7,8,21,12,10,2,0,3
Chr1-30527175,LOC_Os01g53130,0,0,0,0,0,1,1,1,0,0,0,0
Chr1-30527478,LOC_Os01g53130,1,0,0,0,3,0,2,2,3,0,3,2
Chr1-30527365,LOC_Os01g53130,0,0,0,1,6,4,15,15,15,0,0,0
Chr1+32622547,LOC_Os01g56580,4,8,11,2,1,1,0,0,1,1,2,0
Chr1+32622715,LOC_Os01g56580,178,203,181,119,105,106,155,193,165,207,201,209
Chr1-32855437,LOC_Os01g56890,82,81,64,10,56,35,210,163,174,69,87,43
Chr1-32855924,LOC_Os01g56890,12,27,19,3,5,4,21,21,14,9,6,7
Chr1-32856278,LOC_Os01g56890,1,4,2,0,0,0,0,0,0,1,0,0
Chr1-32855385,LOC_Os01g56890,204,71,5,346,349,333,310,318,278,85,129,60
Chr1-32856153,LOC_Os01g56890,22,19,12,2,0,1,9,7,3,1,0,2
Chr1+32862638,LOC_Os01g56900,4,11,2,4,4,1,10,9,5,1,10,9
Chr1+32863305,LOC_Os01g56900,14,10,0,12,13,13,14,12,15,13,14,16
Chr1+32863554,LOC_Os01g56900,0,3,1,5,3,4,6,15,12,0,1,0
Chr1+33058487,LOC_Os01g57210,70,42,63,14,13,10,22,16,23,31,51,88
Chr1+33058583,LOC_Os01g57210,1,0,0,0,0,0,1,4,1,0,1,0
Chr1+33055124,LOC_Os01g57210,2,1,1,0,0,0,0,0,0,3,0,7
Chr1+33052173,LOC_Os01g57210,0,3,8,1,0,0,0,1,0,3,3,2
Chr1-33369626,LOC_Os01g57720,3,6,10,1,0,0,0,0,0,0,1,1
Chr1-33368699,LOC_Os01g57720,10,25,4,10,9,11,13,11,6,5,8,9
Chr1-33368984,LOC_Os01g57720,137,129,133,66,65,67,72,72,73,32,26,34
Chr1-33369580,LOC_Os01g57720,1,18,18,18,8,9,8,10,7,10,6,1
Chr1-33369316,LOC_Os01g57720,3,2,0,1,1,0,0,0,0,0,0,0
Chr1+33663175,LOC_Os01g58240,0,1,0,10,3,9,1,0,1,0,0,0
Chr1+33663606,LOC_Os01g58240,0,0,0,2,4,0,0,0,1,0,0,0
Chr1+33672497,LOC_Os01g58240,5,12,2,44,22,38,26,23,19,0,0,0
Chr1-34163816,LOC_Os01g59140,0,0,0,2,1,1,5,4,4,0,0,0
Chr1-34163514,LOC_Os01g59140,0,0,0,1,0,1,4,5,4,0,0,0
Chr1-34165817,LOC_Os01g59140,3,4,0,3,4,3,5,4,5,5,0,0
Chr1-34163746,LOC_Os01g59140,18,13,11,36,51,39,67,82,57,11,12,12
Chr1+34202742,LOC_Os01g59200,28,18,8,0,0,0,0,0,0,3,3,3
Chr1+34202645,LOC_Os01g59200,42,47,69,0,0,0,0,0,0,54,42,48
Chr1+34423675,LOC_Os01g59530,7,5,6,339,365,298,836,814,869,26,11,30
Chr1+34423862,LOC_Os01g59530,2,2,6,0,0,0,1,1,0,2,3,1
Chr1-36014043,LOC_Os01g62230,701,533,838,91,75,89,89,130,148,530,557,529
Chr1-36014480,LOC_Os01g62230,3,3,6,0,0,0,1,1,1,11,7,15
Chr1-36102686,LOC_Os01g62380,0,1,17,6,9,7,34,38,32,11,23,15
Chr1-36099882,LOC_Os01g62380,13,7,7,0,0,2,1,1,0,7,0,4
Chr1-36141689,LOC_Os01g62440,0,0,0,0,0,0,0,1,0,0,0,0
Chr1-36138825,LOC_Os01g62440,28,25,30,35,46,39,43,37,36,26,35,25
Chr1-36139131,LOC_Os01g62440,4,9,19,0,2,0,4,1,3,4,4,5
Chr1-36145739,LOC_Os01g62440,0,0,0,0,2,1,1,2,2,0,0,0
Chr1+36280264,LOC_Os01g62650,0,0,4,0,0,0,0,0,0,1,3,2
Chr1+36286366,LOC_Os01g62650,110,188,223,142,112,122,150,170,176,294,277,260
Chr1+36280419,LOC_Os01g62650,0,0,0,0,2,1,9,0,5,0,0,0
Chr1+36285594,LOC_Os01g62650,4,2,0,1,0,0,2,3,1,1,1,1
Chr1+36440121,LOC_Os01g62900,1,7,7,24,28,35,43,39,31,14,15,14
Chr1+36440402,LOC_Os01g62900,1,2,1,16,10,0,5,6,4,5,1,2
Chr1+36483777,LOC_Os01g62970,0,2,8,1,0,0,0,1,0,0,0,0
Chr1+36481175,LOC_Os01g62970,1,1,1,3,2,3,2,2,2,1,1,1
Chr1+36484002,LOC_Os01g62970,316,314,306,191,182,192,241,248,200,66,59,126
Chr1-37049115,LOC_Os01g63854,1,0,0,17,17,16,13,12,13,1,1,1
Chr1-37043633,LOC_Os01g63854,7,10,7,69,47,64,61,61,67,3,3,4
Chr1-37043453,LOC_Os01g63854,0,0,0,3,1,3,2,2,0,0,1,0
Chr1-37048729,LOC_Os01g63854,0,2,2,1,1,0,1,1,2,1,0,0
Chr1-37048182,LOC_Os01g63854,1,1,0,0,0,1,0,0,0,0,0,0
Chr1-38206951,LOC_Os01g65790,1,2,10,10,9,11,199,213,194,39,39,36
Chr1-38208579,LOC_Os01g65790,9,0,8,3,1,4,4,3,4,4,2,4
Chr1+38332591,LOC_Os01g66050,34,44,39,31,33,30,29,39,33,16,24,18
Chr1+38332293,LOC_Os01g66050,0,0,0,0,0,0,2,3,3,0,0,0
Chr1-38400569,LOC_Os01g66120,0,2,2,0,0,0,0,0,0,1,1,1
Chr1-38399973,LOC_Os01g66120,98,62,111,1,1,1,0,0,0,35,36,43
Chr1-38398218,LOC_Os01g66120,9,7,4,0,0,0,0,0,0,3,4,3
Chr1-38400637,LOC_Os01g66120,4,10,9,0,0,0,0,0,0,0,1,1
Chr1-38398994,LOC_Os01g66120,2383,2382,1953,890,883,865,566,511,513,1166,1129,1232
Chr1+39863578,LOC_Os01g68640,1,1,3,3,1,1,6,5,5,1,2,1
Chr1+39863436,LOC_Os01g68640,0,7,1,1,1,0,6,9,5,2,1,1
Chr1+40920737,LOC_Os01g70670,9,40,46,41,31,43,33,43,37,19,18,18
Chr1+40918499,LOC_Os01g70670,7,10,6,0,0,0,0,0,0,3,3,3
Chr1+40920606,LOC_Os01g70670,55,128,64,112,93,94,73,52,63,96,92,110
Chr1-43072749,LOC_Os01g74350,16,24,8,35,39,50,64,59,73,38,31,37
Chr1-43075776,LOC_Os01g74350,21,34,44,27,27,41,39,37,38,37,37,37
Chr2-1178924,LOC_Os02g03000,3,4,1,0,1,0,4,4,0,11,9,8
Chr2-1178890,LOC_Os02g03000,2,4,5,2,1,2,14,15,7,8,5,3
Chr2+1211089,LOC_Os02g03060,5,1,1,18,25,13,28,29,30,1,0,0
Chr2+1210986,LOC_Os02g03060,2,2,0,0,0,0,0,0,0,1,1,2
Chr2-1288905,LOC_Os02g03230,0,0,0,0,0,0,2,1,0,0,0,0
Chr2-1289078,LOC_Os02g03230,163,161,183,275,251,227,311,316,258,241,187,252
Chr2-1550782,LOC_Os02g03700,2,1,1,26,39,40,3,57,51,1,2,1
Chr2-1551808,LOC_Os02g03700,0,0,0,0,1,2,1,0,0,0,0,0
Chr2-1551474,LOC_Os02g03700,0,0,0,6,4,1,2,4,0,0,0,0
Chr2-1550645,LOC_Os02g03700,0,0,0,5,4,10,0,7,7,0,0,0
Chr2-1550907,LOC_Os02g03700,0,0,0,4,3,1,6,3,5,0,0,0
Chr2-1551642,LOC_Os02g03700,3,2,4,2,4,1,0,9,1,1,2,2
Chr2-1552766,LOC_Os02g03700,55,65,35,269,308,279,238,245,235,58,55,54
Chr2+2394151,LOC_Os02g05030,5,9,0,0,0,0,0,0,0,1,2,0
Chr2+2394322,LOC_Os02g05030,24,75,62,81,141,121,156,174,178,60,55,54
Chr2-3846388,LOC_Os02g07450,4,4,4,0,0,0,1,0,0,5,7,7
Chr2-3846019,LOC_Os02g07450,3,1,3,4,4,2,0,0,4,0,4,0
Chr2-3846222,LOC_Os02g07450,90,72,96,157,125,151,63,66,76,114,126,125
Chr2-4038895,LOC_Os02g07750,0,1,0,0,0,0,0,0,0,0,0,0
Chr2-4038492,LOC_Os02g07750,150,169,59,164,206,120,94,120,134,227,226,224
Chr2+5504356,LOC_Os02g10470,9,4,13,2,13,10,71,98,50,11,19,16
Chr2+5504238,LOC_Os02g10470,2,7,6,2,0,2,3,6,6,1,0,3
Chr2-5587263,LOC_Os02g10630,3,4,2,0,0,0,2,1,0,0,0,0
Chr2-5587184,LOC_Os02g10630,8,3,8,0,1,0,46,57,45,1,1,1
Chr2-5930297,LOC_Os02g11070,85,66,60,42,36,34,56,76,68,17,6,6
Chr2-5932387,LOC_Os02g11070,2,2,2,0,1,0,0,0,1,0,0,0
Chr2-5955075,LOC_Os02g11110,1,0,1,0,0,0,0,0,0,0,1,1
Chr2-5955681,LOC_Os02g11110,15,20,13,17,17,17,9,5,9,9,13,8
Chr2-5955017,LOC_Os02g11110,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-5955208,LOC_Os02g11110,3,5,4,0,0,0,2,2,1,1,0,2
Chr2-6529691,LOC_Os02g12490,0,4,6,19,20,17,16,14,9,5,2,2
Chr2-6530247,LOC_Os02g12490,8,9,8,33,27,32,40,44,39,15,15,16
Chr2-6532217,LOC_Os02g12490,1,1,2,0,0,1,2,2,2,0,0,0
Chr2-6530886,LOC_Os02g12490,0,0,0,0,0,0,0,0,1,0,1,1
Chr2-6530340,LOC_Os02g12490,32,36,47,18,21,22,24,28,31,43,39,47
Chr2+7687331,LOC_Os02g14059,1190,1107,1169,395,457,364,163,178,219,1767,1868,1715
Chr2+7687624,LOC_Os02g14059,2,0,6,0,1,0,0,1,0,4,10,2
Chr2+7682662,LOC_Os02g14059,9,1,3,0,0,0,0,0,0,4,2,3
Chr2+7677787,LOC_Os02g14059,2,3,11,0,0,1,0,0,2,0,0,0
Chr2+8221336,LOC_Os02g14800,4,4,9,1,2,2,2,6,1,2,2,9
Chr2+8217132,LOC_Os02g14800,9,12,13,31,24,26,7,5,8,12,12,12
Chr2+8317184,LOC_Os02g14900,2,2,2,10,9,12,19,18,15,1,0,1
Chr2+8300243,LOC_Os02g14900,2,2,0,2,2,1,3,0,2,1,1,1
Chr2+8316992,LOC_Os02g14900,0,0,1,0,0,0,1,0,1,0,4,1
Chr2+8314499,LOC_Os02g14900,2,4,2,2,1,1,0,0,0,0,0,0
Chr2-8747271,LOC_Os02g15580,4,2,6,0,0,1,2,1,1,0,6,5
Chr2-8747067,LOC_Os02g15580,98,69,106,114,118,115,86,35,97,72,63,76
Chr2+9044660,LOC_Os02g15950,7,25,19,15,18,15,3,1,10,1,0,1
Chr2+9046083,LOC_Os02g15950,14,11,14,9,11,6,1,6,0,7,15,10
Chr2+9044737,LOC_Os02g15950,4,0,3,10,11,3,13,6,8,2,2,0
Chr2-9913486,LOC_Os02g17292,6,5,1,5,3,7,8,8,9,2,2,4
Chr2-9912522,LOC_Os02g17292,6,2,3,11,8,9,11,9,11,3,3,3
Chr2-9913625,LOC_Os02g17292,0,0,0,1,1,2,4,3,4,1,3,1
Chr2-9913669,LOC_Os02g17292,0,1,0,0,0,1,6,6,5,0,0,0
Chr2-11160276,LOC_Os02g19140,0,2,0,0,0,0,0,0,0,0,0,0
Chr2-11157250,LOC_Os02g19140,314,334,344,218,231,231,183,146,160,221,270,227
Chr2-11159684,LOC_Os02g19140,12,11,16,1,1,3,2,2,2,5,3,4
Chr2-15468574,LOC_Os02g26349,0,4,0,7,6,7,2,5,8,0,1,0
Chr2-15468252,LOC_Os02g26349,18,18,20,21,14,12,9,8,5,12,14,14
Chr2+15912986,LOC_Os02g27060,26,24,19,3,3,1,0,0,2,1,1,2
Chr2+15913311,LOC_Os02g27060,0,0,0,0,0,0,0,0,1,0,0,0
Chr2+15915382,LOC_Os02g27060,0,0,0,0,1,0,0,0,0,0,4,0
Chr2+15915566,LOC_Os02g27060,40,41,45,73,25,95,54,26,44,71,102,77
Chr2+16442642,LOC_Os02g27760,2,0,1,0,4,1,2,0,2,3,3,3
Chr2+16442552,LOC_Os02g27760,6,2,5,1,2,1,3,3,3,1,1,1
Chr2+16442445,LOC_Os02g27760,762,682,774,836,942,990,642,726,596,1119,1142,1126
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,8,9,5,0,0,0
