"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3","anther1","anther2","anther3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"101","Chr1+16047519","LOC_Os01g28680",0,1,0,5,5,4,8,5,6,4,5,0,0,1,0,0,0,1,0,1,0,1,0,0
"102","Chr1+17607032","LOC_Os01g32170",4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
"103","Chr1+17607127","LOC_Os01g32170",0,1,0,1,0,0,1,2,2,0,0,0,0,1,3,0,1,0,0,1,1,3,3,3
"104","Chr1+17607514","LOC_Os01g32170",5,5,3,5,10,2,2,5,2,6,4,3,4,4,10,5,5,5,0,0,2,7,7,6
"105","Chr1+17606900","LOC_Os01g32170",8,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,7,6
"106","Chr1+18050168","LOC_Os01g32870",3,3,2,10,8,6,5,6,4,0,5,4,10,10,10,3,1,2,0,0,0,2,7,2
"107","Chr1+18050053","LOC_Os01g32870",259,154,242,69,63,77,71,71,74,98,84,80,124,92,132,160,142,160,26,53,58,108,104,109
"108","Chr1-18394360","LOC_Os01g33420",245,237,340,164,154,161,83,59,64,90,95,102,117,105,117,95,65,74,107,44,407,118,98,95
"109","Chr1-18395693","LOC_Os01g33420",0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",16,8,19,11,12,13,8,0,2,5,3,6,7,7,8,39,42,43,92,68,100,17,22,18
"111","Chr1-18459308","LOC_Os01g33540",24,37,20,14,15,16,17,15,16,15,10,16,12,10,9,33,30,33,30,5,45,14,26,26
"112","Chr1-18459207","LOC_Os01g33540",0,3,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,9,24,8,0,2,2
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,3,1,7,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,4,5,6
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,1,0,2,0,0,0,4,6,0,0,0,1,2,0,1,1,2,1,3,3,0
"115","Chr1+20334834","LOC_Os01g36640",0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,3,0,16,2,4,1,0,2
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,7,22,33,2,11,4,20,21,22,11,15,23,13,9,16,23,2,26,14,16,16
"117","Chr1+20334066","LOC_Os01g36640",0,0,1,0,1,2,0,0,0,0,1,1,2,1,2,1,2,1,0,0,0,2,0,3
"118","Chr1+20335020","LOC_Os01g36640",2,2,3,0,2,1,3,4,4,3,3,4,11,8,3,4,5,5,15,69,38,1,1,0
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,1,0,0,4,3,3,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",13,10,7,0,0,0,0,0,1,0,0,1,0,0,0,3,3,4,0,0,0,1,1,1
"121","Chr1+20820385","LOC_Os01g37280",11,12,13,13,7,6,7,14,22,15,14,14,6,3,4,17,15,20,8,12,7,25,15,14
"122","Chr1+20818589","LOC_Os01g37280",6,4,1,0,0,1,0,1,0,1,1,4,0,0,0,7,4,4,0,0,0,4,5,5
"123","Chr1-22855513","LOC_Os01g40470",248,227,244,247,317,296,209,186,208,179,176,179,483,442,471,507,509,507,108,189,205,168,198,194
"124","Chr1-22855806","LOC_Os01g40470",6,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,37,1,2,2
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,2,1,2,0,0,0,1,1,1,2,2,0,2,2,3,0,0,0,5,1,7
"128","Chr1+23933450","LOC_Os01g42234",30,46,60,91,123,129,27,40,33,29,26,21,221,237,253,23,24,56,35,5,26,9,9,5
"129","Chr1-24703796","LOC_Os01g43250",43,36,54,46,40,42,16,21,26,48,42,44,77,74,63,54,67,53,64,52,24,92,96,102
"130","Chr1-24708192","LOC_Os01g43250",0,8,4,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",0,0,0,6,10,6,1,3,2,2,4,2,11,10,13,3,3,3,0,0,0,2,16,9
"132","Chr1+25003233","LOC_Os01g43630",57,54,65,22,73,63,56,52,56,59,57,55,61,65,60,96,99,93,47,52,81,71,83,80
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,0,4,0,0,0,0,0,0,0,1,3,1,1,7,0,0,0,0,0,0,1
"134","Chr1+25361865","LOC_Os01g44220",2272,2387,1586,80,80,82,127,127,129,118,75,110,30,25,31,54,104,91,45,35,47,71,49,70
"135","Chr1+25362209","LOC_Os01g44220",3,3,10,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,3,3,4,3,1,0,0,1,0,2,3,1,23,23,24,71,58,37,2,1,0
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,71,107,180,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",54,34,78,6,9,5,2,11,8,14,12,15,3,7,0,241,248,257,183,107,31,18,18,17
"140","Chr1-25917859","LOC_Os01g45620",3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,10,13,1,14,9,0,0,1
"141","Chr1-25921679","LOC_Os01g45620",4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,21,52,59,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,31,20,0,0,0,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,0,0,0,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,71,49,62,20,0,17,0,2,1
"145","Chr1+26396273","LOC_Os01g46380",9,11,9,1,1,1,3,0,0,1,2,2,3,5,4,3,1,1,33,41,13,3,3,3
"146","Chr1+26395170","LOC_Os01g46380",6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",3457,3104,3351,108,120,129,210,215,224,364,361,365,458,410,416,234,259,201,464,819,277,810,935,948
"148","Chr1+26722429","LOC_Os01g46840",0,1,0,0,6,1,0,0,0,0,0,0,1,1,1,4,4,6,0,0,0,10,17,12
"149","Chr1+26722277","LOC_Os01g46840",2,2,0,5,1,2,5,5,0,0,4,0,4,5,2,6,7,7,0,0,2,36,51,40
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,23,68,35,1,2,2
"151","Chr1-26888426","LOC_Os01g47080",66,95,88,292,318,383,12,18,9,24,21,28,184,181,177,172,189,182,102,139,110,144,168,146
"152","Chr1-26888569","LOC_Os01g47080",12,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"153","Chr1+27010935","LOC_Os01g47262",6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",4,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",6,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",645,636,1166,81,84,86,96,144,135,169,182,136,54,37,23,119,132,122,94,53,79,100,82,115
"157","Chr1+27009271","LOC_Os01g47262",7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",1,3,3,1,2,2,0,0,0,1,0,0,17,13,16,4,0,3,0,0,0,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",734,729,1076,899,758,893,334,311,327,593,428,363,1643,1650,1844,603,551,571,1065,340,533,822,967,726
"160","Chr1-28697312","LOC_Os01g49940",10,4,7,7,6,5,0,3,1,0,0,1,4,5,4,6,6,1,0,0,0,1,2,1
"161","Chr1-28683935","LOC_Os01g49940",145,129,165,43,44,46,75,85,77,110,103,100,52,54,51,105,104,117,75,129,153,80,89,98
"162","Chr1-28697450","LOC_Os01g49940",120,85,107,21,15,16,38,41,41,16,55,41,11,18,12,44,40,45,23,27,119,22,22,16
"163","Chr1+28804457","LOC_Os01g50120",0,0,0,3,0,2,1,0,0,2,3,0,1,0,1,0,0,1,0,0,0,1,0,1
"164","Chr1+28803863","LOC_Os01g50120",37,10,17,6,18,16,14,8,11,14,20,20,4,3,2,5,7,4,5,2,4,19,18,19
"165","Chr1+28800764","LOC_Os01g50120",0,0,0,10,10,8,9,7,10,4,3,3,0,1,1,4,2,1,0,0,0,5,5,6
"166","Chr1+29124339","LOC_Os01g50700",6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",12880,12146,12187,4,1,5,0,0,0,0,2,2,0,1,0,1,2,0,0,0,0,1,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,39,20,22,0,0,0,3,0,0
"169","Chr1+29124215","LOC_Os01g50700",34,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",346,295,309,49,62,59,158,134,129,231,418,195,50,48,51,196,262,227,311,270,244,177,169,177
"171","Chr1+30431148","LOC_Os01g52920",68,66,69,0,3,0,4,1,6,12,16,16,1,1,1,3,3,3,0,0,0,3,2,0
"172","Chr1+30431484","LOC_Os01g52920",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,2,0,0,0,1,1,1
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"175","Chr1-30525031","LOC_Os01g53130",4,3,5,0,1,1,7,1,2,2,3,2,1,0,0,38,37,36,7,7,13,13,12,9
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,6,3,6,0,0,0,4,2,3
"177","Chr1-30527478","LOC_Os01g53130",1,0,0,0,0,0,0,0,0,2,0,2,2,1,0,40,35,38,248,233,171,2,2,2
"178","Chr1-30527365","LOC_Os01g53130",0,0,0,12,18,4,0,1,2,1,0,1,3,4,4,90,63,66,58,15,124,6,7,6
"179","Chr1+32622547","LOC_Os01g56580",4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",178,203,181,84,71,85,122,121,136,115,105,103,99,97,96,152,155,155,247,173,133,111,111,98
"181","Chr1-32855437","LOC_Os01g56890",82,81,64,33,25,26,32,30,30,58,61,75,19,0,17,70,46,57,202,83,153,14,21,15
"182","Chr1-32855924","LOC_Os01g56890",12,27,19,0,0,0,0,1,0,0,5,3,3,2,5,7,7,27,38,42,55,4,3,1
"183","Chr1-32856278","LOC_Os01g56890",1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,3,18,1,1,1
"184","Chr1-32855385","LOC_Os01g56890",204,71,5,209,189,297,376,371,368,375,373,392,80,97,94,510,493,498,2364,1790,1815,204,198,209
"185","Chr1-32856153","LOC_Os01g56890",22,19,12,0,2,0,6,1,4,1,2,1,2,0,1,4,5,4,46,45,41,1,1,2
"186","Chr1+32862638","LOC_Os01g56900",4,11,2,2,2,2,0,1,0,6,7,6,4,4,5,6,8,8,0,0,0,9,8,7
"187","Chr1+32863305","LOC_Os01g56900",14,10,0,2,4,0,0,3,9,6,7,10,8,3,4,9,4,7,0,0,0,8,17,12
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,0,0,4,1,1,3,2,4,7,6,9,3,17,20,16,101,146,79,4,2,2
"189","Chr1+33058487","LOC_Os01g57210",70,42,63,34,47,35,16,19,21,9,16,14,12,26,28,16,18,19,45,56,49,24,26,31
"190","Chr1+33058583","LOC_Os01g57210",1,0,0,7,5,2,2,2,0,2,0,1,2,2,3,2,2,1,0,0,0,1,1,1
"191","Chr1+33055124","LOC_Os01g57210",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
