"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","endosperm1","endosperm2","endosperm3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,0,0,1,1,0,0,2,1,15,15,14,4,6,3,1,0,0,0,0,0,1,2,1
"29","Chr1-6572018","LOC_Os01g12080",0,0,0,3,2,4,68,74,70,47,48,47,18,15,18,0,2,1,0,0,0,8,12,12
"30","Chr1-6572877","LOC_Os01g12080",2,5,5,9,5,2,7,2,1,4,4,4,1,3,0,0,0,0,1,0,0,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",46,76,72,54,81,63,435,428,433,361,346,339,99,134,137,7,1,3,55,11,27,80,65,76
"32","Chr1-6725035","LOC_Os01g12320",0,0,0,1,0,0,44,49,44,19,24,17,13,28,35,6,8,8,0,0,0,18,16,14
"33","Chr1-6724944","LOC_Os01g12320",0,2,1,0,1,4,360,324,369,109,113,108,221,223,192,59,42,44,124,125,159,37,28,49
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,9,8,10,3,3,5,1,2,3,4,1,4,1,1,6,10,10,9,1,1,2
"36","Chr1+7095316","LOC_Os01g12810",4,6,9,17,14,19,861,863,902,478,497,471,179,182,173,6,0,3,93,207,100,88,71,77
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,0,0,0,5,4,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",14,3,14,20,0,2,1278,1373,1296,829,813,894,193,197,207,103,111,109,134,45,40,90,85,80
"39","Chr1+7575165","LOC_Os01g13540",0,0,2,4,3,3,7,16,13,4,5,8,1,0,0,2,3,3,0,0,0,3,5,3
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,24,17,37,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,202,227,250,41,706,240,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,11,2,17,7,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",42,34,37,31,33,40,11,5,13,10,8,11,15,11,10,22,16,21,11,18,34,38,41,40
"44","Chr1+7672710","LOC_Os01g13700",146,182,170,239,197,107,170,167,209,159,161,124,178,179,183,197,255,199,198,118,116,308,316,330
"45","Chr1-7687909","LOC_Os01g13740",0,0,2,0,0,0,3,3,3,1,2,2,0,0,0,0,0,1,5,2,1,1,1,1
"46","Chr1-7686899","LOC_Os01g13740",0,0,1,8,6,0,1858,1694,1780,1601,1649,1595,667,525,670,3,0,1,74,10,241,33,15,26
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,6,5,10,9,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",0,0,0,19,19,15,2,1,1,10,15,10,0,11,5,72,69,58,0,1,0,7,5,6
"49","Chr1-8175468","LOC_Os01g14590",5,5,0,6,14,9,2,1,1,6,7,8,3,4,3,35,35,36,1,1,1,2,8,10
"50","Chr1+8408590","LOC_Os01g15000",3,0,5,8,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",1,11,4,8,12,14,0,0,0,5,7,11,1,2,5,5,9,7,0,0,0,1,0,0
"52","Chr1+8408240","LOC_Os01g15000",6,10,9,9,10,7,4,2,1,1,5,8,5,4,6,0,0,1,0,0,0,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",261,276,324,458,389,371,71,74,69,146,142,122,59,45,45,56,45,58,50,68,43,26,10,25
"54","Chr1+8407017","LOC_Os01g15000",6,8,6,9,6,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",1935,1923,1946,1208,1248,926,219,253,294,247,268,274,1167,883,999,1155,1407,1601,705,1062,491,872,897,943
"56","Chr1-9659592","LOC_Os01g16890",19,17,10,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",22,12,23,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",39,70,0,24,24,59,0,0,0,1,2,1,1,0,0,0,2,1,0,0,0,4,5,3
"59","Chr1-9658021","LOC_Os01g16890",0,0,8,2,14,12,2,0,1,1,0,1,5,8,4,6,7,6,2,1,1,1,0,2
"60","Chr1-9660380","LOC_Os01g16890",30,43,37,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,1,10,8,5,0,0,1
"62","Chr1+9885367","LOC_Os01g17180",324,417,264,363,355,409,120,122,127,111,104,112,96,58,96,83,44,59,241,230,229,123,132,130
"63","Chr1+10655296","LOC_Os01g18850",5,2,8,20,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",77,75,77,86,96,97,69,68,63,186,100,162,105,108,103,119,120,116,52,39,70,52,52,60
"65","Chr1+10679801","LOC_Os01g18880",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,36,0,0,0
"66","Chr1+10678290","LOC_Os01g18880",0,1,0,18,8,20,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,1
"67","Chr1+10676910","LOC_Os01g18880",3,0,0,0,0,0,3,0,1,1,0,0,2,1,0,2,1,1,16,20,1,9,9,9
"68","Chr1+10677075","LOC_Os01g18880",0,0,0,24,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"69","Chr1+10679862","LOC_Os01g18880",38,27,44,45,44,36,6,6,6,10,7,5,18,14,19,7,3,4,76,32,9,12,16,18
"70","Chr1+11170325","LOC_Os01g19694",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,50,0,0,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,8,9,0,0,0,5,3,6
"72","Chr1+11174321","LOC_Os01g19694",8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,4,4,5
"73","Chr1-11253657","LOC_Os01g19850",8,5,8,6,5,2,0,0,0,2,1,1,2,1,1,5,1,3,4,0,0,6,8,8
"74","Chr1-11253815","LOC_Os01g19850",11,0,2,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,4,2,1,2,3,1
"75","Chr1-11800239","LOC_Os01g21144",0,4,10,4,12,16,0,0,0,1,0,0,0,0,0,2,3,4,0,0,0,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",3,9,13,4,3,2,0,0,0,0,0,1,3,4,4,12,17,20,4,0,3,4,2,5
"77","Chr1-11800290","LOC_Os01g21144",11,0,5,8,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",1,0,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,2
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"80","Chr1+11981803","LOC_Os01g21450",393,445,385,394,488,491,204,226,268,210,247,237,160,134,155,56,63,52,102,92,114,118,123,135
"81","Chr1+11981977","LOC_Os01g21450",2,4,3,2,4,6,0,2,1,2,0,1,0,0,1,1,0,0,0,0,0,1,0,1
"82","Chr1-12704551","LOC_Os01g22600",4,2,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",571,522,370,542,435,474,72,95,77,68,66,69,54,71,64,22,32,35,51,39,27,51,49,53
"84","Chr1-12704755","LOC_Os01g22600",168,242,277,217,231,223,114,98,101,124,138,128,90,77,86,30,32,32,45,63,102,65,110,7
"85","Chr1+13305003","LOC_Os01g23640",9,7,2,4,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",1,7,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",199,143,166,134,146,120,96,86,88,96,92,95,86,90,86,84,124,104,124,37,22,49,48,57
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,115,191,0,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27,6,3,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,6,5,7,1,2,4,8,8,11,30198,44014,48767,8,9,10
"91","Chr1+13935377","LOC_Os01g24764",6,11,12,12,5,8,134,136,154,150,189,188,110,117,111,4,0,6,52,78,126,113,129,83
"92","Chr1+13935124","LOC_Os01g24764",5,2,2,2,0,1,9,8,11,7,7,8,0,9,9,1,3,4,1,4,2,8,5,5
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,0,0,0,5,3,7,8,13,4,0,0,1,0,0,0,0,0,0,5,4,3
"94","Chr1+13935855","LOC_Os01g24764",8,0,2,0,10,10,20,15,18,36,28,34,4,12,12,0,0,0,1,1,1,6,5,2
"95","Chr1-14754834","LOC_Os01g26039",24,12,7,20,21,22,504,495,547,181,173,217,41,46,64,1,4,7,17,13,1,40,36,41
"96","Chr1-14757624","LOC_Os01g26039",1,4,1,3,2,2,0,3,3,5,4,0,4,3,2,5,4,0,17,9,10,1,1,1
"97","Chr1+16056051","LOC_Os01g28680",2,3,0,1,3,3,8,0,11,6,10,4,2,11,4,7,7,2,0,2,1,0,0,1
"98","Chr1+16056254","LOC_Os01g28680",17,19,14,19,19,26,259,210,256,468,462,528,167,124,169,278,323,402,28,106,32,9,14,8
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,0,0,0,3,0,2,1,2,0,0,0,0,5,5,2,0,0,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,0,0,3,3,4,4,5,5,0,1,1,3,3,6,0,2,1,0,0,0
"101","Chr1+16047519","LOC_Os01g28680",0,1,0,0,0,0,8,5,6,4,5,0,1,0,0,0,0,0,0,1,0,1,0,0
"102","Chr1+17607032","LOC_Os01g32170",4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"103","Chr1+17607127","LOC_Os01g32170",0,1,0,0,0,0,1,2,2,0,0,0,3,2,4,1,1,0,0,1,1,3,3,3
"104","Chr1+17607514","LOC_Os01g32170",5,5,3,6,16,2,2,5,2,6,4,3,4,4,4,5,6,4,0,0,2,7,7,6
"105","Chr1+17606900","LOC_Os01g32170",8,0,6,3,1,2,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,8,7,6
"106","Chr1+18050168","LOC_Os01g32870",3,3,2,0,0,0,5,6,4,0,5,4,5,6,3,4,3,4,0,0,0,2,7,2
"107","Chr1+18050053","LOC_Os01g32870",259,154,242,310,307,276,71,71,74,98,84,80,57,64,65,61,102,133,26,53,58,108,104,109
"108","Chr1-18394360","LOC_Os01g33420",245,237,340,94,121,154,83,59,64,90,95,102,311,277,365,59,50,54,107,44,407,118,98,95
"109","Chr1-18395693","LOC_Os01g33420",0,0,0,5,7,5,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",16,8,19,9,4,0,8,0,2,5,3,6,7,8,8,8,6,6,92,68,100,17,22,18
"111","Chr1-18459308","LOC_Os01g33540",24,37,20,28,39,32,17,15,16,15,10,16,23,19,13,14,14,14,30,5,45,14,26,26
"112","Chr1-18459207","LOC_Os01g33540",0,3,0,2,0,1,0,0,1,0,0,2,0,2,1,1,1,1,9,24,8,0,2,2
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,4,5,6
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,4,6,0,1,1,1,4,1,3,1,2,1,3,3,0
"115","Chr1+20334834","LOC_Os01g36640",0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,6,5,16,2,4,1,0,2
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,0,0,0,2,11,4,20,21,22,14,11,14,22,21,26,23,2,26,14,16,16
"117","Chr1+20334066","LOC_Os01g36640",0,0,1,2,0,0,0,0,0,0,1,1,0,1,3,1,1,1,0,0,0,2,0,3
"118","Chr1+20335020","LOC_Os01g36640",2,2,3,2,3,3,3,4,4,3,3,4,2,4,1,1,4,3,15,69,38,1,1,0
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,0,0,0,4,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",13,10,7,2,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1
"121","Chr1+20820385","LOC_Os01g37280",11,12,13,7,3,5,7,14,22,15,14,14,19,26,13,2,3,9,8,12,7,25,15,14
"122","Chr1+20818589","LOC_Os01g37280",6,4,1,3,2,0,0,1,0,1,1,4,0,1,0,1,0,0,0,0,0,4,5,5
"123","Chr1-22855513","LOC_Os01g40470",248,227,244,233,261,214,209,186,208,179,176,179,233,219,243,358,381,366,108,189,205,168,198,194
"124","Chr1-22855806","LOC_Os01g40470",6,9,11,13,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",1,3,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,37,1,2,2
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,5,1,7
"128","Chr1+23933450","LOC_Os01g42234",30,46,60,68,51,50,27,40,33,29,26,21,26,33,22,697,702,626,35,5,26,9,9,5
"129","Chr1-24703796","LOC_Os01g43250",43,36,54,37,19,43,16,21,26,48,42,44,110,104,79,69,68,69,64,52,24,92,96,102
"130","Chr1-24708192","LOC_Os01g43250",0,8,4,5,3,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",0,0,0,1,0,0,1,3,2,2,4,2,7,6,6,16,16,16,0,0,0,2,16,9
"132","Chr1+25003233","LOC_Os01g43630",57,54,65,31,25,25,56,52,56,59,57,55,52,52,64,65,94,59,47,52,81,71,83,80
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"134","Chr1+25361865","LOC_Os01g44220",2272,2387,1586,2593,2148,2231,127,127,129,118,75,110,53,52,55,23,38,50,45,35,47,71,49,70
"135","Chr1+25362209","LOC_Os01g44220",3,3,10,3,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",2,7,4,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,1,1,0,71,58,37,2,1,0
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,180,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",54,34,78,59,55,61,2,11,8,14,12,15,13,10,12,2,0,2,183,107,31,18,18,17
"140","Chr1-25917859","LOC_Os01g45620",3,5,5,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,0,0,1
"141","Chr1-25921679","LOC_Os01g45620",4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,59,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",5,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",10,7,10,3,6,25,0,0,0,0,0,0,0,1,0,0,0,0,20,0,17,0,2,1
"145","Chr1+26396273","LOC_Os01g46380",9,11,9,0,17,18,3,0,0,1,2,2,9,10,11,4,4,7,33,41,13,3,3,3
"146","Chr1+26395170","LOC_Os01g46380",6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",3457,3104,3351,1650,1681,1628,210,215,224,364,361,365,1161,1134,1154,799,872,828,464,819,277,810,935,948
"148","Chr1+26722429","LOC_Os01g46840",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,10,17,12
"149","Chr1+26722277","LOC_Os01g46840",2,2,0,8,17,19,5,5,0,0,4,0,2,0,1,1,2,2,0,0,2,36,51,40
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,68,35,1,2,2
"151","Chr1-26888426","LOC_Os01g47080",66,95,88,142,136,82,12,18,9,24,21,28,21,24,19,128,124,110,102,139,110,144,168,146
"152","Chr1-26888569","LOC_Os01g47080",12,3,6,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"153","Chr1+27010935","LOC_Os01g47262",6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",4,1,21,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",6,9,4,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",645,636,1166,871,937,796,96,144,135,169,182,136,413,390,459,135,135,126,94,53,79,100,82,115
"157","Chr1+27009271","LOC_Os01g47262",7,5,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",1,3,3,3,2,0,0,0,0,1,0,0,0,0,1,4,0,5,0,0,0,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",734,729,1076,742,704,700,334,311,327,593,428,363,979,1040,1092,1025,950,935,1065,340,533,822,967,726
"160","Chr1-28697312","LOC_Os01g49940",10,4,7,10,0,0,0,3,1,0,0,1,0,0,4,4,5,7,0,0,0,1,2,1
"161","Chr1-28683935","LOC_Os01g49940",145,129,165,166,107,130,75,85,77,110,103,100,109,65,108,46,46,51,75,129,153,80,89,98
"162","Chr1-28697450","LOC_Os01g49940",120,85,107,111,91,116,38,41,41,16,55,41,55,52,49,38,36,35,23,27,119,22,22,16
"163","Chr1+28804457","LOC_Os01g50120",0,0,0,1,0,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,1
"164","Chr1+28803863","LOC_Os01g50120",37,10,17,40,17,11,14,8,11,14,20,20,11,14,11,6,6,6,5,2,4,19,18,19
"165","Chr1+28800764","LOC_Os01g50120",0,0,0,5,2,4,9,7,10,4,3,3,2,2,2,3,4,0,0,0,0,5,5,6
"166","Chr1+29124339","LOC_Os01g50700",6,11,6,32,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",12880,12146,12187,13477,10111,9606,0,0,0,0,2,2,0,0,0,3,2,5,0,0,0,1,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,0,0,3,0,0
"169","Chr1+29124215","LOC_Os01g50700",34,14,29,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",346,295,309,308,283,331,158,134,129,231,418,195,230,228,233,110,426,362,311,270,244,177,169,177
"171","Chr1+30431148","LOC_Os01g52920",68,66,69,49,44,73,4,1,6,12,16,16,7,7,6,15,10,11,0,0,0,3,2,0
"172","Chr1+30431484","LOC_Os01g52920",2,3,3,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",1,0,0,2,2,4,0,0,0,0,3,0,0,0,1,1,2,0,0,0,0,1,1,1
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,6,10,7,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0
"175","Chr1-30525031","LOC_Os01g53130",4,3,5,3,4,7,7,1,2,2,3,2,7,7,8,8,7,6,7,7,13,13,12,9
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,1,0,0,0,4,2,3
"177","Chr1-30527478","LOC_Os01g53130",1,0,0,0,0,0,0,0,0,2,0,2,0,3,0,1,0,3,248,233,171,2,2,2
"178","Chr1-30527365","LOC_Os01g53130",0,0,0,0,0,1,0,1,2,1,0,1,1,6,4,7,9,9,58,15,124,6,7,6
"179","Chr1+32622547","LOC_Os01g56580",4,8,11,3,9,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",178,203,181,200,277,250,122,121,136,115,105,103,119,105,106,94,109,111,247,173,133,111,111,98
"181","Chr1-32855437","LOC_Os01g56890",82,81,64,45,54,51,32,30,30,58,61,75,10,56,35,251,108,161,202,83,153,14,21,15
"182","Chr1-32855924","LOC_Os01g56890",12,27,19,72,12,42,0,1,0,0,5,3,3,5,4,45,31,46,38,42,55,4,3,1
"183","Chr1-32856278","LOC_Os01g56890",1,4,2,0,13,0,0,0,0,0,0,0,0,0,0,4,6,9,9,3,18,1,1,1
"184","Chr1-32855385","LOC_Os01g56890",204,71,5,169,95,87,376,371,368,375,373,392,346,349,333,846,916,947,2364,1790,1815,204,198,209
"185","Chr1-32856153","LOC_Os01g56890",22,19,12,1,4,8,6,1,4,1,2,1,2,0,1,26,20,25,46,45,41,1,1,2
"186","Chr1+32862638","LOC_Os01g56900",4,11,2,1,1,1,0,1,0,6,7,6,4,4,1,5,2,6,0,0,0,9,8,7
"187","Chr1+32863305","LOC_Os01g56900",14,10,0,2,9,12,0,3,9,6,7,10,12,13,13,8,9,9,0,0,0,8,17,12
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,0,3,1,1,1,3,2,4,7,5,3,4,4,4,4,101,146,79,4,2,2
"189","Chr1+33058487","LOC_Os01g57210",70,42,63,30,39,68,16,19,21,9,16,14,14,13,10,37,54,42,45,56,49,24,26,31
"190","Chr1+33058583","LOC_Os01g57210",1,0,0,0,0,0,2,2,0,2,0,1,0,0,0,2,1,0,0,0,0,1,1,1
"191","Chr1+33055124","LOC_Os01g57210",2,1,1,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
