"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"16","Chr1-3667570","LOC_Os01g07630",2,4,1,0,0,0,1,1,3,1,3,2,2,2,2,6,3,2,0,0,0,2,1,1
"17","Chr1-3671562","LOC_Os01g07630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,16,0,0,0
"18","Chr1-3667505","LOC_Os01g07630",24,16,14,18,33,30,82,78,79,25,23,25,48,43,53,21,22,13,7,32,24,56,52,72
"19","Chr1-3713770","LOC_Os01g07740",24,50,54,51,54,11,51,48,48,47,46,32,66,51,55,37,50,49,83,148,158,173,171,141
"20","Chr1-3718312","LOC_Os01g07740",2,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,10,1,0,0,0
"21","Chr1+5412511","LOC_Os01g10280",2,3,1,0,1,3,1,0,9,4,1,0,6,3,4,5,3,2,1,8,4,3,6,14
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,1,2,0,0,0,0,0,0,0,2,2,1,0,1,1,1,4,0,2,4,6
"23","Chr1+5412697","LOC_Os01g10280",3,3,11,4,2,2,0,2,0,0,0,1,0,3,0,0,1,1,0,0,0,0,1,2
"24","Chr1+6029641","LOC_Os01g11260",2,3,1,2,3,4,6,6,7,6,2,3,10,2,1,9,9,10,2,8,0,10,9,9
"25","Chr1+6029525","LOC_Os01g11260",27,12,27,0,0,0,1,3,3,0,0,0,1,1,1,2,0,2,2,2,0,3,5,5
"26","Chr1+6270688","LOC_Os01g11620",147,110,161,33,31,7,287,283,285,0,0,0,120,168,128,26,24,30,38,46,21,1,0,1
"27","Chr1+6270822","LOC_Os01g11620",1,0,0,0,0,0,24,25,25,0,0,0,13,14,10,3,2,2,0,0,0,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",1,1,0,4,2,3,7,0,2,0,2,1,1,2,2,1,0,0,0,0,0,1,2,1
"29","Chr1-6572018","LOC_Os01g12080",3,2,4,16,12,21,9,25,3,68,74,70,8,9,9,0,2,1,0,0,0,8,12,12
"30","Chr1-6572877","LOC_Os01g12080",9,5,2,0,0,0,1,2,1,7,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",54,81,63,69,68,78,112,118,120,435,428,433,38,46,52,7,1,3,55,11,27,80,65,76
"32","Chr1-6725035","LOC_Os01g12320",1,0,0,2,0,0,28,26,28,44,49,44,9,26,22,6,8,8,0,0,0,18,16,14
"33","Chr1-6724944","LOC_Os01g12320",0,1,4,1,18,14,171,176,189,360,324,369,153,113,162,59,42,44,124,125,159,37,28,49
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,0,0,0,1,1,3,3,0,1,3,1,0,0,1,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",9,8,10,1,8,4,3,2,4,3,3,5,5,3,3,1,1,6,10,10,9,1,1,2
"36","Chr1+7095316","LOC_Os01g12810",17,14,19,36,37,35,130,131,120,861,863,902,9,9,8,6,0,3,93,207,100,88,71,77
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,3,3,4,1,0,0,5,4,5,1,3,1,0,1,1,0,0,0,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",20,0,2,41,57,66,102,102,99,1278,1373,1296,71,115,115,103,111,109,134,45,40,90,85,80
"39","Chr1+7575165","LOC_Os01g13540",4,3,3,0,0,0,0,0,0,7,16,13,0,1,2,2,3,3,0,0,0,3,5,3
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,37,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,227,250,41,706,240,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,11,2,17,7,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",31,33,40,28,10,11,15,13,16,11,5,13,6,27,29,22,16,21,11,18,34,38,41,40
"44","Chr1+7672710","LOC_Os01g13700",239,197,107,195,228,224,199,210,228,170,167,209,298,297,303,197,255,199,198,118,116,308,316,330
"45","Chr1-7687909","LOC_Os01g13740",0,0,0,1,1,0,2,0,4,3,3,3,3,1,0,0,0,1,5,2,1,1,1,1
"46","Chr1-7686899","LOC_Os01g13740",8,6,0,5,17,9,335,330,322,1858,1694,1780,2,3,4,3,0,1,74,10,241,33,15,26
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,5,10,9,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",19,19,15,4,5,3,10,12,14,2,1,1,5,3,4,72,69,58,0,1,0,7,5,6
"49","Chr1-8175468","LOC_Os01g14590",6,14,9,0,0,0,8,5,4,2,1,1,0,3,3,35,35,36,1,1,1,2,8,10
"50","Chr1+8408590","LOC_Os01g15000",8,11,2,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",8,12,14,5,4,5,0,1,0,0,0,0,3,6,2,5,9,7,0,0,0,1,0,0
"52","Chr1+8408240","LOC_Os01g15000",9,10,7,15,8,10,0,0,0,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",458,389,371,326,356,321,11,10,11,71,74,69,14,18,15,56,45,58,50,68,43,26,10,25
"54","Chr1+8407017","LOC_Os01g15000",9,6,4,5,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",1208,1248,926,1488,1719,1915,920,892,827,219,253,294,1759,1715,1771,1155,1407,1601,705,1062,491,872,897,943
"56","Chr1-9659592","LOC_Os01g16890",2,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",24,24,59,34,33,30,0,2,1,0,0,0,2,0,3,0,2,1,0,0,0,4,5,3
"59","Chr1-9658021","LOC_Os01g16890",2,14,12,0,4,9,0,6,4,2,0,1,6,10,13,6,7,6,2,1,1,1,0,2
"60","Chr1-9660380","LOC_Os01g16890",2,1,2,14,10,9,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,1,1
"61","Chr1+9879603","LOC_Os01g17180",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,10,8,5,0,0,1
"62","Chr1+9885367","LOC_Os01g17180",363,355,409,117,125,87,85,95,92,120,122,127,118,125,120,83,44,59,241,230,229,123,132,130
"63","Chr1+10655296","LOC_Os01g18850",20,8,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",86,96,97,74,49,64,49,42,45,69,68,63,56,54,52,119,120,116,52,39,70,52,52,60
"65","Chr1+10679801","LOC_Os01g18880",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,1,36,0,0,0
"66","Chr1+10678290","LOC_Os01g18880",18,8,20,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,2,1
"67","Chr1+10676910","LOC_Os01g18880",0,0,0,2,1,0,0,1,1,3,0,1,1,3,3,2,1,1,16,20,1,9,9,9
"68","Chr1+10677075","LOC_Os01g18880",24,36,7,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
"69","Chr1+10679862","LOC_Os01g18880",45,44,36,45,42,44,0,2,2,6,6,6,8,9,7,7,3,4,76,32,9,12,16,18
"70","Chr1+11170325","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,24,50,0,0,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,0,23,19,27,0,0,0,0,0,0,16,16,8,8,8,9,0,0,0,5,3,6
"72","Chr1+11174321","LOC_Os01g19694",0,0,0,29,30,38,0,0,0,0,0,0,11,9,4,6,4,6,0,0,0,4,4,5
"73","Chr1-11253657","LOC_Os01g19850",6,5,2,0,0,0,3,0,0,0,0,0,6,7,8,5,1,3,4,0,0,6,8,8
"74","Chr1-11253815","LOC_Os01g19850",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,1,2,3,1
"75","Chr1-11800239","LOC_Os01g21144",4,12,16,0,0,2,0,0,0,0,0,0,0,1,0,2,3,4,0,0,0,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",4,3,2,0,0,0,2,4,5,0,0,0,2,2,2,12,17,20,4,0,3,4,2,5
"77","Chr1-11800290","LOC_Os01g21144",8,16,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",0,1,1,3,1,3,0,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,2,2
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"80","Chr1+11981803","LOC_Os01g21450",394,488,491,272,208,259,106,111,91,204,226,268,92,57,55,56,63,52,102,92,114,118,123,135
"81","Chr1+11981977","LOC_Os01g21450",2,4,6,2,1,4,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,1
"82","Chr1-12704551","LOC_Os01g22600",1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",542,435,474,109,115,143,9,8,15,72,95,77,19,16,20,22,32,35,51,39,27,51,49,53
"84","Chr1-12704755","LOC_Os01g22600",217,231,223,82,98,47,14,23,14,114,98,101,17,22,20,30,32,32,45,63,102,65,110,7
"85","Chr1+13305003","LOC_Os01g23640",4,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",134,146,120,90,106,107,72,89,83,96,86,88,92,89,86,84,124,104,124,37,22,49,48,57
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,223,115,191,0,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,27,6,3,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,0,0,0,3,1,6,0,0,0,0,4,1,8,8,11,30198,44014,48767,8,9,10
"91","Chr1+13935377","LOC_Os01g24764",12,5,8,44,41,31,87,77,80,134,136,154,4,7,3,4,0,6,52,78,126,113,129,83
"92","Chr1+13935124","LOC_Os01g24764",2,0,1,5,6,4,9,9,4,9,8,11,1,0,2,1,3,4,1,4,2,8,5,5
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,0,0,2,6,2,8,5,3,7,0,1,0,0,0,0,0,0,0,5,4,3
"94","Chr1+13935855","LOC_Os01g24764",0,10,10,11,7,9,7,0,7,20,15,18,1,0,0,0,0,0,1,1,1,6,5,2
"95","Chr1-14754834","LOC_Os01g26039",20,21,22,107,96,97,61,64,83,504,495,547,47,50,43,1,4,7,17,13,1,40,36,41
"96","Chr1-14757624","LOC_Os01g26039",3,2,2,0,0,0,3,2,3,0,3,3,5,1,2,5,4,0,17,9,10,1,1,1
"97","Chr1+16056051","LOC_Os01g28680",1,3,3,0,0,1,1,3,2,8,0,11,4,4,4,7,7,2,0,2,1,0,0,1
"98","Chr1+16056254","LOC_Os01g28680",19,19,26,27,14,25,69,100,93,259,210,256,164,181,136,278,323,402,28,106,32,9,14,8
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,1,0,2,0,0,0,3,0,2,0,1,1,5,5,2,0,0,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,0,2,0,2,1,3,3,4,3,0,1,3,3,6,0,2,1,0,0,0
"101","Chr1+16047519","LOC_Os01g28680",0,0,0,0,0,0,5,5,4,8,5,6,0,1,0,0,0,0,0,1,0,1,0,0
"102","Chr1+17607032","LOC_Os01g32170",0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
"103","Chr1+17607127","LOC_Os01g32170",0,0,0,5,5,2,1,0,0,1,2,2,0,1,3,1,1,0,0,1,1,3,3,3
"104","Chr1+17607514","LOC_Os01g32170",6,16,2,3,4,1,5,10,2,2,5,2,4,4,10,5,6,4,0,0,2,7,7,6
"105","Chr1+17606900","LOC_Os01g32170",3,1,2,6,9,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,7,6
"106","Chr1+18050168","LOC_Os01g32870",0,0,0,5,5,3,10,8,6,5,6,4,10,10,10,4,3,4,0,0,0,2,7,2
"107","Chr1+18050053","LOC_Os01g32870",310,307,276,161,233,182,69,63,77,71,71,74,124,92,132,61,102,133,26,53,58,108,104,109
"108","Chr1-18394360","LOC_Os01g33420",94,121,154,97,77,89,164,154,161,83,59,64,117,105,117,59,50,54,107,44,407,118,98,95
"109","Chr1-18395693","LOC_Os01g33420",5,7,5,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",9,4,0,13,9,7,11,12,13,8,0,2,7,7,8,8,6,6,92,68,100,17,22,18
"111","Chr1-18459308","LOC_Os01g33540",28,39,32,34,37,37,14,15,16,17,15,16,12,10,9,14,14,14,30,5,45,14,26,26
"112","Chr1-18459207","LOC_Os01g33540",2,0,1,8,9,4,0,0,0,0,0,1,0,0,1,1,1,1,9,24,8,0,2,2
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,0,0,0,3,1,7,0,0,0,2,0,1,2,2,2,0,0,0,4,5,6
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,1,3,1,2,1,3,3,0
"115","Chr1+20334834","LOC_Os01g36640",1,1,4,1,0,1,2,1,1,0,0,0,1,1,1,0,6,5,16,2,4,1,0,2
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,4,0,4,7,22,33,2,11,4,11,15,23,22,21,26,23,2,26,14,16,16
"117","Chr1+20334066","LOC_Os01g36640",2,0,0,0,0,0,0,1,2,0,0,0,2,1,2,1,1,1,0,0,0,2,0,3
"118","Chr1+20335020","LOC_Os01g36640",2,3,3,1,2,0,0,2,1,3,4,4,11,8,3,1,4,3,15,69,38,1,1,0
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,0,0,0,1,0,0,4,3,3,1,0,2,0,0,0,0,0,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",2,0,1,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"121","Chr1+20820385","LOC_Os01g37280",7,3,5,3,4,3,13,7,6,7,14,22,6,3,4,2,3,9,8,12,7,25,15,14
"122","Chr1+20818589","LOC_Os01g37280",3,2,0,4,2,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,5,5
"123","Chr1-22855513","LOC_Os01g40470",233,261,214,384,380,223,247,317,296,209,186,208,483,442,471,358,381,366,108,189,205,168,198,194
"124","Chr1-22855806","LOC_Os01g40470",13,8,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",5,3,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,37,1,2,2
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,1,3,7,2,1,2,0,0,0,2,2,0,0,1,0,0,0,0,5,1,7
"128","Chr1+23933450","LOC_Os01g42234",68,51,50,58,55,56,91,123,129,27,40,33,221,237,253,697,702,626,35,5,26,9,9,5
"129","Chr1-24703796","LOC_Os01g43250",37,19,43,76,104,59,46,40,42,16,21,26,77,74,63,69,68,69,64,52,24,92,96,102
"130","Chr1-24708192","LOC_Os01g43250",5,3,5,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",1,0,0,3,3,3,6,10,6,1,3,2,11,10,13,16,16,16,0,0,0,2,16,9
"132","Chr1+25003233","LOC_Os01g43630",31,25,25,45,48,40,22,73,63,56,52,56,61,65,60,65,94,59,47,52,81,71,83,80
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,5,1,4,0,4,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1
"134","Chr1+25361865","LOC_Os01g44220",2593,2148,2231,1771,3482,1766,80,80,82,127,127,129,30,25,31,23,38,50,45,35,47,71,49,70
"135","Chr1+25362209","LOC_Os01g44220",3,2,1,5,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",26,7,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,0,0,4,3,3,4,3,1,0,2,3,1,1,1,0,71,58,37,2,1,0
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,180,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",59,55,61,20,23,29,6,9,5,2,11,8,3,7,0,2,0,2,183,107,31,18,18,17
"140","Chr1-25917859","LOC_Os01g45620",4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9,0,0,1
"141","Chr1-25921679","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,59,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",3,6,25,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,2,1
"145","Chr1+26396273","LOC_Os01g46380",0,17,18,8,15,12,1,1,1,3,0,0,3,5,4,4,4,7,33,41,13,3,3,3
"146","Chr1+26395170","LOC_Os01g46380",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",1650,1681,1628,1793,1598,1539,108,120,129,210,215,224,458,410,416,799,872,828,464,819,277,810,935,948
"148","Chr1+26722429","LOC_Os01g46840",0,0,0,0,0,2,0,6,1,0,0,0,1,1,1,2,0,1,0,0,0,10,17,12
"149","Chr1+26722277","LOC_Os01g46840",8,17,19,3,7,1,5,1,2,5,5,0,4,5,2,1,2,2,0,0,2,36,51,40
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,23,68,35,1,2,2
"151","Chr1-26888426","LOC_Os01g47080",142,136,82,41,56,50,292,318,383,12,18,9,184,181,177,128,124,110,102,139,110,144,168,146
"152","Chr1-26888569","LOC_Os01g47080",3,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"153","Chr1+27010935","LOC_Os01g47262",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",9,7,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",871,937,796,659,519,707,81,84,86,96,144,135,54,37,23,135,135,126,94,53,79,100,82,115
"157","Chr1+27009271","LOC_Os01g47262",5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",3,2,0,0,0,0,1,2,2,0,0,0,17,13,16,4,0,5,0,0,0,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",742,704,700,954,1166,833,899,758,893,334,311,327,1643,1650,1844,1025,950,935,1065,340,533,822,967,726
"160","Chr1-28697312","LOC_Os01g49940",10,0,0,5,5,5,7,6,5,0,3,1,4,5,4,4,5,7,0,0,0,1,2,1
"161","Chr1-28683935","LOC_Os01g49940",166,107,130,93,79,107,43,44,46,75,85,77,52,54,51,46,46,51,75,129,153,80,89,98
"162","Chr1-28697450","LOC_Os01g49940",111,91,116,53,49,50,21,15,16,38,41,41,11,18,12,38,36,35,23,27,119,22,22,16
"163","Chr1+28804457","LOC_Os01g50120",1,0,1,8,7,8,3,0,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
"164","Chr1+28803863","LOC_Os01g50120",40,17,11,20,6,19,6,18,16,14,8,11,4,3,2,6,6,6,5,2,4,19,18,19
"165","Chr1+28800764","LOC_Os01g50120",5,2,4,2,1,2,10,10,8,9,7,10,0,1,1,3,4,0,0,0,0,5,5,6
"166","Chr1+29124339","LOC_Os01g50700",32,5,19,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",13477,10111,9606,2237,1437,1640,4,1,5,0,0,0,0,1,0,3,2,5,0,0,0,1,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,0,0,0,3,0,0
"169","Chr1+29124215","LOC_Os01g50700",1,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",308,283,331,161,117,195,49,62,59,158,134,129,50,48,51,110,426,362,311,270,244,177,169,177
"171","Chr1+30431148","LOC_Os01g52920",49,44,73,11,11,12,0,3,0,4,1,6,1,1,1,15,10,11,0,0,0,3,2,0
"172","Chr1+30431484","LOC_Os01g52920",1,7,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1
"174","Chr1-30526019","LOC_Os01g53130",6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0
"175","Chr1-30525031","LOC_Os01g53130",3,4,7,1,2,2,0,1,1,7,1,2,1,0,0,8,7,6,7,7,13,13,12,9
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,0,0,4,2,3
"177","Chr1-30527478","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,248,233,171,2,2,2
"178","Chr1-30527365","LOC_Os01g53130",0,0,1,2,7,0,12,18,4,0,1,2,3,4,4,7,9,9,58,15,124,6,7,6
"179","Chr1+32622547","LOC_Os01g56580",3,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",200,277,250,103,105,121,84,71,85,122,121,136,99,97,96,94,109,111,247,173,133,111,111,98
"181","Chr1-32855437","LOC_Os01g56890",45,54,51,48,47,45,33,25,26,32,30,30,19,0,17,251,108,161,202,83,153,14,21,15
"182","Chr1-32855924","LOC_Os01g56890",72,12,42,6,17,7,0,0,0,0,1,0,3,2,5,45,31,46,38,42,55,4,3,1
"183","Chr1-32856278","LOC_Os01g56890",0,13,0,0,2,2,0,0,0,0,0,0,0,0,0,4,6,9,9,3,18,1,1,1
"184","Chr1-32855385","LOC_Os01g56890",169,95,87,185,203,228,209,189,297,376,371,368,80,97,94,846,916,947,2364,1790,1815,204,198,209
"185","Chr1-32856153","LOC_Os01g56890",1,4,8,0,2,21,0,2,0,6,1,4,2,0,1,26,20,25,46,45,41,1,1,2
"186","Chr1+32862638","LOC_Os01g56900",1,1,1,3,3,3,2,2,2,0,1,0,4,4,5,5,2,6,0,0,0,9,8,7
"187","Chr1+32863305","LOC_Os01g56900",2,9,12,7,5,2,2,4,0,0,3,9,8,3,4,8,9,9,0,0,0,8,17,12
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,7,8,0,0,0,4,1,1,3,6,9,3,4,4,4,101,146,79,4,2,2
"189","Chr1+33058487","LOC_Os01g57210",30,39,68,27,25,29,34,47,35,16,19,21,12,26,28,37,54,42,45,56,49,24,26,31
"190","Chr1+33058583","LOC_Os01g57210",0,0,0,0,0,3,7,5,2,2,2,0,2,2,3,2,1,0,0,0,0,1,1,1
"191","Chr1+33055124","LOC_Os01g57210",0,4,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
