"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","stem_60days1","stem_60days2","stem_60days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,0,2,0,1,1,3,0,1,3,3,6,0,2,1
"101","Chr1+16047519","LOC_Os01g28680",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"102","Chr1+17607032","LOC_Os01g32170",4,4,4,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0
"103","Chr1+17607127","LOC_Os01g32170",0,1,0,5,5,2,3,2,4,0,1,3,1,1,0,0,1,1
"104","Chr1+17607514","LOC_Os01g32170",5,5,3,3,4,1,4,4,4,4,4,10,5,6,4,0,0,2
"105","Chr1+17606900","LOC_Os01g32170",8,0,6,6,9,10,2,1,2,2,1,0,0,0,0,0,0,0
"106","Chr1+18050168","LOC_Os01g32870",3,3,2,5,5,3,5,6,3,10,10,10,4,3,4,0,0,0
"107","Chr1+18050053","LOC_Os01g32870",259,154,242,161,233,182,57,64,65,124,92,132,61,102,133,26,53,58
"108","Chr1-18394360","LOC_Os01g33420",245,237,340,97,77,89,311,277,365,117,105,117,59,50,54,107,44,407
"109","Chr1-18395693","LOC_Os01g33420",0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",16,8,19,13,9,7,7,8,8,7,7,8,8,6,6,92,68,100
"111","Chr1-18459308","LOC_Os01g33540",24,37,20,34,37,37,23,19,13,12,10,9,14,14,14,30,5,45
"112","Chr1-18459207","LOC_Os01g33540",0,3,0,8,9,4,0,2,1,0,0,1,1,1,1,9,24,8
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,2,0,1,2,2,2,0,0,0
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,0,0,0,1,1,1,0,0,1,4,1,3,1,2,1
"115","Chr1+20334834","LOC_Os01g36640",0,0,0,1,0,1,0,0,0,1,1,1,0,6,5,16,2,4
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,4,0,4,14,11,14,11,15,23,22,21,26,23,2,26
"117","Chr1+20334066","LOC_Os01g36640",0,0,1,0,0,0,0,1,3,2,1,2,1,1,1,0,0,0
"118","Chr1+20335020","LOC_Os01g36640",2,2,3,1,2,0,2,4,1,11,8,3,1,4,3,15,69,38
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",13,10,7,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0
"121","Chr1+20820385","LOC_Os01g37280",11,12,13,3,4,3,19,26,13,6,3,4,2,3,9,8,12,7
"122","Chr1+20818589","LOC_Os01g37280",6,4,1,4,2,7,0,1,0,0,0,0,1,0,0,0,0,0
"123","Chr1-22855513","LOC_Os01g40470",248,227,244,384,380,223,233,219,243,483,442,471,358,381,366,108,189,205
"124","Chr1-22855806","LOC_Os01g40470",6,9,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",1,3,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,37
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,1,3,7,1,0,1,2,2,0,0,1,0,0,0,0
"128","Chr1+23933450","LOC_Os01g42234",30,46,60,58,55,56,26,33,22,221,237,253,697,702,626,35,5,26
"129","Chr1-24703796","LOC_Os01g43250",43,36,54,76,104,59,110,104,79,77,74,63,69,68,69,64,52,24
"130","Chr1-24708192","LOC_Os01g43250",0,8,4,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",0,0,0,3,3,3,7,6,6,11,10,13,16,16,16,0,0,0
"132","Chr1+25003233","LOC_Os01g43630",57,54,65,45,48,40,52,52,64,61,65,60,65,94,59,47,52,81
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,5,1,4,0,0,0,1,3,1,0,0,0,0,0,0
"134","Chr1+25361865","LOC_Os01g44220",2272,2387,1586,1771,3482,1766,53,52,55,30,25,31,23,38,50,45,35,47
"135","Chr1+25362209","LOC_Os01g44220",3,3,10,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",2,7,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,0,0,4,0,1,0,2,3,1,1,1,0,71,58,37
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,180
"139","Chr1-25917622","LOC_Os01g45620",54,34,78,20,23,29,13,10,12,3,7,0,2,0,2,183,107,31
"140","Chr1-25917859","LOC_Os01g45620",3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9
"141","Chr1-25921679","LOC_Os01g45620",4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,21,52,59
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",10,7,10,2,2,1,0,1,0,0,0,0,0,0,0,20,0,17
"145","Chr1+26396273","LOC_Os01g46380",9,11,9,8,15,12,9,10,11,3,5,4,4,4,7,33,41,13
"146","Chr1+26395170","LOC_Os01g46380",6,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",3457,3104,3351,1793,1598,1539,1161,1134,1154,458,410,416,799,872,828,464,819,277
"148","Chr1+26722429","LOC_Os01g46840",0,1,0,0,0,2,0,0,0,1,1,1,2,0,1,0,0,0
"149","Chr1+26722277","LOC_Os01g46840",2,2,0,3,7,1,2,0,1,4,5,2,1,2,2,0,0,2
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,23,68,35
"151","Chr1-26888426","LOC_Os01g47080",66,95,88,41,56,50,21,24,19,184,181,177,128,124,110,102,139,110
"152","Chr1-26888569","LOC_Os01g47080",12,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Chr1+27010935","LOC_Os01g47262",6,6,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",4,1,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",6,9,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",645,636,1166,659,519,707,413,390,459,54,37,23,135,135,126,94,53,79
"157","Chr1+27009271","LOC_Os01g47262",7,5,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",1,3,3,0,0,0,0,0,1,17,13,16,4,0,5,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",734,729,1076,954,1166,833,979,1040,1092,1643,1650,1844,1025,950,935,1065,340,533
"160","Chr1-28697312","LOC_Os01g49940",10,4,7,5,5,5,0,0,4,4,5,4,4,5,7,0,0,0
"161","Chr1-28683935","LOC_Os01g49940",145,129,165,93,79,107,109,65,108,52,54,51,46,46,51,75,129,153
"162","Chr1-28697450","LOC_Os01g49940",120,85,107,53,49,50,55,52,49,11,18,12,38,36,35,23,27,119
"163","Chr1+28804457","LOC_Os01g50120",0,0,0,8,7,8,1,1,0,1,0,1,0,0,0,0,0,0
"164","Chr1+28803863","LOC_Os01g50120",37,10,17,20,6,19,11,14,11,4,3,2,6,6,6,5,2,4
"165","Chr1+28800764","LOC_Os01g50120",0,0,0,2,1,2,2,2,2,0,1,1,3,4,0,0,0,0
"166","Chr1+29124339","LOC_Os01g50700",6,11,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",12880,12146,12187,2237,1437,1640,0,0,0,0,1,0,3,2,5,0,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,2,3,0,0,0,0,0,1,0,1,0,3,4,3,0,0,0
"169","Chr1+29124215","LOC_Os01g50700",34,14,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",346,295,309,161,117,195,230,228,233,50,48,51,110,426,362,311,270,244
"171","Chr1+30431148","LOC_Os01g52920",68,66,69,11,11,12,7,7,6,1,1,1,15,10,11,0,0,0
"172","Chr1+30431484","LOC_Os01g52920",2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0
"175","Chr1-30525031","LOC_Os01g53130",4,3,5,1,2,2,7,7,8,1,0,0,8,7,6,7,7,13
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,0,0,0
"177","Chr1-30527478","LOC_Os01g53130",1,0,0,0,0,0,0,3,0,2,1,0,1,0,3,248,233,171
"178","Chr1-30527365","LOC_Os01g53130",0,0,0,2,7,0,1,6,4,3,4,4,7,9,9,58,15,124
"179","Chr1+32622547","LOC_Os01g56580",4,8,11,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",178,203,181,103,105,121,119,105,106,99,97,96,94,109,111,247,173,133
"181","Chr1-32855437","LOC_Os01g56890",82,81,64,48,47,45,10,56,35,19,0,17,251,108,161,202,83,153
"182","Chr1-32855924","LOC_Os01g56890",12,27,19,6,17,7,3,5,4,3,2,5,45,31,46,38,42,55
"183","Chr1-32856278","LOC_Os01g56890",1,4,2,0,2,2,0,0,0,0,0,0,4,6,9,9,3,18
"184","Chr1-32855385","LOC_Os01g56890",204,71,5,185,203,228,346,349,333,80,97,94,846,916,947,2364,1790,1815
"185","Chr1-32856153","LOC_Os01g56890",22,19,12,0,2,21,2,0,1,2,0,1,26,20,25,46,45,41
"186","Chr1+32862638","LOC_Os01g56900",4,11,2,3,3,3,4,4,1,4,4,5,5,2,6,0,0,0
"187","Chr1+32863305","LOC_Os01g56900",14,10,0,7,5,2,12,13,13,8,3,4,8,9,9,0,0,0
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,7,8,0,5,3,4,6,9,3,4,4,4,101,146,79
"189","Chr1+33058487","LOC_Os01g57210",70,42,63,27,25,29,14,13,10,12,26,28,37,54,42,45,56,49
"190","Chr1+33058583","LOC_Os01g57210",1,0,0,0,0,3,0,0,0,2,2,3,2,1,0,0,0,0
"191","Chr1+33055124","LOC_Os01g57210",2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"192","Chr1+33052173","LOC_Os01g57210",0,3,8,0,1,2,1,0,0,0,0,1,1,0,1,0,0,0
"193","Chr1-33369626","LOC_Os01g57720",3,6,10,4,1,1,1,0,0,0,0,0,0,0,0,13,11,11
"194","Chr1-33368699","LOC_Os01g57720",10,25,4,8,15,13,10,9,11,5,9,18,14,11,11,23,40,93
"195","Chr1-33368984","LOC_Os01g57720",137,129,133,150,161,155,66,65,67,34,49,50,57,47,46,47,76,35
"196","Chr1-33369580","LOC_Os01g57720",1,18,18,3,2,3,18,8,9,1,0,0,2,2,0,0,0,0
"197","Chr1-33369316","LOC_Os01g57720",3,2,0,0,0,2,1,1,0,0,0,0,1,0,1,15,7,2
"198","Chr1+33663175","LOC_Os01g58240",0,1,0,0,0,0,10,3,9,0,0,0,94,98,94,1,3,1
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,2,4,0,0,1,0,31,19,29,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",5,12,2,0,0,0,44,22,38,17,19,14,143,144,79,47,41,42
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,0,0,0,2,1,1,0,0,0,3,1,2,5,27,0
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,1,0,1,0,1,0,1,1,2,3,2,0,0,0
"203","Chr1-34165817","LOC_Os01g59140",3,4,0,8,6,9,3,4,3,4,5,5,8,2,6,24,30,33
"204","Chr1-34163746","LOC_Os01g59140",18,13,11,33,33,41,36,51,39,73,62,68,57,61,61,14,65,30
"205","Chr1+34202742","LOC_Os01g59200",28,18,8,18,19,15,0,0,0,1,1,1,1,1,1,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",42,47,69,72,48,44,0,0,0,4,4,5,0,0,0,59,104,51
"207","Chr1+34423675","LOC_Os01g59530",7,5,6,9,27,23,339,365,298,31,31,39,2,8,10,539,571,594
"208","Chr1+34423862","LOC_Os01g59530",2,2,6,2,5,3,0,0,0,2,2,1,2,1,2,1,4,4
"209","Chr1-36014043","LOC_Os01g62230",701,533,838,221,220,305,91,75,89,359,369,410,476,431,476,222,202,273
"210","Chr1-36014480","LOC_Os01g62230",3,3,6,0,1,2,0,0,0,1,1,0,1,1,3,0,0,0
"211","Chr1-36102686","LOC_Os01g62380",0,1,17,39,47,53,6,9,7,40,56,37,46,49,47,24,28,24
"212","Chr1-36099882","LOC_Os01g62380",13,7,7,12,24,5,0,0,2,5,6,5,4,3,4,0,0,0
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,6
"214","Chr1-36138825","LOC_Os01g62440",28,25,30,17,18,17,35,46,39,15,18,18,11,10,10,36,39,53
"215","Chr1-36139131","LOC_Os01g62440",4,9,19,1,1,0,0,2,0,0,0,0,1,1,1,0,0,0
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,2,3,0,0,2,1,0,0,2,0,0,0,3,0,2
"217","Chr1+36280264","LOC_Os01g62650",0,0,4,0,3,0,0,0,0,0,1,0,2,1,2,0,0,0
"218","Chr1+36286366","LOC_Os01g62650",110,188,223,264,216,286,142,112,122,67,57,68,163,124,142,8,24,40
"219","Chr1+36280419","LOC_Os01g62650",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
"220","Chr1+36285594","LOC_Os01g62650",4,2,0,1,0,2,1,0,0,3,1,1,0,0,0,6,7,8
"221","Chr1+36440121","LOC_Os01g62900",1,7,7,77,94,89,24,28,35,7,13,10,11,16,5,33,86,74
"222","Chr1+36440402","LOC_Os01g62900",1,2,1,14,14,14,16,10,0,2,5,9,4,3,1,0,0,0
"223","Chr1+36483777","LOC_Os01g62970",0,2,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",1,1,1,0,0,3,3,2,3,7,2,5,3,2,3,5,6,15
"225","Chr1+36484002","LOC_Os01g62970",316,314,306,36,32,36,191,182,192,4,4,8,11,10,11,27,19,83
"226","Chr1-37049115","LOC_Os01g63854",1,0,0,2,0,2,17,17,16,31,72,39,15,14,14,1,4,3
"227","Chr1-37043633","LOC_Os01g63854",7,10,7,2,8,1,69,47,64,117,94,169,41,82,32,51,51,54
"228","Chr1-37043453","LOC_Os01g63854",0,0,0,0,0,0,3,1,3,2,7,5,1,7,5,0,0,0
"229","Chr1-37048729","LOC_Os01g63854",0,2,2,0,0,0,1,1,0,3,3,3,0,0,0,0,0,0
"230","Chr1-37048182","LOC_Os01g63854",1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,13,3,2
"231","Chr1-38206951","LOC_Os01g65790",1,2,10,61,85,70,10,9,11,63,60,58,189,190,186,10,63,56
