"","chrstrandcoord","gene","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","pistil1","pistil2","pistil3"
"17","Chr1-3671562","LOC_Os01g07630",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"18","Chr1-3667505","LOC_Os01g07630",25,23,25,14,13,12,22,25,25,21,22,13,23,21,23,56,52,72
"19","Chr1-3713770","LOC_Os01g07740",47,46,32,8,31,13,36,34,39,37,50,49,233,91,209,173,171,141
"20","Chr1-3718312","LOC_Os01g07740",0,0,0,3,3,0,0,0,1,0,1,0,0,0,1,0,0,0
"21","Chr1+5412511","LOC_Os01g10280",4,1,0,3,4,3,2,2,3,5,3,2,0,1,2,3,6,14
"22","Chr1+5412761","LOC_Os01g10280",0,0,0,1,1,1,1,1,3,0,1,1,0,0,0,2,4,6
"23","Chr1+5412697","LOC_Os01g10280",0,0,1,4,2,6,0,1,0,0,1,1,0,2,0,0,1,2
"24","Chr1+6029641","LOC_Os01g11260",6,2,3,2,1,0,3,1,1,9,9,10,17,14,26,10,9,9
"25","Chr1+6029525","LOC_Os01g11260",0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,3,5,5
"26","Chr1+6270688","LOC_Os01g11620",0,0,0,2,2,2,12,10,11,26,24,30,12,18,14,1,0,1
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,0,0,0,0,1,0,3,2,2,0,1,2,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,2,1,15,15,14,4,6,3,1,0,0,4,4,1,1,2,1
"29","Chr1-6572018","LOC_Os01g12080",68,74,70,47,48,47,18,15,18,0,2,1,5,4,4,8,12,12
"30","Chr1-6572877","LOC_Os01g12080",7,2,1,4,4,4,1,3,0,0,0,0,0,1,0,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",435,428,433,361,346,339,99,134,137,7,1,3,36,39,34,80,65,76
"32","Chr1-6725035","LOC_Os01g12320",44,49,44,19,24,17,13,28,35,6,8,8,4,1,0,18,16,14
"33","Chr1-6724944","LOC_Os01g12320",360,324,369,109,113,108,221,223,192,59,42,44,24,23,28,37,28,49
"34","Chr1-6725081","LOC_Os01g12320",3,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,1,2,3,4,1,4,1,1,6,0,0,0,1,1,2
"36","Chr1+7095316","LOC_Os01g12810",861,863,902,478,497,471,179,182,173,6,0,3,67,52,52,88,71,77
"37","Chr1+7576953","LOC_Os01g13540",5,4,5,1,1,1,0,0,0,0,1,1,5,3,1,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",1278,1373,1296,829,813,894,193,197,207,103,111,109,68,66,40,90,85,80
"39","Chr1+7575165","LOC_Os01g13540",7,16,13,4,5,8,1,0,0,2,3,3,4,3,2,3,5,3
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,3,2,2,0,0,0,24,17,37,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,1,3,3,0,202,227,250,16,9,14,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,10,12,11,0,0,0,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",11,5,13,10,8,11,15,11,10,22,16,21,38,37,38,38,41,40
"44","Chr1+7672710","LOC_Os01g13700",170,167,209,159,161,124,178,179,183,197,255,199,262,239,261,308,316,330
"45","Chr1-7687909","LOC_Os01g13740",3,3,3,1,2,2,0,0,0,0,0,1,0,1,0,1,1,1
"46","Chr1-7686899","LOC_Os01g13740",1858,1694,1780,1601,1649,1595,667,525,670,3,0,1,12,7,3,33,15,26
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,1,0,1,0,0,0,5,4,6,0,0,0,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",2,1,1,10,15,10,0,11,5,72,69,58,4,6,4,7,5,6
"49","Chr1-8175468","LOC_Os01g14590",2,1,1,6,7,8,3,4,3,35,35,36,4,4,4,2,8,10
"50","Chr1+8408590","LOC_Os01g15000",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Chr1+8405373","LOC_Os01g15000",0,0,0,5,7,11,1,2,5,5,9,7,0,0,0,1,0,0
"52","Chr1+8408240","LOC_Os01g15000",4,2,1,1,5,8,5,4,6,0,0,1,0,0,2,0,0,0
"53","Chr1+8408351","LOC_Os01g15000",71,74,69,146,142,122,59,45,45,56,45,58,59,57,56,26,10,25
"54","Chr1+8407017","LOC_Os01g15000",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"55","Chr1-9658230","LOC_Os01g16890",219,253,294,247,268,274,1167,883,999,1155,1407,1601,439,449,470,872,897,943
"56","Chr1-9659592","LOC_Os01g16890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Chr1-9660105","LOC_Os01g16890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Chr1-9660661","LOC_Os01g16890",0,0,0,1,2,1,1,0,0,0,2,1,0,0,0,4,5,3
"59","Chr1-9658021","LOC_Os01g16890",2,0,1,1,0,1,5,8,4,6,7,6,3,3,4,1,0,2
"60","Chr1-9660380","LOC_Os01g16890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1
"62","Chr1+9885367","LOC_Os01g17180",120,122,127,111,104,112,96,58,96,83,44,59,166,172,174,123,132,130
"63","Chr1+10655296","LOC_Os01g18850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Chr1+10656648","LOC_Os01g18850",69,68,63,186,100,162,105,108,103,119,120,116,24,29,33,52,52,60
"65","Chr1+10679801","LOC_Os01g18880",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"66","Chr1+10678290","LOC_Os01g18880",0,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,1
"67","Chr1+10676910","LOC_Os01g18880",3,0,1,1,0,0,2,1,0,2,1,1,4,3,1,9,9,9
"68","Chr1+10677075","LOC_Os01g18880",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,1
"69","Chr1+10679862","LOC_Os01g18880",6,6,6,10,7,5,18,14,19,7,3,4,43,49,39,12,16,18
"70","Chr1+11170325","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,8,8,9,0,0,0,5,3,6
"72","Chr1+11174321","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,4,4,5
"73","Chr1-11253657","LOC_Os01g19850",0,0,0,2,1,1,2,1,1,5,1,3,61,57,57,6,8,8
"74","Chr1-11253815","LOC_Os01g19850",0,0,0,0,2,0,0,0,0,1,1,1,5,4,4,2,3,1
"75","Chr1-11800239","LOC_Os01g21144",0,0,0,1,0,0,0,0,0,2,3,4,0,0,1,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",0,0,0,0,0,1,3,4,4,12,17,20,11,19,4,4,2,5
"77","Chr1-11800290","LOC_Os01g21144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",2,1,0,1,0,0,0,0,1,0,0,0,0,2,2,0,2,2
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,0,1,0,0,0,0,0,0,0,8,9,8,0,1,1
"80","Chr1+11981803","LOC_Os01g21450",204,226,268,210,247,237,160,134,155,56,63,52,187,191,174,118,123,135
"81","Chr1+11981977","LOC_Os01g21450",0,2,1,2,0,1,0,0,1,1,0,0,0,0,1,1,0,1
"82","Chr1-12704551","LOC_Os01g22600",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",72,95,77,68,66,69,54,71,64,22,32,35,33,15,36,51,49,53
"84","Chr1-12704755","LOC_Os01g22600",114,98,101,124,138,128,90,77,86,30,32,32,75,80,69,65,110,7
"85","Chr1+13305003","LOC_Os01g23640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",96,86,88,96,92,95,86,90,86,84,124,104,72,67,66,49,48,57
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,24,25,29,0,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,1,0,1,17,14,0,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,6,5,7,1,2,4,8,8,11,5138,4754,4993,8,9,10
"91","Chr1+13935377","LOC_Os01g24764",134,136,154,150,189,188,110,117,111,4,0,6,75,80,82,113,129,83
"92","Chr1+13935124","LOC_Os01g24764",9,8,11,7,7,8,0,9,9,1,3,4,8,7,12,8,5,5
"93","Chr1+13935565","LOC_Os01g24764",5,3,7,8,13,4,0,0,1,0,0,0,2,0,3,5,4,3
"94","Chr1+13935855","LOC_Os01g24764",20,15,18,36,28,34,4,12,12,0,0,0,3,4,3,6,5,2
"95","Chr1-14754834","LOC_Os01g26039",504,495,547,181,173,217,41,46,64,1,4,7,79,99,88,40,36,41
"96","Chr1-14757624","LOC_Os01g26039",0,3,3,5,4,0,4,3,2,5,4,0,3,4,2,1,1,1
"97","Chr1+16056051","LOC_Os01g28680",8,0,11,6,10,4,2,11,4,7,7,2,0,0,0,0,0,1
"98","Chr1+16056254","LOC_Os01g28680",259,210,256,468,462,528,167,124,169,278,323,402,37,42,34,9,14,8
"99","Chr1+16051023","LOC_Os01g28680",3,0,2,1,2,0,0,0,0,5,5,2,0,1,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",3,3,4,4,5,5,0,1,1,3,3,6,0,0,0,0,0,0
"101","Chr1+16047519","LOC_Os01g28680",8,5,6,4,5,0,1,0,0,0,0,0,0,0,1,1,0,0
"102","Chr1+17607032","LOC_Os01g32170",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
"103","Chr1+17607127","LOC_Os01g32170",1,2,2,0,0,0,3,2,4,1,1,0,0,1,0,3,3,3
"104","Chr1+17607514","LOC_Os01g32170",2,5,2,6,4,3,4,4,4,5,6,4,5,5,5,7,7,6
"105","Chr1+17606900","LOC_Os01g32170",0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,8,7,6
"106","Chr1+18050168","LOC_Os01g32870",5,6,4,0,5,4,5,6,3,4,3,4,3,1,2,2,7,2
"107","Chr1+18050053","LOC_Os01g32870",71,71,74,98,84,80,57,64,65,61,102,133,160,142,160,108,104,109
"108","Chr1-18394360","LOC_Os01g33420",83,59,64,90,95,102,311,277,365,59,50,54,95,65,74,118,98,95
"109","Chr1-18395693","LOC_Os01g33420",0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",8,0,2,5,3,6,7,8,8,8,6,6,39,42,43,17,22,18
"111","Chr1-18459308","LOC_Os01g33540",17,15,16,15,10,16,23,19,13,14,14,14,33,30,33,14,26,26
"112","Chr1-18459207","LOC_Os01g33540",0,0,1,0,0,2,0,2,1,1,1,1,0,0,0,0,2,2
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,4,5,6
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,4,6,0,1,1,1,4,1,3,2,0,1,3,3,0
"115","Chr1+20334834","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,0,6,5,1,3,0,1,0,2
"116","Chr1+20334613","LOC_Os01g36640",2,11,4,20,21,22,14,11,14,22,21,26,13,9,16,14,16,16
"117","Chr1+20334066","LOC_Os01g36640",0,0,0,0,1,1,0,1,3,1,1,1,1,2,1,2,0,3
"118","Chr1+20335020","LOC_Os01g36640",3,4,4,3,3,4,2,4,1,1,4,3,4,5,5,1,1,0
"119","Chr1+20820512","LOC_Os01g37280",4,3,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",0,0,1,0,0,1,1,0,1,0,0,0,3,3,4,1,1,1
"121","Chr1+20820385","LOC_Os01g37280",7,14,22,15,14,14,19,26,13,2,3,9,17,15,20,25,15,14
"122","Chr1+20818589","LOC_Os01g37280",0,1,0,1,1,4,0,1,0,1,0,0,7,4,4,4,5,5
"123","Chr1-22855513","LOC_Os01g40470",209,186,208,179,176,179,233,219,243,358,381,366,507,509,507,168,198,194
"124","Chr1-22855806","LOC_Os01g40470",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,1,1,1,1,0,1,0,1,0,2,2,3,5,1,7
"128","Chr1+23933450","LOC_Os01g42234",27,40,33,29,26,21,26,33,22,697,702,626,23,24,56,9,9,5
"129","Chr1-24703796","LOC_Os01g43250",16,21,26,48,42,44,110,104,79,69,68,69,54,67,53,92,96,102
"130","Chr1-24708192","LOC_Os01g43250",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",1,3,2,2,4,2,7,6,6,16,16,16,3,3,3,2,16,9
"132","Chr1+25003233","LOC_Os01g43630",56,52,56,59,57,55,52,52,64,65,94,59,96,99,93,71,83,80
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1
"134","Chr1+25361865","LOC_Os01g44220",127,127,129,118,75,110,53,52,55,23,38,50,54,104,91,71,49,70
"135","Chr1+25362209","LOC_Os01g44220",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",3,1,0,0,1,0,0,1,0,1,1,0,23,23,24,2,1,0
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",2,11,8,14,12,15,13,10,12,2,0,2,241,248,257,18,18,17
"140","Chr1-25917859","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,15,10,13,0,0,1
"141","Chr1-25921679","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,2,7,9,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,1,0,12,31,20,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",0,0,0,0,0,0,0,0,1,0,0,0,9,7,6,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",0,0,0,0,0,0,0,1,0,0,0,0,71,49,62,0,2,1
"145","Chr1+26396273","LOC_Os01g46380",3,0,0,1,2,2,9,10,11,4,4,7,3,1,1,3,3,3
"146","Chr1+26395170","LOC_Os01g46380",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",210,215,224,364,361,365,1161,1134,1154,799,872,828,234,259,201,810,935,948
"148","Chr1+26722429","LOC_Os01g46840",0,0,0,0,0,0,0,0,0,2,0,1,4,4,6,10,17,12
"149","Chr1+26722277","LOC_Os01g46840",5,5,0,0,4,0,2,0,1,1,2,2,6,7,7,36,51,40
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
"151","Chr1-26888426","LOC_Os01g47080",12,18,9,24,21,28,21,24,19,128,124,110,172,189,182,144,168,146
"152","Chr1-26888569","LOC_Os01g47080",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"153","Chr1+27010935","LOC_Os01g47262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",96,144,135,169,182,136,413,390,459,135,135,126,119,132,122,100,82,115
"157","Chr1+27009271","LOC_Os01g47262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",0,0,0,1,0,0,0,0,1,4,0,5,4,0,3,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",334,311,327,593,428,363,979,1040,1092,1025,950,935,603,551,571,822,967,726
"160","Chr1-28697312","LOC_Os01g49940",0,3,1,0,0,1,0,0,4,4,5,7,6,6,1,1,2,1
"161","Chr1-28683935","LOC_Os01g49940",75,85,77,110,103,100,109,65,108,46,46,51,105,104,117,80,89,98
"162","Chr1-28697450","LOC_Os01g49940",38,41,41,16,55,41,55,52,49,38,36,35,44,40,45,22,22,16
"163","Chr1+28804457","LOC_Os01g50120",1,0,0,2,3,0,1,1,0,0,0,0,0,0,1,1,0,1
"164","Chr1+28803863","LOC_Os01g50120",14,8,11,14,20,20,11,14,11,6,6,6,5,7,4,19,18,19
"165","Chr1+28800764","LOC_Os01g50120",9,7,10,4,3,3,2,2,2,3,4,0,4,2,1,5,5,6
"166","Chr1+29124339","LOC_Os01g50700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",0,0,0,0,2,2,0,0,0,3,2,5,1,2,0,1,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,0,0,0,0,0,0,0,1,3,4,3,39,20,22,3,0,0
"169","Chr1+29124215","LOC_Os01g50700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",158,134,129,231,418,195,230,228,233,110,426,362,196,262,227,177,169,177
"171","Chr1+30431148","LOC_Os01g52920",4,1,6,12,16,16,7,7,6,15,10,11,3,3,3,3,2,0
"172","Chr1+30431484","LOC_Os01g52920",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",0,0,0,0,3,0,0,0,1,1,2,0,3,1,2,1,1,1
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,1,0,0
"175","Chr1-30525031","LOC_Os01g53130",7,1,2,2,3,2,7,7,8,8,7,6,38,37,36,13,12,9
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,1,0,1,0,0,1,2,2,1,6,3,6,4,2,3
"177","Chr1-30527478","LOC_Os01g53130",0,0,0,2,0,2,0,3,0,1,0,3,40,35,38,2,2,2
"178","Chr1-30527365","LOC_Os01g53130",0,1,2,1,0,1,1,6,4,7,9,9,90,63,66,6,7,6
"179","Chr1+32622547","LOC_Os01g56580",0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",122,121,136,115,105,103,119,105,106,94,109,111,152,155,155,111,111,98
"181","Chr1-32855437","LOC_Os01g56890",32,30,30,58,61,75,10,56,35,251,108,161,70,46,57,14,21,15
"182","Chr1-32855924","LOC_Os01g56890",0,1,0,0,5,3,3,5,4,45,31,46,7,7,27,4,3,1
"183","Chr1-32856278","LOC_Os01g56890",0,0,0,0,0,0,0,0,0,4,6,9,1,1,1,1,1,1
"184","Chr1-32855385","LOC_Os01g56890",376,371,368,375,373,392,346,349,333,846,916,947,510,493,498,204,198,209
"185","Chr1-32856153","LOC_Os01g56890",6,1,4,1,2,1,2,0,1,26,20,25,4,5,4,1,1,2
"186","Chr1+32862638","LOC_Os01g56900",0,1,0,6,7,6,4,4,1,5,2,6,6,8,8,9,8,7
"187","Chr1+32863305","LOC_Os01g56900",0,3,9,6,7,10,12,13,13,8,9,9,9,4,7,8,17,12
"188","Chr1+32863554","LOC_Os01g56900",1,1,3,2,4,7,5,3,4,4,4,4,17,20,16,4,2,2
"189","Chr1+33058487","LOC_Os01g57210",16,19,21,9,16,14,14,13,10,37,54,42,16,18,19,24,26,31
"190","Chr1+33058583","LOC_Os01g57210",2,2,0,2,0,1,0,0,0,2,1,0,2,2,1,1,1,1
"191","Chr1+33055124","LOC_Os01g57210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Chr1+33052173","LOC_Os01g57210",0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,1,1,2
"193","Chr1-33369626","LOC_Os01g57720",6,0,0,4,4,3,1,0,0,0,0,0,2,0,0,0,0,0
"194","Chr1-33368699","LOC_Os01g57720",23,18,19,16,19,20,10,9,11,14,11,11,18,16,19,11,13,5
"195","Chr1-33368984","LOC_Os01g57720",140,175,131,150,136,143,66,65,67,57,47,46,79,82,87,30,25,33
"196","Chr1-33369580","LOC_Os01g57720",9,7,7,9,12,8,18,8,9,2,2,0,7,5,6,5,3,10
"197","Chr1-33369316","LOC_Os01g57720",0,2,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0
"198","Chr1+33663175","LOC_Os01g58240",0,0,0,4,4,1,10,3,9,94,98,94,0,0,0,0,0,0
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,2,4,0,31,19,29,0,0,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",3,4,7,3,2,3,44,22,38,143,144,79,0,0,0,0,0,0
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,1,0,0,2,1,1,3,1,2,2,1,2,0,0,3
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,1,1,1,0,1,2,3,2,2,3,1,1,0,3
"203","Chr1-34165817","LOC_Os01g59140",18,10,4,5,7,6,3,4,3,8,2,6,2,5,4,1,1,0
"204","Chr1-34163746","LOC_Os01g59140",17,26,17,30,31,26,36,51,39,57,61,61,34,29,30,37,38,38
"205","Chr1+34202742","LOC_Os01g59200",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"207","Chr1+34423675","LOC_Os01g59530",199,220,215,246,215,223,339,365,298,2,8,10,600,557,605,47,49,49
"208","Chr1+34423862","LOC_Os01g59530",1,5,0,0,0,0,0,0,0,2,1,2,4,4,6,0,1,0
"209","Chr1-36014043","LOC_Os01g62230",173,172,161,44,70,63,91,75,89,476,431,476,196,226,220,145,148,161
"210","Chr1-36014480","LOC_Os01g62230",0,0,0,0,0,0,0,0,0,1,1,3,0,1,2,1,0,1
"211","Chr1-36102686","LOC_Os01g62380",3,2,1,2,4,2,6,9,7,46,49,47,7,26,14,79,36,87
"212","Chr1-36099882","LOC_Os01g62380",0,0,0,0,0,1,0,0,2,4,3,4,0,0,0,6,4,0
"213","Chr1-36141689","LOC_Os01g62440",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"214","Chr1-36138825","LOC_Os01g62440",107,75,71,81,75,57,35,46,39,11,10,10,11,19,12,29,24,22
"215","Chr1-36139131","LOC_Os01g62440",1,0,1,6,7,0,0,2,0,1,1,1,0,0,1,1,1,1
"216","Chr1-36145739","LOC_Os01g62440",1,3,1,0,0,0,0,2,1,0,0,0,1,1,1,0,0,0
"217","Chr1+36280264","LOC_Os01g62650",0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,1,0,0
"218","Chr1+36286366","LOC_Os01g62650",81,85,82,130,141,120,142,112,122,163,124,142,150,140,157,367,375,301
"219","Chr1+36280419","LOC_Os01g62650",0,1,0,4,3,1,0,2,1,0,0,1,0,0,1,1,0,1
"220","Chr1+36285594","LOC_Os01g62650",3,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"221","Chr1+36440121","LOC_Os01g62900",11,9,9,3,6,6,24,28,35,11,16,5,212,284,269,55,53,52
"222","Chr1+36440402","LOC_Os01g62900",3,3,3,13,10,12,16,10,0,4,3,1,78,63,70,5,3,2
"223","Chr1+36483777","LOC_Os01g62970",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",12,11,10,5,6,9,3,2,3,3,2,3,0,4,2,1,1,0
"225","Chr1+36484002","LOC_Os01g62970",134,130,87,85,79,80,191,182,192,11,10,11,93,127,98,17,21,18
"226","Chr1-37049115","LOC_Os01g63854",21,21,20,20,20,14,17,17,16,15,14,14,18,15,17,7,28,5
"227","Chr1-37043633","LOC_Os01g63854",144,164,135,71,75,141,69,47,64,41,82,32,59,80,96,62,72,62
"228","Chr1-37043453","LOC_Os01g63854",4,3,0,10,13,19,3,1,3,1,7,5,4,7,5,3,0,2
"229","Chr1-37048729","LOC_Os01g63854",0,1,0,1,3,1,1,1,0,0,0,0,3,1,1,1,0,0
"230","Chr1-37048182","LOC_Os01g63854",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"231","Chr1-38206951","LOC_Os01g65790",15,6,10,11,5,9,10,9,11,189,190,186,117,132,103,82,84,78
"232","Chr1-38208579","LOC_Os01g65790",11,12,10,12,1,3,3,1,4,2,6,0,8,6,8,2,1,0
