"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","leaf_60days1","leaf_60days2","leaf_60days3","husk1","husk2","husk3","anther1","anther2","anther3","embryo1","embryo2","embryo3"
"23","Chr1+5412697","LOC_Os01g10280",9,13,0,4,2,2,4,2,6,10,5,0,0,2,0,10,10,10
"24","Chr1+6029641","LOC_Os01g11260",1,2,0,2,3,4,2,1,0,13,0,6,17,14,26,7,7,6
"25","Chr1+6029525","LOC_Os01g11260",4,2,1,0,0,0,0,0,0,1,2,1,1,1,2,2,1,3
"26","Chr1+6270688","LOC_Os01g11620",48,57,64,33,31,7,2,2,2,23,7,4,12,18,14,10,5,8
"27","Chr1+6270822","LOC_Os01g11620",0,0,0,0,0,0,0,0,0,7,4,1,0,1,2,0,0,0
"28","Chr1-6575126","LOC_Os01g12080",0,0,0,4,2,3,15,15,14,1,2,1,4,4,1,2,8,0
"29","Chr1-6572018","LOC_Os01g12080",0,0,0,16,12,21,47,48,47,8,5,4,5,4,4,1,0,0
"30","Chr1-6572877","LOC_Os01g12080",2,5,5,0,0,0,4,4,4,0,0,0,0,1,0,0,0,0
"31","Chr1-6572141","LOC_Os01g12080",46,76,72,69,68,78,361,346,339,102,103,99,36,39,34,86,86,84
"32","Chr1-6725035","LOC_Os01g12320",0,0,0,2,0,0,19,24,17,8,12,3,4,1,0,4,4,4
"33","Chr1-6724944","LOC_Os01g12320",0,2,1,1,18,14,109,113,108,82,101,73,24,23,28,0,0,0
"34","Chr1-6725081","LOC_Os01g12320",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35","Chr1+7092083","LOC_Os01g12810",3,3,5,1,8,4,1,2,3,1,2,3,0,0,0,2,1,2
"36","Chr1+7095316","LOC_Os01g12810",4,6,9,36,37,35,478,497,471,170,152,136,67,52,52,18,10,10
"37","Chr1+7576953","LOC_Os01g13540",0,0,0,3,3,4,1,1,1,0,0,0,5,3,1,0,0,0
"38","Chr1+7576771","LOC_Os01g13540",14,3,14,41,57,66,829,813,894,100,80,92,68,66,40,13,12,17
"39","Chr1+7575165","LOC_Os01g13540",0,0,2,0,0,0,4,5,8,3,0,4,4,3,2,1,1,1
"40","Chr1-7623978","LOC_Os01g13610",0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0
"41","Chr1-7619138","LOC_Os01g13610",0,0,0,0,0,0,0,0,1,4,2,5,16,9,14,0,0,0
"42","Chr1-7618935","LOC_Os01g13610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Chr1+7672581","LOC_Os01g13700",42,34,37,28,10,11,10,8,11,17,25,29,38,37,38,42,42,42
"44","Chr1+7672710","LOC_Os01g13700",146,182,170,195,228,224,159,161,124,226,228,170,262,239,261,238,218,223
"45","Chr1-7687909","LOC_Os01g13740",0,0,2,1,1,0,1,2,2,0,0,0,0,1,0,0,0,0
"46","Chr1-7686899","LOC_Os01g13740",0,0,1,5,17,9,1601,1649,1595,215,135,179,12,7,3,3,3,1
"47","Chr1-8175378","LOC_Os01g14590",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"48","Chr1-8175675","LOC_Os01g14590",0,0,0,4,5,3,10,15,10,17,10,24,4,6,4,4,9,5
"49","Chr1-8175468","LOC_Os01g14590",5,5,0,0,0,0,6,7,8,0,3,2,4,4,4,0,0,0
"50","Chr1+8408590","LOC_Os01g15000",3,0,5,4,6,6,0,1,0,0,0,0,0,0,0,1,1,1
"51","Chr1+8405373","LOC_Os01g15000",1,11,4,5,4,5,5,7,11,8,0,11,0,0,0,2,0,0
"52","Chr1+8408240","LOC_Os01g15000",6,10,9,15,8,10,1,5,8,1,3,2,0,0,2,5,6,7
"53","Chr1+8408351","LOC_Os01g15000",261,276,324,326,356,321,146,142,122,60,23,52,59,57,56,72,106,74
"54","Chr1+8407017","LOC_Os01g15000",6,8,6,5,3,2,0,0,0,0,0,0,0,0,0,2,0,0
"55","Chr1-9658230","LOC_Os01g16890",1935,1923,1946,1488,1719,1915,247,268,274,706,771,839,439,449,470,3589,3881,3963
"56","Chr1-9659592","LOC_Os01g16890",19,17,10,0,3,0,0,0,0,0,0,0,0,0,0,29,9,34
"57","Chr1-9660105","LOC_Os01g16890",22,12,23,1,0,1,0,0,0,0,0,0,0,0,0,13,11,13
"58","Chr1-9660661","LOC_Os01g16890",39,70,0,34,33,30,1,2,1,2,0,4,0,0,0,237,227,242
"59","Chr1-9658021","LOC_Os01g16890",0,0,8,0,4,9,1,0,1,5,3,5,3,3,4,11,10,12
"60","Chr1-9660380","LOC_Os01g16890",30,43,37,14,10,9,0,0,0,0,0,0,0,0,2,36,37,38
"61","Chr1+9879603","LOC_Os01g17180",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"62","Chr1+9885367","LOC_Os01g17180",324,417,264,117,125,87,111,104,112,88,100,115,166,172,174,245,237,218
"63","Chr1+10655296","LOC_Os01g18850",5,2,8,2,2,3,0,0,0,0,0,0,0,0,0,3,1,0
"64","Chr1+10656648","LOC_Os01g18850",77,75,77,74,49,64,186,100,162,68,54,56,24,29,33,82,87,90
"65","Chr1+10679801","LOC_Os01g18880",1,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
"66","Chr1+10678290","LOC_Os01g18880",0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0
"67","Chr1+10676910","LOC_Os01g18880",3,0,0,2,1,0,1,0,0,2,5,3,4,3,1,0,0,0
"68","Chr1+10677075","LOC_Os01g18880",0,0,0,0,1,6,0,0,0,0,1,0,2,1,0,0,0,0
"69","Chr1+10679862","LOC_Os01g18880",38,27,44,45,42,44,10,7,5,20,23,16,43,49,39,45,46,58
"70","Chr1+11170325","LOC_Os01g19694",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71","Chr1+11174452","LOC_Os01g19694",0,0,3,23,19,27,0,0,0,12,8,6,0,0,0,14,11,16
"72","Chr1+11174321","LOC_Os01g19694",8,4,2,29,30,38,0,0,0,7,9,5,0,0,0,25,27,23
"73","Chr1-11253657","LOC_Os01g19850",8,5,8,0,0,0,2,1,1,28,34,27,61,57,57,16,30,15
"74","Chr1-11253815","LOC_Os01g19850",11,0,2,0,0,0,0,2,0,3,2,1,5,4,4,9,5,6
"75","Chr1-11800239","LOC_Os01g21144",0,4,10,0,0,2,1,0,0,0,0,0,0,0,1,4,3,1
"76","Chr1-11801468","LOC_Os01g21144",3,9,13,0,0,0,0,0,1,2,3,2,11,19,4,7,9,11
"77","Chr1-11800290","LOC_Os01g21144",11,0,5,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1
"78","Chr1+11975457","LOC_Os01g21450",1,0,0,3,1,3,1,0,0,0,0,0,0,2,2,0,0,0
"79","Chr1+11975299","LOC_Os01g21450",0,0,0,2,1,0,0,1,0,0,0,0,8,9,8,0,0,0
"80","Chr1+11981803","LOC_Os01g21450",393,445,385,272,208,259,210,247,237,117,120,119,187,191,174,368,369,369
"81","Chr1+11981977","LOC_Os01g21450",2,4,3,2,1,4,2,0,1,0,0,0,0,0,1,1,1,0
"82","Chr1-12704551","LOC_Os01g22600",4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1
"83","Chr1-12704882","LOC_Os01g22600",571,522,370,109,115,143,68,66,69,71,69,65,33,15,36,789,793,790
"84","Chr1-12704755","LOC_Os01g22600",168,242,277,82,98,47,124,138,128,57,46,50,75,80,69,252,288,278
"85","Chr1+13305003","LOC_Os01g23640",9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3
"86","Chr1+13304670","LOC_Os01g23640",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",199,143,166,90,106,107,96,92,95,76,63,67,72,67,66,77,54,54
"88","Chr1+13443712","LOC_Os01g23880",0,0,0,2,1,2,0,0,0,2,1,2,24,25,29,0,0,0
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,16,20,18,17,14,0,0,0,0
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,0,0,0,6,5,7,740,790,773,5138,4754,4993,0,0,0
"91","Chr1+13935377","LOC_Os01g24764",6,11,12,44,41,31,150,189,188,87,76,74,75,80,82,16,13,16
"92","Chr1+13935124","LOC_Os01g24764",5,2,2,5,6,4,7,7,8,9,5,9,8,7,12,2,3,2
"93","Chr1+13935565","LOC_Os01g24764",0,0,0,0,0,2,8,13,4,10,3,13,2,0,3,2,1,1
"94","Chr1+13935855","LOC_Os01g24764",8,0,2,11,7,9,36,28,34,4,9,19,3,4,3,10,6,8
"95","Chr1-14754834","LOC_Os01g26039",24,12,7,107,96,97,181,173,217,50,45,50,79,99,88,26,43,47
"96","Chr1-14757624","LOC_Os01g26039",1,4,1,0,0,0,5,4,0,2,0,3,3,4,2,0,0,0
"97","Chr1+16056051","LOC_Os01g28680",2,3,0,0,0,1,6,10,4,3,2,1,0,0,0,2,0,3
"98","Chr1+16056254","LOC_Os01g28680",17,19,14,27,14,25,468,462,528,138,134,129,37,42,34,17,16,15
"99","Chr1+16051023","LOC_Os01g28680",0,0,0,1,0,2,1,2,0,1,1,1,0,1,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",0,0,0,0,0,2,4,5,5,1,0,1,0,0,0,0,0,0
"101","Chr1+16047519","LOC_Os01g28680",0,1,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0
"102","Chr1+17607032","LOC_Os01g32170",4,4,4,1,0,2,0,0,0,0,0,0,1,0,0,1,3,0
"103","Chr1+17607127","LOC_Os01g32170",0,1,0,5,5,2,0,0,0,2,0,0,0,1,0,3,4,7
"104","Chr1+17607514","LOC_Os01g32170",5,5,3,3,4,1,6,4,3,1,0,0,5,5,5,3,3,2
"105","Chr1+17606900","LOC_Os01g32170",8,0,6,6,9,10,0,0,0,2,2,1,0,0,0,14,15,16
"106","Chr1+18050168","LOC_Os01g32870",3,3,2,5,5,3,0,5,4,7,2,4,3,1,2,4,4,2
"107","Chr1+18050053","LOC_Os01g32870",259,154,242,161,233,182,98,84,80,77,76,70,160,142,160,313,296,285
"108","Chr1-18394360","LOC_Os01g33420",245,237,340,97,77,89,90,95,102,219,135,135,95,65,74,354,347,363
"109","Chr1-18395693","LOC_Os01g33420",0,0,0,1,3,0,1,1,1,0,0,0,0,0,0,4,2,4
"110","Chr1-18459991","LOC_Os01g33540",16,8,19,13,9,7,5,3,6,19,19,18,39,42,43,8,8,8
"111","Chr1-18459308","LOC_Os01g33540",24,37,20,34,37,37,15,10,16,10,18,12,33,30,33,53,42,40
"112","Chr1-18459207","LOC_Os01g33540",0,3,0,8,9,4,0,0,2,2,2,2,0,0,0,1,1,1
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,0,0,0
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,0,0,0,4,6,0,2,2,0,2,0,1,0,0,0
"115","Chr1+20334834","LOC_Os01g36640",0,0,0,1,0,1,0,0,0,0,6,2,1,3,0,0,0,0
"116","Chr1+20334613","LOC_Os01g36640",0,0,0,4,0,4,20,21,22,13,22,22,13,9,16,0,0,0
"117","Chr1+20334066","LOC_Os01g36640",0,0,1,0,0,0,0,1,1,1,0,0,1,2,1,0,0,0
"118","Chr1+20335020","LOC_Os01g36640",2,2,3,1,2,0,3,3,4,4,3,1,4,5,5,3,1,2
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",13,10,7,3,2,2,0,0,1,0,0,0,3,3,4,4,5,2
"121","Chr1+20820385","LOC_Os01g37280",11,12,13,3,4,3,15,14,14,3,7,0,17,15,20,12,10,10
"122","Chr1+20818589","LOC_Os01g37280",6,4,1,4,2,7,1,1,4,1,2,3,7,4,4,11,14,10
"123","Chr1-22855513","LOC_Os01g40470",248,227,244,384,380,223,179,176,179,377,353,351,507,509,507,228,230,237
"124","Chr1-22855806","LOC_Os01g40470",6,9,11,2,1,1,0,0,0,0,0,0,0,2,2,5,4,3
"125","Chr1-22857225","LOC_Os01g40470",1,3,1,4,2,2,0,0,0,0,0,0,0,0,0,6,1,3
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Chr1+23925357","LOC_Os01g42234",0,0,0,1,3,7,1,1,1,1,0,0,2,2,3,0,0,0
"128","Chr1+23933450","LOC_Os01g42234",30,46,60,58,55,56,29,26,21,24,25,22,23,24,56,24,22,0
"129","Chr1-24703796","LOC_Os01g43250",43,36,54,76,104,59,48,42,44,50,24,27,54,67,53,65,63,62
"130","Chr1-24708192","LOC_Os01g43250",0,8,4,2,0,1,1,0,2,0,0,0,0,0,0,7,7,7
"131","Chr1+25003415","LOC_Os01g43630",0,0,0,3,3,3,2,4,2,0,3,8,3,3,3,6,1,6
"132","Chr1+25003233","LOC_Os01g43630",57,54,65,45,48,40,59,57,55,55,53,55,96,99,93,58,59,59
"133","Chr1+25354917","LOC_Os01g44220",0,0,0,5,1,4,0,0,0,0,0,1,1,7,0,0,0,0
"134","Chr1+25361865","LOC_Os01g44220",2272,2387,1586,1771,3482,1766,118,75,110,55,56,47,54,104,91,36,50,48
"135","Chr1+25362209","LOC_Os01g44220",3,3,10,5,5,13,1,1,1,0,0,0,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",2,7,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,0,0,0,4,0,1,0,0,6,0,23,23,24,0,0,0
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0
"139","Chr1-25917622","LOC_Os01g45620",54,34,78,20,23,29,14,12,15,32,32,32,241,248,257,67,65,53
"140","Chr1-25917859","LOC_Os01g45620",3,5,5,0,0,0,0,0,0,1,0,2,15,10,13,5,1,7
"141","Chr1-25921679","LOC_Os01g45620",4,2,2,0,0,0,0,0,0,4,3,6,2,7,9,0,0,0
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,1,0,0,12,31,20,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",5,3,3,0,0,0,0,0,0,0,0,0,9,7,6,4,2,5
"144","Chr1-25917749","LOC_Os01g45620",10,7,10,2,2,1,0,0,0,1,3,5,71,49,62,20,18,6
"145","Chr1+26396273","LOC_Os01g46380",9,11,9,8,15,12,1,2,2,10,12,7,3,1,1,12,11,10
"146","Chr1+26395170","LOC_Os01g46380",6,9,3,0,0,1,0,0,0,5,2,0,0,0,0,6,7,4
"147","Chr1+26396056","LOC_Os01g46380",3457,3104,3351,1793,1598,1539,364,361,365,620,612,534,234,259,201,6097,6672,6378
"148","Chr1+26722429","LOC_Os01g46840",0,1,0,0,0,2,0,0,0,2,10,2,4,4,6,0,0,0
"149","Chr1+26722277","LOC_Os01g46840",2,2,0,3,7,1,0,4,0,9,11,10,6,7,7,5,7,1
"150","Chr1+26720154","LOC_Os01g46840",0,0,0,1,2,1,0,0,0,1,1,1,1,1,1,0,0,0
"151","Chr1-26888426","LOC_Os01g47080",66,95,88,41,56,50,24,21,28,68,96,74,172,189,182,97,101,98
"152","Chr1-26888569","LOC_Os01g47080",12,3,6,0,0,0,0,0,0,0,0,1,1,0,0,5,4,2
"153","Chr1+27010935","LOC_Os01g47262",6,6,7,1,0,1,0,0,0,0,0,0,0,0,0,7,3,3
"154","Chr1+27010193","LOC_Os01g47262",4,1,21,3,0,0,0,0,0,0,0,0,0,0,0,5,2,7
"155","Chr1+27010855","LOC_Os01g47262",6,9,4,2,4,3,0,0,0,0,0,0,0,0,1,15,0,3
"156","Chr1+27012055","LOC_Os01g47262",645,636,1166,659,519,707,169,182,136,288,293,262,119,132,122,811,756,925
"157","Chr1+27009271","LOC_Os01g47262",7,5,6,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0
"158","Chr1-27965530","LOC_Os01g48770",1,3,3,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",734,729,1076,954,1166,833,593,428,363,556,530,611,603,551,571,2133,2149,2148
"160","Chr1-28697312","LOC_Os01g49940",10,4,7,5,5,5,0,0,1,1,0,0,6,6,1,0,1,0
"161","Chr1-28683935","LOC_Os01g49940",145,129,165,93,79,107,110,103,100,56,49,45,105,104,117,117,125,92
"162","Chr1-28697450","LOC_Os01g49940",120,85,107,53,49,50,16,55,41,19,20,20,44,40,45,30,60,72
"163","Chr1+28804457","LOC_Os01g50120",0,0,0,8,7,8,2,3,0,0,0,0,0,0,1,0,0,0
"164","Chr1+28803863","LOC_Os01g50120",37,10,17,20,6,19,14,20,20,9,16,10,5,7,4,36,27,31
"165","Chr1+28800764","LOC_Os01g50120",0,0,0,2,1,2,4,3,3,0,0,3,4,2,1,2,1,0
"166","Chr1+29124339","LOC_Os01g50700",6,11,6,7,10,0,0,0,0,0,0,0,0,0,0,8,10,16
"167","Chr1+29124591","LOC_Os01g50700",12880,12146,12187,2237,1437,1640,0,2,2,1,2,4,1,2,0,6418,5162,8270
"168","Chr1+29123295","LOC_Os01g50700",0,2,3,0,0,0,0,0,0,1,3,4,39,20,22,0,0,0
"169","Chr1+29124215","LOC_Os01g50700",34,14,29,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3
"170","Chr1+30431695","LOC_Os01g52920",346,295,309,161,117,195,231,418,195,174,204,181,196,262,227,76,157,171
"171","Chr1+30431148","LOC_Os01g52920",68,66,69,11,11,12,12,16,16,7,5,6,3,3,3,28,27,26
"172","Chr1+30431484","LOC_Os01g52920",2,3,3,3,2,1,0,0,0,3,3,1,0,1,0,7,5,3
"173","Chr1+30432087","LOC_Os01g52920",1,0,0,0,0,0,0,3,0,2,1,2,3,1,2,0,5,1
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1,1,4
"175","Chr1-30525031","LOC_Os01g53130",4,3,5,1,2,2,2,3,2,21,12,10,38,37,36,2,0,3
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,1,0,1,1,1,0,6,3,6,0,0,0
"177","Chr1-30527478","LOC_Os01g53130",1,0,0,0,0,0,2,0,2,2,2,3,40,35,38,0,3,2
"178","Chr1-30527365","LOC_Os01g53130",0,0,0,2,7,0,1,0,1,15,15,15,90,63,66,0,0,0
"179","Chr1+32622547","LOC_Os01g56580",4,8,11,0,1,2,0,0,0,0,0,1,0,0,0,1,2,0
"180","Chr1+32622715","LOC_Os01g56580",178,203,181,103,105,121,115,105,103,155,193,165,152,155,155,207,201,209
"181","Chr1-32855437","LOC_Os01g56890",82,81,64,48,47,45,58,61,75,210,163,174,70,46,57,69,87,43
"182","Chr1-32855924","LOC_Os01g56890",12,27,19,6,17,7,0,5,3,21,21,14,7,7,27,9,6,7
"183","Chr1-32856278","LOC_Os01g56890",1,4,2,0,2,2,0,0,0,0,0,0,1,1,1,1,0,0
"184","Chr1-32855385","LOC_Os01g56890",204,71,5,185,203,228,375,373,392,310,318,278,510,493,498,85,129,60
"185","Chr1-32856153","LOC_Os01g56890",22,19,12,0,2,21,1,2,1,9,7,3,4,5,4,1,0,2
"186","Chr1+32862638","LOC_Os01g56900",4,11,2,3,3,3,6,7,6,10,9,5,6,8,8,1,10,9
"187","Chr1+32863305","LOC_Os01g56900",14,10,0,7,5,2,6,7,10,14,12,15,9,4,7,13,14,16
"188","Chr1+32863554","LOC_Os01g56900",0,3,1,7,8,0,2,4,7,6,15,12,17,20,16,0,1,0
"189","Chr1+33058487","LOC_Os01g57210",70,42,63,27,25,29,9,16,14,22,16,23,16,18,19,31,51,88
"190","Chr1+33058583","LOC_Os01g57210",1,0,0,0,0,3,2,0,1,1,4,1,2,2,1,0,1,0
"191","Chr1+33055124","LOC_Os01g57210",2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7
"192","Chr1+33052173","LOC_Os01g57210",0,3,8,0,1,2,0,0,0,0,1,0,2,1,1,3,3,2
"193","Chr1-33369626","LOC_Os01g57720",3,6,10,4,1,1,4,4,3,0,0,0,2,0,0,0,1,1
"194","Chr1-33368699","LOC_Os01g57720",10,25,4,8,15,13,16,19,20,13,11,6,18,16,19,5,8,9
"195","Chr1-33368984","LOC_Os01g57720",137,129,133,150,161,155,150,136,143,72,72,73,79,82,87,32,26,34
"196","Chr1-33369580","LOC_Os01g57720",1,18,18,3,2,3,9,12,8,8,10,7,7,5,6,10,6,1
"197","Chr1-33369316","LOC_Os01g57720",3,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0
"198","Chr1+33663175","LOC_Os01g58240",0,1,0,0,0,0,4,4,1,1,0,1,0,0,0,0,0,0
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",5,12,2,0,0,0,3,2,3,26,23,19,0,0,0,0,0,0
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,0,0,0,1,0,0,5,4,4,2,1,2,0,0,0
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,1,0,1,1,1,4,5,4,2,3,1,0,0,0
"203","Chr1-34165817","LOC_Os01g59140",3,4,0,8,6,9,5,7,6,5,4,5,2,5,4,5,0,0
"204","Chr1-34163746","LOC_Os01g59140",18,13,11,33,33,41,30,31,26,67,82,57,34,29,30,11,12,12
"205","Chr1+34202742","LOC_Os01g59200",28,18,8,18,19,15,0,0,0,0,0,0,0,0,0,3,3,3
"206","Chr1+34202645","LOC_Os01g59200",42,47,69,72,48,44,0,0,0,0,0,0,1,1,1,54,42,48
"207","Chr1+34423675","LOC_Os01g59530",7,5,6,9,27,23,246,215,223,836,814,869,600,557,605,26,11,30
"208","Chr1+34423862","LOC_Os01g59530",2,2,6,2,5,3,0,0,0,1,1,0,4,4,6,2,3,1
"209","Chr1-36014043","LOC_Os01g62230",701,533,838,221,220,305,44,70,63,89,130,148,196,226,220,530,557,529
"210","Chr1-36014480","LOC_Os01g62230",3,3,6,0,1,2,0,0,0,1,1,1,0,1,2,11,7,15
"211","Chr1-36102686","LOC_Os01g62380",0,1,17,39,47,53,2,4,2,34,38,32,7,26,14,11,23,15
"212","Chr1-36099882","LOC_Os01g62380",13,7,7,12,24,5,0,0,1,1,1,0,0,0,0,7,0,4
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
"214","Chr1-36138825","LOC_Os01g62440",28,25,30,17,18,17,81,75,57,43,37,36,11,19,12,26,35,25
"215","Chr1-36139131","LOC_Os01g62440",4,9,19,1,1,0,6,7,0,4,1,3,0,0,1,4,4,5
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,2,3,0,0,0,0,1,2,2,1,1,1,0,0,0
"217","Chr1+36280264","LOC_Os01g62650",0,0,4,0,3,0,1,1,0,0,0,0,1,0,0,1,3,2
"218","Chr1+36286366","LOC_Os01g62650",110,188,223,264,216,286,130,141,120,150,170,176,150,140,157,294,277,260
"219","Chr1+36280419","LOC_Os01g62650",0,0,0,0,0,0,4,3,1,9,0,5,0,0,1,0,0,0
"220","Chr1+36285594","LOC_Os01g62650",4,2,0,1,0,2,4,1,0,2,3,1,0,0,0,1,1,1
"221","Chr1+36440121","LOC_Os01g62900",1,7,7,77,94,89,3,6,6,43,39,31,212,284,269,14,15,14
"222","Chr1+36440402","LOC_Os01g62900",1,2,1,14,14,14,13,10,12,5,6,4,78,63,70,5,1,2
"223","Chr1+36483777","LOC_Os01g62970",0,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",1,1,1,0,0,3,5,6,9,2,2,2,0,4,2,1,1,1
"225","Chr1+36484002","LOC_Os01g62970",316,314,306,36,32,36,85,79,80,241,248,200,93,127,98,66,59,126
"226","Chr1-37049115","LOC_Os01g63854",1,0,0,2,0,2,20,20,14,13,12,13,18,15,17,1,1,1
"227","Chr1-37043633","LOC_Os01g63854",7,10,7,2,8,1,71,75,141,61,61,67,59,80,96,3,3,4
"228","Chr1-37043453","LOC_Os01g63854",0,0,0,0,0,0,10,13,19,2,2,0,4,7,5,0,1,0
"229","Chr1-37048729","LOC_Os01g63854",0,2,2,0,0,0,1,3,1,1,1,2,3,1,1,1,0,0
"230","Chr1-37048182","LOC_Os01g63854",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Chr1-38206951","LOC_Os01g65790",1,2,10,61,85,70,11,5,9,199,213,194,117,132,103,39,39,36
"232","Chr1-38208579","LOC_Os01g65790",9,0,8,2,0,4,12,1,3,4,3,4,8,6,8,4,2,4
