"","chrstrandcoord","gene","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"64","Chr1+10656648","LOC_Os01g18850",74,49,64,49,42,45,69,68,63,186,100,162,105,108,103,52,39,70
"65","Chr1+10679801","LOC_Os01g18880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,36
"66","Chr1+10678290","LOC_Os01g18880",0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"67","Chr1+10676910","LOC_Os01g18880",2,1,0,0,1,1,3,0,1,1,0,0,2,1,0,16,20,1
"68","Chr1+10677075","LOC_Os01g18880",0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Chr1+10679862","LOC_Os01g18880",45,42,44,0,2,2,6,6,6,10,7,5,18,14,19,76,32,9
"70","Chr1+11170325","LOC_Os01g19694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,50
"71","Chr1+11174452","LOC_Os01g19694",23,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Chr1+11174321","LOC_Os01g19694",29,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Chr1-11253657","LOC_Os01g19850",0,0,0,3,0,0,0,0,0,2,1,1,2,1,1,4,0,0
"74","Chr1-11253815","LOC_Os01g19850",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,1
"75","Chr1-11800239","LOC_Os01g21144",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"76","Chr1-11801468","LOC_Os01g21144",0,0,0,2,4,5,0,0,0,0,0,1,3,4,4,4,0,3
"77","Chr1-11800290","LOC_Os01g21144",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Chr1+11975457","LOC_Os01g21450",3,1,3,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1
"79","Chr1+11975299","LOC_Os01g21450",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"80","Chr1+11981803","LOC_Os01g21450",272,208,259,106,111,91,204,226,268,210,247,237,160,134,155,102,92,114
"81","Chr1+11981977","LOC_Os01g21450",2,1,4,0,0,0,0,2,1,2,0,1,0,0,1,0,0,0
"82","Chr1-12704551","LOC_Os01g22600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83","Chr1-12704882","LOC_Os01g22600",109,115,143,9,8,15,72,95,77,68,66,69,54,71,64,51,39,27
"84","Chr1-12704755","LOC_Os01g22600",82,98,47,14,23,14,114,98,101,124,138,128,90,77,86,45,63,102
"85","Chr1+13305003","LOC_Os01g23640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chr1+13304670","LOC_Os01g23640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Chr1+13305253","LOC_Os01g23640",90,106,107,72,89,83,96,86,88,96,92,95,86,90,86,124,37,22
"88","Chr1+13443712","LOC_Os01g23880",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,223,115,191
"89","Chr1+13443168","LOC_Os01g23880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,3
"90","Chr1+13443430","LOC_Os01g23880",0,0,0,3,1,6,0,0,0,6,5,7,1,2,4,30198,44014,48767
"91","Chr1+13935377","LOC_Os01g24764",44,41,31,87,77,80,134,136,154,150,189,188,110,117,111,52,78,126
"92","Chr1+13935124","LOC_Os01g24764",5,6,4,9,9,4,9,8,11,7,7,8,0,9,9,1,4,2
"93","Chr1+13935565","LOC_Os01g24764",0,0,2,6,2,8,5,3,7,8,13,4,0,0,1,0,0,0
"94","Chr1+13935855","LOC_Os01g24764",11,7,9,7,0,7,20,15,18,36,28,34,4,12,12,1,1,1
"95","Chr1-14754834","LOC_Os01g26039",107,96,97,61,64,83,504,495,547,181,173,217,41,46,64,17,13,1
"96","Chr1-14757624","LOC_Os01g26039",0,0,0,3,2,3,0,3,3,5,4,0,4,3,2,17,9,10
"97","Chr1+16056051","LOC_Os01g28680",0,0,1,1,3,2,8,0,11,6,10,4,2,11,4,0,2,1
"98","Chr1+16056254","LOC_Os01g28680",27,14,25,69,100,93,259,210,256,468,462,528,167,124,169,28,106,32
"99","Chr1+16051023","LOC_Os01g28680",1,0,2,0,0,0,3,0,2,1,2,0,0,0,0,0,0,0
"100","Chr1+16053083","LOC_Os01g28680",0,0,2,0,2,1,3,3,4,4,5,5,0,1,1,0,2,1
"101","Chr1+16047519","LOC_Os01g28680",0,0,0,5,5,4,8,5,6,4,5,0,1,0,0,0,1,0
"102","Chr1+17607032","LOC_Os01g32170",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","Chr1+17607127","LOC_Os01g32170",5,5,2,1,0,0,1,2,2,0,0,0,3,2,4,0,1,1
"104","Chr1+17607514","LOC_Os01g32170",3,4,1,5,10,2,2,5,2,6,4,3,4,4,4,0,0,2
"105","Chr1+17606900","LOC_Os01g32170",6,9,10,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0
"106","Chr1+18050168","LOC_Os01g32870",5,5,3,10,8,6,5,6,4,0,5,4,5,6,3,0,0,0
"107","Chr1+18050053","LOC_Os01g32870",161,233,182,69,63,77,71,71,74,98,84,80,57,64,65,26,53,58
"108","Chr1-18394360","LOC_Os01g33420",97,77,89,164,154,161,83,59,64,90,95,102,311,277,365,107,44,407
"109","Chr1-18395693","LOC_Os01g33420",1,3,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
"110","Chr1-18459991","LOC_Os01g33540",13,9,7,11,12,13,8,0,2,5,3,6,7,8,8,92,68,100
"111","Chr1-18459308","LOC_Os01g33540",34,37,37,14,15,16,17,15,16,15,10,16,23,19,13,30,5,45
"112","Chr1-18459207","LOC_Os01g33540",8,9,4,0,0,0,0,0,1,0,0,2,0,2,1,9,24,8
"113","Chr1+20332204","LOC_Os01g36640",0,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"114","Chr1+20334364","LOC_Os01g36640",0,0,0,1,0,2,0,0,0,4,6,0,1,1,1,1,2,1
"115","Chr1+20334834","LOC_Os01g36640",1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,16,2,4
"116","Chr1+20334613","LOC_Os01g36640",4,0,4,7,22,33,2,11,4,20,21,22,14,11,14,23,2,26
"117","Chr1+20334066","LOC_Os01g36640",0,0,0,0,1,2,0,0,0,0,1,1,0,1,3,0,0,0
"118","Chr1+20335020","LOC_Os01g36640",1,2,0,0,2,1,3,4,4,3,3,4,2,4,1,15,69,38
"119","Chr1+20820512","LOC_Os01g37280",0,0,0,1,0,0,4,3,3,0,0,1,0,0,1,0,0,0
"120","Chr1+20820347","LOC_Os01g37280",3,2,2,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"121","Chr1+20820385","LOC_Os01g37280",3,4,3,13,7,6,7,14,22,15,14,14,19,26,13,8,12,7
"122","Chr1+20818589","LOC_Os01g37280",4,2,7,0,0,1,0,1,0,1,1,4,0,1,0,0,0,0
"123","Chr1-22855513","LOC_Os01g40470",384,380,223,247,317,296,209,186,208,179,176,179,233,219,243,108,189,205
"124","Chr1-22855806","LOC_Os01g40470",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","Chr1-22857225","LOC_Os01g40470",4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","Chr1+23930822","LOC_Os01g42234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,37
"127","Chr1+23925357","LOC_Os01g42234",1,3,7,2,1,2,0,0,0,1,1,1,1,0,1,0,0,0
"128","Chr1+23933450","LOC_Os01g42234",58,55,56,91,123,129,27,40,33,29,26,21,26,33,22,35,5,26
"129","Chr1-24703796","LOC_Os01g43250",76,104,59,46,40,42,16,21,26,48,42,44,110,104,79,64,52,24
"130","Chr1-24708192","LOC_Os01g43250",2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"131","Chr1+25003415","LOC_Os01g43630",3,3,3,6,10,6,1,3,2,2,4,2,7,6,6,0,0,0
"132","Chr1+25003233","LOC_Os01g43630",45,48,40,22,73,63,56,52,56,59,57,55,52,52,64,47,52,81
"133","Chr1+25354917","LOC_Os01g44220",5,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Chr1+25361865","LOC_Os01g44220",1771,3482,1766,80,80,82,127,127,129,118,75,110,53,52,55,45,35,47
"135","Chr1+25362209","LOC_Os01g44220",5,5,13,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"136","Chr1+25356680","LOC_Os01g44220",1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","Chr1+25354450","LOC_Os01g44220",0,0,4,3,3,4,3,1,0,0,1,0,0,1,0,71,58,37
"138","Chr1-25921400","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,107,180
"139","Chr1-25917622","LOC_Os01g45620",20,23,29,6,9,5,2,11,8,14,12,15,13,10,12,183,107,31
"140","Chr1-25917859","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,9
"141","Chr1-25921679","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,59
"142","Chr1-25918558","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143","Chr1-25917441","LOC_Os01g45620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"144","Chr1-25917749","LOC_Os01g45620",2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,20,0,17
"145","Chr1+26396273","LOC_Os01g46380",8,15,12,1,1,1,3,0,0,1,2,2,9,10,11,33,41,13
"146","Chr1+26395170","LOC_Os01g46380",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Chr1+26396056","LOC_Os01g46380",1793,1598,1539,108,120,129,210,215,224,364,361,365,1161,1134,1154,464,819,277
"148","Chr1+26722429","LOC_Os01g46840",0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
"149","Chr1+26722277","LOC_Os01g46840",3,7,1,5,1,2,5,5,0,0,4,0,2,0,1,0,0,2
"150","Chr1+26720154","LOC_Os01g46840",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,23,68,35
"151","Chr1-26888426","LOC_Os01g47080",41,56,50,292,318,383,12,18,9,24,21,28,21,24,19,102,139,110
"152","Chr1-26888569","LOC_Os01g47080",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Chr1+27010935","LOC_Os01g47262",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154","Chr1+27010193","LOC_Os01g47262",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Chr1+27010855","LOC_Os01g47262",2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Chr1+27012055","LOC_Os01g47262",659,519,707,81,84,86,96,144,135,169,182,136,413,390,459,94,53,79
"157","Chr1+27009271","LOC_Os01g47262",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","Chr1-27965530","LOC_Os01g48770",0,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0
"159","Chr1-27965721","LOC_Os01g48770",954,1166,833,899,758,893,334,311,327,593,428,363,979,1040,1092,1065,340,533
"160","Chr1-28697312","LOC_Os01g49940",5,5,5,7,6,5,0,3,1,0,0,1,0,0,4,0,0,0
"161","Chr1-28683935","LOC_Os01g49940",93,79,107,43,44,46,75,85,77,110,103,100,109,65,108,75,129,153
"162","Chr1-28697450","LOC_Os01g49940",53,49,50,21,15,16,38,41,41,16,55,41,55,52,49,23,27,119
"163","Chr1+28804457","LOC_Os01g50120",8,7,8,3,0,2,1,0,0,2,3,0,1,1,0,0,0,0
"164","Chr1+28803863","LOC_Os01g50120",20,6,19,6,18,16,14,8,11,14,20,20,11,14,11,5,2,4
"165","Chr1+28800764","LOC_Os01g50120",2,1,2,10,10,8,9,7,10,4,3,3,2,2,2,0,0,0
"166","Chr1+29124339","LOC_Os01g50700",7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Chr1+29124591","LOC_Os01g50700",2237,1437,1640,4,1,5,0,0,0,0,2,2,0,0,0,0,0,0
"168","Chr1+29123295","LOC_Os01g50700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"169","Chr1+29124215","LOC_Os01g50700",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Chr1+30431695","LOC_Os01g52920",161,117,195,49,62,59,158,134,129,231,418,195,230,228,233,311,270,244
"171","Chr1+30431148","LOC_Os01g52920",11,11,12,0,3,0,4,1,6,12,16,16,7,7,6,0,0,0
"172","Chr1+30431484","LOC_Os01g52920",3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Chr1+30432087","LOC_Os01g52920",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
"174","Chr1-30526019","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"175","Chr1-30525031","LOC_Os01g53130",1,2,2,0,1,1,7,1,2,2,3,2,7,7,8,7,7,13
"176","Chr1-30527175","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"177","Chr1-30527478","LOC_Os01g53130",0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,248,233,171
"178","Chr1-30527365","LOC_Os01g53130",2,7,0,12,18,4,0,1,2,1,0,1,1,6,4,58,15,124
"179","Chr1+32622547","LOC_Os01g56580",0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"180","Chr1+32622715","LOC_Os01g56580",103,105,121,84,71,85,122,121,136,115,105,103,119,105,106,247,173,133
"181","Chr1-32855437","LOC_Os01g56890",48,47,45,33,25,26,32,30,30,58,61,75,10,56,35,202,83,153
"182","Chr1-32855924","LOC_Os01g56890",6,17,7,0,0,0,0,1,0,0,5,3,3,5,4,38,42,55
"183","Chr1-32856278","LOC_Os01g56890",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,3,18
"184","Chr1-32855385","LOC_Os01g56890",185,203,228,209,189,297,376,371,368,375,373,392,346,349,333,2364,1790,1815
"185","Chr1-32856153","LOC_Os01g56890",0,2,21,0,2,0,6,1,4,1,2,1,2,0,1,46,45,41
"186","Chr1+32862638","LOC_Os01g56900",3,3,3,2,2,2,0,1,0,6,7,6,4,4,1,0,0,0
"187","Chr1+32863305","LOC_Os01g56900",7,5,2,2,4,0,0,3,9,6,7,10,12,13,13,0,0,0
"188","Chr1+32863554","LOC_Os01g56900",7,8,0,0,0,4,1,1,3,2,4,7,5,3,4,101,146,79
"189","Chr1+33058487","LOC_Os01g57210",27,25,29,34,47,35,16,19,21,9,16,14,14,13,10,45,56,49
"190","Chr1+33058583","LOC_Os01g57210",0,0,3,7,5,2,2,2,0,2,0,1,0,0,0,0,0,0
"191","Chr1+33055124","LOC_Os01g57210",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Chr1+33052173","LOC_Os01g57210",0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"193","Chr1-33369626","LOC_Os01g57720",4,1,1,1,0,1,6,0,0,4,4,3,1,0,0,13,11,11
"194","Chr1-33368699","LOC_Os01g57720",8,15,13,0,11,11,23,18,19,16,19,20,10,9,11,23,40,93
"195","Chr1-33368984","LOC_Os01g57720",150,161,155,59,60,47,140,175,131,150,136,143,66,65,67,47,76,35
"196","Chr1-33369580","LOC_Os01g57720",3,2,3,2,2,4,9,7,7,9,12,8,18,8,9,0,0,0
"197","Chr1-33369316","LOC_Os01g57720",0,0,2,0,0,0,0,2,1,1,1,0,1,1,0,15,7,2
"198","Chr1+33663175","LOC_Os01g58240",0,0,0,4,3,4,0,0,0,4,4,1,10,3,9,1,3,1
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",0,0,0,2,5,4,3,4,7,3,2,3,44,22,38,47,41,42
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,1,1,2,0,0,0,1,0,0,2,1,1,5,27,0
"202","Chr1-34163514","LOC_Os01g59140",1,1,0,1,2,2,0,0,0,1,1,1,1,0,1,0,0,0
"203","Chr1-34165817","LOC_Os01g59140",8,6,9,7,3,5,18,10,4,5,7,6,3,4,3,24,30,33
"204","Chr1-34163746","LOC_Os01g59140",33,33,41,32,37,38,17,26,17,30,31,26,36,51,39,14,65,30
"205","Chr1+34202742","LOC_Os01g59200",18,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",72,48,44,1,1,1,0,0,0,0,0,0,0,0,0,59,104,51
"207","Chr1+34423675","LOC_Os01g59530",9,27,23,150,154,120,199,220,215,246,215,223,339,365,298,539,571,594
"208","Chr1+34423862","LOC_Os01g59530",2,5,3,2,2,2,1,5,0,0,0,0,0,0,0,1,4,4
"209","Chr1-36014043","LOC_Os01g62230",221,220,305,384,430,306,173,172,161,44,70,63,91,75,89,222,202,273
"210","Chr1-36014480","LOC_Os01g62230",0,1,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"211","Chr1-36102686","LOC_Os01g62380",39,47,53,59,70,70,3,2,1,2,4,2,6,9,7,24,28,24
"212","Chr1-36099882","LOC_Os01g62380",12,24,5,8,2,1,0,0,0,0,0,1,0,0,2,0,0,0
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,24,30,6
"214","Chr1-36138825","LOC_Os01g62440",17,18,17,91,93,79,107,75,71,81,75,57,35,46,39,36,39,53
"215","Chr1-36139131","LOC_Os01g62440",1,1,0,0,2,1,1,0,1,6,7,0,0,2,0,0,0,0
"216","Chr1-36145739","LOC_Os01g62440",2,3,0,3,3,3,1,3,1,0,0,0,0,2,1,3,0,2
"217","Chr1+36280264","LOC_Os01g62650",0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"218","Chr1+36286366","LOC_Os01g62650",264,216,286,60,58,56,81,85,82,130,141,120,142,112,122,8,24,40
"219","Chr1+36280419","LOC_Os01g62650",0,0,0,0,0,0,0,1,0,4,3,1,0,2,1,0,0,0
"220","Chr1+36285594","LOC_Os01g62650",1,0,2,3,0,4,3,3,3,4,1,0,1,0,0,6,7,8
"221","Chr1+36440121","LOC_Os01g62900",77,94,89,9,13,14,11,9,9,3,6,6,24,28,35,33,86,74
"222","Chr1+36440402","LOC_Os01g62900",14,14,14,0,4,1,3,3,3,13,10,12,16,10,0,0,0,0
"223","Chr1+36483777","LOC_Os01g62970",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",0,0,3,3,11,4,12,11,10,5,6,9,3,2,3,5,6,15
"225","Chr1+36484002","LOC_Os01g62970",36,32,36,20,8,9,134,130,87,85,79,80,191,182,192,27,19,83
"226","Chr1-37049115","LOC_Os01g63854",2,0,2,26,27,28,21,21,20,20,20,14,17,17,16,1,4,3
"227","Chr1-37043633","LOC_Os01g63854",2,8,1,87,68,89,144,164,135,71,75,141,69,47,64,51,51,54
"228","Chr1-37043453","LOC_Os01g63854",0,0,0,6,4,8,4,3,0,10,13,19,3,1,3,0,0,0
"229","Chr1-37048729","LOC_Os01g63854",0,0,0,0,0,0,0,1,0,1,3,1,1,1,0,0,0,0
"230","Chr1-37048182","LOC_Os01g63854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,3,2
"231","Chr1-38206951","LOC_Os01g65790",61,85,70,312,329,348,15,6,10,11,5,9,10,9,11,10,63,56
